well_name,unique_id,DNA_name,rxn_id,Mg,SecYE,K,PEG,Liposome_name,DNA_conc,Liposome_conc,day,plate,col,row
D12,1152,B3AR,12,8,0.0,85,1,DMPC,5,3,1,4,11,3
D7,1153,B3AR,13,14,0.0,85,0,DMPC,5,3,1,4,6,3
M4,1154,B3AR,14,14,0.0,85,0,DOPC,5,3,1,4,3,12
C3,1155,B3AR,15,14,0.0,85,1,DMPC,5,3,1,4,2,2
O3,1156,B3AR,16,14,0.0,85,1,DOPC,5,3,1,4,2,14
C24,1157,B3AR,17,14,0.0,135,1,DOPC,5,3,1,4,23,2
F24,1158,B3AR,18,14,1.25,185,1,DMPC,5,3,1,4,23,5
K11,1159,B3AR,19,20,0.0,85,0,DOPC,5,3,1,4,10,10
B2,1160,B3AR,20,20,0.0,135,0,DMPC,5,3,1,4,1,1
K2,1161,B3AR,21,20,0.0,135,0,DOPC,5,3,1,4,1,10
N7,1162,B3AR,22,20,0.0,135,1,DOPC,5,3,1,4,6,13
H18,1163,B3AR,23,20,0.0,185,0,DOPC,5,3,1,4,17,7
O15,1164,B3AR,12,8,0.0,85,1,DMPC,5,3,1,4,14,14
B16,1165,B3AR,13,14,0.0,85,0,DMPC,5,3,1,4,15,1
J17,1166,B3AR,14,14,0.0,85,0,DOPC,5,3,1,4,16,9
O17,1167,B3AR,15,14,0.0,85,1,DMPC,5,3,1,4,16,14
E5,1168,B3AR,16,14,0.0,85,1,DOPC,5,3,1,4,4,4
N13,1169,B3AR,17,14,0.0,135,1,DOPC,5,3,1,4,12,13
P16,1170,B3AR,18,14,1.25,185,1,DMPC,5,3,1,4,15,15
N22,1171,B3AR,19,20,0.0,85,0,DOPC,5,3,1,4,21,13
D8,1172,B3AR,20,20,0.0,135,0,DMPC,5,3,1,4,7,3
B8,1173,B3AR,21,20,0.0,135,0,DOPC,5,3,1,4,7,1
H23,1174,B3AR,22,20,0.0,135,1,DOPC,5,3,1,4,22,7
K13,1175,B3AR,23,20,0.0,185,0,DOPC,5,3,1,4,12,10
N20,1176,B3AR,12,8,0.0,85,1,DMPC,5,3,1,4,19,13
F17,1177,B3AR,13,14,0.0,85,0,DMPC,5,3,1,4,16,5
M19,1178,B3AR,14,14,0.0,85,0,DOPC,5,3,1,4,18,12
A22,1179,B3AR,15,14,0.0,85,1,DMPC,5,3,1,4,21,0
I4,1180,B3AR,16,14,0.0,85,1,DOPC,5,3,1,4,3,8
O4,1181,B3AR,17,14,0.0,135,1,DOPC,5,3,1,4,3,14
E16,1182,B3AR,18,14,1.25,185,1,DMPC,5,3,1,4,15,4
E6,1183,B3AR,19,20,0.0,85,0,DOPC,5,3,1,4,5,4
G22,1184,B3AR,20,20,0.0,135,0,DMPC,5,3,1,4,21,6
J3,1185,B3AR,21,20,0.0,135,0,DOPC,5,3,1,4,2,9
M3,1186,B3AR,22,20,0.0,135,1,DOPC,5,3,1,4,2,12
H22,1187,B3AR,23,20,0.0,185,0,DOPC,5,3,1,4,21,7
N15,1188,B3AR,12,8,0.0,85,1,DMPC,5,3,1,4,14,13
A9,1189,B3AR,13,14,0.0,85,0,DMPC,5,3,1,4,8,0
L20,1190,B3AR,14,14,0.0,85,0,DOPC,5,3,1,4,19,11
C1,1191,B3AR,15,14,0.0,85,1,DMPC,5,3,1,4,0,2
D9,1192,B3AR,16,14,0.0,85,1,DOPC,5,3,1,4,8,3
I2,1193,B3AR,17,14,0.0,135,1,DOPC,5,3,1,4,1,8
A17,1194,B3AR,18,14,1.25,185,1,DMPC,5,3,1,4,16,0
G10,1195,B3AR,19,20,0.0,85,0,DOPC,5,3,1,4,9,6
I3,1196,B3AR,20,20,0.0,135,0,DMPC,5,3,1,4,2,8
M22,1197,B3AR,21,20,0.0,135,0,DOPC,5,3,1,4,21,12
L18,1198,B3AR,22,20,0.0,135,1,DOPC,5,3,1,4,17,11
J1,1199,B3AR,23,20,0.0,185,0,DOPC,5,3,1,4,0,9
