well_name,unique_id,DNA_name,rxn_id,DNA_conc,Mg,SecYE,K,PEG,Spermidine,Liposome_conc,Liposome_name,day,plate,col,row
D21,768,Vol,4,2.5,8,0.0,185,0,4.0,3,DMPC--0%PE--0%Chol,1,3,20,3
J4,769,Vol,37,2.5,17,0.0,85,0,4.0,3,DMPC--15%PE--0%Chol,1,3,3,9
F14,770,Vol,41,2.5,17,0.0,135,0,0.1,3,DMPC--0%PE--0%Chol,1,3,13,5
E8,771,Vol,59,2.5,17,0.625,235,0,0.1,3,DMPC--0%PE--0%Chol,1,3,7,4
L11,772,Vol,63,2.5,17,0.625,235,0,0.1,3,DMPC--15%PE--0%Chol,1,3,10,11
G21,773,Vol,70,5.0,8,0.0,135,0,4.0,3,DOPC--0%PE--0%Chol,1,3,20,6
E12,774,Vol,74,5.0,8,0.0,185,0,4.0,3,DOPC--15%PE--0%Chol,1,3,11,4
O8,775,Vol,86,5.0,8,0.625,235,0,4.0,3,DOPC--0%PE--0%Chol,1,3,7,14
L19,776,Vol,109,5.0,11,1.25,135,0,4.0,3,DOPC--0%PE--0%Chol,1,3,18,11
A12,777,Vol,113,5.0,14,0.0,85,0,4.0,3,DOPC--15%PE--0%Chol,1,3,11,0
J13,778,Vol,115,5.0,14,0.0,135,0,1.0,3,DOPC--0%PE--0%Chol,1,3,12,9
E22,779,Vol,122,5.0,14,0.0,135,0,4.0,3,DMPC--15%PE--0%Chol,1,3,21,4
B19,780,Vol,127,5.0,14,0.0,185,0,1.0,3,DOPC--15%PE--0%Chol,1,3,18,1
D17,781,Vol,132,5.0,14,0.625,185,0,1.0,3,DMPC--0%PE--0%Chol,1,3,16,3
F15,782,Vol,157,5.0,17,0.0,235,0,0.1,3,DOPC--0%PE--0%Chol,1,3,14,5
E21,783,Vol,177,5.0,17,0.625,185,0,4.0,3,DOPC--0%PE--0%Chol,1,3,20,4
L4,784,Vol,4,2.5,8,0.0,185,0,4.0,3,DMPC--0%PE--0%Chol,1,3,3,11
F20,785,Vol,37,2.5,17,0.0,85,0,4.0,3,DMPC--15%PE--0%Chol,1,3,19,5
K7,786,Vol,41,2.5,17,0.0,135,0,0.1,3,DMPC--0%PE--0%Chol,1,3,6,10
E1,787,Vol,59,2.5,17,0.625,235,0,0.1,3,DMPC--0%PE--0%Chol,1,3,0,4
I5,788,Vol,63,2.5,17,0.625,235,0,0.1,3,DMPC--15%PE--0%Chol,1,3,4,8
N21,789,Vol,70,5.0,8,0.0,135,0,4.0,3,DOPC--0%PE--0%Chol,1,3,20,13
A24,790,Vol,74,5.0,8,0.0,185,0,4.0,3,DOPC--15%PE--0%Chol,1,3,23,0
K8,791,Vol,86,5.0,8,0.625,235,0,4.0,3,DOPC--0%PE--0%Chol,1,3,7,10
D1,792,Vol,109,5.0,11,1.25,135,0,4.0,3,DOPC--0%PE--0%Chol,1,3,0,3
G18,793,Vol,113,5.0,14,0.0,85,0,4.0,3,DOPC--15%PE--0%Chol,1,3,17,6
