well_name,plate,exp_rep,K,SecYE,Mg,PEG,Liposome_conc,DNA_conc,Liposome_name,DNA_name,water_droplets,rep
A1,1,1,135.0,1.25,20.0,2.0,3.0,5.0,DOPC,AqpZ,0,1
A2,1,1,135.0,1.25,20.0,2.0,3.0,5.0,DOPC,AqpZ,0,2
A3,1,1,85.0,0.0,20.0,2.0,3.0,5.0,DOPC,AqpZ,2,3
A4,1,1,85.0,0.0,20.0,2.0,3.0,5.0,DOPC,PDGFRB2,2,1
B1,1,1,85.0,0.0,20.0,2.0,3.0,5.0,DOPC,PDGFRB2,2,2
B2,1,1,135.0,1.25,20.0,2.0,3.0,5.0,no_lipo,AqpZ,0,4
B3,1,1,85.0,0.0,20.0,2.0,3.0,5.0,DOPC,PDGFRB2,2,3
B4,1,1,135.0,1.25,20.0,2.0,3.0,5.0,no_lipo,AqpZ,0,5
C1,1,1,135.0,1.25,20.0,2.0,3.0,5.0,no_lipo,PDGFRB2,0,4
C2,1,1,85.0,0.0,20.0,2.0,3.0,5.0,no_lipo,AqpZ,2,6
C3,1,1,135.0,1.25,20.0,2.0,3.0,5.0,DOPC,PDGFRB2,0,5
C4,1,1,135.0,1.25,20.0,2.0,3.0,5.0,no_lipo,AqpZ,0,7
D1,1,1,135.0,1.25,20.0,2.0,3.0,5.0,no_lipo,Blank,0,1
D2,1,1,85.0,0.0,20.0,2.0,3.0,5.0,DOPC,Blank,2,2
D3,1,1,85.0,0.0,20.0,2.0,3.0,5.0,no_lipo,Blank,2,3
D4,1,1,85.0,0.0,20.0,2.0,3.0,5.0,DOPC,AqpZ,2,8
E1,1,1,135.0,1.25,20.0,2.0,3.0,5.0,DOPC,PDGFRB2,0,6
E2,1,1,85.0,0.0,20.0,2.0,3.0,5.0,no_lipo,PDGFRB2,2,7
E3,1,1,85.0,0.0,20.0,2.0,3.0,5.0,no_lipo,AqpZ,2,9
E4,1,1,135.0,1.25,20.0,2.0,3.0,5.0,DOPC,Blank,0,4
F1,1,1,85.0,0.0,20.0,2.0,3.0,5.0,no_lipo,AqpZ,2,10
F2,1,1,85.0,0.0,20.0,2.0,3.0,5.0,no_lipo,Blank,2,5
F3,1,1,85.0,0.0,20.0,2.0,3.0,5.0,no_lipo,Blank,2,6
F4,1,1,135.0,1.25,20.0,2.0,3.0,5.0,no_lipo,PDGFRB2,0,8
G1,1,1,135.0,1.25,20.0,2.0,3.0,5.0,DOPC,Blank,0,7
G2,1,1,85.0,0.0,20.0,2.0,3.0,5.0,DOPC,Blank,2,8
G3,1,1,85.0,0.0,20.0,2.0,3.0,5.0,no_lipo,Blank,2,9
G4,1,1,85.0,0.0,20.0,2.0,3.0,5.0,no_lipo,PDGFRB2,2,9
H1,1,1,135.0,1.25,20.0,2.0,3.0,5.0,DOPC,Blank,0,10
H2,1,1,85.0,0.0,20.0,2.0,3.0,5.0,no_lipo,AqpZ,2,11
H3,1,1,135.0,1.25,20.0,2.0,3.0,5.0,DOPC,AqpZ,0,12
H4,1,1,135.0,1.25,20.0,2.0,3.0,5.0,DOPC,AqpZ,0,13
I1,1,1,85.0,0.0,20.0,2.0,3.0,5.0,DOPC,Blank,2,11
I2,1,1,85.0,0.0,20.0,2.0,3.0,5.0,DOPC,AqpZ,2,14
I3,1,1,135.0,1.25,20.0,2.0,3.0,5.0,no_lipo,AqpZ,0,15
I4,1,1,135.0,1.25,20.0,2.0,3.0,5.0,DOPC,PDGFRB2,0,10
J1,1,1,135.0,1.25,20.0,2.0,3.0,5.0,no_lipo,Blank,0,12
J2,1,1,135.0,1.25,20.0,2.0,3.0,5.0,no_lipo,PDGFRB2,0,11
J3,1,1,85.0,0.0,20.0,2.0,3.0,5.0,no_lipo,PDGFRB2,2,12
J4,1,1,85.0,0.0,20.0,2.0,3.0,5.0,no_lipo,PDGFRB2,2,13
K1,1,1,135.0,1.25,20.0,2.0,3.0,5.0,DOPC,PDGFRB2,0,14
K2,1,1,135.0,1.25,20.0,2.0,3.0,5.0,no_lipo,Blank,0,13
K3,1,1,85.0,0.0,20.0,2.0,3.0,5.0,DOPC,Blank,2,14
K4,1,1,135.0,1.25,20.0,2.0,3.0,5.0,no_lipo,Blank,0,15
L1,1,1,85.0,0.0,20.0,2.0,3.0,5.0,DOPC,AqpZ,2,16
L2,1,1,85.0,0.0,20.0,2.0,3.0,5.0,DOPC,PDGFRB2,2,15
L3,1,1,135.0,1.25,20.0,2.0,3.0,5.0,no_lipo,PDGFRB2,0,16
L4,1,1,135.0,1.25,20.0,2.0,3.0,5.0,DOPC,Blank,0,16
