reagent,well_name,row,col,row_zero_based,col_zero_based,droplets_print
AqpZ,A1,1,1,0,0,2
AqpZ,A2,1,2,0,1,2
AqpZ,A3,1,3,0,2,2
AqpZ,B2,2,2,1,1,2
AqpZ,B4,2,4,1,3,2
AqpZ,C2,3,2,2,1,2
AqpZ,C4,3,4,2,3,2
AqpZ,D4,4,4,3,3,2
AqpZ,E3,5,3,4,2,2
AqpZ,F1,6,1,5,0,2
AqpZ,H2,8,2,7,1,2
AqpZ,H3,8,3,7,2,2
AqpZ,H4,8,4,7,3,2
AqpZ,I2,9,2,8,1,2
AqpZ,I3,9,3,8,2,2
AqpZ,L1,12,1,11,0,2
Blank,D1,4,1,3,0,2
Blank,D2,4,2,3,1,2
Blank,D3,4,3,3,2,2
Blank,E4,5,4,4,3,2
Blank,F2,6,2,5,1,2
Blank,F3,6,3,5,2,2
Blank,G1,7,1,6,0,2
Blank,G2,7,2,6,1,2
Blank,G3,7,3,6,2,2
Blank,H1,8,1,7,0,2
Blank,I1,9,1,8,0,2
Blank,J1,10,1,9,0,2
Blank,K2,11,2,10,1,2
Blank,K3,11,3,10,2,2
Blank,K4,11,4,10,3,2
Blank,L4,12,4,11,3,2
DOPC,A1,1,1,0,0,4
DOPC,A2,1,2,0,1,4
DOPC,A3,1,3,0,2,4
DOPC,A4,1,4,0,3,4
DOPC,B1,2,1,1,0,4
DOPC,B3,2,3,1,2,4
DOPC,C3,3,3,2,2,4
DOPC,D2,4,2,3,1,4
DOPC,D4,4,4,3,3,4
DOPC,E1,5,1,4,0,4
DOPC,E4,5,4,4,3,4
DOPC,G1,7,1,6,0,4
DOPC,G2,7,2,6,1,4
DOPC,H1,8,1,7,0,4
DOPC,H3,8,3,7,2,4
DOPC,H4,8,4,7,3,4
DOPC,I1,9,1,8,0,4
DOPC,I2,9,2,8,1,4
DOPC,I4,9,4,8,3,4
DOPC,K1,11,1,10,0,4
DOPC,K3,11,3,10,2,4
DOPC,L1,12,1,11,0,4
DOPC,L2,12,2,11,1,4
DOPC,L4,12,4,11,3,4
K,A1,1,1,0,0,1
K,A2,1,2,0,1,1
K,B2,2,2,1,1,1
K,B4,2,4,1,3,1
K,C1,3,1,2,0,1
K,C3,3,3,2,2,1
K,C4,3,4,2,3,1
K,D1,4,1,3,0,1
K,E1,5,1,4,0,1
K,E4,5,4,4,3,1
K,F4,6,4,5,3,1
K,G1,7,1,6,0,1
K,H1,8,1,7,0,1
K,H3,8,3,7,2,1
K,H4,8,4,7,3,1
K,I3,9,3,8,2,1
K,I4,9,4,8,3,1
K,J1,10,1,9,0,1
K,J2,10,2,9,1,1
K,K1,11,1,10,0,1
K,K2,11,2,10,1,1
K,K4,11,4,10,3,1
K,L3,12,3,11,2,1
K,L4,12,4,11,3,1
Mg,A1,1,1,0,0,2
Mg,A2,1,2,0,1,2
Mg,A3,1,3,0,2,2
Mg,A4,1,4,0,3,2
Mg,B1,2,1,1,0,2
Mg,B2,2,2,1,1,2
Mg,B3,2,3,1,2,2
Mg,B4,2,4,1,3,2
Mg,C1,3,1,2,0,2
Mg,C2,3,2,2,1,2
Mg,C3,3,3,2,2,2
Mg,C4,3,4,2,3,2
Mg,D1,4,1,3,0,2
Mg,D2,4,2,3,1,2
Mg,D3,4,3,3,2,2
Mg,D4,4,4,3,3,2
Mg,E1,5,1,4,0,2
Mg,E2,5,2,4,1,2
Mg,E3,5,3,4,2,2
Mg,E4,5,4,4,3,2
Mg,F1,6,1,5,0,2
Mg,F2,6,2,5,1,2
Mg,F3,6,3,5,2,2
Mg,F4,6,4,5,3,2
Mg,G1,7,1,6,0,2
Mg,G2,7,2,6,1,2
Mg,G3,7,3,6,2,2
Mg,G4,7,4,6,3,2
Mg,H1,8,1,7,0,2
Mg,H2,8,2,7,1,2
Mg,H3,8,3,7,2,2
Mg,H4,8,4,7,3,2
Mg,I1,9,1,8,0,2
Mg,I2,9,2,8,1,2
Mg,I3,9,3,8,2,2
Mg,I4,9,4,8,3,2
Mg,J1,10,1,9,0,2
Mg,J2,10,2,9,1,2
Mg,J3,10,3,9,2,2
Mg,J4,10,4,9,3,2
Mg,K1,11,1,10,0,2
Mg,K2,11,2,10,1,2
Mg,K3,11,3,10,2,2
Mg,K4,11,4,10,3,2
Mg,L1,12,1,11,0,2
Mg,L2,12,2,11,1,2
Mg,L3,12,3,11,2,2
Mg,L4,12,4,11,3,2
PDGFRB2,A4,1,4,0,3,2
PDGFRB2,B1,2,1,1,0,2
PDGFRB2,B3,2,3,1,2,2
PDGFRB2,C1,3,1,2,0,2
PDGFRB2,C3,3,3,2,2,2
PDGFRB2,E1,5,1,4,0,2
PDGFRB2,E2,5,2,4,1,2
PDGFRB2,F4,6,4,5,3,2
PDGFRB2,G4,7,4,6,3,2
PDGFRB2,I4,9,4,8,3,2
PDGFRB2,J2,10,2,9,1,2
PDGFRB2,J3,10,3,9,2,2
PDGFRB2,J4,10,4,9,3,2
PDGFRB2,K1,11,1,10,0,2
PDGFRB2,L2,12,2,11,1,2
PDGFRB2,L3,12,3,11,2,2
PEG,A1,1,1,0,0,4
PEG,A2,1,2,0,1,4
PEG,A3,1,3,0,2,4
PEG,A4,1,4,0,3,4
PEG,B1,2,1,1,0,4
PEG,B2,2,2,1,1,4
PEG,B3,2,3,1,2,4
PEG,B4,2,4,1,3,4
PEG,C1,3,1,2,0,4
PEG,C2,3,2,2,1,4
PEG,C3,3,3,2,2,4
PEG,C4,3,4,2,3,4
PEG,D1,4,1,3,0,4
PEG,D2,4,2,3,1,4
PEG,D3,4,3,3,2,4
PEG,D4,4,4,3,3,4
PEG,E1,5,1,4,0,4
PEG,E2,5,2,4,1,4
PEG,E3,5,3,4,2,4
PEG,E4,5,4,4,3,4
PEG,F1,6,1,5,0,4
PEG,F2,6,2,5,1,4
PEG,F3,6,3,5,2,4
PEG,F4,6,4,5,3,4
PEG,G1,7,1,6,0,4
PEG,G2,7,2,6,1,4
PEG,G3,7,3,6,2,4
PEG,G4,7,4,6,3,4
PEG,H1,8,1,7,0,4
PEG,H2,8,2,7,1,4
PEG,H3,8,3,7,2,4
PEG,H4,8,4,7,3,4
PEG,I1,9,1,8,0,4
PEG,I2,9,2,8,1,4
PEG,I3,9,3,8,2,4
PEG,I4,9,4,8,3,4
PEG,J1,10,1,9,0,4
PEG,J2,10,2,9,1,4
PEG,J3,10,3,9,2,4
PEG,J4,10,4,9,3,4
PEG,K1,11,1,10,0,4
PEG,K2,11,2,10,1,4
PEG,K3,11,3,10,2,4
PEG,K4,11,4,10,3,4
PEG,L1,12,1,11,0,4
PEG,L2,12,2,11,1,4
PEG,L3,12,3,11,2,4
PEG,L4,12,4,11,3,4
SecYE,A1,1,1,0,0,2
SecYE,A2,1,2,0,1,2
SecYE,B2,2,2,1,1,2
SecYE,B4,2,4,1,3,2
SecYE,C1,3,1,2,0,2
SecYE,C3,3,3,2,2,2
SecYE,C4,3,4,2,3,2
SecYE,D1,4,1,3,0,2
SecYE,E1,5,1,4,0,2
SecYE,E4,5,4,4,3,2
SecYE,F4,6,4,5,3,2
SecYE,G1,7,1,6,0,2
SecYE,H1,8,1,7,0,2
SecYE,H3,8,3,7,2,2
SecYE,H4,8,4,7,3,2
SecYE,I3,9,3,8,2,2
SecYE,I4,9,4,8,3,2
SecYE,J1,10,1,9,0,2
SecYE,J2,10,2,9,1,2
SecYE,K1,11,1,10,0,2
SecYE,K2,11,2,10,1,2
SecYE,K4,11,4,10,3,2
SecYE,L3,12,3,11,2,2
SecYE,L4,12,4,11,3,2
no_lipo,B2,2,2,1,1,4
no_lipo,B4,2,4,1,3,4
no_lipo,C1,3,1,2,0,4
no_lipo,C2,3,2,2,1,4
no_lipo,C4,3,4,2,3,4
no_lipo,D1,4,1,3,0,4
no_lipo,D3,4,3,3,2,4
no_lipo,E2,5,2,4,1,4
no_lipo,E3,5,3,4,2,4
no_lipo,F1,6,1,5,0,4
no_lipo,F2,6,2,5,1,4
no_lipo,F3,6,3,5,2,4
no_lipo,F4,6,4,5,3,4
no_lipo,G3,7,3,6,2,4
no_lipo,G4,7,4,6,3,4
no_lipo,H2,8,2,7,1,4
no_lipo,I3,9,3,8,2,4
no_lipo,J1,10,1,9,0,4
no_lipo,J2,10,2,9,1,4
no_lipo,J3,10,3,9,2,4
no_lipo,J4,10,4,9,3,4
no_lipo,K2,11,2,10,1,4
no_lipo,K4,11,4,10,3,4
no_lipo,L3,12,3,11,2,4
water,A3,1,3,0,2,2
water,A4,1,4,0,3,2
water,B1,2,1,1,0,2
water,B3,2,3,1,2,2
water,C2,3,2,2,1,2
water,D2,4,2,3,1,2
water,D3,4,3,3,2,2
water,D4,4,4,3,3,2
water,E2,5,2,4,1,2
water,E3,5,3,4,2,2
water,F1,6,1,5,0,2
water,F2,6,2,5,1,2
water,F3,6,3,5,2,2
water,G2,7,2,6,1,2
water,G3,7,3,6,2,2
water,G4,7,4,6,3,2
water,H2,8,2,7,1,2
water,I1,9,1,8,0,2
water,I2,9,2,8,1,2
water,J3,10,3,9,2,2
water,J4,10,4,9,3,2
water,K3,11,3,10,2,2
water,L1,12,1,11,0,2
water,L2,12,2,11,1,2
