well_name,unique_id,day,rxn_id,DNA_conc,K,Mg,SecYE,Spermidine,Liposome_name,DNA_name,plate,col,row,Liposome_conc
J10,0,1,33,2.5,85.0,8.0,0.0,0.1,DOPC--0%PE--0%Chol,CD47,1,9,9,3
G10,1,1,34,2.5,85.0,8.0,0.0,4.0,DMPC--0%PE--0%Chol,CD47,1,9,6,3
O21,2,1,36,5.0,85.0,8.0,0.0,0.1,DMPC--15%PE--0%Chol,CD47,1,20,14,3
I19,3,1,38,2.5,185.0,8.0,0.0,4.0,DMPC--15%PE--8%Chol,CD47,1,18,8,3
K7,4,1,41,5.0,185.0,14.0,0.0,0.1,DOPC--0%PE--0%Chol,CD47,1,6,10,3
H3,5,1,42,5.0,185.0,14.0,0.0,4.0,DMPC--0%PE--0%Chol,CD47,1,2,7,3
H4,6,1,44,2.5,185.0,14.0,0.0,0.1,DMPC--15%PE--0%Chol,CD47,1,3,7,3
H16,7,1,46,5.0,85.0,14.0,0.0,4.0,DMPC--15%PE--8%Chol,CD47,1,15,7,3
K20,8,1,48,2.5,185.0,8.0,0.625,0.1,DMPC--0%PE--0%Chol,CD47,1,19,10,3
P24,9,1,51,2.5,185.0,8.0,0.625,4.0,DOPC--0%PE--0%Chol,CD47,1,23,15,3
J17,10,1,52,2.5,85.0,8.0,0.625,0.1,DMPC--15%PE--8%Chol,CD47,1,16,9,3
H13,11,1,54,5.0,185.0,8.0,0.625,4.0,DMPC--15%PE--0%Chol,CD47,1,12,7,3
O11,12,1,56,5.0,85.0,14.0,0.625,0.1,DMPC--0%PE--0%Chol,CD47,1,10,14,3
O1,13,1,59,5.0,85.0,14.0,0.625,4.0,DOPC--0%PE--0%Chol,CD47,1,0,14,3
C24,14,1,60,5.0,185.0,14.0,0.625,0.1,DMPC--15%PE--8%Chol,CD47,1,23,2,3
F11,15,1,62,2.5,85.0,14.0,0.625,4.0,DMPC--15%PE--0%Chol,CD47,1,10,5,3
L20,16,1,33,2.5,85.0,8.0,0.0,0.1,DOPC--0%PE--0%Chol,CD47,1,19,11,3
I7,17,1,34,2.5,85.0,8.0,0.0,4.0,DMPC--0%PE--0%Chol,CD47,1,6,8,3
J9,18,1,36,5.0,85.0,8.0,0.0,0.1,DMPC--15%PE--0%Chol,CD47,1,8,9,3
M12,19,1,38,2.5,185.0,8.0,0.0,4.0,DMPC--15%PE--8%Chol,CD47,1,11,12,3
I12,20,1,41,5.0,185.0,14.0,0.0,0.1,DOPC--0%PE--0%Chol,CD47,1,11,8,3
E15,21,1,42,5.0,185.0,14.0,0.0,4.0,DMPC--0%PE--0%Chol,CD47,1,14,4,3
H20,22,1,44,2.5,185.0,14.0,0.0,0.1,DMPC--15%PE--0%Chol,CD47,1,19,7,3
F18,23,1,46,5.0,85.0,14.0,0.0,4.0,DMPC--15%PE--8%Chol,CD47,1,17,5,3
H10,24,1,48,2.5,185.0,8.0,0.625,0.1,DMPC--0%PE--0%Chol,CD47,1,9,7,3
O12,25,1,51,2.5,185.0,8.0,0.625,4.0,DOPC--0%PE--0%Chol,CD47,1,11,14,3
E2,26,1,52,2.5,85.0,8.0,0.625,0.1,DMPC--15%PE--8%Chol,CD47,1,1,4,3
M8,27,1,54,5.0,185.0,8.0,0.625,4.0,DMPC--15%PE--0%Chol,CD47,1,7,12,3
F19,28,1,56,5.0,85.0,14.0,0.625,0.1,DMPC--0%PE--0%Chol,CD47,1,18,5,3
G7,29,1,59,5.0,85.0,14.0,0.625,4.0,DOPC--0%PE--0%Chol,CD47,1,6,6,3
C10,30,1,60,5.0,185.0,14.0,0.625,0.1,DMPC--15%PE--8%Chol,CD47,1,9,2,3
F15,31,1,62,2.5,85.0,14.0,0.625,4.0,DMPC--15%PE--0%Chol,CD47,1,14,5,3
L9,32,1,33,2.5,85.0,8.0,0.0,0.1,DOPC--0%PE--0%Chol,CD47,1,8,11,3
D16,33,1,34,2.5,85.0,8.0,0.0,4.0,DMPC--0%PE--0%Chol,CD47,1,15,3,3
L16,34,1,36,5.0,85.0,8.0,0.0,0.1,DMPC--15%PE--0%Chol,CD47,1,15,11,3
A18,35,1,38,2.5,185.0,8.0,0.0,4.0,DMPC--15%PE--8%Chol,CD47,1,17,0,3
I6,36,1,41,5.0,185.0,14.0,0.0,0.1,DOPC--0%PE--0%Chol,CD47,1,5,8,3
M4,37,1,42,5.0,185.0,14.0,0.0,4.0,DMPC--0%PE--0%Chol,CD47,1,3,12,3
J7,38,1,44,2.5,185.0,14.0,0.0,0.1,DMPC--15%PE--0%Chol,CD47,1,6,9,3
C9,39,1,46,5.0,85.0,14.0,0.0,4.0,DMPC--15%PE--8%Chol,CD47,1,8,2,3
J16,40,1,48,2.5,185.0,8.0,0.625,0.1,DMPC--0%PE--0%Chol,CD47,1,15,9,3
A10,41,1,51,2.5,185.0,8.0,0.625,4.0,DOPC--0%PE--0%Chol,CD47,1,9,0,3
D20,42,1,52,2.5,85.0,8.0,0.625,0.1,DMPC--15%PE--8%Chol,CD47,1,19,3,3
E12,43,1,54,5.0,185.0,8.0,0.625,4.0,DMPC--15%PE--0%Chol,CD47,1,11,4,3
L23,44,1,56,5.0,85.0,14.0,0.625,0.1,DMPC--0%PE--0%Chol,CD47,1,22,11,3
K24,45,1,59,5.0,85.0,14.0,0.625,4.0,DOPC--0%PE--0%Chol,CD47,1,23,10,3
J3,46,1,60,5.0,185.0,14.0,0.625,0.1,DMPC--15%PE--8%Chol,CD47,1,2,9,3
F2,47,1,62,2.5,85.0,14.0,0.625,4.0,DMPC--15%PE--0%Chol,CD47,1,1,5,3
I13,48,1,33,2.5,85.0,8.0,0.0,0.1,DOPC--0%PE--0%Chol,CD47,1,12,8,3
K5,49,1,34,2.5,85.0,8.0,0.0,4.0,DMPC--0%PE--0%Chol,CD47,1,4,10,3
E22,50,1,36,5.0,85.0,8.0,0.0,0.1,DMPC--15%PE--0%Chol,CD47,1,21,4,3
P10,51,1,38,2.5,185.0,8.0,0.0,4.0,DMPC--15%PE--8%Chol,CD47,1,9,15,3
E13,52,1,41,5.0,185.0,14.0,0.0,0.1,DOPC--0%PE--0%Chol,CD47,1,12,4,3
J20,53,1,42,5.0,185.0,14.0,0.0,4.0,DMPC--0%PE--0%Chol,CD47,1,19,9,3
A20,54,1,44,2.5,185.0,14.0,0.0,0.1,DMPC--15%PE--0%Chol,CD47,1,19,0,3
D22,55,1,46,5.0,85.0,14.0,0.0,4.0,DMPC--15%PE--8%Chol,CD47,1,21,3,3
I24,56,1,48,2.5,185.0,8.0,0.625,0.1,DMPC--0%PE--0%Chol,CD47,1,23,8,3
H12,57,1,51,2.5,185.0,8.0,0.625,4.0,DOPC--0%PE--0%Chol,CD47,1,11,7,3
F22,58,1,52,2.5,85.0,8.0,0.625,0.1,DMPC--15%PE--8%Chol,CD47,1,21,5,3
F7,59,1,54,5.0,185.0,8.0,0.625,4.0,DMPC--15%PE--0%Chol,CD47,1,6,5,3
G17,60,1,56,5.0,85.0,14.0,0.625,0.1,DMPC--0%PE--0%Chol,CD47,1,16,6,3
A2,61,1,59,5.0,85.0,14.0,0.625,4.0,DOPC--0%PE--0%Chol,CD47,1,1,0,3
A21,62,1,60,5.0,185.0,14.0,0.625,0.1,DMPC--15%PE--8%Chol,CD47,1,20,0,3
G14,63,1,62,2.5,85.0,14.0,0.625,4.0,DMPC--15%PE--0%Chol,CD47,1,13,6,3
B17,64,1,33,2.5,85.0,8.0,0.0,0.1,no_lipo,CD47,1,16,1,3
K15,65,1,34,2.5,85.0,8.0,0.0,4.0,no_lipo,CD47,1,14,10,3
K2,66,1,36,5.0,85.0,8.0,0.0,0.1,no_lipo,CD47,1,1,10,3
M3,67,1,38,2.5,185.0,8.0,0.0,4.0,no_lipo,CD47,1,2,12,3
B4,68,1,41,5.0,185.0,14.0,0.0,0.1,no_lipo,CD47,1,3,1,3
L1,69,1,42,5.0,185.0,14.0,0.0,4.0,no_lipo,CD47,1,0,11,3
E23,70,1,44,2.5,185.0,14.0,0.0,0.1,no_lipo,CD47,1,22,4,3
E21,71,1,46,5.0,85.0,14.0,0.0,4.0,no_lipo,CD47,1,20,4,3
A22,72,1,48,2.5,185.0,8.0,0.625,0.1,no_lipo,CD47,1,21,0,3
M1,73,1,51,2.5,185.0,8.0,0.625,4.0,no_lipo,CD47,1,0,12,3
L24,74,1,52,2.5,85.0,8.0,0.625,0.1,no_lipo,CD47,1,23,11,3
A16,75,1,54,5.0,185.0,8.0,0.625,4.0,no_lipo,CD47,1,15,0,3
F4,76,1,56,5.0,85.0,14.0,0.625,0.1,no_lipo,CD47,1,3,5,3
E18,77,1,59,5.0,85.0,14.0,0.625,4.0,no_lipo,CD47,1,17,4,3
N4,78,1,60,5.0,185.0,14.0,0.625,0.1,no_lipo,CD47,1,3,13,3
L10,79,1,62,2.5,85.0,14.0,0.625,4.0,no_lipo,CD47,1,9,11,3
H22,80,1,33,2.5,85.0,8.0,0.0,0.1,no_lipo,CD47,1,21,7,3
G9,81,1,34,2.5,85.0,8.0,0.0,4.0,no_lipo,CD47,1,8,6,3
E24,82,1,36,5.0,85.0,8.0,0.0,0.1,no_lipo,CD47,1,23,4,3
M2,83,1,38,2.5,185.0,8.0,0.0,4.0,no_lipo,CD47,1,1,12,3
H6,84,1,41,5.0,185.0,14.0,0.0,0.1,no_lipo,CD47,1,5,7,3
P17,85,1,42,5.0,185.0,14.0,0.0,4.0,no_lipo,CD47,1,16,15,3
M24,86,1,44,2.5,185.0,14.0,0.0,0.1,no_lipo,CD47,1,23,12,3
A19,87,1,46,5.0,85.0,14.0,0.0,4.0,no_lipo,CD47,1,18,0,3
H9,88,1,48,2.5,185.0,8.0,0.625,0.1,no_lipo,CD47,1,8,7,3
J14,89,1,51,2.5,185.0,8.0,0.625,4.0,no_lipo,CD47,1,13,9,3
C6,90,1,52,2.5,85.0,8.0,0.625,0.1,no_lipo,CD47,1,5,2,3
P22,91,1,54,5.0,185.0,8.0,0.625,4.0,no_lipo,CD47,1,21,15,3
E4,92,1,56,5.0,85.0,14.0,0.625,0.1,no_lipo,CD47,1,3,4,3
C19,93,1,59,5.0,85.0,14.0,0.625,4.0,no_lipo,CD47,1,18,2,3
J18,94,1,60,5.0,185.0,14.0,0.625,0.1,no_lipo,CD47,1,17,9,3
C7,95,1,62,2.5,85.0,14.0,0.625,4.0,no_lipo,CD47,1,6,2,3
P2,96,1,33,2.5,85.0,8.0,0.0,0.1,no_lipo,CD47,1,1,15,3
F8,97,1,34,2.5,85.0,8.0,0.0,4.0,no_lipo,CD47,1,7,5,3
N20,98,1,36,5.0,85.0,8.0,0.0,0.1,no_lipo,CD47,1,19,13,3
D12,99,1,38,2.5,185.0,8.0,0.0,4.0,no_lipo,CD47,1,11,3,3
G16,100,1,41,5.0,185.0,14.0,0.0,0.1,no_lipo,CD47,1,15,6,3
D6,101,1,42,5.0,185.0,14.0,0.0,4.0,no_lipo,CD47,1,5,3,3
D13,102,1,44,2.5,185.0,14.0,0.0,0.1,no_lipo,CD47,1,12,3,3
B8,103,1,46,5.0,85.0,14.0,0.0,4.0,no_lipo,CD47,1,7,1,3
H24,104,1,48,2.5,185.0,8.0,0.625,0.1,no_lipo,CD47,1,23,7,3
D14,105,1,51,2.5,185.0,8.0,0.625,4.0,no_lipo,CD47,1,13,3,3
N11,106,1,52,2.5,85.0,8.0,0.625,0.1,no_lipo,CD47,1,10,13,3
H7,107,1,54,5.0,185.0,8.0,0.625,4.0,no_lipo,CD47,1,6,7,3
G12,108,1,56,5.0,85.0,14.0,0.625,0.1,no_lipo,CD47,1,11,6,3
J21,109,1,59,5.0,85.0,14.0,0.625,4.0,no_lipo,CD47,1,20,9,3
N5,110,1,60,5.0,185.0,14.0,0.625,0.1,no_lipo,CD47,1,4,13,3
K12,111,1,62,2.5,85.0,14.0,0.625,4.0,no_lipo,CD47,1,11,10,3
I1,112,1,33,2.5,85.0,8.0,0.0,0.1,no_lipo,CD47,1,0,8,3
E14,113,1,34,2.5,85.0,8.0,0.0,4.0,no_lipo,CD47,1,13,4,3
G5,114,1,36,5.0,85.0,8.0,0.0,0.1,no_lipo,CD47,1,4,6,3
C1,115,1,38,2.5,185.0,8.0,0.0,4.0,no_lipo,CD47,1,0,2,3
O18,116,1,41,5.0,185.0,14.0,0.0,0.1,no_lipo,CD47,1,17,14,3
F24,117,1,42,5.0,185.0,14.0,0.0,4.0,no_lipo,CD47,1,23,5,3
O15,118,1,44,2.5,185.0,14.0,0.0,0.1,no_lipo,CD47,1,14,14,3
F20,119,1,46,5.0,85.0,14.0,0.0,4.0,no_lipo,CD47,1,19,5,3
J15,120,1,48,2.5,185.0,8.0,0.625,0.1,no_lipo,CD47,1,14,9,3
G4,121,1,51,2.5,185.0,8.0,0.625,4.0,no_lipo,CD47,1,3,6,3
J24,122,1,52,2.5,85.0,8.0,0.625,0.1,no_lipo,CD47,1,23,9,3
I9,123,1,54,5.0,185.0,8.0,0.625,4.0,no_lipo,CD47,1,8,8,3
J2,124,1,56,5.0,85.0,14.0,0.625,0.1,no_lipo,CD47,1,1,9,3
P9,125,1,59,5.0,85.0,14.0,0.625,4.0,no_lipo,CD47,1,8,15,3
E11,126,1,60,5.0,185.0,14.0,0.625,0.1,no_lipo,CD47,1,10,4,3
N18,127,1,62,2.5,85.0,14.0,0.625,4.0,no_lipo,CD47,1,17,13,3
I15,128,1,192,5.0,85.0,8.0,0.0,0.1,DMPC--15%PE--8%Chol,Mito,1,14,8,3
D17,129,1,193,2.5,85.0,8.0,0.625,0.1,DMPC--0%PE--0%Chol,Mito,1,16,3,3
K18,130,1,194,2.5,85.0,14.0,0.0,0.1,DMPC--0%PE--0%Chol,Mito,1,17,10,3
