well_name,unique_id,DNA_name,rxn_id,DNA_conc,K,Mg,PEG,SecYE,Spermidine,Liposome_conc,Liposome_name,day,plate,col,row
M7,1207,CD81,210,2.5,185,14,0,1.25,0.1,3,DOPC--0%PE--0%Chol,2,4,6,12
H9,1208,CD81,211,2.5,235,8,0,0.625,0.1,3,DMPC--0%PE--0%Chol,2,4,8,7
O18,1209,CD81,212,2.5,235,20,0,0.625,0.1,3,DMPC--0%PE--0%Chol,2,4,17,14
J19,1210,CD81,213,2.5,235,20,0,0.625,0.1,3,DOPC--0%PE--0%Chol,2,4,18,9
J13,1211,CD81,299,5.0,85,14,0,0.0,0.1,3,DMPC--0%PE--8%Chol,2,4,12,9
M3,1212,CD81,300,5.0,85,14,0,0.0,0.1,3,DOPC--0%PE--8%Chol,2,4,2,12
O7,1213,CD81,346,2.5,85,14,0,0.0,0.1,3,DMPC--0%PE--8%Chol,2,4,6,14
H14,1214,CD81,347,2.5,185,14,0,0.0,0.1,3,DOPC--0%PE--8%Chol,2,4,13,7
L18,1215,CD81,348,2.5,185,20,0,0.0,0.1,3,DMPC--0%PE--8%Chol,2,4,17,11
G20,1216,CD81,89,5.0,85,8,0,0.0,0.1,3,no_lipo,2,4,19,6
M11,1217,CD81,204,2.5,85,20,0,0.0,0.1,3,no_lipo,2,4,10,12
L13,1218,CD81,205,2.5,85,20,0,0.0,0.1,3,no_lipo,2,4,12,11
F23,1219,CD81,206,2.5,85,20,0,1.25,0.1,3,no_lipo,2,4,22,5
J22,1220,CD81,207,2.5,185,14,0,0.0,0.1,3,no_lipo,2,4,21,9
L15,1221,CD81,208,2.5,185,14,0,0.0,0.1,3,no_lipo,2,4,14,11
B6,1222,CD81,209,2.5,185,14,0,1.25,0.1,3,no_lipo,2,4,5,1
D19,1223,CD81,210,2.5,185,14,0,1.25,0.1,3,no_lipo,2,4,18,3
J5,1224,CD81,211,2.5,235,8,0,0.625,0.1,3,no_lipo,2,4,4,9
H15,1225,CD81,212,2.5,235,20,0,0.625,0.1,3,no_lipo,2,4,14,7
N2,1226,CD81,213,2.5,235,20,0,0.625,0.1,3,no_lipo,2,4,1,13
O9,1227,CD81,299,5.0,85,14,0,0.0,0.1,3,no_lipo,2,4,8,14
P7,1228,CD81,300,5.0,85,14,0,0.0,0.1,3,no_lipo,2,4,6,15
A14,1229,CD81,346,2.5,85,14,0,0.0,0.1,3,no_lipo,2,4,13,0
N21,1230,CD81,347,2.5,185,14,0,0.0,0.1,3,no_lipo,2,4,20,13
A19,1231,CD81,348,2.5,185,20,0,0.0,0.1,3,no_lipo,2,4,18,0
A20,1232,CD81,89,5.0,85,8,0,0.0,0.1,3,no_lipo,2,4,19,0
E9,1233,CD81,204,2.5,85,20,0,0.0,0.1,3,no_lipo,2,4,8,4
