well_name,unique_id,rxn_id,DNA_name,DNA_conc,Liposome_name,Liposome_conc,Mg,SecYE,K,PEG,Chol_conc,Spermidine,PE_conc,plate,col,row
F8,126,36,Cat,5.0,DOPC,3,8,0.0,85,2,0,4,0,1,7,5
F5,127,37,Cat,5.0,DMPC,3,8,0.0,85,2,0,4,0,1,4,5
E2,128,38,Cat,5.0,DOPC,3,20,0.0,185,2,0,4,0,1,1,4
H8,129,39,Cat,5.0,DMPC,3,20,0.0,185,2,0,4,0,1,7,7
K9,130,40,Cat,2.5,DMPC,3,20,0.0,185,0,0,4,0,1,8,10
D12,131,41,Cat,2.5,DOPC,3,8,0.0,85,0,0,4,0,1,11,3
H11,132,42,Cat,2.5,DMPC,3,8,0.0,85,0,0,4,0,1,10,7
D15,133,43,Cat,2.5,DOPC,3,20,0.0,185,0,0,4,0,1,14,3
E17,134,44,Cat,2.5,DMPC,3,20,0.0,185,0,0,4,0,1,16,4
D6,135,45,Blank,0.0,DOPC,3,8,0.0,85,0,0,4,0,1,5,3
L21,136,46,Blank,0.0,DMPC,3,8,0.0,85,0,0,4,0,1,20,11
J11,137,47,Blank,0.0,DOPC,3,20,0.0,185,2,0,4,0,1,10,9
K17,138,48,Blank,0.0,DMPC,3,20,0.0,185,2,0,4,0,1,16,10
N15,139,49,CD63,5.0,no_lipo,3,20,0.0,185,1,0,4,0,1,14,13
E21,140,50,CD63,5.0,no_lipo,3,8,1.25,85,1,0,4,0,1,20,4
J5,141,51,CD63,5.0,no_lipo,3,14,1.25,85,2,0,4,0,1,4,9
H4,142,52,CD63,5.0,no_lipo,3,14,0.0,185,2,0,4,0,1,3,7
A19,143,53,CD63,5.0,no_lipo,3,14,0.0,185,1,0,4,0,1,18,0
F6,144,54,CD63,5.0,no_lipo,3,14,1.25,185,1,0,4,0,1,5,5
N12,145,55,CD63,5.0,no_lipo,3,20,0.0,185,0,0,4,0,1,11,13
O18,146,56,CD63,5.0,no_lipo,3,14,0.0,135,0,0,4,0,1,17,14
O10,147,57,CD63,5.0,no_lipo,3,14,0.0,85,0,0,4,0,1,9,14
D8,148,58,CD81,5.0,no_lipo,3,20,1.25,85,2,0,4,0,1,7,3
D13,149,59,CD81,5.0,no_lipo,3,8,1.25,85,1,0,4,0,1,12,3
D3,150,60,CD81,5.0,no_lipo,3,14,1.25,185,1,0,4,0,1,2,3
F3,151,61,CD81,5.0,no_lipo,3,20,1.25,185,0,0,4,0,1,2,5
C3,152,62,CD81,5.0,no_lipo,3,8,0.0,85,2,0,4,0,1,2,2
B1,153,63,CD81,5.0,no_lipo,3,8,1.25,85,0,0,4,0,1,0,1
M13,154,64,CD81,5.0,no_lipo,3,14,0.0,135,0,0,4,0,1,12,12
G7,155,65,CD81,5.0,no_lipo,3,8,1.25,185,0,0,4,0,1,6,6
F17,156,66,CD81,5.0,no_lipo,3,20,0.0,185,0,0,4,0,1,16,5
C22,157,67,CD9,5.0,no_lipo,3,20,1.25,185,1,0,4,0,1,21,2
F7,158,68,CD9,5.0,no_lipo,3,14,1.25,185,2,0,4,0,1,6,5
