well_name,unique_id,DNA_name,rxn_id,DNA_conc,Mg,SecYE,K,PEG,Spermidine,Liposome_conc,Liposome_name,day,plate,col,row
B5,0,Mol,9,2.5,8,0.0,235,0,8.0,3,DMPC--0%PE--0%Chol,1,1,4,1
D13,1,Mol,16,2.5,11,0.0,135,0,0.1,3,DOPC--15%PE--0%Chol,1,1,12,3
O21,2,Mol,25,2.5,14,0.0,135,0,1.0,3,DOPC--0%PE--0%Chol,1,1,20,14
C23,3,Mol,48,2.5,17,0.0,235,0,0.1,3,DMPC--15%PE--0%Chol,1,1,22,2
L12,4,Mol,60,2.5,17,0.625,235,0,0.1,3,DMPC--0%PE--0%Chol,1,1,11,11
N12,5,Mol,68,2.5,17,1.25,235,0,0.1,3,DMPC--15%PE--0%Chol,1,1,11,13
P6,6,Mol,71,5.0,8,0.0,135,0,4.0,3,DOPC--0%PE--0%Chol,1,1,5,15
K14,7,Mol,116,5.0,14,0.0,135,0,1.0,3,DOPC--0%PE--0%Chol,1,1,13,10
C18,8,Mol,119,5.0,14,0.0,135,0,1.0,3,DOPC--15%PE--0%Chol,1,1,17,2
A12,9,Mol,128,5.0,14,0.0,235,0,8.0,3,DMPC--15%PE--0%Chol,1,1,11,0
F12,10,Mol,150,5.0,17,0.0,185,0,1.0,3,DMPC--0%PE--0%Chol,1,1,11,5
C8,11,Mol,158,5.0,17,0.0,235,0,0.1,3,DOPC--0%PE--0%Chol,1,1,7,2
J11,12,Mol,161,5.0,17,0.0,235,0,0.1,3,DOPC--15%PE--0%Chol,1,1,10,9
F11,13,Mol,175,5.0,17,0.625,135,0,8.0,3,DMPC--15%PE--0%Chol,1,1,10,5
I14,14,Mol,176,5.0,17,0.625,185,0,0.1,3,DMPC--15%PE--0%Chol,1,1,13,8
D24,15,Mol,182,5.0,17,1.25,185,0,0.1,3,DMPC--0%PE--0%Chol,1,1,23,3
K20,16,Mol,9,2.5,8,0.0,235,0,8.0,3,DMPC--0%PE--0%Chol,1,1,19,10
J13,17,Mol,16,2.5,11,0.0,135,0,0.1,3,DOPC--15%PE--0%Chol,1,1,12,9
H12,18,Mol,25,2.5,14,0.0,135,0,1.0,3,DOPC--0%PE--0%Chol,1,1,11,7
I1,19,Mol,48,2.5,17,0.0,235,0,0.1,3,DMPC--15%PE--0%Chol,1,1,0,8
C16,20,Mol,60,2.5,17,0.625,235,0,0.1,3,DMPC--0%PE--0%Chol,1,1,15,2
G3,21,Mol,68,2.5,17,1.25,235,0,0.1,3,DMPC--15%PE--0%Chol,1,1,2,6
C21,22,Mol,71,5.0,8,0.0,135,0,4.0,3,DOPC--0%PE--0%Chol,1,1,20,2
F23,23,Mol,116,5.0,14,0.0,135,0,1.0,3,DOPC--0%PE--0%Chol,1,1,22,5
J6,24,Mol,119,5.0,14,0.0,135,0,1.0,3,DOPC--15%PE--0%Chol,1,1,5,9
B17,25,Mol,128,5.0,14,0.0,235,0,8.0,3,DMPC--15%PE--0%Chol,1,1,16,1
A15,26,Mol,150,5.0,17,0.0,185,0,1.0,3,DMPC--0%PE--0%Chol,1,1,14,0
B6,27,Mol,158,5.0,17,0.0,235,0,0.1,3,DOPC--0%PE--0%Chol,1,1,5,1
H18,28,Mol,161,5.0,17,0.0,235,0,0.1,3,DOPC--15%PE--0%Chol,1,1,17,7
L3,29,Mol,175,5.0,17,0.625,135,0,8.0,3,DMPC--15%PE--0%Chol,1,1,2,11
I5,30,Mol,176,5.0,17,0.625,185,0,0.1,3,DMPC--15%PE--0%Chol,1,1,4,8
L18,31,Mol,182,5.0,17,1.25,185,0,0.1,3,DMPC--0%PE--0%Chol,1,1,17,11
P16,32,Mol,9,2.5,8,0.0,235,0,8.0,3,DMPC--0%PE--0%Chol,1,1,15,15
H11,33,Mol,16,2.5,11,0.0,135,0,0.1,3,DOPC--15%PE--0%Chol,1,1,10,7
F18,34,Mol,25,2.5,14,0.0,135,0,1.0,3,DOPC--0%PE--0%Chol,1,1,17,5
F24,35,Mol,48,2.5,17,0.0,235,0,0.1,3,DMPC--15%PE--0%Chol,1,1,23,5
B12,36,Mol,60,2.5,17,0.625,235,0,0.1,3,DMPC--0%PE--0%Chol,1,1,11,1
F17,37,Mol,68,2.5,17,1.25,235,0,0.1,3,DMPC--15%PE--0%Chol,1,1,16,5
G6,38,Mol,71,5.0,8,0.0,135,0,4.0,3,DOPC--0%PE--0%Chol,1,1,5,6
C9,39,Mol,116,5.0,14,0.0,135,0,1.0,3,DOPC--0%PE--0%Chol,1,1,8,2
C12,40,Mol,119,5.0,14,0.0,135,0,1.0,3,DOPC--15%PE--0%Chol,1,1,11,2
I4,41,Mol,128,5.0,14,0.0,235,0,8.0,3,DMPC--15%PE--0%Chol,1,1,3,8
K19,42,Mol,150,5.0,17,0.0,185,0,1.0,3,DMPC--0%PE--0%Chol,1,1,18,10
E1,43,Mol,158,5.0,17,0.0,235,0,0.1,3,DOPC--0%PE--0%Chol,1,1,0,4
L6,44,Mol,161,5.0,17,0.0,235,0,0.1,3,DOPC--15%PE--0%Chol,1,1,5,11
A22,45,Mol,175,5.0,17,0.625,135,0,8.0,3,DMPC--15%PE--0%Chol,1,1,21,0
D23,46,Mol,176,5.0,17,0.625,185,0,0.1,3,DMPC--15%PE--0%Chol,1,1,22,3
M8,47,Mol,182,5.0,17,1.25,185,0,0.1,3,DMPC--0%PE--0%Chol,1,1,7,12
A19,48,Mol,9,2.5,8,0.0,235,0,8.0,3,DMPC--0%PE--0%Chol,1,1,18,0
M23,49,Mol,16,2.5,11,0.0,135,0,0.1,3,DOPC--15%PE--0%Chol,1,1,22,12
I15,50,Mol,25,2.5,14,0.0,135,0,1.0,3,DOPC--0%PE--0%Chol,1,1,14,8
K10,51,Mol,48,2.5,17,0.0,235,0,0.1,3,DMPC--15%PE--0%Chol,1,1,9,10
D2,52,Mol,60,2.5,17,0.625,235,0,0.1,3,DMPC--0%PE--0%Chol,1,1,1,3
M21,53,Mol,68,2.5,17,1.25,235,0,0.1,3,DMPC--15%PE--0%Chol,1,1,20,12
J18,54,Mol,71,5.0,8,0.0,135,0,4.0,3,DOPC--0%PE--0%Chol,1,1,17,9
O10,55,Mol,116,5.0,14,0.0,135,0,1.0,3,DOPC--0%PE--0%Chol,1,1,9,14
N10,56,Mol,119,5.0,14,0.0,135,0,1.0,3,DOPC--15%PE--0%Chol,1,1,9,13
J15,57,Mol,128,5.0,14,0.0,235,0,8.0,3,DMPC--15%PE--0%Chol,1,1,14,9
N7,58,Mol,150,5.0,17,0.0,185,0,1.0,3,DMPC--0%PE--0%Chol,1,1,6,13
I19,59,Mol,158,5.0,17,0.0,235,0,0.1,3,DOPC--0%PE--0%Chol,1,1,18,8
A4,60,Mol,161,5.0,17,0.0,235,0,0.1,3,DOPC--15%PE--0%Chol,1,1,3,0
M24,61,Mol,175,5.0,17,0.625,135,0,8.0,3,DMPC--15%PE--0%Chol,1,1,23,12
C2,62,Mol,176,5.0,17,0.625,185,0,0.1,3,DMPC--15%PE--0%Chol,1,1,1,2
G20,63,Mol,182,5.0,17,1.25,185,0,0.1,3,DMPC--0%PE--0%Chol,1,1,19,6
P1,64,Mol,9,2.5,8,0.0,235,0,8.0,3,no_lipo,1,1,0,15
N1,65,Mol,16,2.5,11,0.0,135,0,0.1,3,no_lipo,1,1,0,13
K21,66,Mol,25,2.5,14,0.0,135,0,1.0,3,no_lipo,1,1,20,10
G9,67,Mol,48,2.5,17,0.0,235,0,0.1,3,no_lipo,1,1,8,6
A23,68,Mol,60,2.5,17,0.625,235,0,0.1,3,no_lipo,1,1,22,0
B2,69,Mol,68,2.5,17,1.25,235,0,0.1,3,no_lipo,1,1,1,1
P17,70,Mol,71,5.0,8,0.0,135,0,4.0,3,no_lipo,1,1,16,15
J4,71,Mol,116,5.0,14,0.0,135,0,1.0,3,no_lipo,1,1,3,9
L20,72,Mol,119,5.0,14,0.0,135,0,1.0,3,no_lipo,1,1,19,11
N21,73,Mol,128,5.0,14,0.0,235,0,8.0,3,no_lipo,1,1,20,13
P11,74,Mol,150,5.0,17,0.0,185,0,1.0,3,no_lipo,1,1,10,15
D14,75,Mol,158,5.0,17,0.0,235,0,0.1,3,no_lipo,1,1,13,3
E22,76,Mol,161,5.0,17,0.0,235,0,0.1,3,no_lipo,1,1,21,4
I22,77,Mol,175,5.0,17,0.625,135,0,8.0,3,no_lipo,1,1,21,8
H23,78,Mol,176,5.0,17,0.625,185,0,0.1,3,no_lipo,1,1,22,7
D10,79,Mol,182,5.0,17,1.25,185,0,0.1,3,no_lipo,1,1,9,3
F5,80,Mol,9,2.5,8,0.0,235,0,8.0,3,no_lipo,1,1,4,5
A11,81,Mol,16,2.5,11,0.0,135,0,0.1,3,no_lipo,1,1,10,0
C14,82,Mol,25,2.5,14,0.0,135,0,1.0,3,no_lipo,1,1,13,2
N22,83,Mol,48,2.5,17,0.0,235,0,0.1,3,no_lipo,1,1,21,13
A5,84,Mol,60,2.5,17,0.625,235,0,0.1,3,no_lipo,1,1,4,0
K12,85,Mol,68,2.5,17,1.25,235,0,0.1,3,no_lipo,1,1,11,10
J1,86,Mol,71,5.0,8,0.0,135,0,4.0,3,no_lipo,1,1,0,9
L11,87,Mol,116,5.0,14,0.0,135,0,1.0,3,no_lipo,1,1,10,11
M1,88,Mol,119,5.0,14,0.0,135,0,1.0,3,no_lipo,1,1,0,12
L9,89,Mol,128,5.0,14,0.0,235,0,8.0,3,no_lipo,1,1,8,11
E7,90,Mol,150,5.0,17,0.0,185,0,1.0,3,no_lipo,1,1,6,4
A21,91,Mol,158,5.0,17,0.0,235,0,0.1,3,no_lipo,1,1,20,0
