K,Liposome_name,Mg,PEG,SecYE,Liposome_conc,DNA_name,DNA_conc,rep,well_name,plate,exp_rep,unique_id
85,DOPC,20,2,0.0,3,TFR1,5,2,A11,1,2,151
135,no_lipo,20,2,1.25,3,TFR1-TAT,5,1,A12,1,2,166
135,no_lipo,14,2,0.0,3,AqpZ,5,2,A14,1,2,196
135,no_lipo,14,2,0.0,3,TFR1-TAT,5,1,A20,1,2,286
135,DOPC,20,2,1.25,3,TFR1-TAT,5,4,A22,1,2,316
85,DOPC,20,2,0.0,3,Blank,5,2,A5,1,2,61
135,no_lipo,20,2,1.25,3,Blank,5,1,A7,1,2,91
85,DOPC,20,2,0.0,3,Blank,5,4,A8,1,2,106
85,no_lipo,20,2,0.0,3,AqpZ,5,4,A9,1,2,121
135,DOPC,20,2,1.25,3,PDGFRB2-TAT,5,2,B12,1,2,167
135,no_lipo,20,2,1.25,3,TFR1,5,2,B19,1,2,272
135,DOPC,20,2,1.25,3,AqpZ,5,3,B20,1,2,287
135,DOPC,14,2,0.0,3,AqpZ,5,1,B22,1,2,317
85,no_lipo,20,2,0.0,3,TFR1-TAT,5,3,B24,1,2,347
135,DOPC,14,2,0.0,3,AqpZ,5,4,C1,1,2,3
135,DOPC,20,2,1.25,3,Blank,5,3,C21,1,2,303
85,no_lipo,20,2,0.0,3,Blank,5,4,C22,1,2,318
135,DOPC,14,2,0.0,3,PDGFRB2-TAT,5,4,C4,1,2,48
135,no_lipo,14,2,0.0,3,PDGFRB2-TAT,5,1,C5,1,2,63
135,DOPC,20,2,1.25,3,TFR1-TAT,5,1,D10,1,2,139
85,DOPC,20,2,0.0,3,TFR1-TAT,5,4,D11,1,2,154
85,no_lipo,20,2,0.0,3,TFR1,5,3,D12,1,2,169
135,no_lipo,14,2,0.0,3,TFR1,5,1,D14,1,2,199
135,no_lipo,20,2,1.25,3,PDGFRB2-TAT,5,3,D17,1,2,244
135,DOPC,20,2,1.25,3,AqpZ,5,4,D2,1,2,19
135,DOPC,14,2,0.0,3,PDGFRB2-TAT,5,2,D21,1,2,304
85,DOPC,20,2,0.0,3,PDGFRB2-TAT,5,1,D23,1,2,334
135,no_lipo,20,2,1.25,3,Blank,5,4,D6,1,2,79
135,no_lipo,14,2,0.0,3,PDGFRB2-TAT,5,2,E1,1,2,5
135,no_lipo,14,2,0.0,3,TFR1,5,3,E14,1,2,200
85,DOPC,20,2,0.0,3,TFR1,5,4,E17,1,2,245
135,no_lipo,20,2,1.25,3,PDGFRB2-TAT,5,2,E18,1,2,260
135,no_lipo,14,2,0.0,3,Blank,5,4,E3,1,2,35
135,DOPC,20,2,1.25,3,Blank,5,4,E5,1,2,65
135,DOPC,14,2,0.0,3,TFR1-TAT,5,3,E7,1,2,95
135,no_lipo,14,2,0.0,3,AqpZ,5,1,F12,1,2,171
135,DOPC,14,2,0.0,3,AqpZ,5,2,F13,1,2,186
135,DOPC,14,2,0.0,3,Blank,5,4,F14,1,2,201
85,no_lipo,20,2,0.0,3,PDGFRB2-TAT,5,2,F18,1,2,261
135,no_lipo,20,2,1.25,3,Blank,5,2,F19,1,2,276
135,no_lipo,20,2,1.25,3,TFR1-TAT,5,2,F2,1,2,21
135,DOPC,20,2,1.25,3,PDGFRB2-TAT,5,3,F22,1,2,321
85,no_lipo,20,2,0.0,3,AqpZ,5,2,F23,1,2,336
135,no_lipo,14,2,0.0,3,AqpZ,5,3,F24,1,2,351
135,no_lipo,14,2,0.0,3,TFR1-TAT,5,2,F6,1,2,81
135,no_lipo,20,2,1.25,3,AqpZ,5,3,F7,1,2,96
135,DOPC,14,2,0.0,3,Blank,5,1,F8,1,2,111
85,no_lipo,20,2,0.0,3,TFR1-TAT,5,4,F9,1,2,126
85,DOPC,20,2,0.0,3,PDGFRB2-TAT,5,4,G14,1,2,202
135,no_lipo,20,2,1.25,3,AqpZ,5,1,G19,1,2,277
135,no_lipo,14,2,0.0,3,AqpZ,5,4,G21,1,2,307
135,no_lipo,14,2,0.0,3,PDGFRB2-TAT,5,4,G6,1,2,82
135,DOPC,20,2,1.25,3,TFR1-TAT,5,2,G9,1,2,127
85,no_lipo,20,2,0.0,3,AqpZ,5,1,H1,1,2,8
135,DOPC,14,2,0.0,3,TFR1,5,1,H10,1,2,143
85,DOPC,20,2,0.0,3,PDGFRB2-TAT,5,3,H11,1,2,158
135,DOPC,14,2,0.0,3,AqpZ,5,3,H12,1,2,173
85,DOPC,20,2,0.0,3,TFR1-TAT,5,1,H14,1,2,203
85,no_lipo,20,2,0.0,3,TFR1-TAT,5,1,H15,1,2,218
135,DOPC,20,2,1.25,3,TFR1,5,1,H18,1,2,263
85,DOPC,20,2,0.0,3,AqpZ,5,2,H19,1,2,278
135,no_lipo,14,2,0.0,3,Blank,5,2,H20,1,2,293
85,DOPC,20,2,0.0,3,TFR1-TAT,5,2,H7,1,2,98
85,no_lipo,20,2,0.0,3,Blank,5,1,I13,1,2,189
135,no_lipo,14,2,0.0,3,Blank,5,1,I14,1,2,204
85,DOPC,20,2,0.0,3,TFR1,5,3,I20,1,2,294
85,no_lipo,20,2,0.0,3,TFR1,5,1,I7,1,2,99
85,DOPC,20,2,0.0,3,Blank,5,3,J12,1,2,175
135,DOPC,20,2,1.25,3,TFR1,5,4,J24,1,2,355
135,DOPC,20,2,1.25,3,TFR1,5,2,J4,1,2,55
135,no_lipo,20,2,1.25,3,Blank,5,3,J6,1,2,85
135,DOPC,14,2,0.0,3,TFR1-TAT,5,1,K1,1,2,11
85,no_lipo,20,2,0.0,3,PDGFRB2-TAT,5,4,K15,1,2,221
135,no_lipo,20,2,1.25,3,TFR1-TAT,5,3,K16,1,2,236
135,DOPC,14,2,0.0,3,TFR1,5,2,K17,1,2,251
135,DOPC,14,2,0.0,3,Blank,5,2,K18,1,2,266
135,no_lipo,14,2,0.0,3,TFR1,5,4,K24,1,2,356
135,no_lipo,20,2,1.25,3,TFR1,5,3,K3,1,2,41
85,no_lipo,20,2,0.0,3,Blank,5,2,K6,1,2,86
85,no_lipo,20,2,0.0,3,TFR1,5,2,K7,1,2,101
