reagent,well_name,row,col,row_zero_based,col_zero_based,droplets_print
AqpZ,A9,1,9,0,8,2
AqpZ,A14,1,14,0,13,2
AqpZ,B20,2,20,1,19,2
AqpZ,B22,2,22,1,21,2
AqpZ,C1,3,1,2,0,2
AqpZ,D2,4,2,3,1,2
AqpZ,F7,6,7,5,6,2
AqpZ,F12,6,12,5,11,2
AqpZ,F13,6,13,5,12,2
AqpZ,F23,6,23,5,22,2
AqpZ,F24,6,24,5,23,2
AqpZ,G19,7,19,6,18,2
AqpZ,G21,7,21,6,20,2
AqpZ,H1,8,1,7,0,2
AqpZ,H12,8,12,7,11,2
AqpZ,H19,8,19,7,18,2
AqpZ,L12,12,12,11,11,2
AqpZ,L14,12,14,11,13,2
AqpZ,L19,12,19,11,18,2
AqpZ,M1,13,1,12,0,2
AqpZ,M19,13,19,12,18,2
AqpZ,O4,15,4,14,3,2
AqpZ,O10,15,10,14,9,2
AqpZ,O15,15,15,14,14,2
Blank,A5,1,5,0,4,2
Blank,A7,1,7,0,6,2
Blank,A8,1,8,0,7,2
Blank,C21,3,21,2,20,2
Blank,C22,3,22,2,21,2
Blank,D6,4,6,3,5,2
Blank,E3,5,3,4,2,2
Blank,E5,5,5,4,4,2
Blank,F8,6,8,5,7,2
Blank,F14,6,14,5,13,2
Blank,F19,6,19,5,18,2
Blank,H20,8,20,7,19,2
Blank,I13,9,13,8,12,2
Blank,I14,9,14,8,13,2
Blank,J6,10,6,9,5,2
Blank,J12,10,12,9,11,2
Blank,K6,11,6,10,5,2
Blank,K18,11,18,10,17,2
Blank,L8,12,8,11,7,2
Blank,L10,12,10,11,9,2
Blank,L16,12,16,11,15,2
Blank,M2,13,2,12,1,2
Blank,O13,15,13,14,12,2
Blank,O23,15,23,14,22,2
DOPC,A5,1,5,0,4,4
DOPC,A8,1,8,0,7,4
DOPC,A11,1,11,0,10,4
DOPC,A22,1,22,0,21,4
DOPC,B12,2,12,1,11,4
DOPC,B20,2,20,1,19,4
DOPC,B22,2,22,1,21,4
DOPC,C1,3,1,2,0,4
DOPC,C4,3,4,2,3,4
DOPC,C21,3,21,2,20,4
DOPC,D2,4,2,3,1,4
DOPC,D10,4,10,3,9,4
DOPC,D11,4,11,3,10,4
DOPC,D21,4,21,3,20,4
DOPC,D23,4,23,3,22,4
DOPC,E5,5,5,4,4,4
DOPC,E7,5,7,4,6,4
DOPC,E17,5,17,4,16,4
DOPC,F8,6,8,5,7,4
DOPC,F13,6,13,5,12,4
DOPC,F14,6,14,5,13,4
DOPC,F22,6,22,5,21,4
DOPC,G9,7,9,6,8,4
DOPC,G14,7,14,6,13,4
DOPC,H7,8,7,7,6,4
DOPC,H10,8,10,7,9,4
DOPC,H11,8,11,7,10,4
DOPC,H12,8,12,7,11,4
DOPC,H14,8,14,7,13,4
DOPC,H18,8,18,7,17,4
DOPC,H19,8,19,7,18,4
DOPC,I20,9,20,8,19,4
DOPC,J4,10,4,9,3,4
DOPC,J12,10,12,9,11,4
DOPC,J24,10,24,9,23,4
DOPC,K1,11,1,10,0,4
DOPC,K17,11,17,10,16,4
DOPC,K18,11,18,10,17,4
DOPC,L1,12,1,11,0,4
DOPC,L5,12,5,11,4,4
DOPC,L8,12,8,11,7,4
DOPC,L10,12,10,11,9,4
DOPC,L12,12,12,11,11,4
DOPC,L15,12,15,11,14,4
DOPC,L16,12,16,11,15,4
DOPC,L18,12,18,11,17,4
DOPC,L19,12,19,11,18,4
DOPC,L21,12,21,11,20,4
DOPC,L22,12,22,11,21,4
DOPC,M1,13,1,12,0,4
DOPC,M2,13,2,12,1,4
DOPC,M5,13,5,12,4,4
DOPC,M7,13,7,12,6,4
DOPC,M8,13,8,12,7,4
DOPC,M9,13,9,12,8,4
DOPC,M19,13,19,12,18,4
DOPC,M21,13,21,12,20,4
DOPC,N8,14,8,13,7,4
DOPC,O4,15,4,14,3,4
DOPC,O9,15,9,14,8,4
K,A7,1,7,0,6,1
K,A12,1,12,0,11,1
K,A14,1,14,0,13,1
K,A20,1,20,0,19,1
K,A22,1,22,0,21,1
K,B12,2,12,1,11,1
K,B19,2,19,1,18,1
K,B20,2,20,1,19,1
K,B22,2,22,1,21,1
K,C1,3,1,2,0,1
K,C4,3,4,2,3,1
K,C5,3,5,2,4,1
K,C21,3,21,2,20,1
K,D2,4,2,3,1,1
K,D6,4,6,3,5,1
K,D10,4,10,3,9,1
K,D14,4,14,3,13,1
K,D17,4,17,3,16,1
K,D21,4,21,3,20,1
K,E1,5,1,4,0,1
K,E3,5,3,4,2,1
K,E5,5,5,4,4,1
K,E7,5,7,4,6,1
K,E14,5,14,4,13,1
K,E18,5,18,4,17,1
K,F2,6,2,5,1,1
K,F6,6,6,5,5,1
K,F7,6,7,5,6,1
K,F8,6,8,5,7,1
K,F12,6,12,5,11,1
K,F13,6,13,5,12,1
K,F14,6,14,5,13,1
K,F19,6,19,5,18,1
K,F22,6,22,5,21,1
K,F24,6,24,5,23,1
K,G6,7,6,6,5,1
K,G9,7,9,6,8,1
K,G19,7,19,6,18,1
K,G21,7,21,6,20,1
K,H10,8,10,7,9,1
K,H12,8,12,7,11,1
K,H18,8,18,7,17,1
K,H20,8,20,7,19,1
K,I14,9,14,8,13,1
