well_name,plate,DNA_name,DNA_conc,K,Liposome_name,Liposome_conc,Mg,SecYE,WCE,Supp
A1,4,AqpZ,5.0,85.0,DMPC,3.0,12.0,0.0,BL62,S22
A10,4,Mol,5.0,85.0,DMPC,3.0,12.0,1.25,BL62,S22
A11,4,Glut,5.0,85.0,DMPC,3.0,8.0,0.0,BL62,S22
A12,4,Vol,5.0,135.0,no_lipo,0.0,12.0,1.25,BL62,S22
A13,4,Glut,5.0,85.0,DMPC,3.0,16.0,0.0,BL62,S22
A14,4,Vol,5.0,135.0,DMPC,3.0,12.0,1.25,BL62,S22
A15,4,Vol,5.0,135.0,DMPC,3.0,12.0,0.0,BL62,S22
A16,4,Vol,5.0,85.0,DMPC,3.0,20.0,0.0,BL62,S22
A17,4,Vol,5.0,135.0,no_lipo,0.0,16.0,1.25,BL62,S22
A18,4,Neu,5.0,85.0,DOPC,3.0,8.0,1.25,BL62,S22
A19,4,AqpZ,5.0,135.0,DOPC,3.0,20.0,0.0,BL62,S22
A2,4,Neu,5.0,135.0,DMPC,3.0,16.0,0.0,BL62,S22
A20,4,Vol,5.0,135.0,DOPC,3.0,16.0,0.0,BL62,S22
A21,4,AqpZ,5.0,135.0,DMPC,3.0,12.0,1.25,BL62,S22
A22,4,Neu,5.0,85.0,no_lipo,0.0,8.0,0.0,BL62,S22
A23,4,Vol,5.0,135.0,DOPC,3.0,16.0,1.25,BL62,S22
A3,4,Mol,5.0,135.0,DOPC,3.0,20.0,1.25,BL62,S22
A4,4,Vol,5.0,85.0,DMPC,3.0,20.0,1.25,BL62,S22
A5,4,Mol,5.0,135.0,DMPC,3.0,12.0,1.25,BL62,S22
A6,4,Glut,5.0,135.0,DOPC,3.0,8.0,1.25,BL62,S22
A7,4,Mol,5.0,85.0,DMPC,3.0,20.0,1.25,BL62,S22
A8,4,Vol,5.0,135.0,DOPC,3.0,20.0,1.25,BL62,S22
A9,4,Glut,5.0,85.0,no_lipo,0.0,8.0,0.0,BL62,S22
B1,4,Glut,5.0,135.0,DMPC,3.0,16.0,1.25,BL62,S22
B10,4,Glut,5.0,135.0,DOPC,3.0,12.0,0.0,BL62,S22
B11,4,Neu,5.0,85.0,no_lipo,0.0,8.0,1.25,BL62,S22
B12,4,Mol,5.0,135.0,DOPC,3.0,16.0,1.25,BL62,S22
B13,4,Vol,5.0,135.0,no_lipo,0.0,8.0,0.0,BL62,S22
B14,4,Neu,5.0,85.0,DMPC,3.0,20.0,1.25,BL62,S22
B15,4,Neu,5.0,135.0,DOPC,3.0,8.0,0.0,BL62,S22
B16,4,Glut,5.0,135.0,DOPC,3.0,20.0,0.0,BL62,S22
B17,4,Mol,5.0,85.0,no_lipo,0.0,12.0,0.0,BL62,S22
B18,4,Neu,5.0,135.0,DOPC,3.0,12.0,1.25,BL62,S22
B19,4,Glut,5.0,135.0,DOPC,3.0,16.0,1.25,BL62,S22
B2,4,Vol,5.0,135.0,no_lipo,0.0,20.0,1.25,BL62,S22
B20,4,Mol,5.0,135.0,DOPC,3.0,12.0,1.25,BL62,S22
B21,4,Glut,5.0,135.0,DOPC,3.0,8.0,1.25,BL62,S22
B22,4,Glut,5.0,135.0,DMPC,3.0,20.0,0.0,BL62,S22
B23,4,Neu,5.0,85.0,no_lipo,0.0,16.0,0.0,BL62,S22
B3,4,AqpZ,5.0,135.0,no_lipo,0.0,8.0,1.25,BL62,S22
B4,4,Neu,5.0,135.0,no_lipo,0.0,16.0,1.25,BL62,S22
B5,4,Neu,5.0,85.0,DOPC,3.0,8.0,1.25,BL62,S22
B6,4,AqpZ,5.0,85.0,no_lipo,0.0,8.0,0.0,BL62,S22
B7,4,Glut,5.0,135.0,no_lipo,0.0,12.0,0.0,BL62,S22
B8,4,Glut,5.0,135.0,DOPC,3.0,16.0,0.0,BL62,S22
B9,4,Neu,5.0,85.0,DMPC,3.0,12.0,1.25,BL62,S22
C1,4,Mol,5.0,135.0,DMPC,3.0,12.0,1.25,BL62,S22
C10,4,Glut,5.0,85.0,DMPC,3.0,8.0,0.0,BL62,S22
C11,4,Glut,5.0,135.0,no_lipo,0.0,12.0,0.0,BL62,S22
C12,4,Neu,5.0,135.0,DOPC,3.0,12.0,1.25,BL62,S22
C13,4,Glut,5.0,85.0,DMPC,3.0,12.0,1.25,BL62,S22
C14,4,Vol,5.0,135.0,DMPC,3.0,16.0,0.0,BL62,S22
C15,4,Mol,5.0,135.0,no_lipo,0.0,20.0,0.0,BL62,S22
C16,4,Neu,5.0,85.0,DMPC,3.0,20.0,0.0,BL62,S22
C17,4,Vol,5.0,135.0,DOPC,3.0,8.0,1.25,BL62,S22
C18,4,Glut,5.0,135.0,DMPC,3.0,8.0,1.25,BL62,S22
C19,4,Mol,5.0,135.0,DMPC,3.0,20.0,1.25,BL62,S22
C2,4,AqpZ,5.0,85.0,DOPC,3.0,20.0,1.25,BL62,S22
C20,4,Neu,5.0,85.0,no_lipo,0.0,20.0,1.25,BL62,S22
C21,4,Vol,5.0,135.0,DMPC,3.0,20.0,1.25,BL62,S22
C22,4,Glut,5.0,135.0,no_lipo,0.0,12.0,0.0,BL62,S22
C23,4,Glut,5.0,135.0,no_lipo,0.0,12.0,1.25,BL62,S22
C3,4,AqpZ,5.0,135.0,DOPC,3.0,12.0,1.25,BL62,S22
C4,4,AqpZ,5.0,85.0,DMPC,3.0,12.0,0.0,BL62,S22
C5,4,Neu,5.0,135.0,DMPC,3.0,8.0,0.0,BL62,S22
C6,4,AqpZ,5.0,135.0,no_lipo,0.0,12.0,1.25,BL62,S22
C7,4,Vol,5.0,135.0,DMPC,3.0,16.0,1.25,BL62,S22
C8,4,AqpZ,5.0,85.0,no_lipo,0.0,20.0,0.0,BL62,S22
C9,4,Glut,5.0,135.0,DMPC,3.0,8.0,0.0,BL62,S22
D1,4,AqpZ,5.0,135.0,no_lipo,0.0,12.0,0.0,BL62,S22
D10,4,Mol,5.0,85.0,DMPC,3.0,16.0,1.25,BL62,S22
D11,4,Mol,5.0,85.0,DOPC,3.0,20.0,0.0,BL62,S22
D12,4,Glut,5.0,135.0,DMPC,3.0,20.0,1.25,BL62,S22
D13,4,Neu,5.0,85.0,DOPC,3.0,20.0,0.0,BL62,S22
D14,4,Vol,5.0,85.0,DOPC,3.0,20.0,1.25,BL62,S22
D15,4,Neu,5.0,85.0,DOPC,3.0,8.0,0.0,BL62,S22
D16,4,Glut,5.0,135.0,DMPC,3.0,16.0,0.0,BL62,S22
D17,4,Glut,5.0,85.0,no_lipo,0.0,16.0,1.25,BL62,S22
D18,4,Neu,5.0,135.0,DOPC,3.0,16.0,1.25,BL62,S22
D19,4,Vol,5.0,135.0,DOPC,3.0,8.0,0.0,BL62,S22
D2,4,Neu,5.0,85.0,DOPC,3.0,16.0,1.25,BL62,S22
D20,4,Neu,5.0,135.0,no_lipo,0.0,16.0,0.0,BL62,S22
D21,4,Neu,5.0,135.0,no_lipo,0.0,8.0,1.25,BL62,S22
D22,4,Vol,5.0,135.0,no_lipo,0.0,12.0,1.25,BL62,S22
D23,4,Neu,5.0,135.0,no_lipo,0.0,8.0,1.25,BL62,S22
D3,4,Neu,5.0,85.0,no_lipo,0.0,12.0,0.0,BL62,S22
D4,4,Vol,5.0,85.0,DMPC,3.0,12.0,0.0,BL62,S22
D5,4,Neu,5.0,85.0,no_lipo,0.0,16.0,1.25,BL62,S22
D6,4,Neu,5.0,135.0,no_lipo,0.0,12.0,0.0,BL62,S22
D7,4,Mol,5.0,85.0,no_lipo,0.0,20.0,1.25,BL62,S22
D8,4,AqpZ,5.0,135.0,no_lipo,0.0,16.0,1.25,BL62,S22
D9,4,Neu,5.0,135.0,no_lipo,0.0,16.0,1.25,BL62,S22
E1,4,Glut,5.0,135.0,DMPC,3.0,12.0,0.0,BL62,S22
E10,4,Mol,5.0,135.0,DOPC,3.0,20.0,1.25,BL62,S22
E11,4,AqpZ,5.0,85.0,DMPC,3.0,16.0,1.25,BL62,S22
E12,4,AqpZ,5.0,85.0,DMPC,3.0,12.0,0.0,BL62,S22
E13,4,AqpZ,5.0,85.0,DMPC,3.0,12.0,0.0,BL62,S22
E14,4,Mol,5.0,85.0,DMPC,3.0,16.0,0.0,BL62,S22
E15,4,Vol,5.0,135.0,DMPC,3.0,20.0,1.25,BL62,S22
E16,4,AqpZ,5.0,85.0,DOPC,3.0,8.0,1.25,BL62,S22
