well_name,DNA_name,DNA_conc,Ffh,FtsY,Liposome_name,Liposome_conc,SecYE,combo,Mg,K
O5,SecYE-G,5.0,0.3,0.0,no_lipo,0.0,0.0,No SecYE,15,85
O6,SecYE-G,5.0,0.6,0.3,DOPC,3.0,0.0,No SecYE,15,85
O7,SecYE-G,5.0,0.0,0.0,no_lipo,0.0,0.0,No SecYE,15,85
O8,Neu,5.0,0.0,0.0,no_lipo,0.0,1.0,with SecYE,15,85
O9,MtlA,5.0,0.0,0.3,DOPC,3.0,0.5,with SecYE,15,85
P1,MtlA,5.0,0.3,0.3,DOPC,3.0,0.0,with SecYE,15,85
P10,Neu,5.0,0.3,0.0,no_lipo,0.0,0.0,with SecYE,15,85
P11,Neu,5.0,0.3,0.0,DOPC,3.0,0.0,with SecYE,15,85
P12,SecYE-G,5.0,0.6,0.0,no_lipo,0.0,0.0,No SecYE,15,85
P13,Neu,5.0,0.0,0.3,no_lipo,0.0,1.0,with SecYE,15,85
P14,SecYE-G,5.0,0.0,0.3,no_lipo,0.0,0.0,No SecYE,15,85
P15,SecYE-G,5.0,0.3,0.3,no_lipo,0.0,0.0,No SecYE,15,85
P16,SecYE-G,5.0,0.6,0.6,no_lipo,0.0,0.0,No SecYE,15,85
P17,MtlA,5.0,0.3,0.0,DOPC,3.0,0.0,with SecYE,15,85
P18,Neu,5.0,0.3,0.0,no_lipo,0.0,1.0,with SecYE,15,85
P19,MtlA,5.0,0.3,0.6,no_lipo,0.0,0.5,with SecYE,15,85
P2,Neu,5.0,0.6,0.0,no_lipo,0.0,0.5,with SecYE,15,85
P20,MtlA,5.0,0.3,0.6,DOPC,3.0,1.0,with SecYE,15,85
P21,Neu,5.0,0.6,0.0,no_lipo,0.0,0.5,with SecYE,15,85
P22,SecYE-G,5.0,0.3,0.3,DOPC,3.0,0.0,No SecYE,15,85
P23,Neu,5.0,0.6,0.0,DOPC,3.0,0.5,with SecYE,15,85
P3,Neu,5.0,0.0,0.6,no_lipo,0.0,0.0,with SecYE,15,85
P4,MtlA,5.0,0.3,0.6,DOPC,3.0,0.5,with SecYE,15,85
P5,Neu,5.0,0.0,0.3,DOPC,3.0,0.0,with SecYE,15,85
P6,SecYE-G,5.0,0.0,0.6,no_lipo,0.0,0.0,No SecYE,15,85
P7,Neu,5.0,0.0,0.0,no_lipo,0.0,0.0,with SecYE,15,85
P8,SecYE-G,5.0,0.0,0.0,no_lipo,0.0,0.0,No SecYE,15,85
P9,Neu,5.0,0.6,0.0,DOPC,3.0,0.5,with SecYE,15,85
