well_name,plate,DNA_name,DNA_conc,K,Liposome_name,Liposome_conc,Mg,SecYE,WCE,Supp
A1,2,B2AR,5.0,135.0,DOPC,3.0,16.0,1.25,BL62,S22
A10,2,Blank,0.0,135.0,DOPC,3.0,20.0,0.0,BL62,S22
A11,2,B2AR,5.0,135.0,DOPC,3.0,12.0,0.0,BL62,S22
A12,2,Mito,5.0,135.0,no_lipo,0.0,8.0,0.0,BL62,S22
A13,2,MscL,5.0,135.0,DMPC,3.0,8.0,0.0,BL62,S22
A14,2,Mito,5.0,85.0,no_lipo,0.0,16.0,1.25,BL62,S22
A15,2,Blank,0.0,135.0,DOPC,3.0,8.0,1.25,BL62,S22
A16,2,Blank,0.0,135.0,no_lipo,0.0,8.0,0.0,BL62,S22
A17,2,B2AR,5.0,135.0,DOPC,3.0,16.0,0.0,BL62,S22
A18,2,Blank,0.0,135.0,DMPC,3.0,12.0,0.0,BL62,S22
A19,2,Mito,5.0,135.0,DMPC,3.0,16.0,1.25,BL62,S22
A2,2,Mito,5.0,85.0,DMPC,3.0,20.0,1.25,BL62,S22
A20,2,Blank,0.0,135.0,DMPC,3.0,16.0,1.25,BL62,S22
A21,2,MscL,5.0,85.0,no_lipo,0.0,16.0,1.25,BL62,S22
A22,2,CD47,5.0,85.0,no_lipo,0.0,16.0,0.0,BL62,S22
A23,2,CD47,5.0,135.0,DOPC,3.0,12.0,0.0,BL62,S22
A3,2,Mito,5.0,85.0,DMPC,3.0,20.0,1.25,BL62,S22
A4,2,CD47,5.0,85.0,DMPC,3.0,16.0,0.0,BL62,S22
A5,2,Blank,0.0,85.0,DOPC,3.0,12.0,1.25,BL62,S22
A6,2,Blank,0.0,85.0,DOPC,3.0,8.0,1.25,BL62,S22
A7,2,MscL,5.0,85.0,DOPC,3.0,20.0,1.25,BL62,S22
A8,2,B2AR,5.0,85.0,DOPC,3.0,16.0,0.0,BL62,S22
A9,2,Mito,5.0,135.0,DOPC,3.0,8.0,1.25,BL62,S22
B1,2,CD47,5.0,135.0,DMPC,3.0,8.0,0.0,BL62,S22
B10,2,B2AR,5.0,85.0,no_lipo,0.0,20.0,0.0,BL62,S22
B11,2,Blank,0.0,135.0,DMPC,3.0,8.0,1.25,BL62,S22
B12,2,CD47,5.0,135.0,DOPC,3.0,20.0,1.25,BL62,S22
B13,2,Blank,0.0,85.0,DOPC,3.0,20.0,1.25,BL62,S22
B14,2,B2AR,5.0,135.0,DMPC,3.0,16.0,0.0,BL62,S22
B15,2,CD47,5.0,135.0,no_lipo,0.0,8.0,0.0,BL62,S22
B16,2,Mito,5.0,135.0,DMPC,3.0,8.0,0.0,BL62,S22
B17,2,Mito,5.0,135.0,DMPC,3.0,16.0,0.0,BL62,S22
B18,2,B2AR,5.0,85.0,DOPC,3.0,8.0,1.25,BL62,S22
B19,2,MscL,5.0,135.0,DOPC,3.0,20.0,1.25,BL62,S22
B2,2,Mito,5.0,135.0,no_lipo,0.0,16.0,0.0,BL62,S22
B20,2,Blank,0.0,85.0,no_lipo,0.0,12.0,0.0,BL62,S22
B21,2,MscL,5.0,135.0,DOPC,3.0,16.0,0.0,BL62,S22
B22,2,Mito,5.0,135.0,no_lipo,0.0,20.0,1.25,BL62,S22
B23,2,Blank,0.0,85.0,no_lipo,0.0,20.0,0.0,BL62,S22
B3,2,Blank,0.0,135.0,no_lipo,0.0,16.0,1.25,BL62,S22
B4,2,MscL,5.0,85.0,DMPC,3.0,20.0,0.0,BL62,S22
B5,2,CD47,5.0,135.0,DOPC,3.0,16.0,0.0,BL62,S22
B6,2,Mito,5.0,85.0,no_lipo,0.0,8.0,1.25,BL62,S22
B7,2,MscL,5.0,135.0,no_lipo,0.0,16.0,1.25,BL62,S22
B8,2,Mito,5.0,135.0,no_lipo,0.0,8.0,0.0,BL62,S22
B9,2,Blank,0.0,135.0,no_lipo,0.0,12.0,1.25,BL62,S22
C1,2,Blank,0.0,85.0,no_lipo,0.0,12.0,0.0,BL62,S22
C10,2,MscL,5.0,85.0,DMPC,3.0,16.0,1.25,BL62,S22
C11,2,CD47,5.0,85.0,DMPC,3.0,12.0,1.25,BL62,S22
C12,2,MscL,5.0,135.0,no_lipo,0.0,20.0,0.0,BL62,S22
C13,2,B2AR,5.0,135.0,DMPC,3.0,20.0,1.25,BL62,S22
C14,2,CD47,5.0,135.0,DOPC,3.0,20.0,0.0,BL62,S22
C15,2,B2AR,5.0,85.0,DOPC,3.0,12.0,0.0,BL62,S22
C16,2,Mito,5.0,135.0,DOPC,3.0,16.0,1.25,BL62,S22
C17,2,CD47,5.0,135.0,DMPC,3.0,16.0,0.0,BL62,S22
C18,2,B2AR,5.0,135.0,DMPC,3.0,16.0,1.25,BL62,S22
C19,2,Blank,0.0,85.0,no_lipo,0.0,12.0,1.25,BL62,S22
C2,2,MscL,5.0,85.0,DOPC,3.0,20.0,1.25,BL62,S22
C20,2,CD47,5.0,85.0,no_lipo,0.0,12.0,1.25,BL62,S22
C21,2,CD47,5.0,85.0,no_lipo,0.0,12.0,1.25,BL62,S22
C22,2,MscL,5.0,135.0,no_lipo,0.0,20.0,1.25,BL62,S22
C23,2,Mito,5.0,85.0,no_lipo,0.0,12.0,0.0,BL62,S22
C3,2,Mito,5.0,135.0,DOPC,3.0,12.0,1.25,BL62,S22
C4,2,Blank,0.0,85.0,DMPC,3.0,20.0,0.0,BL62,S22
C5,2,Blank,0.0,135.0,DOPC,3.0,16.0,1.25,BL62,S22
C6,2,Blank,0.0,85.0,no_lipo,0.0,8.0,1.25,BL62,S22
C7,2,Mito,5.0,135.0,no_lipo,0.0,16.0,1.25,BL62,S22
C8,2,MscL,5.0,85.0,no_lipo,0.0,8.0,1.25,BL62,S22
C9,2,CD47,5.0,135.0,no_lipo,0.0,20.0,1.25,BL62,S22
D1,2,MscL,5.0,85.0,DMPC,3.0,8.0,1.25,BL62,S22
D10,2,Blank,0.0,135.0,DMPC,3.0,12.0,0.0,BL62,S22
D11,2,Mito,5.0,135.0,DMPC,3.0,12.0,0.0,BL62,S22
D12,2,Blank,0.0,135.0,no_lipo,0.0,20.0,1.25,BL62,S22
D13,2,B2AR,5.0,135.0,DMPC,3.0,16.0,0.0,BL62,S22
D14,2,Blank,0.0,135.0,no_lipo,0.0,12.0,0.0,BL62,S22
D15,2,CD47,5.0,85.0,no_lipo,0.0,16.0,0.0,BL62,S22
D16,2,Blank,0.0,85.0,no_lipo,0.0,12.0,0.0,BL62,S22
D17,2,CD47,5.0,135.0,DOPC,3.0,8.0,1.25,BL62,S22
D18,2,Mito,5.0,85.0,DOPC,3.0,20.0,0.0,BL62,S22
D19,2,CD47,5.0,85.0,DOPC,3.0,16.0,1.25,BL62,S22
D2,2,MscL,5.0,135.0,no_lipo,0.0,20.0,0.0,BL62,S22
D20,2,B2AR,5.0,135.0,DOPC,3.0,16.0,1.25,BL62,S22
D21,2,Blank,0.0,85.0,DMPC,3.0,12.0,0.0,BL62,S22
D22,2,B2AR,5.0,85.0,no_lipo,0.0,8.0,0.0,BL62,S22
D23,2,MscL,5.0,135.0,DMPC,3.0,8.0,1.25,BL62,S22
D3,2,Blank,0.0,85.0,no_lipo,0.0,16.0,1.25,BL62,S22
D4,2,MscL,5.0,135.0,DMPC,3.0,12.0,1.25,BL62,S22
D5,2,B2AR,5.0,85.0,DMPC,3.0,16.0,0.0,BL62,S22
D6,2,CD47,5.0,85.0,DOPC,3.0,16.0,0.0,BL62,S22
D7,2,CD47,5.0,135.0,DOPC,3.0,16.0,1.25,BL62,S22
D8,2,B2AR,5.0,135.0,DOPC,3.0,16.0,0.0,BL62,S22
D9,2,B2AR,5.0,85.0,DOPC,3.0,20.0,1.25,BL62,S22
E1,2,CD47,5.0,85.0,DMPC,3.0,20.0,0.0,BL62,S22
E10,2,Blank,0.0,85.0,DOPC,3.0,20.0,1.25,BL62,S22
E11,2,CD47,5.0,135.0,no_lipo,0.0,8.0,0.0,BL62,S22
E12,2,Mito,5.0,135.0,DOPC,3.0,8.0,1.25,BL62,S22
E13,2,Blank,0.0,85.0,DOPC,3.0,8.0,1.25,BL62,S22
E14,2,B2AR,5.0,135.0,no_lipo,0.0,20.0,1.25,BL62,S22
E15,2,CD47,5.0,85.0,DOPC,3.0,12.0,0.0,BL62,S22
E16,2,Mito,5.0,85.0,DOPC,3.0,20.0,0.0,BL62,S22
E17,2,Mito,5.0,85.0,DOPC,3.0,8.0,1.25,BL62,S22
E18,2,B2AR,5.0,85.0,no_lipo,0.0,16.0,1.25,BL62,S22
E19,2,CD47,5.0,85.0,no_lipo,0.0,8.0,0.0,BL62,S22
E2,2,MscL,5.0,135.0,DOPC,3.0,8.0,0.0,BL62,S22
E20,2,MscL,5.0,85.0,DMPC,3.0,12.0,1.25,BL62,S22
E21,2,MscL,5.0,85.0,no_lipo,0.0,12.0,1.25,BL62,S22
E22,2,Blank,0.0,135.0,no_lipo,0.0,8.0,0.0,BL62,S22
E23,2,Blank,0.0,85.0,no_lipo,0.0,20.0,1.25,BL62,S22
E3,2,Blank,0.0,135.0,DOPC,3.0,20.0,0.0,BL62,S22
E4,2,B2AR,5.0,85.0,no_lipo,0.0,12.0,0.0,BL62,S22
E5,2,CD47,5.0,85.0,DOPC,3.0,20.0,0.0,BL62,S22
E6,2,B2AR,5.0,135.0,DMPC,3.0,8.0,0.0,BL62,S22
E7,2,CD47,5.0,135.0,no_lipo,0.0,20.0,0.0,BL62,S22
E8,2,MscL,5.0,85.0,DOPC,3.0,8.0,0.0,BL62,S22
E9,2,B2AR,5.0,135.0,DOPC,3.0,12.0,0.0,BL62,S22
F1,2,Mito,5.0,85.0,DOPC,3.0,20.0,0.0,BL62,S22
F10,2,B2AR,5.0,135.0,DOPC,3.0,12.0,0.0,BL62,S22
F11,2,MscL,5.0,135.0,DMPC,3.0,8.0,0.0,BL62,S22
F12,2,Mito,5.0,85.0,DMPC,3.0,8.0,0.0,BL62,S22
F13,2,Blank,0.0,135.0,no_lipo,0.0,12.0,0.0,BL62,S22
F14,2,CD47,5.0,135.0,DOPC,3.0,12.0,0.0,BL62,S22
F15,2,MscL,5.0,135.0,DMPC,3.0,20.0,0.0,BL62,S22
F16,2,Blank,0.0,85.0,DOPC,3.0,12.0,1.25,BL62,S22
F17,2,B2AR,5.0,85.0,no_lipo,0.0,12.0,1.25,BL62,S22
F18,2,B2AR,5.0,135.0,DMPC,3.0,12.0,0.0,BL62,S22
F19,2,Mito,5.0,85.0,no_lipo,0.0,16.0,0.0,BL62,S22
F2,2,B2AR,5.0,135.0,DOPC,3.0,8.0,1.25,BL62,S22
F20,2,CD47,5.0,85.0,no_lipo,0.0,8.0,1.25,BL62,S22
F21,2,Mito,5.0,85.0,DMPC,3.0,8.0,1.25,BL62,S22
F22,2,Mito,5.0,135.0,DOPC,3.0,16.0,0.0,BL62,S22
F23,2,MscL,5.0,85.0,no_lipo,0.0,12.0,1.25,BL62,S22
F3,2,MscL,5.0,135.0,DOPC,3.0,20.0,0.0,BL62,S22
F4,2,B2AR,5.0,85.0,no_lipo,0.0,16.0,0.0,BL62,S22
F5,2,B2AR,5.0,85.0,DOPC,3.0,8.0,0.0,BL62,S22
F6,2,B2AR,5.0,135.0,no_lipo,0.0,16.0,1.25,BL62,S22
F7,2,MscL,5.0,85.0,DMPC,3.0,16.0,0.0,BL62,S22
F8,2,Mito,5.0,85.0,DOPC,3.0,20.0,0.0,BL62,S22
F9,2,B2AR,5.0,85.0,DOPC,3.0,12.0,0.0,BL62,S22
G1,2,CD47,5.0,85.0,DOPC,3.0,20.0,1.25,BL62,S22
G10,2,MscL,5.0,135.0,DOPC,3.0,20.0,0.0,BL62,S22
G11,2,CD47,5.0,135.0,no_lipo,0.0,16.0,1.25,BL62,S22
G12,2,CD47,5.0,135.0,no_lipo,0.0,12.0,1.25,BL62,S22
G13,2,Blank,0.0,85.0,DOPC,3.0,16.0,0.0,BL62,S22
G14,2,B2AR,5.0,85.0,DOPC,3.0,16.0,1.25,BL62,S22
G15,2,MscL,5.0,135.0,no_lipo,0.0,12.0,0.0,BL62,S22
G16,2,B2AR,5.0,135.0,DMPC,3.0,16.0,1.25,BL62,S22
G17,2,Mito,5.0,85.0,DMPC,3.0,20.0,0.0,BL62,S22
G18,2,B2AR,5.0,85.0,DMPC,3.0,20.0,1.25,BL62,S22
G19,2,MscL,5.0,135.0,no_lipo,0.0,16.0,1.25,BL62,S22
G2,2,Blank,0.0,135.0,no_lipo,0.0,20.0,1.25,BL62,S22
G20,2,B2AR,5.0,135.0,DOPC,3.0,16.0,1.25,BL62,S22
G21,2,B2AR,5.0,85.0,DOPC,3.0,8.0,1.25,BL62,S22
G22,2,Mito,5.0,135.0,DMPC,3.0,16.0,0.0,BL62,S22
G23,2,Blank,0.0,135.0,DMPC,3.0,8.0,1.25,BL62,S22
G3,2,Mito,5.0,85.0,DOPC,3.0,20.0,0.0,BL62,S22
G4,2,Blank,0.0,85.0,DMPC,3.0,20.0,0.0,BL62,S22
G5,2,MscL,5.0,85.0,DMPC,3.0,20.0,0.0,BL62,S22
G6,2,Mito,5.0,85.0,DMPC,3.0,20.0,0.0,BL62,S22
G7,2,CD47,5.0,135.0,no_lipo,0.0,8.0,1.25,BL62,S22
