unique_id,rxn_id,reagent,target,Reagent_type,stock,Droplet,well_id,Column,Row,well_name
106,6,deGFP,5,DNA,83.333,2,0,0,0,A01
106,6,K,0,K,1666.667,0,0,0,0,A01
106,6,Mg,30,Mg,166.667,0,0,0,0,A01
106,6,Mg,30,Mg,500.0,2,0,0,0,A01
106,6,water,1,water,1.0,7,0,0,0,A01
106,6,wce,1,wce,1.0,22,0,0,0,A01
106,6,K,0,K,833.333,0,0,0,0,A01
123,23,deGFP,5,DNA,83.333,2,1,0,1,B01
123,23,K,50,K,833.333,0,1,0,1,B01
123,23,K,50,K,1666.667,1,1,0,1,B01
123,23,Mg,15,Mg,500.0,1,1,0,1,B01
123,23,water,1,water,1.0,7,1,0,1,B01
123,23,wce,1,wce,1.0,22,1,0,1,B01
123,23,Mg,15,Mg,166.667,0,1,0,1,B01
137,37,K,75,K,833.333,1,2,0,2,C01
137,37,K,75,K,1666.667,1,2,0,2,C01
137,37,Mg,35,Mg,166.667,1,2,0,2,C01
137,37,Mg,35,Mg,500.0,2,2,0,2,C01
137,37,water,1,water,1.0,4,2,0,2,C01
137,37,wce,1,wce,1.0,22,2,0,2,C01
137,37,deGFP,5,DNA,83.333,2,2,0,2,C01
213,13,deGFP,5,DNA,83.333,2,3,0,3,D01
213,13,K,25,K,833.333,1,3,0,3,D01
213,13,K,25,K,1666.667,0,3,0,3,D01
213,13,Mg,15,Mg,166.667,0,3,0,3,D01
213,13,wce,1,wce,1.0,22,3,0,3,D01
213,13,Mg,15,Mg,500.0,1,3,0,3,D01
213,13,water,1,water,1.0,7,3,0,3,D01
251,51,water,1,water,1.0,5,4,0,4,E01
251,51,deGFP,5,DNA,83.333,2,4,0,4,E01
251,51,K,125,K,833.333,1,4,0,4,E01
251,51,K,125,K,1666.667,2,4,0,4,E01
251,51,Mg,5,Mg,166.667,1,4,0,4,E01
251,51,Mg,5,Mg,500.0,0,4,0,4,E01
251,51,wce,1,wce,1.0,22,4,0,4,E01
68,68,deGFP,5,DNA,83.333,2,5,0,5,F01
68,68,K,150,K,833.333,0,5,0,5,F01
68,68,K,150,K,1666.667,3,5,0,5,F01
68,68,wce,1,wce,1.0,22,5,0,5,F01
68,68,water,1,water,1.0,2,5,0,5,F01
68,68,Mg,40,Mg,166.667,2,5,0,5,F01
68,68,Mg,40,Mg,500.0,2,5,0,5,F01
110,10,K,25,K,1666.667,0,6,0,6,G01
110,10,wce,1,wce,1.0,22,6,0,6,G01
110,10,water,1,water,1.0,8,6,0,6,G01
110,10,Mg,0,Mg,500.0,0,6,0,6,G01
110,10,Mg,0,Mg,166.667,0,6,0,6,G01
110,10,K,25,K,833.333,1,6,0,6,G01
