well_name,unique_id,DNA_name,rxn_id,DNA_conc,K,Mg,PEG,SecYE,Spermidine,Liposome_conc,Liposome_name,day,plate,col,row
C11,768,B3AR,90,5.0,185,8,0,0.0,0.1,3,DOPC--0%PE--0%Chol,2,3,10,2
A18,769,B3AR,301,5.0,85,8,0,0.0,0.1,3,DOPC--0%PE--8%Chol,2,3,17,0
F6,770,B3AR,302,5.0,85,14,0,0.0,0.1,3,DMPC--0%PE--8%Chol,2,3,5,5
O12,771,B3AR,303,5.0,85,14,0,0.0,8.0,3,DMPC--0%PE--8%Chol,2,3,11,14
C23,772,B3AR,304,5.0,85,14,0,1.25,0.1,3,DMPC--0%PE--8%Chol,2,3,22,2
J6,773,B3AR,305,5.0,85,17,0,0.0,1.0,3,DOPC--0%PE--8%Chol,2,3,5,9
E9,774,B3AR,306,5.0,135,20,0,0.625,0.1,3,DMPC--0%PE--8%Chol,2,3,8,4
P7,775,B3AR,307,5.0,235,8,0,0.0,0.1,3,DOPC--0%PE--8%Chol,2,3,6,15
B12,776,B3AR,349,2.5,85,14,0,0.0,8.0,3,DMPC--0%PE--8%Chol,2,3,11,1
I7,777,B3AR,350,2.5,85,14,0,0.625,0.1,3,DMPC--0%PE--8%Chol,2,3,6,8
P22,778,B3AR,351,2.5,85,14,0,1.25,8.0,3,DMPC--0%PE--8%Chol,2,3,21,15
G9,779,B3AR,352,2.5,135,20,0,0.0,0.1,3,DMPC--0%PE--8%Chol,2,3,8,6
I5,780,B3AR,353,2.5,135,20,0,0.625,8.0,3,DMPC--0%PE--8%Chol,2,3,4,8
H12,781,B3AR,354,2.5,135,20,0,1.25,0.1,3,DMPC--0%PE--8%Chol,2,3,11,7
G18,782,B3AR,355,2.5,185,8,0,0.0,0.1,3,DOPC--0%PE--8%Chol,2,3,17,6
N16,783,B3AR,356,2.5,185,17,0,0.0,1.0,3,DOPC--0%PE--8%Chol,2,3,15,13
D12,784,B3AR,90,5.0,185,8,0,0.0,0.1,3,DOPC--0%PE--0%Chol,2,3,11,3
N24,785,B3AR,301,5.0,85,8,0,0.0,0.1,3,DOPC--0%PE--8%Chol,2,3,23,13
L12,786,B3AR,302,5.0,85,14,0,0.0,0.1,3,DMPC--0%PE--8%Chol,2,3,11,11
A7,787,B3AR,303,5.0,85,14,0,0.0,8.0,3,DMPC--0%PE--8%Chol,2,3,6,0
N11,788,B3AR,304,5.0,85,14,0,1.25,0.1,3,DMPC--0%PE--8%Chol,2,3,10,13
H19,789,B3AR,305,5.0,85,17,0,0.0,1.0,3,DOPC--0%PE--8%Chol,2,3,18,7
O1,790,B3AR,306,5.0,135,20,0,0.625,0.1,3,DMPC--0%PE--8%Chol,2,3,0,14
O21,791,B3AR,307,5.0,235,8,0,0.0,0.1,3,DOPC--0%PE--8%Chol,2,3,20,14
P8,792,B3AR,349,2.5,85,14,0,0.0,8.0,3,DMPC--0%PE--8%Chol,2,3,7,15
I21,793,B3AR,350,2.5,85,14,0,0.625,0.1,3,DMPC--0%PE--8%Chol,2,3,20,8
P3,794,B3AR,351,2.5,85,14,0,1.25,8.0,3,DMPC--0%PE--8%Chol,2,3,2,15
A17,795,B3AR,352,2.5,135,20,0,0.0,0.1,3,DMPC--0%PE--8%Chol,2,3,16,0
K22,796,B3AR,353,2.5,135,20,0,0.625,8.0,3,DMPC--0%PE--8%Chol,2,3,21,10
J2,797,B3AR,354,2.5,135,20,0,1.25,0.1,3,DMPC--0%PE--8%Chol,2,3,1,9
M6,798,B3AR,355,2.5,185,8,0,0.0,0.1,3,DOPC--0%PE--8%Chol,2,3,5,12
P20,799,B3AR,356,2.5,185,17,0,0.0,1.0,3,DOPC--0%PE--8%Chol,2,3,19,15
D11,800,B3AR,90,5.0,185,8,0,0.0,0.1,3,DOPC--0%PE--0%Chol,2,3,10,3
E24,801,B3AR,301,5.0,85,8,0,0.0,0.1,3,DOPC--0%PE--8%Chol,2,3,23,4
M4,802,B3AR,302,5.0,85,14,0,0.0,0.1,3,DMPC--0%PE--8%Chol,2,3,3,12
F5,803,B3AR,303,5.0,85,14,0,0.0,8.0,3,DMPC--0%PE--8%Chol,2,3,4,5
K19,804,B3AR,304,5.0,85,14,0,1.25,0.1,3,DMPC--0%PE--8%Chol,2,3,18,10
F13,805,B3AR,305,5.0,85,17,0,0.0,1.0,3,DOPC--0%PE--8%Chol,2,3,12,5
A22,806,B3AR,306,5.0,135,20,0,0.625,0.1,3,DMPC--0%PE--8%Chol,2,3,21,0
N7,807,B3AR,307,5.0,235,8,0,0.0,0.1,3,DOPC--0%PE--8%Chol,2,3,6,13
H6,808,B3AR,349,2.5,85,14,0,0.0,8.0,3,DMPC--0%PE--8%Chol,2,3,5,7
F16,809,B3AR,350,2.5,85,14,0,0.625,0.1,3,DMPC--0%PE--8%Chol,2,3,15,5
L6,810,B3AR,351,2.5,85,14,0,1.25,8.0,3,DMPC--0%PE--8%Chol,2,3,5,11
K15,811,B3AR,352,2.5,135,20,0,0.0,0.1,3,DMPC--0%PE--8%Chol,2,3,14,10
O10,812,B3AR,353,2.5,135,20,0,0.625,8.0,3,DMPC--0%PE--8%Chol,2,3,9,14
O19,813,B3AR,354,2.5,135,20,0,1.25,0.1,3,DMPC--0%PE--8%Chol,2,3,18,14
G17,814,B3AR,355,2.5,185,8,0,0.0,0.1,3,DOPC--0%PE--8%Chol,2,3,16,6
N21,815,B3AR,356,2.5,185,17,0,0.0,1.0,3,DOPC--0%PE--8%Chol,2,3,20,13
N4,816,B3AR,90,5.0,185,8,0,0.0,0.1,3,DOPC--0%PE--0%Chol,2,3,3,13
K3,817,B3AR,301,5.0,85,8,0,0.0,0.1,3,DOPC--0%PE--8%Chol,2,3,2,10
L8,818,B3AR,302,5.0,85,14,0,0.0,0.1,3,DMPC--0%PE--8%Chol,2,3,7,11
C18,819,B3AR,303,5.0,85,14,0,0.0,8.0,3,DMPC--0%PE--8%Chol,2,3,17,2
K4,820,B3AR,304,5.0,85,14,0,1.25,0.1,3,DMPC--0%PE--8%Chol,2,3,3,10
H18,821,B3AR,305,5.0,85,17,0,0.0,1.0,3,DOPC--0%PE--8%Chol,2,3,17,7
A15,822,B3AR,306,5.0,135,20,0,0.625,0.1,3,DMPC--0%PE--8%Chol,2,3,14,0
H11,823,B3AR,307,5.0,235,8,0,0.0,0.1,3,DOPC--0%PE--8%Chol,2,3,10,7
O14,824,B3AR,349,2.5,85,14,0,0.0,8.0,3,DMPC--0%PE--8%Chol,2,3,13,14
F3,825,B3AR,350,2.5,85,14,0,0.625,0.1,3,DMPC--0%PE--8%Chol,2,3,2,5
G12,826,B3AR,351,2.5,85,14,0,1.25,8.0,3,DMPC--0%PE--8%Chol,2,3,11,6
K12,827,B3AR,352,2.5,135,20,0,0.0,0.1,3,DMPC--0%PE--8%Chol,2,3,11,10
H13,828,B3AR,353,2.5,135,20,0,0.625,8.0,3,DMPC--0%PE--8%Chol,2,3,12,7
D2,829,B3AR,354,2.5,135,20,0,1.25,0.1,3,DMPC--0%PE--8%Chol,2,3,1,3
G6,830,B3AR,355,2.5,185,8,0,0.0,0.1,3,DOPC--0%PE--8%Chol,2,3,5,6
O18,831,B3AR,356,2.5,185,17,0,0.0,1.0,3,DOPC--0%PE--8%Chol,2,3,17,14
I2,832,B3AR,90,5.0,185,8,0,0.0,0.1,3,no_lipo,2,3,1,8
F22,833,B3AR,301,5.0,85,8,0,0.0,0.1,3,no_lipo,2,3,21,5
L11,834,B3AR,302,5.0,85,14,0,0.0,0.1,3,no_lipo,2,3,10,11
L19,835,B3AR,303,5.0,85,14,0,0.0,8.0,3,no_lipo,2,3,18,11
D21,836,B3AR,304,5.0,85,14,0,1.25,0.1,3,no_lipo,2,3,20,3
K6,837,B3AR,305,5.0,85,17,0,0.0,1.0,3,no_lipo,2,3,5,10
L18,838,B3AR,306,5.0,135,20,0,0.625,0.1,3,no_lipo,2,3,17,11
G11,839,B3AR,307,5.0,235,8,0,0.0,0.1,3,no_lipo,2,3,10,6
H4,840,B3AR,349,2.5,85,14,0,0.0,8.0,3,no_lipo,2,3,3,7
G1,841,B3AR,350,2.5,85,14,0,0.625,0.1,3,no_lipo,2,3,0,6
D5,842,B3AR,351,2.5,85,14,0,1.25,8.0,3,no_lipo,2,3,4,3
M3,843,B3AR,352,2.5,135,20,0,0.0,0.1,3,no_lipo,2,3,2,12
N1,844,B3AR,353,2.5,135,20,0,0.625,8.0,3,no_lipo,2,3,0,13
N9,845,B3AR,354,2.5,135,20,0,1.25,0.1,3,no_lipo,2,3,8,13
I20,846,B3AR,355,2.5,185,8,0,0.0,0.1,3,no_lipo,2,3,19,8
O8,847,B3AR,356,2.5,185,17,0,0.0,1.0,3,no_lipo,2,3,7,14
G16,848,B3AR,90,5.0,185,8,0,0.0,0.1,3,no_lipo,2,3,15,6
F24,849,B3AR,301,5.0,85,8,0,0.0,0.1,3,no_lipo,2,3,23,5
D10,850,B3AR,302,5.0,85,14,0,0.0,0.1,3,no_lipo,2,3,9,3
I11,851,B3AR,303,5.0,85,14,0,0.0,8.0,3,no_lipo,2,3,10,8
L9,852,B3AR,304,5.0,85,14,0,1.25,0.1,3,no_lipo,2,3,8,11
L22,853,B3AR,305,5.0,85,17,0,0.0,1.0,3,no_lipo,2,3,21,11
I24,854,B3AR,306,5.0,135,20,0,0.625,0.1,3,no_lipo,2,3,23,8
A5,855,B3AR,307,5.0,235,8,0,0.0,0.1,3,no_lipo,2,3,4,0
H1,856,B3AR,349,2.5,85,14,0,0.0,8.0,3,no_lipo,2,3,0,7
J12,857,B3AR,350,2.5,85,14,0,0.625,0.1,3,no_lipo,2,3,11,9
P15,858,B3AR,351,2.5,85,14,0,1.25,8.0,3,no_lipo,2,3,14,15
K20,859,B3AR,352,2.5,135,20,0,0.0,0.1,3,no_lipo,2,3,19,10
H20,860,B3AR,353,2.5,135,20,0,0.625,8.0,3,no_lipo,2,3,19,7
N6,861,B3AR,354,2.5,135,20,0,1.25,0.1,3,no_lipo,2,3,5,13
E15,862,B3AR,355,2.5,185,8,0,0.0,0.1,3,no_lipo,2,3,14,4
G5,863,B3AR,356,2.5,185,17,0,0.0,1.0,3,no_lipo,2,3,4,6
A11,864,B3AR,90,5.0,185,8,0,0.0,0.1,3,no_lipo,2,3,10,0
M24,865,B3AR,301,5.0,85,8,0,0.0,0.1,3,no_lipo,2,3,23,12
F18,866,B3AR,302,5.0,85,14,0,0.0,0.1,3,no_lipo,2,3,17,5
E20,867,B3AR,303,5.0,85,14,0,0.0,8.0,3,no_lipo,2,3,19,4
L17,868,B3AR,304,5.0,85,14,0,1.25,0.1,3,no_lipo,2,3,16,11
K18,869,B3AR,305,5.0,85,17,0,0.0,1.0,3,no_lipo,2,3,17,10
M18,870,B3AR,306,5.0,135,20,0,0.625,0.1,3,no_lipo,2,3,17,12
N15,871,B3AR,307,5.0,235,8,0,0.0,0.1,3,no_lipo,2,3,14,13
B16,872,B3AR,349,2.5,85,14,0,0.0,8.0,3,no_lipo,2,3,15,1
E16,873,B3AR,350,2.5,85,14,0,0.625,0.1,3,no_lipo,2,3,15,4
E10,874,B3AR,351,2.5,85,14,0,1.25,8.0,3,no_lipo,2,3,9,4
L13,875,B3AR,352,2.5,135,20,0,0.0,0.1,3,no_lipo,2,3,12,11
L4,876,B3AR,353,2.5,135,20,0,0.625,8.0,3,no_lipo,2,3,3,11
P16,877,B3AR,354,2.5,135,20,0,1.25,0.1,3,no_lipo,2,3,15,15
E18,878,B3AR,355,2.5,185,8,0,0.0,0.1,3,no_lipo,2,3,17,4
O11,879,B3AR,356,2.5,185,17,0,0.0,1.0,3,no_lipo,2,3,10,14
B5,880,B3AR,90,5.0,185,8,0,0.0,0.1,3,no_lipo,2,3,4,1
E19,881,B3AR,301,5.0,85,8,0,0.0,0.1,3,no_lipo,2,3,18,4
P21,882,B3AR,302,5.0,85,14,0,0.0,0.1,3,no_lipo,2,3,20,15
D15,883,B3AR,303,5.0,85,14,0,0.0,8.0,3,no_lipo,2,3,14,3
P6,884,B3AR,304,5.0,85,14,0,1.25,0.1,3,no_lipo,2,3,5,15
C16,885,B3AR,305,5.0,85,17,0,0.0,1.0,3,no_lipo,2,3,15,2
F4,886,B3AR,306,5.0,135,20,0,0.625,0.1,3,no_lipo,2,3,3,5
I4,887,B3AR,307,5.0,235,8,0,0.0,0.1,3,no_lipo,2,3,3,8
D8,888,B3AR,349,2.5,85,14,0,0.0,8.0,3,no_lipo,2,3,7,3
N2,889,B3AR,350,2.5,85,14,0,0.625,0.1,3,no_lipo,2,3,1,13
