well_name,deGFP,K,Mg,combo
A11,5,60,20,WT47
A11,5,60,20,WT47
A11,5,60,20,WT47
A11,5,60,20,WT47
A12,5,110,15,WT47
A12,5,110,15,WT47
A12,5,110,15,WT47
A12,5,110,15,WT47
A13,5,85,10,WT47
A13,5,85,10,WT47
A13,5,85,10,WT47
A13,5,85,10,WT47
A14,5,60,20,WT48
A14,5,60,20,WT48
A14,5,60,20,WT48
A14,5,60,20,WT48
A15,5,110,15,WT48
A15,5,110,15,WT48
A15,5,110,15,WT48
A15,5,110,15,WT48
A16,5,85,10,WT48
A16,5,85,10,WT48
A16,5,85,10,WT48
A16,5,85,10,WT48
B11,5,110,10,WT47
B11,5,110,10,WT47
B11,5,110,10,WT47
B11,5,110,10,WT47
B12,5,60,25,WT47
B12,5,60,25,WT47
B12,5,60,25,WT47
B12,5,60,25,WT47
B13,5,135,20,WT47
B13,5,135,20,WT47
B13,5,135,20,WT47
B13,5,135,20,WT47
B14,5,110,10,WT48
B14,5,110,10,WT48
B14,5,110,10,WT48
B14,5,110,10,WT48
B15,5,60,25,WT48
B15,5,60,25,WT48
B15,5,60,25,WT48
B15,5,60,25,WT48
B16,5,135,20,WT48
B16,5,135,20,WT48
B16,5,135,20,WT48
B16,5,135,20,WT48
C11,5,110,10,WT47
C11,5,110,10,WT47
C11,5,110,10,WT47
C11,5,110,10,WT47
C12,5,135,15,WT47
C12,5,135,15,WT47
C12,5,135,15,WT47
C12,5,135,15,WT47
C13,5,135,20,WT47
C13,5,135,20,WT47
C13,5,135,20,WT47
C13,5,135,20,WT47
C14,5,110,10,WT48
C14,5,110,10,WT48
C14,5,110,10,WT48
C14,5,110,10,WT48
C15,5,135,15,WT48
C15,5,135,15,WT48
C15,5,135,15,WT48
C15,5,135,15,WT48
C16,5,135,20,WT48
C16,5,135,20,WT48
C16,5,135,20,WT48
C16,5,135,20,WT48
D11,5,110,20,WT47
D11,5,110,20,WT47
D11,5,110,20,WT47
D11,5,110,20,WT47
D12,5,85,10,WT47
D12,5,85,10,WT47
D12,5,85,10,WT47
D12,5,85,10,WT47
D13,5,135,15,WT47
D13,5,135,15,WT47
D13,5,135,15,WT47
D13,5,135,15,WT47
D14,5,110,20,WT48
D14,5,110,20,WT48
D14,5,110,20,WT48
D14,5,110,20,WT48
D15,5,85,10,WT48
D15,5,85,10,WT48
D15,5,85,10,WT48
D15,5,85,10,WT48
D16,5,135,15,WT48
