K,Liposome_name,Mg,PEG,SecYE,Liposome_conc,DNA_name,DNA_conc,rep,well_name,plate,exp_rep,unique_id
85,no_lipo,20,2,0.0,3,PDGFRB2-TAT,5,3,A10,1,3,136
85,DOPC,20,2,0.0,3,Blank,5,1,A13,1,3,181
85,DOPC,20,2,0.0,3,Blank,5,4,A17,1,3,241
135,no_lipo,20,2,1.25,3,PDGFRB2-TAT,5,2,A2,1,3,16
135,no_lipo,20,2,1.25,3,TFR1,5,2,A21,1,3,301
85,no_lipo,20,2,0.0,3,Blank,5,3,A24,1,3,346
135,no_lipo,14,2,0.0,3,Blank,5,4,A3,1,3,31
135,DOPC,20,2,1.25,3,TFR1-TAT,5,2,A6,1,3,76
135,no_lipo,20,2,1.25,3,TFR1-TAT,5,1,B10,1,3,137
135,no_lipo,20,2,1.25,3,Blank,5,4,B11,1,3,152
85,no_lipo,20,2,0.0,3,TFR1,5,1,B14,1,3,197
85,DOPC,20,2,0.0,3,TFR1-TAT,5,1,B16,1,3,227
85,no_lipo,20,2,0.0,3,Blank,5,2,B17,1,3,242
135,DOPC,20,2,1.25,3,TFR1-TAT,5,1,B2,1,3,17
135,DOPC,14,2,0.0,3,TFR1,5,2,B23,1,3,332
85,no_lipo,20,2,0.0,3,PDGFRB2-TAT,5,2,B6,1,3,77
135,no_lipo,20,2,1.25,3,TFR1,5,1,B9,1,3,122
135,DOPC,20,2,1.25,3,PDGFRB2-TAT,5,4,C11,1,3,153
85,DOPC,20,2,0.0,3,PDGFRB2-TAT,5,4,C12,1,3,168
135,DOPC,20,2,1.25,3,PDGFRB2-TAT,5,1,C13,1,3,183
135,DOPC,20,2,1.25,3,AqpZ,5,3,C15,1,3,213
85,no_lipo,20,2,0.0,3,TFR1-TAT,5,3,C16,1,3,228
135,DOPC,14,2,0.0,3,TFR1,5,3,C17,1,3,243
85,no_lipo,20,2,0.0,3,TFR1-TAT,5,4,C19,1,3,273
135,no_lipo,14,2,0.0,3,TFR1,5,3,C2,1,3,18
135,no_lipo,14,2,0.0,3,TFR1-TAT,5,1,C20,1,3,288
135,DOPC,14,2,0.0,3,TFR1,5,1,C8,1,3,108
85,no_lipo,20,2,0.0,3,TFR1,5,2,D1,1,3,4
135,no_lipo,20,2,1.25,3,AqpZ,5,4,D13,1,3,184
135,DOPC,14,2,0.0,3,PDGFRB2-TAT,5,2,D15,1,3,214
135,DOPC,20,2,1.25,3,TFR1,5,3,D16,1,3,229
135,DOPC,20,2,1.25,3,AqpZ,5,4,D18,1,3,259
135,no_lipo,20,2,1.25,3,AqpZ,5,3,D7,1,3,94
135,no_lipo,20,2,1.25,3,TFR1,5,4,E11,1,3,155
85,no_lipo,20,2,0.0,3,AqpZ,5,2,E12,1,3,170
85,no_lipo,20,2,0.0,3,PDGFRB2-TAT,5,1,E13,1,3,185
135,no_lipo,14,2,0.0,3,PDGFRB2-TAT,5,2,E15,1,3,215
85,DOPC,20,2,0.0,3,TFR1-TAT,5,3,E16,1,3,230
135,DOPC,14,2,0.0,3,TFR1-TAT,5,4,E19,1,3,275
135,DOPC,14,2,0.0,3,Blank,5,4,E21,1,3,305
85,no_lipo,20,2,0.0,3,TFR1-TAT,5,1,E22,1,3,320
135,DOPC,20,2,1.25,3,Blank,5,1,E23,1,3,335
85,DOPC,20,2,0.0,3,TFR1,5,1,E4,1,3,50
135,DOPC,20,2,1.25,3,Blank,5,2,E8,1,3,110
135,DOPC,14,2,0.0,3,TFR1,5,4,E9,1,3,125
135,DOPC,14,2,0.0,3,Blank,5,1,F1,1,3,6
135,no_lipo,14,2,0.0,3,TFR1,5,2,F10,1,3,141
85,no_lipo,20,2,0.0,3,Blank,5,1,F15,1,3,216
135,no_lipo,14,2,0.0,3,PDGFRB2-TAT,5,1,F16,1,3,231
135,no_lipo,20,2,1.25,3,AqpZ,5,2,F17,1,3,246
85,no_lipo,20,2,0.0,3,AqpZ,5,4,F21,1,3,306
135,no_lipo,14,2,0.0,3,AqpZ,5,4,G12,1,3,172
85,DOPC,20,2,0.0,3,Blank,5,3,G16,1,3,232
85,DOPC,20,2,0.0,3,AqpZ,5,4,G18,1,3,262
135,DOPC,20,2,1.25,3,PDGFRB2-TAT,5,3,G22,1,3,322
135,DOPC,20,2,1.25,3,TFR1-TAT,5,3,G3,1,3,37
135,DOPC,14,2,0.0,3,Blank,5,2,G5,1,3,67
135,no_lipo,20,2,1.25,3,AqpZ,5,1,H13,1,3,188
135,DOPC,14,2,0.0,3,TFR1-TAT,5,1,H17,1,3,248
135,DOPC,20,2,1.25,3,TFR1-TAT,5,4,H21,1,3,308
135,no_lipo,20,2,1.25,3,PDGFRB2-TAT,5,1,H22,1,3,323
135,no_lipo,14,2,0.0,3,AqpZ,5,2,H23,1,3,338
85,DOPC,20,2,0.0,3,PDGFRB2-TAT,5,2,H24,1,3,353
135,DOPC,14,2,0.0,3,TFR1-TAT,5,3,H3,1,3,38
135,no_lipo,14,2,0.0,3,TFR1-TAT,5,2,H6,1,3,83
135,no_lipo,20,2,1.25,3,PDGFRB2-TAT,5,4,I10,1,3,144
85,no_lipo,20,2,0.0,3,TFR1,5,4,I11,1,3,159
135,DOPC,14,2,0.0,3,PDGFRB2-TAT,5,3,I17,1,3,249
85,DOPC,20,2,0.0,3,TFR1-TAT,5,2,I18,1,3,264
135,no_lipo,14,2,0.0,3,TFR1-TAT,5,3,I19,1,3,279
135,DOPC,14,2,0.0,3,AqpZ,5,1,I21,1,3,309
135,no_lipo,14,2,0.0,3,Blank,5,2,I23,1,3,339
135,no_lipo,14,2,0.0,3,AqpZ,5,3,I5,1,3,69
135,DOPC,14,2,0.0,3,AqpZ,5,3,I6,1,3,84
135,DOPC,20,2,1.25,3,Blank,5,3,I9,1,3,129
85,DOPC,20,2,0.0,3,TFR1,5,2,J13,1,3,190
135,DOPC,20,2,1.25,3,AqpZ,5,2,J14,1,3,205
85,no_lipo,20,2,0.0,3,PDGFRB2-TAT,5,4,J15,1,3,220
135,DOPC,14,2,0.0,3,PDGFRB2-TAT,5,4,J16,1,3,235
135,DOPC,20,2,1.25,3,PDGFRB2-TAT,5,2,J18,1,3,265
85,DOPC,20,2,0.0,3,TFR1,5,4,J19,1,3,280
135,DOPC,20,2,1.25,3,TFR1,5,2,J21,1,3,310
135,no_lipo,20,2,1.25,3,TFR1-TAT,5,2,J22,1,3,325
135,no_lipo,14,2,0.0,3,PDGFRB2-TAT,5,3,J7,1,3,100
85,no_lipo,20,2,0.0,3,TFR1-TAT,5,2,J8,1,3,115
135,no_lipo,14,2,0.0,3,TFR1-TAT,5,4,J9,1,3,130
85,DOPC,20,2,0.0,3,TFR1-TAT,5,4,K10,1,3,146
135,no_lipo,14,2,0.0,3,AqpZ,5,1,K13,1,3,191
135,DOPC,20,2,1.25,3,Blank,5,4,K14,1,3,206
135,no_lipo,14,2,0.0,3,PDGFRB2-TAT,5,4,K2,1,3,26
135,DOPC,14,2,0.0,3,PDGFRB2-TAT,5,1,K21,1,3,311
135,DOPC,20,2,1.25,3,TFR1,5,1,K23,1,3,341
85,DOPC,20,2,0.0,3,TFR1,5,3,L13,1,3,192
135,no_lipo,20,2,1.25,3,TFR1-TAT,5,3,L17,1,3,252
135,no_lipo,20,2,1.25,3,Blank,5,1,L24,1,3,357
85,no_lipo,20,2,0.0,3,TFR1,5,3,L3,1,3,42
135,no_lipo,20,2,1.25,3,TFR1-TAT,5,4,L4,1,3,57
135,no_lipo,20,2,1.25,3,TFR1,5,3,L6,1,3,87
85,no_lipo,20,2,0.0,3,AqpZ,5,3,L7,1,3,102
85,no_lipo,20,2,0.0,3,Blank,5,4,M10,1,3,148
135,no_lipo,14,2,0.0,3,Blank,5,3,M14,1,3,208
135,no_lipo,20,2,1.25,3,Blank,5,2,M18,1,3,268
85,DOPC,20,2,0.0,3,AqpZ,5,3,M6,1,3,88
85,DOPC,20,2,0.0,3,AqpZ,5,2,N1,1,3,14
85,DOPC,20,2,0.0,3,AqpZ,5,1,N11,1,3,164
85,DOPC,20,2,0.0,3,Blank,5,2,N12,1,3,179
135,no_lipo,14,2,0.0,3,TFR1,5,1,N16,1,3,239
135,no_lipo,14,2,0.0,3,TFR1,5,4,N23,1,3,344
85,no_lipo,20,2,0.0,3,AqpZ,5,1,N24,1,3,359
135,DOPC,20,2,1.25,3,AqpZ,5,1,N3,1,3,44
135,DOPC,14,2,0.0,3,TFR1-TAT,5,2,N5,1,3,74
135,DOPC,20,2,1.25,3,TFR1,5,4,N7,1,3,104
135,DOPC,14,2,0.0,3,AqpZ,5,2,N9,1,3,134
135,no_lipo,20,2,1.25,3,PDGFRB2-TAT,5,3,O11,1,3,165
85,DOPC,20,2,0.0,3,PDGFRB2-TAT,5,3,O14,1,3,210
85,DOPC,20,2,0.0,3,PDGFRB2-TAT,5,1,O18,1,3,270
135,DOPC,14,2,0.0,3,Blank,5,3,O19,1,3,285
135,DOPC,14,2,0.0,3,AqpZ,5,4,O2,1,3,30
135,no_lipo,14,2,0.0,3,Blank,5,1,O3,1,3,45
135,no_lipo,20,2,1.25,3,Blank,5,3,O8,1,3,120
