reagent,well_name,row,col,row_zero_based,col_zero_based,droplets_print
AqpZ,C15,3,15,2,14,2
AqpZ,D7,4,7,3,6,2
AqpZ,D13,4,13,3,12,2
AqpZ,D18,4,18,3,17,2
AqpZ,E12,5,12,4,11,2
AqpZ,F17,6,17,5,16,2
AqpZ,F21,6,21,5,20,2
AqpZ,G12,7,12,6,11,2
AqpZ,G18,7,18,6,17,2
AqpZ,H13,8,13,7,12,2
AqpZ,H23,8,23,7,22,2
AqpZ,I5,9,5,8,4,2
AqpZ,I6,9,6,8,5,2
AqpZ,I21,9,21,8,20,2
AqpZ,J14,10,14,9,13,2
AqpZ,K13,11,13,10,12,2
AqpZ,L7,12,7,11,6,2
AqpZ,M6,13,6,12,5,2
AqpZ,N1,14,1,13,0,2
AqpZ,N3,14,3,13,2,2
AqpZ,N9,14,9,13,8,2
AqpZ,N11,14,11,13,10,2
AqpZ,N24,14,24,13,23,2
AqpZ,O2,15,2,14,1,2
Blank,A3,1,3,0,2,2
Blank,A13,1,13,0,12,2
Blank,A17,1,17,0,16,2
Blank,A24,1,24,0,23,2
Blank,B11,2,11,1,10,2
Blank,B17,2,17,1,16,2
Blank,E8,5,8,4,7,2
Blank,E21,5,21,4,20,2
Blank,E23,5,23,4,22,2
Blank,F1,6,1,5,0,2
Blank,F15,6,15,5,14,2
Blank,G5,7,5,6,4,2
Blank,G16,7,16,6,15,2
Blank,I9,9,9,8,8,2
Blank,I23,9,23,8,22,2
Blank,K14,11,14,10,13,2
Blank,L24,12,24,11,23,2
Blank,M10,13,10,12,9,2
Blank,M14,13,14,12,13,2
Blank,M18,13,18,12,17,2
Blank,N12,14,12,13,11,2
Blank,O3,15,3,14,2,2
Blank,O8,15,8,14,7,2
Blank,O19,15,19,14,18,2
DOPC,A6,1,6,0,5,4
DOPC,A13,1,13,0,12,4
DOPC,A17,1,17,0,16,4
DOPC,B2,2,2,1,1,4
DOPC,B16,2,16,1,15,4
DOPC,B23,2,23,1,22,4
DOPC,C8,3,8,2,7,4
DOPC,C11,3,11,2,10,4
