well_name,plate,exp_rep,K,SecYE,Mg,PEG,Liposome_conc,DNA_conc,Liposome_name,DNA_name,water_droplets,rep
A10,1,3,85.0,0.0,20.0,2.0,3.0,5.0,no_lipo,PDGFRB2-TAT,2,1
A13,1,3,85.0,0.0,20.0,2.0,3.0,5.0,DOPC,Blank,2,1
A17,1,3,85.0,0.0,20.0,2.0,3.0,5.0,DOPC,Blank,2,2
A2,1,3,135.0,1.25,20.0,2.0,3.0,5.0,no_lipo,PDGFRB2-TAT,0,2
A21,1,3,135.0,1.25,20.0,2.0,3.0,5.0,no_lipo,TFR1,0,1
A24,1,3,85.0,0.0,20.0,2.0,3.0,5.0,no_lipo,Blank,2,3
A3,1,3,135.0,0.0,20.0,2.0,3.0,5.0,no_lipo,Blank,2,4
A6,1,3,135.0,1.25,20.0,2.0,3.0,5.0,DOPC,TFR1-TAT,0,1
B10,1,3,135.0,1.25,20.0,2.0,3.0,5.0,no_lipo,TFR1-TAT,0,2
B11,1,3,135.0,1.25,20.0,2.0,3.0,5.0,no_lipo,Blank,0,5
B14,1,3,85.0,0.0,20.0,2.0,3.0,5.0,no_lipo,TFR1,2,2
B16,1,3,85.0,0.0,20.0,2.0,3.0,5.0,DOPC,TFR1-TAT,2,3
B17,1,3,85.0,0.0,20.0,2.0,3.0,5.0,no_lipo,Blank,2,6
B2,1,3,135.0,1.25,20.0,2.0,3.0,5.0,DOPC,TFR1-TAT,0,4
B23,1,3,135.0,0.0,20.0,2.0,3.0,5.0,DOPC,TFR1,2,3
B6,1,3,85.0,0.0,20.0,2.0,3.0,5.0,no_lipo,PDGFRB2-TAT,2,3
B9,1,3,135.0,1.25,20.0,2.0,3.0,5.0,no_lipo,TFR1,0,4
C11,1,3,135.0,1.25,20.0,2.0,3.0,5.0,DOPC,PDGFRB2-TAT,0,4
C12,1,3,85.0,0.0,20.0,2.0,3.0,5.0,DOPC,PDGFRB2-TAT,2,5
C13,1,3,135.0,1.25,20.0,2.0,3.0,5.0,DOPC,PDGFRB2-TAT,0,6
C15,1,3,135.0,1.25,20.0,2.0,3.0,5.0,DOPC,AqpZ,0,1
C16,1,3,85.0,0.0,20.0,2.0,3.0,5.0,no_lipo,TFR1-TAT,2,5
C17,1,3,135.0,0.0,20.0,2.0,3.0,5.0,DOPC,TFR1,2,5
C19,1,3,85.0,0.0,20.0,2.0,3.0,5.0,no_lipo,TFR1-TAT,2,6
C2,1,3,135.0,0.0,20.0,2.0,3.0,5.0,no_lipo,TFR1,2,6
C20,1,3,135.0,0.0,20.0,2.0,3.0,5.0,no_lipo,TFR1-TAT,2,7
C8,1,3,135.0,0.0,20.0,2.0,3.0,5.0,DOPC,TFR1,2,7
D1,1,3,85.0,0.0,20.0,2.0,3.0,5.0,no_lipo,TFR1,2,8
D13,1,3,135.0,1.25,20.0,2.0,3.0,5.0,no_lipo,AqpZ,0,2
D15,1,3,135.0,0.0,20.0,2.0,3.0,5.0,DOPC,PDGFRB2-TAT,2,7
D16,1,3,135.0,1.25,20.0,2.0,3.0,5.0,DOPC,TFR1,0,9
D18,1,3,135.0,1.25,20.0,2.0,3.0,5.0,DOPC,AqpZ,0,3
D7,1,3,135.0,1.25,20.0,2.0,3.0,5.0,no_lipo,AqpZ,0,4
E11,1,3,135.0,1.25,20.0,2.0,3.0,5.0,no_lipo,TFR1,0,10
E12,1,3,85.0,0.0,20.0,2.0,3.0,5.0,no_lipo,AqpZ,2,5
E13,1,3,85.0,0.0,20.0,2.0,3.0,5.0,no_lipo,PDGFRB2-TAT,2,8
E15,1,3,135.0,0.0,20.0,2.0,3.0,5.0,no_lipo,PDGFRB2-TAT,2,9
E16,1,3,85.0,0.0,20.0,2.0,3.0,5.0,DOPC,TFR1-TAT,2,8
E19,1,3,135.0,0.0,20.0,2.0,3.0,5.0,DOPC,TFR1-TAT,2,9
E21,1,3,135.0,0.0,20.0,2.0,3.0,5.0,DOPC,Blank,2,7
E22,1,3,85.0,0.0,20.0,2.0,3.0,5.0,no_lipo,TFR1-TAT,2,10
E23,1,3,135.0,1.25,20.0,2.0,3.0,5.0,DOPC,Blank,0,8
E4,1,3,85.0,0.0,20.0,2.0,3.0,5.0,DOPC,TFR1,2,11
E8,1,3,135.0,1.25,20.0,2.0,3.0,5.0,DOPC,Blank,0,9
E9,1,3,135.0,0.0,20.0,2.0,3.0,5.0,DOPC,TFR1,2,12
F1,1,3,135.0,0.0,20.0,2.0,3.0,5.0,DOPC,Blank,2,10
F10,1,3,135.0,0.0,20.0,2.0,3.0,5.0,no_lipo,TFR1,2,13
F15,1,3,85.0,0.0,20.0,2.0,3.0,5.0,no_lipo,Blank,2,11
F16,1,3,135.0,0.0,20.0,2.0,3.0,5.0,no_lipo,PDGFRB2-TAT,2,10
F17,1,3,135.0,1.25,20.0,2.0,3.0,5.0,no_lipo,AqpZ,0,6
F21,1,3,85.0,0.0,20.0,2.0,3.0,5.0,no_lipo,AqpZ,2,7
G12,1,3,135.0,0.0,20.0,2.0,3.0,5.0,no_lipo,AqpZ,2,8
G16,1,3,85.0,0.0,20.0,2.0,3.0,5.0,DOPC,Blank,2,12
G18,1,3,85.0,0.0,20.0,2.0,3.0,5.0,DOPC,AqpZ,2,9
G22,1,3,135.0,1.25,20.0,2.0,3.0,5.0,DOPC,PDGFRB2-TAT,0,11
G3,1,3,135.0,1.25,20.0,2.0,3.0,5.0,DOPC,TFR1-TAT,0,11
G5,1,3,135.0,0.0,20.0,2.0,3.0,5.0,DOPC,Blank,2,13
H13,1,3,135.0,1.25,20.0,2.0,3.0,5.0,no_lipo,AqpZ,0,10
H17,1,3,135.0,0.0,20.0,2.0,3.0,5.0,DOPC,TFR1-TAT,2,12
H21,1,3,135.0,1.25,20.0,2.0,3.0,5.0,DOPC,TFR1-TAT,0,13
H22,1,3,135.0,1.25,20.0,2.0,3.0,5.0,no_lipo,PDGFRB2-TAT,0,12
H23,1,3,135.0,0.0,20.0,2.0,3.0,5.0,no_lipo,AqpZ,2,11
H24,1,3,85.0,0.0,20.0,2.0,3.0,5.0,DOPC,PDGFRB2-TAT,2,13
H3,1,3,135.0,0.0,20.0,2.0,3.0,5.0,DOPC,TFR1-TAT,2,14
H6,1,3,135.0,0.0,20.0,2.0,3.0,5.0,no_lipo,TFR1-TAT,2,15
I10,1,3,135.0,1.25,20.0,2.0,3.0,5.0,no_lipo,PDGFRB2-TAT,0,14
I11,1,3,85.0,0.0,20.0,2.0,3.0,5.0,no_lipo,TFR1,2,14
I17,1,3,135.0,0.0,20.0,2.0,3.0,5.0,DOPC,PDGFRB2-TAT,2,15
I18,1,3,85.0,0.0,20.0,2.0,3.0,5.0,DOPC,TFR1-TAT,2,16
I19,1,3,135.0,0.0,20.0,2.0,3.0,5.0,no_lipo,TFR1-TAT,2,17
I21,1,3,135.0,0.0,20.0,2.0,3.0,5.0,DOPC,AqpZ,2,12
I23,1,3,135.0,0.0,20.0,2.0,3.0,5.0,no_lipo,Blank,2,14
I5,1,3,135.0,0.0,20.0,2.0,3.0,5.0,no_lipo,AqpZ,2,13
I6,1,3,135.0,0.0,20.0,2.0,3.0,5.0,DOPC,AqpZ,2,14
I9,1,3,135.0,1.25,20.0,2.0,3.0,5.0,DOPC,Blank,0,15
J13,1,3,85.0,0.0,20.0,2.0,3.0,5.0,DOPC,TFR1,2,15
J14,1,3,135.0,1.25,20.0,2.0,3.0,5.0,DOPC,AqpZ,0,15
J15,1,3,85.0,0.0,20.0,2.0,3.0,5.0,no_lipo,PDGFRB2-TAT,2,16
J16,1,3,135.0,0.0,20.0,2.0,3.0,5.0,DOPC,PDGFRB2-TAT,2,17
J18,1,3,135.0,1.25,20.0,2.0,3.0,5.0,DOPC,PDGFRB2-TAT,0,18
J19,1,3,85.0,0.0,20.0,2.0,3.0,5.0,DOPC,TFR1,2,16
J21,1,3,135.0,1.25,20.0,2.0,3.0,5.0,DOPC,TFR1,0,17
J22,1,3,135.0,1.25,20.0,2.0,3.0,5.0,no_lipo,TFR1-TAT,0,18
J7,1,3,135.0,0.0,20.0,2.0,3.0,5.0,no_lipo,PDGFRB2-TAT,2,19
J8,1,3,85.0,0.0,20.0,2.0,3.0,5.0,no_lipo,TFR1-TAT,2,19
J9,1,3,135.0,0.0,20.0,2.0,3.0,5.0,no_lipo,TFR1-TAT,2,20
K10,1,3,85.0,0.0,20.0,2.0,3.0,5.0,DOPC,TFR1-TAT,2,21
K13,1,3,135.0,0.0,20.0,2.0,3.0,5.0,no_lipo,AqpZ,2,16
K14,1,3,135.0,1.25,20.0,2.0,3.0,5.0,DOPC,Blank,0,16
K2,1,3,135.0,0.0,20.0,2.0,3.0,5.0,no_lipo,PDGFRB2-TAT,2,20
K21,1,3,135.0,0.0,20.0,2.0,3.0,5.0,DOPC,PDGFRB2-TAT,2,21
K23,1,3,135.0,1.25,20.0,2.0,3.0,5.0,DOPC,TFR1,0,18
L13,1,3,85.0,0.0,20.0,2.0,3.0,5.0,DOPC,TFR1,2,19
L17,1,3,135.0,1.25,20.0,2.0,3.0,5.0,no_lipo,TFR1-TAT,0,22
L24,1,3,135.0,1.25,20.0,2.0,3.0,5.0,no_lipo,Blank,0,17
L3,1,3,85.0,0.0,20.0,2.0,3.0,5.0,no_lipo,TFR1,2,20
L4,1,3,135.0,1.25,20.0,2.0,3.0,5.0,no_lipo,TFR1-TAT,0,23
L6,1,3,135.0,1.25,20.0,2.0,3.0,5.0,no_lipo,TFR1,0,21
L7,1,3,85.0,0.0,20.0,2.0,3.0,5.0,no_lipo,AqpZ,2,17
M10,1,3,85.0,0.0,20.0,2.0,3.0,5.0,no_lipo,Blank,2,18
M14,1,3,135.0,0.0,20.0,2.0,3.0,5.0,no_lipo,Blank,2,19
M18,1,3,135.0,1.25,20.0,2.0,3.0,5.0,no_lipo,Blank,0,20
M6,1,3,85.0,0.0,20.0,2.0,3.0,5.0,DOPC,AqpZ,2,18
N1,1,3,85.0,0.0,20.0,2.0,3.0,5.0,DOPC,AqpZ,2,19
N11,1,3,85.0,0.0,20.0,2.0,3.0,5.0,DOPC,AqpZ,2,20
N12,1,3,85.0,0.0,20.0,2.0,3.0,5.0,DOPC,Blank,2,21
N16,1,3,135.0,0.0,20.0,2.0,3.0,5.0,no_lipo,TFR1,2,22
N23,1,3,135.0,0.0,20.0,2.0,3.0,5.0,no_lipo,TFR1,2,23
