well_name,deGFP,K,Mg,combo
A1,5,135,12,BL53
A10,5,135,12,WT57-3
A11,5,135,10,WT57-3
A12,5,135,20,WT57-3
A13,5,135,12,WT57-4
A14,5,135,10,WT57-4
A15,5,135,20,WT57-4
A2,5,135,10,BL53
A3,5,135,20,BL53
A4,5,135,12,WT48
A5,5,135,10,WT48
A6,5,135,20,WT48
A7,5,135,12,WT57-2
A8,5,135,10,WT57-2
A9,5,135,20,WT57-2
B1,5,85,20,BL53
B10,5,85,20,WT57-3
B11,5,135,12,WT57-3
B12,5,135,6,WT57-3
B13,5,85,20,WT57-4
B14,5,135,12,WT57-4
B15,5,135,6,WT57-4
B2,5,135,12,BL53
B3,5,135,6,BL53
B4,5,85,20,WT48
B5,5,135,12,WT48
B6,5,135,6,WT48
B7,5,85,20,WT57-2
B8,5,135,12,WT57-2
B9,5,135,6,WT57-2
C1,5,135,10,BL53
C10,5,135,10,WT57-3
C11,5,85,10,WT57-3
C12,5,85,12,WT57-3
C13,5,135,10,WT57-4
C14,5,85,10,WT57-4
C15,5,85,12,WT57-4
C2,5,85,10,BL53
C3,5,85,12,BL53
C4,5,135,10,WT48
C5,5,85,10,WT48
C6,5,85,12,WT48
C7,5,135,10,WT57-2
C8,5,85,10,WT57-2
C9,5,85,12,WT57-2
D1,5,135,6,BL53
D10,5,135,6,WT57-3
D11,5,135,20,WT57-3
D12,5,85,6,WT57-3
D13,5,135,6,WT57-4
D14,5,135,20,WT57-4
D15,5,85,6,WT57-4
D2,5,135,20,BL53
D3,5,85,6,BL53
D4,5,135,6,WT48
D5,5,135,20,WT48
D6,5,85,6,WT48
D7,5,135,6,WT57-2
D8,5,135,20,WT57-2
D9,5,85,6,WT57-2
E1,5,135,16,BL53
E10,5,135,16,WT57-3
E11,5,85,8,WT57-3
E12,5,135,18,WT57-3
E13,5,135,16,WT57-4
E14,5,85,8,WT57-4
E15,5,135,18,WT57-4
E2,5,85,8,BL53
E3,5,135,18,BL53
E4,5,135,16,WT48
E5,5,85,8,WT48
E6,5,135,18,WT48
E7,5,135,16,WT57-2
E8,5,85,8,WT57-2
E9,5,135,18,WT57-2
F1,5,85,14,BL53
F10,5,85,14,WT57-3
F11,5,85,14,WT57-3
F12,5,135,14,WT57-3
F13,5,85,14,WT57-4
F14,5,85,14,WT57-4
F15,5,135,14,WT57-4
F2,5,85,14,BL53
F3,5,135,14,BL53
F4,5,85,14,WT48
F5,5,85,14,WT48
F6,5,135,14,WT48
F7,5,85,14,WT57-2
F8,5,85,14,WT57-2
F9,5,135,14,WT57-2
G1,5,85,12,BL53
G10,5,85,12,WT57-3
G11,5,135,8,WT57-3
G12,5,135,20,WT57-3
G13,5,85,12,WT57-4
G14,5,135,8,WT57-4
G15,5,135,20,WT57-4
G2,5,135,8,BL53
G3,5,135,20,BL53
G4,5,85,12,WT48
G5,5,135,8,WT48
G6,5,135,20,WT48
G7,5,85,12,WT57-2
G8,5,135,8,WT57-2
G9,5,135,20,WT57-2
H1,5,135,18,BL53
H10,5,135,18,WT57-3
H11,5,135,12,WT57-3
H12,5,85,6,WT57-3
H13,5,135,18,WT57-4
H14,5,135,12,WT57-4
H15,5,85,6,WT57-4
H2,5,135,12,BL53
H3,5,85,6,BL53
H4,5,135,18,WT48
H5,5,135,12,WT48
H6,5,85,6,WT48
H7,5,135,18,WT57-2
H8,5,135,12,WT57-2
H9,5,85,6,WT57-2
I1,5,85,20,BL53
I10,5,85,20,WT57-3
I11,5,135,10,WT57-3
I12,5,135,8,WT57-3
I13,5,85,20,WT57-4
I14,5,135,10,WT57-4
I15,5,135,8,WT57-4
I2,5,135,10,BL53
I3,5,135,8,BL53
I4,5,85,20,WT48
I5,5,135,10,WT48
I6,5,135,8,WT48
I7,5,85,20,WT57-2
I8,5,135,10,WT57-2
I9,5,135,8,WT57-2
J1,5,85,18,BL53
J10,5,85,18,WT57-3
J11,5,85,16,WT57-3
J12,5,135,16,WT57-3
J13,5,85,18,WT57-4
J14,5,85,16,WT57-4
J15,5,135,16,WT57-4
J2,5,85,16,BL53
J3,5,135,16,BL53
J4,5,85,18,WT48
J5,5,85,16,WT48
J6,5,135,16,WT48
J7,5,85,18,WT57-2
J8,5,85,16,WT57-2
J9,5,135,16,WT57-2
K1,5,135,16,BL53
K10,5,135,16,WT57-3
K11,5,85,16,WT57-3
K12,5,135,8,WT57-3
K13,5,135,16,WT57-4
K14,5,85,16,WT57-4
K15,5,135,8,WT57-4
K2,5,85,16,BL53
K3,5,135,8,BL53
K4,5,135,16,WT48
K5,5,85,16,WT48
K6,5,135,8,WT48
K7,5,135,16,WT57-2
K8,5,85,16,WT57-2
K9,5,135,8,WT57-2
L1,5,85,10,BL53
L10,5,85,10,WT57-3
L11,5,85,18,WT57-3
L12,5,135,14,WT57-3
L13,5,85,10,WT57-4
L14,5,85,18,WT57-4
L15,5,135,14,WT57-4
L2,5,85,18,BL53
L3,5,135,14,BL53
L4,5,85,10,WT48
L5,5,85,18,WT48
L6,5,135,14,WT48
L7,5,85,10,WT57-2
L8,5,85,18,WT57-2
L9,5,135,14,WT57-2
M1,5,135,18,BL53
M10,5,135,18,WT57-3
M11,5,85,12,WT57-3
M12,5,85,6,WT57-3
M13,5,135,18,WT57-4
M14,5,85,12,WT57-4
M15,5,85,6,WT57-4
M2,5,85,12,BL53
M3,5,85,6,BL53
M4,5,135,18,WT48
M5,5,85,12,WT48
M6,5,85,6,WT48
M7,5,135,18,WT57-2
M8,5,85,12,WT57-2
M9,5,85,6,WT57-2
N1,5,135,6,BL53
N10,5,135,6,WT57-3
N11,5,85,8,WT57-3
N12,5,85,20,WT57-3
N13,5,135,6,WT57-4
N14,5,85,8,WT57-4
N15,5,85,20,WT57-4
N2,5,85,8,BL53
N3,5,85,20,BL53
N4,5,135,6,WT48
N5,5,85,8,WT48
N6,5,85,20,WT48
N7,5,135,6,WT57-2
N8,5,85,8,WT57-2
N9,5,85,20,WT57-2
O1,5,85,10,BL53
O10,5,85,10,WT57-3
O11,5,85,18,WT57-3
O12,5,135,14,WT57-3
O13,5,85,10,WT57-4
O14,5,85,18,WT57-4
O15,5,135,14,WT57-4
O2,5,85,18,BL53
O3,5,135,14,BL53
O4,5,85,10,WT48
O5,5,85,18,WT48
O6,5,135,14,WT48
