well_name,unique_id,rxn_id,K,Liposome_name,Mg,Liposome_conc,DNA_name,DNA_conc,plate,row,col
E1,0,0,85.0,DOPC,8.0,3,ICAM,5,1,4,0
L1,1,1,85.0,DOPC,14.0,3,ICAM,5,1,11,0
I1,2,2,85.0,DOPC,20.0,3,ICAM,5,1,8,0
P4,3,3,185.0,DOPC,8.0,3,ICAM,5,1,15,3
N1,4,4,185.0,DOPC,14.0,3,ICAM,5,1,13,0
F6,5,5,185.0,DOPC,20.0,3,ICAM,5,1,5,5
A2,6,6,85.0,no_lipo,8.0,3,ICAM,5,1,0,1
O2,7,7,85.0,no_lipo,14.0,3,ICAM,5,1,14,1
I6,8,8,85.0,no_lipo,20.0,3,ICAM,5,1,8,5
E5,9,9,185.0,no_lipo,8.0,3,ICAM,5,1,4,4
D6,10,10,185.0,no_lipo,14.0,3,ICAM,5,1,3,5
J4,11,11,185.0,no_lipo,20.0,3,ICAM,5,1,9,3
F1,12,12,85.0,DOPC,8.0,3,PVR,5,1,5,0
I5,13,13,85.0,DOPC,14.0,3,PVR,5,1,8,4
K5,14,14,85.0,DOPC,20.0,3,PVR,5,1,10,4
B5,15,15,185.0,DOPC,8.0,3,PVR,5,1,1,4
H2,16,16,185.0,DOPC,14.0,3,PVR,5,1,7,1
G6,17,17,185.0,DOPC,20.0,3,PVR,5,1,6,5
G5,18,18,85.0,no_lipo,8.0,3,PVR,5,1,6,4
O6,19,19,85.0,no_lipo,14.0,3,PVR,5,1,14,5
C1,20,20,85.0,no_lipo,20.0,3,PVR,5,1,2,0
K4,21,21,185.0,no_lipo,8.0,3,PVR,5,1,10,3
D4,22,22,185.0,no_lipo,14.0,3,PVR,5,1,3,3
P1,23,23,185.0,no_lipo,20.0,3,PVR,5,1,15,0
H6,24,24,85.0,DOPC,8.0,3,Beta,5,1,7,5
F4,25,25,85.0,DOPC,14.0,3,Beta,5,1,5,3
N3,26,26,85.0,DOPC,20.0,3,Beta,5,1,13,2
H3,27,27,185.0,DOPC,8.0,3,Beta,5,1,7,2
N4,28,28,185.0,DOPC,14.0,3,Beta,5,1,13,3
E4,29,29,185.0,DOPC,20.0,3,Beta,5,1,4,3
G1,30,30,85.0,no_lipo,8.0,3,Beta,5,1,6,0
L4,31,31,85.0,no_lipo,14.0,3,Beta,5,1,11,3
I3,32,32,85.0,no_lipo,20.0,3,Beta,5,1,8,2
J2,33,33,185.0,no_lipo,8.0,3,Beta,5,1,9,1
G4,34,34,185.0,no_lipo,14.0,3,Beta,5,1,6,3
A4,35,35,185.0,no_lipo,20.0,3,Beta,5,1,0,3
A6,36,36,85.0,DOPC,8.0,3,Blank,5,1,0,5
L2,37,37,85.0,DOPC,14.0,3,Blank,5,1,11,1
L3,38,38,85.0,DOPC,20.0,3,Blank,5,1,11,2
N2,39,39,185.0,DOPC,8.0,3,Blank,5,1,13,1
H1,40,40,185.0,DOPC,14.0,3,Blank,5,1,7,0
O3,41,41,185.0,DOPC,20.0,3,Blank,5,1,14,2
P6,42,42,85.0,no_lipo,8.0,3,Blank,5,1,15,5
O1,43,43,85.0,no_lipo,14.0,3,Blank,5,1,14,0
B2,44,44,85.0,no_lipo,20.0,3,Blank,5,1,1,1
F2,45,45,185.0,no_lipo,8.0,3,Blank,5,1,5,1
K6,46,46,185.0,no_lipo,14.0,3,Blank,5,1,10,5
G2,47,47,185.0,no_lipo,20.0,3,Blank,5,1,6,1
M3,48,0,85.0,DOPC,8.0,3,ICAM,5,1,12,2
L6,49,1,85.0,DOPC,14.0,3,ICAM,5,1,11,5
O4,50,2,85.0,DOPC,20.0,3,ICAM,5,1,14,3
A1,51,3,185.0,DOPC,8.0,3,ICAM,5,1,0,0
M2,52,4,185.0,DOPC,14.0,3,ICAM,5,1,12,1
C4,53,5,185.0,DOPC,20.0,3,ICAM,5,1,2,3
F3,54,6,85.0,no_lipo,8.0,3,ICAM,5,1,5,2
B6,55,7,85.0,no_lipo,14.0,3,ICAM,5,1,1,5
K2,56,8,85.0,no_lipo,20.0,3,ICAM,5,1,10,1
K3,57,9,185.0,no_lipo,8.0,3,ICAM,5,1,10,2
C5,58,10,185.0,no_lipo,14.0,3,ICAM,5,1,2,4
A5,59,11,185.0,no_lipo,20.0,3,ICAM,5,1,0,4
B4,60,12,85.0,DOPC,8.0,3,PVR,5,1,1,3
G3,61,13,85.0,DOPC,14.0,3,PVR,5,1,6,2
M6,62,14,85.0,DOPC,20.0,3,PVR,5,1,12,5
M4,63,15,185.0,DOPC,8.0,3,PVR,5,1,12,3
F5,64,16,185.0,DOPC,14.0,3,PVR,5,1,5,4
O5,65,17,185.0,DOPC,20.0,3,PVR,5,1,14,4
J6,66,18,85.0,no_lipo,8.0,3,PVR,5,1,9,5
N5,67,19,85.0,no_lipo,14.0,3,PVR,5,1,13,4
P5,68,20,85.0,no_lipo,20.0,3,PVR,5,1,15,4
N6,69,21,185.0,no_lipo,8.0,3,PVR,5,1,13,5
J5,70,22,185.0,no_lipo,14.0,3,PVR,5,1,9,4
M1,71,23,185.0,no_lipo,20.0,3,PVR,5,1,12,0
E3,72,24,85.0,DOPC,8.0,3,Beta,5,1,4,2
M5,73,25,85.0,DOPC,14.0,3,Beta,5,1,12,4
C3,74,26,85.0,DOPC,20.0,3,Beta,5,1,2,2
C6,75,27,185.0,DOPC,8.0,3,Beta,5,1,2,5
D1,76,28,185.0,DOPC,14.0,3,Beta,5,1,3,0
K1,77,29,185.0,DOPC,20.0,3,Beta,5,1,10,0
P2,78,30,85.0,no_lipo,8.0,3,Beta,5,1,15,1
J3,79,31,85.0,no_lipo,14.0,3,Beta,5,1,9,2
A3,80,32,85.0,no_lipo,20.0,3,Beta,5,1,0,2
H4,81,33,185.0,no_lipo,8.0,3,Beta,5,1,7,3
D3,82,34,185.0,no_lipo,14.0,3,Beta,5,1,3,2
D5,83,35,185.0,no_lipo,20.0,3,Beta,5,1,3,4
D2,84,36,85.0,DOPC,8.0,3,Blank,5,1,3,1
L5,85,37,85.0,DOPC,14.0,3,Blank,5,1,11,4
C2,86,38,85.0,DOPC,20.0,3,Blank,5,1,2,1
J1,87,39,185.0,DOPC,8.0,3,Blank,5,1,9,0
H5,88,40,185.0,DOPC,14.0,3,Blank,5,1,7,4
P3,89,41,185.0,DOPC,20.0,3,Blank,5,1,15,2
B1,90,42,85.0,no_lipo,8.0,3,Blank,5,1,1,0
I2,91,43,85.0,no_lipo,14.0,3,Blank,5,1,8,1
E6,92,44,85.0,no_lipo,20.0,3,Blank,5,1,4,5
E2,93,45,185.0,no_lipo,8.0,3,Blank,5,1,4,1
B3,94,46,185.0,no_lipo,14.0,3,Blank,5,1,1,2
I4,95,47,185.0,no_lipo,20.0,3,Blank,5,1,8,3
