well_name,DNA_name,DNA_conc,Ffh,FtsY,Liposome_name,Liposome_conc,SecYE,combo,Mg,K
L6,MtlA,5.0,1.5,1.5,DOPC,3.0,1.0,Experiment,15,85
L7,AqpZ,5.0,1.5,1.5,no_lipo,0.0,0.5,Experiment,15,85
L8,MtlA,5.0,0.0,1.5,DOPC,3.0,0.0,Experiment,15,85
L9,MtlA,5.0,0.0,0.0,DOPC,3.0,1.0,Experiment,15,85
M1,MtlA,5.0,1.5,0.0,no_lipo,0.0,0.5,Experiment,15,85
M10,AqpZ,5.0,0.6,0.6,DOPC,3.0,1.0,Experiment,15,85
M11,MtlA,5.0,0.6,0.0,no_lipo,0.0,0.0,Experiment,15,85
M12,MtlA,5.0,0.6,1.5,no_lipo,0.0,0.0,Experiment,15,85
M13,AqpZ,5.0,1.5,0.6,DOPC,3.0,0.0,Experiment,15,85
M14,MtlA,5.0,1.5,0.0,DOPC,3.0,1.0,Experiment,15,85
M15,AqpZ,5.0,1.5,1.5,DOPC,3.0,0.0,Experiment,15,85
M16,AqpZ,5.0,1.5,1.5,no_lipo,0.0,1.0,Experiment,15,85
M17,MtlA,5.0,0.0,0.6,no_lipo,0.0,0.0,Experiment,15,85
M18,MtlA,5.0,0.0,0.0,DOPC,3.0,0.0,Experiment,15,85
M19,MtlA,5.0,0.0,0.0,no_lipo,0.0,0.0,Experiment,15,85
M2,AqpZ,5.0,0.6,0.6,no_lipo,0.0,1.0,Experiment,15,85
M20,AqpZ,5.0,0.0,0.6,no_lipo,0.0,1.0,Experiment,15,85
M3,AqpZ,5.0,1.5,0.6,DOPC,3.0,1.0,Experiment,15,85
M4,MtlA,5.0,0.6,1.5,DOPC,3.0,0.0,Experiment,15,85
M5,MtlA,5.0,1.5,0.0,no_lipo,0.0,0.0,Experiment,15,85
M6,MtlA,5.0,0.6,0.6,DOPC,3.0,0.0,Experiment,15,85
M7,AqpZ,5.0,0.0,0.0,DOPC,3.0,0.0,Experiment,15,85
M8,AqpZ,5.0,0.0,0.6,no_lipo,0.0,0.0,Experiment,15,85
M9,MtlA,5.0,0.6,0.0,DOPC,3.0,0.5,Experiment,15,85
N1,MtlA,5.0,0.6,1.5,no_lipo,0.0,1.0,Experiment,15,85
N10,MtlA,5.0,1.5,1.5,no_lipo,0.0,0.5,Experiment,15,85
N11,MtlA,5.0,0.6,0.6,no_lipo,0.0,0.0,Experiment,15,85
N12,MtlA,5.0,1.5,0.0,no_lipo,0.0,0.0,Experiment,15,85
N13,AqpZ,5.0,1.5,0.0,DOPC,3.0,1.0,Experiment,15,85
N14,AqpZ,5.0,0.6,1.5,no_lipo,0.0,0.0,Experiment,15,85
N15,AqpZ,5.0,0.0,1.5,no_lipo,0.0,1.0,Experiment,15,85
N16,AqpZ,5.0,1.5,0.6,no_lipo,0.0,0.5,Experiment,15,85
N17,AqpZ,5.0,0.6,0.6,no_lipo,0.0,1.0,Experiment,15,85
N18,AqpZ,5.0,0.6,0.0,no_lipo,0.0,1.0,Experiment,15,85
N19,AqpZ,5.0,0.0,1.5,no_lipo,0.0,0.5,Experiment,15,85
N2,AqpZ,5.0,0.0,1.5,no_lipo,0.0,0.5,Experiment,15,85
N20,MtlA,5.0,0.0,0.6,DOPC,3.0,1.0,Experiment,15,85
N3,MtlA,5.0,0.0,0.6,no_lipo,0.0,0.0,Experiment,15,85
N4,AqpZ,5.0,1.5,0.0,no_lipo,0.0,1.0,Experiment,15,85
N5,AqpZ,5.0,0.6,1.5,DOPC,3.0,1.0,Experiment,15,85
N6,AqpZ,5.0,0.6,1.5,DOPC,3.0,0.0,Experiment,15,85
N7,MtlA,5.0,0.6,0.0,DOPC,3.0,0.5,Experiment,15,85
N8,MtlA,5.0,0.6,0.0,DOPC,3.0,1.0,Experiment,15,85
N9,AqpZ,5.0,0.0,0.6,DOPC,3.0,0.0,Experiment,15,85
O1,AqpZ,5.0,0.0,0.6,DOPC,3.0,1.0,Experiment,15,85
O10,MtlA,5.0,0.6,1.5,no_lipo,0.0,0.0,Experiment,15,85
O11,MtlA,5.0,1.5,1.5,DOPC,3.0,0.0,Experiment,15,85
O12,MtlA,5.0,0.6,0.0,DOPC,3.0,0.0,Experiment,15,85
O13,MtlA,5.0,0.0,0.0,DOPC,3.0,0.5,Experiment,15,85
O14,AqpZ,5.0,0.0,1.5,no_lipo,0.0,0.0,Experiment,15,85
O15,MtlA,5.0,0.0,0.0,no_lipo,0.0,1.0,Experiment,15,85
O16,MtlA,5.0,1.5,0.0,DOPC,3.0,0.5,Experiment,15,85
O17,AqpZ,5.0,0.6,1.5,DOPC,3.0,1.0,Experiment,15,85
O18,MtlA,5.0,1.5,0.6,no_lipo,0.0,0.0,Experiment,15,85
O19,AqpZ,5.0,0.6,0.0,DOPC,3.0,1.0,Experiment,15,85
O2,MtlA,5.0,0.0,0.0,no_lipo,0.0,0.5,Experiment,15,85
O20,AqpZ,5.0,1.5,1.5,no_lipo,0.0,0.0,Experiment,15,85
O3,MtlA,5.0,1.5,0.0,DOPC,3.0,0.0,Experiment,15,85
O4,AqpZ,5.0,0.0,0.6,no_lipo,0.0,0.0,Experiment,15,85
O5,MtlA,5.0,1.5,0.6,no_lipo,0.0,0.0,Experiment,15,85
O6,AqpZ,5.0,0.6,0.0,DOPC,3.0,0.5,Experiment,15,85
O7,AqpZ,5.0,0.0,0.0,DOPC,3.0,0.5,Experiment,15,85
O8,MtlA,5.0,0.0,1.5,DOPC,3.0,1.0,Experiment,15,85
O9,AqpZ,5.0,0.6,0.0,DOPC,3.0,0.0,Experiment,15,85
P1,AqpZ,5.0,1.5,0.6,DOPC,3.0,0.5,Experiment,15,85
P10,AqpZ,5.0,0.0,0.6,no_lipo,0.0,1.0,Experiment,15,85
P11,MtlA,5.0,0.0,1.5,DOPC,3.0,0.5,Experiment,15,85
P12,MtlA,5.0,0.6,1.5,DOPC,3.0,0.5,Experiment,15,85
P13,AqpZ,5.0,0.0,1.5,no_lipo,0.0,0.5,Experiment,15,85
P14,AqpZ,5.0,1.5,0.0,no_lipo,0.0,0.0,Experiment,15,85
P15,AqpZ,5.0,0.6,0.6,DOPC,3.0,0.5,Experiment,15,85
P16,AqpZ,5.0,0.0,0.0,DOPC,3.0,0.0,Experiment,15,85
P17,MtlA,5.0,1.5,0.0,DOPC,3.0,1.0,Experiment,15,85
P18,MtlA,5.0,0.0,0.6,no_lipo,0.0,1.0,Experiment,15,85
P19,MtlA,5.0,1.5,0.6,no_lipo,0.0,0.5,Experiment,15,85
P2,MtlA,5.0,0.6,0.0,no_lipo,0.0,1.0,Experiment,15,85
P20,AqpZ,5.0,0.0,1.5,DOPC,3.0,0.0,Experiment,15,85
P3,AqpZ,5.0,0.6,0.6,no_lipo,0.0,0.5,Experiment,15,85
P4,MtlA,5.0,0.6,1.5,DOPC,3.0,1.0,Experiment,15,85
P5,AqpZ,5.0,0.6,0.0,no_lipo,0.0,0.5,Experiment,15,85
P6,MtlA,5.0,0.6,1.5,no_lipo,0.0,0.0,Experiment,15,85
P7,MtlA,5.0,0.0,1.5,DOPC,3.0,1.0,Experiment,15,85
P8,MtlA,5.0,1.5,0.0,DOPC,3.0,0.0,Experiment,15,85
P9,MtlA,5.0,0.6,0.6,no_lipo,0.0,1.0,Experiment,15,85
