well_name,Mg,combo,K
A1,13,BL53,85
A10,13,BL59-3,85
A11,8,BL59-3,85
A12,14,BL59-3,85
A2,8,BL53,85
A3,14,BL53,85
A4,13,BL59-1,85
A5,8,BL59-1,85
A6,14,BL59-1,85
A7,13,BL59-2,85
A8,8,BL59-2,85
A9,14,BL59-2,85
B1,15,BL53,85
B10,15,BL59-3,85
B11,16,BL59-3,85
B12,5,BL59-3,85
B2,16,BL53,85
B3,5,BL53,85
B4,15,BL59-1,85
B5,16,BL59-1,85
B6,5,BL59-1,85
B7,15,BL59-2,85
B8,16,BL59-2,85
B9,5,BL59-2,85
C1,5,BL53,85
C10,5,BL59-3,85
C11,12,BL59-3,85
C12,10,BL59-3,85
C2,12,BL53,85
C3,10,BL53,85
C4,5,BL59-1,85
C5,12,BL59-1,85
C6,10,BL59-1,85
C7,5,BL59-2,85
C8,12,BL59-2,85
C9,10,BL59-2,85
D1,9,BL53,85
D10,9,BL59-3,85
D11,15,BL59-3,85
D12,8,BL59-3,85
D2,15,BL53,85
D3,8,BL53,85
D4,9,BL59-1,85
D5,15,BL59-1,85
D6,8,BL59-1,85
D7,9,BL59-2,85
D8,15,BL59-2,85
D9,8,BL59-2,85
E1,7,BL53,85
E10,7,BL59-3,85
E11,11,BL59-3,85
E2,11,BL53,85
E4,7,BL59-1,85
E5,11,BL59-1,85
E7,7,BL59-2,85
E8,11,BL59-2,85
F1,6,BL53,85
F10,6,BL59-3,85
F11,6,BL59-3,85
F2,6,BL53,85
F4,6,BL59-1,85
F5,6,BL59-1,85
F7,6,BL59-2,85
F8,6,BL59-2,85
G1,15,BL53,85
G10,15,BL59-3,85
G11,14,BL59-3,85
G2,14,BL53,85
G4,15,BL59-1,85
G5,14,BL59-1,85
G7,15,BL59-2,85
G8,14,BL59-2,85
H1,6,BL53,85
H10,6,BL59-3,85
H11,8,BL59-3,85
H2,8,BL53,85
H4,6,BL59-1,85
H5,8,BL59-1,85
H7,6,BL59-2,85
H8,8,BL59-2,85
I1,9,BL53,85
I10,9,BL59-3,85
I11,16,BL59-3,85
I2,16,BL53,85
I4,9,BL59-1,85
I5,16,BL59-1,85
I7,9,BL59-2,85
I8,16,BL59-2,85
J1,11,BL53,85
J10,11,BL59-3,85
J11,16,BL59-3,85
J2,16,BL53,85
J4,11,BL59-1,85
J5,16,BL59-1,85
J7,11,BL59-2,85
J8,16,BL59-2,85
K1,9,BL53,85
K10,9,BL59-3,85
K11,7,BL59-3,85
K2,7,BL53,85
K4,9,BL59-1,85
K5,7,BL59-1,85
K7,9,BL59-2,85
K8,7,BL59-2,85
L1,5,BL53,85
L10,5,BL59-3,85
L11,13,BL59-3,85
L2,13,BL53,85
L4,5,BL59-1,85
L5,13,BL59-1,85
L7,5,BL59-2,85
L8,13,BL59-2,85
M1,12,BL53,85
M10,12,BL59-3,85
M11,10,BL59-3,85
M2,10,BL53,85
M4,12,BL59-1,85
M5,10,BL59-1,85
M7,12,BL59-2,85
M8,10,BL59-2,85
N1,11,BL53,85
N10,11,BL59-3,85
N11,10,BL59-3,85
N2,10,BL53,85
N4,11,BL59-1,85
N5,10,BL59-1,85
N7,11,BL59-2,85
N8,10,BL59-2,85
O1,12,BL53,85
O10,12,BL59-3,85
O11,14,BL59-3,85
O2,14,BL53,85
O4,12,BL59-1,85
O5,14,BL59-1,85
O7,12,BL59-2,85
O8,14,BL59-2,85
P1,7,BL53,85
P10,7,BL59-3,85
P11,13,BL59-3,85
P2,13,BL53,85
P4,7,BL59-1,85
P5,13,BL59-1,85
P7,7,BL59-2,85
P8,13,BL59-2,85
