well_name,deGFP,K,Mg,combo
E6,2.5,135.0,25.0,Ind-37
E7,5.0,85.0,15.0,Ind-37
E7,5.0,85.0,15.0,Ind-37
E7,5.0,85.0,15.0,Ind-37
E7,5.0,85.0,15.0,Ind-37
E8,2.5,110.0,15.0,Ind-37
E8,2.5,110.0,15.0,Ind-37
E8,2.5,110.0,15.0,Ind-37
E8,2.5,110.0,15.0,Ind-37
F1,5.0,135.0,25.0,Ind-30
F1,5.0,135.0,25.0,Ind-30
F1,5.0,135.0,25.0,Ind-30
F1,5.0,135.0,25.0,Ind-30
F2,5.0,85.0,25.0,Ind-30
F2,5.0,85.0,25.0,Ind-30
F2,5.0,85.0,25.0,Ind-30
F2,5.0,85.0,25.0,Ind-30
F3,5.0,85.0,20.0,Ind-30
F3,5.0,85.0,20.0,Ind-30
F3,5.0,85.0,20.0,Ind-30
F3,5.0,85.0,20.0,Ind-30
F4,2.5,85.0,25.0,Ind-30
F4,2.5,85.0,25.0,Ind-30
F4,2.5,85.0,25.0,Ind-30
F4,2.5,85.0,25.0,Ind-30
F5,5.0,135.0,25.0,Ind-37
F5,5.0,135.0,25.0,Ind-37
F5,5.0,135.0,25.0,Ind-37
F5,5.0,135.0,25.0,Ind-37
F6,5.0,85.0,25.0,Ind-37
F6,5.0,85.0,25.0,Ind-37
F6,5.0,85.0,25.0,Ind-37
F6,5.0,85.0,25.0,Ind-37
F7,5.0,85.0,20.0,Ind-37
F7,5.0,85.0,20.0,Ind-37
F7,5.0,85.0,20.0,Ind-37
F7,5.0,85.0,20.0,Ind-37
F8,2.5,85.0,25.0,Ind-37
F8,2.5,85.0,25.0,Ind-37
F8,2.5,85.0,25.0,Ind-37
F8,2.5,85.0,25.0,Ind-37
G1,2.5,85.0,15.0,Ind-30
G1,2.5,85.0,15.0,Ind-30
G1,2.5,85.0,15.0,Ind-30
G1,2.5,85.0,15.0,Ind-30
G2,2.5,85.0,20.0,Ind-30
G2,2.5,85.0,20.0,Ind-30
G2,2.5,85.0,20.0,Ind-30
G2,2.5,85.0,20.0,Ind-30
G3,2.5,135.0,15.0,Ind-30
G3,2.5,135.0,15.0,Ind-30
G3,2.5,135.0,15.0,Ind-30
G3,2.5,135.0,15.0,Ind-30
G5,2.5,85.0,15.0,Ind-37
G5,2.5,85.0,15.0,Ind-37
G5,2.5,85.0,15.0,Ind-37
G5,2.5,85.0,15.0,Ind-37
G6,2.5,85.0,20.0,Ind-37
