well_name,unique_id,rxn_id,K,Liposome_name,Mg,PEG,SecYE,Liposome_conc,DNA_name,DNA_conc,plate,row,col
A22,96,96,85.0,DOPC,8.0,0.0,0.0,3,CD81,5,1,0,21
M10,97,97,85.0,DOPC,8.0,1.0,1.25,3,CD81,5,1,12,9
G18,99,99,85.0,DOPC,14.0,2.0,0.0,3,CD81,5,1,6,17
O15,102,102,85.0,DMPC,8.0,0.0,1.25,3,CD81,5,1,14,14
K13,104,104,85.0,DMPC,14.0,1.0,0.0,3,CD81,5,1,10,12
H13,105,105,85.0,DMPC,14.0,2.0,1.25,3,CD81,5,1,7,12
C11,106,106,85.0,DMPC,20.0,0.0,0.0,3,CD81,5,1,2,10
J2,107,107,85.0,DMPC,20.0,1.0,1.25,3,CD81,5,1,9,1
J23,108,108,185.0,DOPC,8.0,0.0,1.25,3,CD81,5,1,9,22
M2,109,109,185.0,DOPC,8.0,2.0,0.0,3,CD81,5,1,12,1
G7,110,110,185.0,DOPC,14.0,1.0,0.0,3,CD81,5,1,6,6
L22,111,111,185.0,DOPC,14.0,2.0,1.25,3,CD81,5,1,11,21
G6,117,117,185.0,DMPC,14.0,1.0,1.25,3,CD81,5,1,6,5
D17,118,118,185.0,DMPC,20.0,0.0,1.25,3,CD81,5,1,3,16
O18,120,120,85.0,no_lipo,8.0,0.0,0.0,3,CD81,5,1,14,17
P15,121,121,85.0,no_lipo,8.0,1.0,1.25,3,CD81,5,1,15,14
J9,124,124,85.0,no_lipo,20.0,1.0,0.0,3,CD81,5,1,9,8
I14,126,126,85.0,no_lipo,8.0,0.0,1.25,3,CD81,5,1,8,13
I3,127,127,85.0,no_lipo,8.0,2.0,0.0,3,CD81,5,1,8,2
F6,128,128,85.0,no_lipo,14.0,1.0,0.0,3,CD81,5,1,5,5
P5,129,129,85.0,no_lipo,14.0,2.0,1.25,3,CD81,5,1,15,4
K11,131,131,85.0,no_lipo,20.0,1.0,1.25,3,CD81,5,1,10,10
K21,132,132,185.0,no_lipo,8.0,0.0,1.25,3,CD81,5,1,10,20
J7,138,138,185.0,no_lipo,8.0,1.0,0.0,3,CD81,5,1,9,6
A19,195,195,85.0,DOPC,14.0,2.0,0.0,3,FFAR4,5,1,0,18
H21,197,197,85.0,DOPC,20.0,2.0,1.25,3,FFAR4,5,1,7,20
J22,198,198,85.0,DMPC,8.0,0.0,1.25,3,FFAR4,5,1,9,21
B2,200,200,85.0,DMPC,14.0,1.0,0.0,3,FFAR4,5,1,1,1
C14,201,201,85.0,DMPC,14.0,2.0,1.25,3,FFAR4,5,1,2,13
B17,207,207,185.0,DOPC,14.0,2.0,1.25,3,FFAR4,5,1,1,16
D1,209,209,185.0,DOPC,20.0,1.0,1.25,3,FFAR4,5,1,3,0
O17,211,211,185.0,DMPC,8.0,2.0,1.25,3,FFAR4,5,1,14,16
B14,213,213,185.0,DMPC,14.0,1.0,1.25,3,FFAR4,5,1,1,13
L19,217,217,85.0,no_lipo,8.0,1.0,1.25,3,FFAR4,5,1,11,18
L2,218,218,85.0,no_lipo,14.0,0.0,1.25,3,FFAR4,5,1,11,1
B4,219,219,85.0,no_lipo,14.0,2.0,0.0,3,FFAR4,5,1,1,3
C6,220,220,85.0,no_lipo,20.0,1.0,0.0,3,FFAR4,5,1,2,5
N24,224,224,85.0,no_lipo,14.0,1.0,0.0,3,FFAR4,5,1,13,23
H18,227,227,85.0,no_lipo,20.0,1.0,1.25,3,FFAR4,5,1,7,17
K20,228,228,185.0,no_lipo,8.0,0.0,1.25,3,FFAR4,5,1,10,19
G13,230,230,185.0,no_lipo,14.0,1.0,0.0,3,FFAR4,5,1,6,12
P16,231,231,185.0,no_lipo,14.0,2.0,1.25,3,FFAR4,5,1,15,15
I21,232,232,185.0,no_lipo,20.0,0.0,0.0,3,FFAR4,5,1,8,20
C1,233,233,185.0,no_lipo,20.0,1.0,1.25,3,FFAR4,5,1,2,0
D7,234,234,185.0,no_lipo,8.0,1.0,0.0,3,FFAR4,5,1,3,6
I5,235,235,185.0,no_lipo,8.0,2.0,1.25,3,FFAR4,5,1,8,4
G23,237,237,185.0,no_lipo,14.0,1.0,1.25,3,FFAR4,5,1,6,22
N3,238,238,185.0,no_lipo,20.0,0.0,1.25,3,FFAR4,5,1,13,2
I10,240,240,85.0,DOPC,8.0,0.0,0.0,3,MscL,5,1,8,9
M12,241,241,85.0,DOPC,8.0,1.0,1.25,3,MscL,5,1,12,11
F15,242,242,85.0,DOPC,14.0,0.0,1.25,3,MscL,5,1,5,14
E7,245,245,85.0,DOPC,20.0,2.0,1.25,3,MscL,5,1,4,6
G11,251,251,85.0,DMPC,20.0,1.0,1.25,3,MscL,5,1,6,10
A11,252,252,185.0,DOPC,8.0,0.0,1.25,3,MscL,5,1,0,10
F22,253,253,185.0,DOPC,8.0,2.0,0.0,3,MscL,5,1,5,21
D23,255,255,185.0,DOPC,14.0,2.0,1.25,3,MscL,5,1,3,22
J10,256,256,185.0,DOPC,20.0,0.0,0.0,3,MscL,5,1,9,9
A8,257,257,185.0,DOPC,20.0,1.0,1.25,3,MscL,5,1,0,7
G8,260,260,185.0,DMPC,14.0,0.0,0.0,3,MscL,5,1,6,7
I1,261,261,185.0,DMPC,14.0,1.0,1.25,3,MscL,5,1,8,0
C19,262,262,185.0,DMPC,20.0,0.0,1.25,3,MscL,5,1,2,18
O20,263,263,185.0,DMPC,20.0,2.0,0.0,3,MscL,5,1,14,19
H5,264,264,85.0,no_lipo,8.0,0.0,0.0,3,MscL,5,1,7,4
E11,267,267,85.0,no_lipo,14.0,2.0,0.0,3,MscL,5,1,4,10
H6,270,270,85.0,no_lipo,8.0,0.0,1.25,3,MscL,5,1,7,5
A20,272,272,85.0,no_lipo,14.0,1.0,0.0,3,MscL,5,1,0,19
O10,274,274,85.0,no_lipo,20.0,0.0,0.0,3,MscL,5,1,14,9
I13,276,276,185.0,no_lipo,8.0,0.0,1.25,3,MscL,5,1,8,12
H11,277,277,185.0,no_lipo,8.0,2.0,0.0,3,MscL,5,1,7,10
C7,278,278,185.0,no_lipo,14.0,1.0,0.0,3,MscL,5,1,2,6
K9,279,279,185.0,no_lipo,14.0,2.0,1.25,3,MscL,5,1,10,8
L6,280,280,185.0,no_lipo,20.0,0.0,0.0,3,MscL,5,1,11,5
L8,282,282,185.0,no_lipo,8.0,1.0,0.0,3,MscL,5,1,11,7
C17,284,284,185.0,no_lipo,14.0,0.0,0.0,3,MscL,5,1,2,16
F23,285,285,185.0,no_lipo,14.0,1.0,1.25,3,MscL,5,1,5,22
L23,290,290,85.0,DOPC,14.0,0.0,1.25,3,OR1D2,5,1,11,22
O4,291,291,85.0,DOPC,14.0,2.0,0.0,3,OR1D2,5,1,14,3
P2,292,292,85.0,DOPC,20.0,1.0,0.0,3,OR1D2,5,1,15,1
D19,293,293,85.0,DOPC,20.0,2.0,1.25,3,OR1D2,5,1,3,18
O21,295,295,85.0,DMPC,8.0,2.0,0.0,3,OR1D2,5,1,14,20
H7,296,296,85.0,DMPC,14.0,1.0,0.0,3,OR1D2,5,1,7,6
K18,297,297,85.0,DMPC,14.0,2.0,1.25,3,OR1D2,5,1,10,17
H2,299,299,85.0,DMPC,20.0,1.0,1.25,3,OR1D2,5,1,7,1
K6,301,301,185.0,DOPC,8.0,2.0,0.0,3,OR1D2,5,1,10,5
P10,303,303,185.0,DOPC,14.0,2.0,1.25,3,OR1D2,5,1,15,9
O16,305,305,185.0,DOPC,20.0,1.0,1.25,3,OR1D2,5,1,14,15
I17,306,306,185.0,DMPC,8.0,1.0,0.0,3,OR1D2,5,1,8,16
E24,309,309,185.0,DMPC,14.0,1.0,1.25,3,OR1D2,5,1,4,23
C16,311,311,185.0,DMPC,20.0,2.0,0.0,3,OR1D2,5,1,2,15
I7,315,315,85.0,no_lipo,14.0,2.0,0.0,3,OR1D2,5,1,8,6
G16,317,317,85.0,no_lipo,20.0,2.0,1.25,3,OR1D2,5,1,6,15
D6,321,321,85.0,no_lipo,14.0,2.0,1.25,3,OR1D2,5,1,3,5
K23,324,324,185.0,no_lipo,8.0,0.0,1.25,3,OR1D2,5,1,10,22
P9,325,325,185.0,no_lipo,8.0,2.0,0.0,3,OR1D2,5,1,15,8
N8,331,331,185.0,no_lipo,8.0,2.0,1.25,3,OR1D2,5,1,13,7
D8,333,333,185.0,no_lipo,14.0,1.0,1.25,3,OR1D2,5,1,3,7
M9,335,335,185.0,no_lipo,20.0,2.0,0.0,3,OR1D2,5,1,12,8
P21,865,97,85.0,DOPC,8.0,1.0,1.25,3,CD81,5,1,15,20
G9,866,98,85.0,DOPC,14.0,0.0,1.25,3,CD81,5,1,6,8
J20,867,99,85.0,DOPC,14.0,2.0,0.0,3,CD81,5,1,9,19
L4,870,102,85.0,DMPC,8.0,0.0,1.25,3,CD81,5,1,11,3
F16,871,103,85.0,DMPC,8.0,2.0,0.0,3,CD81,5,1,5,15
