well_name,unique_id,rxn_id,DNA_name,DNA_conc,K,Mg,PEG,SecYE,Liposome_name,Liposome_conc,day,plate,col,row
J22,0,0,Aux,5,85,8,0,0.625,DMPC,3,1,1,21,9
A2,1,1,Aux,5,85,8,1,0.0,DMPC,3,1,1,1,0
D20,2,2,Aux,5,85,8,1,0.625,DMPC,3,1,1,19,3
M23,3,3,Aux,5,85,11,1,0.0,DMPC,3,1,1,22,12
H13,4,4,Aux,5,85,11,1,0.625,DMPC,3,1,1,12,7
B20,5,5,Aux,5,235,11,0,0.625,DMPC,3,1,1,19,1
I18,6,6,Aux,5,235,14,0,0.625,DMPC,3,1,1,17,8
D21,7,7,B3AR,5,85,14,1,0.0,DMPC,3,1,1,20,3
G18,8,8,B3AR,5,135,17,2,0.0,DOPC,3,1,1,17,6
K14,9,9,B3AR,5,135,20,2,0.0,DOPC,3,1,1,13,10
J5,10,10,B3AR,5,135,23,2,0.625,DOPC,3,1,1,4,9
A15,11,11,B3AR,5,185,8,0,1.25,DOPC,3,1,1,14,0
P17,12,12,B3AR,5,185,23,2,0.0,DOPC,3,1,1,16,15
P12,13,13,B3AR,5,235,8,0,1.25,DOPC,3,1,1,11,15
N15,14,14,Beta,5,85,8,0,0.625,DOPC,3,1,1,14,13
B16,15,15,Beta,5,185,8,0,1.25,DMPC,3,1,1,15,1
F3,16,16,Beta,5,185,14,1,0.0,DOPC,3,1,1,2,5
H4,17,17,Beta,5,185,17,1,0.0,DOPC,3,1,1,3,7
G24,18,18,Beta,5,185,20,0,0.625,DOPC,3,1,1,23,6
G17,19,19,Beta,5,185,20,1,0.0,DOPC,3,1,1,16,6
I4,20,20,Beta,5,185,23,0,0.625,DOPC,3,1,1,3,8
D8,21,21,CRCM,5,85,14,2,0.0,DOPC,3,1,1,7,3
P1,22,22,CRCM,5,85,17,2,0.625,DOPC,3,1,1,0,15
I3,23,23,CRCM,5,185,14,0,0.0,DMPC,3,1,1,2,8
N12,24,24,CRCM,5,185,17,0,0.625,DMPC,3,1,1,11,13
G14,25,25,CRCM,5,185,20,0,0.625,DMPC,3,1,1,13,6
M21,26,26,CRCM,5,185,20,0,1.25,DMPC,3,1,1,20,12
G7,27,27,CRCM,5,235,23,0,1.25,DMPC,3,1,1,6,6
N19,28,28,CaM,5,85,17,1,0.0,DOPC,3,1,1,18,13
I2,29,29,CaM,5,85,20,1,0.0,DOPC,3,1,1,1,8
J13,30,30,CaM,5,185,14,2,0.0,DMPC,3,1,1,12,9
E15,31,31,CaM,5,185,20,0,0.0,DMPC,3,1,1,14,4
M22,32,32,CaM,5,185,23,0,0.0,DMPC,3,1,1,21,12
B21,33,33,CaM,5,235,14,2,0.0,DMPC,3,1,1,20,1
B6,34,34,CaM,5,235,23,0,0.0,DMPC,3,1,1,5,1
I22,35,35,Glut,5,85,20,1,1.25,DMPC,3,1,1,21,8
K21,36,36,Glut,5,85,23,1,1.25,DOPC,3,1,1,20,10
C14,37,37,Glut,5,135,8,0,0.0,DMPC,3,1,1,13,2
G9,38,38,Glut,5,135,20,0,0.0,DMPC,3,1,1,8,6
P19,39,39,Glut,5,185,20,0,0.0,DMPC,3,1,1,18,15
P2,40,40,Glut,5,185,23,0,0.0,DMPC,3,1,1,1,15
D6,41,41,Glut,5,235,23,0,0.0,DMPC,3,1,1,5,3
A10,42,42,Blank,0,135,14,0,0.0,DMPC,3,1,1,9,0
C10,43,43,Blank,0,135,14,0,0.0,DOPC,3,1,1,9,2
F17,44,44,Blank,0,135,14,2,0.0,DMPC,3,1,1,16,5
C5,45,45,Blank,0,135,14,2,0.0,DOPC,3,1,1,4,2
O9,46,46,Blank,0,235,23,2,0.0,DMPC,3,1,1,8,14
N4,47,47,Blank,0,235,23,2,0.0,DOPC,3,1,1,3,13
D16,48,0,Aux,5,85,8,0,0.625,DMPC,3,1,1,15,3
C7,49,1,Aux,5,85,8,1,0.0,DMPC,3,1,1,6,2
J20,50,2,Aux,5,85,8,1,0.625,DMPC,3,1,1,19,9
A9,51,3,Aux,5,85,11,1,0.0,DMPC,3,1,1,8,0
L7,52,4,Aux,5,85,11,1,0.625,DMPC,3,1,1,6,11
L2,53,5,Aux,5,235,11,0,0.625,DMPC,3,1,1,1,11
C20,54,6,Aux,5,235,14,0,0.625,DMPC,3,1,1,19,2
J7,55,7,B3AR,5,85,14,1,0.0,DMPC,3,1,1,6,9
B23,56,8,B3AR,5,135,17,2,0.0,DOPC,3,1,1,22,1
C8,57,9,B3AR,5,135,20,2,0.0,DOPC,3,1,1,7,2
M13,58,10,B3AR,5,135,23,2,0.625,DOPC,3,1,1,12,12
A18,59,11,B3AR,5,185,8,0,1.25,DOPC,3,1,1,17,0
E18,60,12,B3AR,5,185,23,2,0.0,DOPC,3,1,1,17,4
E6,61,13,B3AR,5,235,8,0,1.25,DOPC,3,1,1,5,4
L19,62,14,Beta,5,85,8,0,0.625,DOPC,3,1,1,18,11
H24,63,15,Beta,5,185,8,0,1.25,DMPC,3,1,1,23,7
J9,64,16,Beta,5,185,14,1,0.0,DOPC,3,1,1,8,9
F21,65,17,Beta,5,185,17,1,0.0,DOPC,3,1,1,20,5
K16,66,18,Beta,5,185,20,0,0.625,DOPC,3,1,1,15,10
L24,67,19,Beta,5,185,20,1,0.0,DOPC,3,1,1,23,11
P8,68,20,Beta,5,185,23,0,0.625,DOPC,3,1,1,7,15
C9,69,21,CRCM,5,85,14,2,0.0,DOPC,3,1,1,8,2
C6,70,22,CRCM,5,85,17,2,0.625,DOPC,3,1,1,5,2
F4,71,23,CRCM,5,185,14,0,0.0,DMPC,3,1,1,3,5
N21,72,24,CRCM,5,185,17,0,0.625,DMPC,3,1,1,20,13
P15,73,25,CRCM,5,185,20,0,0.625,DMPC,3,1,1,14,15
K1,74,26,CRCM,5,185,20,0,1.25,DMPC,3,1,1,0,10
O8,75,27,CRCM,5,235,23,0,1.25,DMPC,3,1,1,7,14
K5,76,28,CaM,5,85,17,1,0.0,DOPC,3,1,1,4,10
M12,77,29,CaM,5,85,20,1,0.0,DOPC,3,1,1,11,12
C13,78,30,CaM,5,185,14,2,0.0,DMPC,3,1,1,12,2
J17,79,31,CaM,5,185,20,0,0.0,DMPC,3,1,1,16,9
K15,80,32,CaM,5,185,23,0,0.0,DMPC,3,1,1,14,10
H2,81,33,CaM,5,235,14,2,0.0,DMPC,3,1,1,1,7
K17,82,34,CaM,5,235,23,0,0.0,DMPC,3,1,1,16,10
A8,83,35,Glut,5,85,20,1,1.25,DMPC,3,1,1,7,0
M24,84,36,Glut,5,85,23,1,1.25,DOPC,3,1,1,23,12
G19,85,37,Glut,5,135,8,0,0.0,DMPC,3,1,1,18,6
O12,86,38,Glut,5,135,20,0,0.0,DMPC,3,1,1,11,14
G22,87,39,Glut,5,185,20,0,0.0,DMPC,3,1,1,21,6
L4,88,40,Glut,5,185,23,0,0.0,DMPC,3,1,1,3,11
C4,89,41,Glut,5,235,23,0,0.0,DMPC,3,1,1,3,2
G3,90,42,Blank,0,135,14,0,0.0,DMPC,3,1,1,2,6
O23,91,43,Blank,0,135,14,0,0.0,DOPC,3,1,1,22,14
P18,92,44,Blank,0,135,14,2,0.0,DMPC,3,1,1,17,15
G11,93,45,Blank,0,135,14,2,0.0,DOPC,3,1,1,10,6
A6,94,46,Blank,0,235,23,2,0.0,DMPC,3,1,1,5,0
F20,95,47,Blank,0,235,23,2,0.0,DOPC,3,1,1,19,5
N24,96,0,Aux,5,85,8,0,0.625,DMPC,3,1,1,23,13
F1,97,1,Aux,5,85,8,1,0.0,DMPC,3,1,1,0,5
L5,98,2,Aux,5,85,8,1,0.625,DMPC,3,1,1,4,11
O1,99,3,Aux,5,85,11,1,0.0,DMPC,3,1,1,0,14
P3,100,4,Aux,5,85,11,1,0.625,DMPC,3,1,1,2,15
O3,101,5,Aux,5,235,11,0,0.625,DMPC,3,1,1,2,14
L8,102,6,Aux,5,235,14,0,0.625,DMPC,3,1,1,7,11
K10,103,7,B3AR,5,85,14,1,0.0,DMPC,3,1,1,9,10
P5,104,8,B3AR,5,135,17,2,0.0,DOPC,3,1,1,4,15
B13,105,9,B3AR,5,135,20,2,0.0,DOPC,3,1,1,12,1
O2,106,10,B3AR,5,135,23,2,0.625,DOPC,3,1,1,1,14
I24,107,11,B3AR,5,185,8,0,1.25,DOPC,3,1,1,23,8
P23,108,12,B3AR,5,185,23,2,0.0,DOPC,3,1,1,22,15
J21,109,13,B3AR,5,235,8,0,1.25,DOPC,3,1,1,20,9
F7,110,14,Beta,5,85,8,0,0.625,DOPC,3,1,1,6,5
N10,111,15,Beta,5,185,8,0,1.25,DMPC,3,1,1,9,13
L10,112,16,Beta,5,185,14,1,0.0,DOPC,3,1,1,9,11
J2,113,17,Beta,5,185,17,1,0.0,DOPC,3,1,1,1,9
E16,114,18,Beta,5,185,20,0,0.625,DOPC,3,1,1,15,4
D5,115,19,Beta,5,185,20,1,0.0,DOPC,3,1,1,4,3
D15,116,20,Beta,5,185,23,0,0.625,DOPC,3,1,1,14,3
H15,117,21,CRCM,5,85,14,2,0.0,DOPC,3,1,1,14,7
F15,118,22,CRCM,5,85,17,2,0.625,DOPC,3,1,1,14,5
B5,119,23,CRCM,5,185,14,0,0.0,DMPC,3,1,1,4,1
F16,120,24,CRCM,5,185,17,0,0.625,DMPC,3,1,1,15,5
A22,121,25,CRCM,5,185,20,0,0.625,DMPC,3,1,1,21,0
I20,122,26,CRCM,5,185,20,0,1.25,DMPC,3,1,1,19,8
G5,123,27,CRCM,5,235,23,0,1.25,DMPC,3,1,1,4,6
N17,124,28,CaM,5,85,17,1,0.0,DOPC,3,1,1,16,13
H7,125,29,CaM,5,85,20,1,0.0,DOPC,3,1,1,6,7
G20,126,30,CaM,5,185,14,2,0.0,DMPC,3,1,1,19,6
I9,127,31,CaM,5,185,20,0,0.0,DMPC,3,1,1,8,8
J12,128,32,CaM,5,185,23,0,0.0,DMPC,3,1,1,11,9
C24,129,33,CaM,5,235,14,2,0.0,DMPC,3,1,1,23,2
E5,130,34,CaM,5,235,23,0,0.0,DMPC,3,1,1,4,4
J10,131,35,Glut,5,85,20,1,1.25,DMPC,3,1,1,9,9
N5,132,36,Glut,5,85,23,1,1.25,DOPC,3,1,1,4,13
P24,133,37,Glut,5,135,8,0,0.0,DMPC,3,1,1,23,15
F13,134,38,Glut,5,135,20,0,0.0,DMPC,3,1,1,12,5
K4,135,39,Glut,5,185,20,0,0.0,DMPC,3,1,1,3,10
N8,136,40,Glut,5,185,23,0,0.0,DMPC,3,1,1,7,13
K3,137,41,Glut,5,235,23,0,0.0,DMPC,3,1,1,2,10
E1,138,42,Blank,0,135,14,0,0.0,DMPC,3,1,1,0,4
J8,139,43,Blank,0,135,14,0,0.0,DOPC,3,1,1,7,9
A24,140,44,Blank,0,135,14,2,0.0,DMPC,3,1,1,23,0
D17,141,45,Blank,0,135,14,2,0.0,DOPC,3,1,1,16,3
I16,142,46,Blank,0,235,23,2,0.0,DMPC,3,1,1,15,8
N7,143,47,Blank,0,235,23,2,0.0,DOPC,3,1,1,6,13
G8,144,0,Aux,5,85,8,0,0.625,DMPC,3,1,1,7,6
M14,145,1,Aux,5,85,8,1,0.0,DMPC,3,1,1,13,12
G1,146,2,Aux,5,85,8,1,0.625,DMPC,3,1,1,0,6
M15,147,3,Aux,5,85,11,1,0.0,DMPC,3,1,1,14,12
J14,148,4,Aux,5,85,11,1,0.625,DMPC,3,1,1,13,9
