well_name,DNA_name,DNA_conc,Ffh,FtsY,Liposome_name,Liposome_conc,SecYE,combo,Mg,K
A1,Neu,5.0,0.6,0.6,no_lipo,0.0,1.0,with SecYE,25,135
A10,MtlA,5.0,0.6,0.3,DOPC,3.0,0.5,with SecYE,25,135
A11,Neu,5.0,0.3,0.3,DOPC,3.0,1.0,with SecYE,25,135
A12,Neu,5.0,0.6,0.3,DOPC,3.0,0.0,with SecYE,25,135
A13,Neu,5.0,0.0,0.0,no_lipo,0.0,0.5,with SecYE,25,135
A14,MtlA,5.0,0.6,0.3,no_lipo,0.0,1.0,with SecYE,25,135
A15,Neu,5.0,0.3,0.6,no_lipo,0.0,1.0,with SecYE,25,135
A16,MtlA,5.0,0.6,0.0,DOPC,3.0,1.0,with SecYE,25,135
A17,Neu,5.0,0.3,0.6,no_lipo,0.0,1.0,with SecYE,25,135
A18,Neu,5.0,0.0,0.0,no_lipo,0.0,1.0,with SecYE,25,135
A19,MtlA,5.0,0.3,0.6,no_lipo,0.0,0.0,with SecYE,25,135
A2,Neu,5.0,0.0,0.0,DOPC,3.0,1.0,with SecYE,25,135
A20,Neu,5.0,0.0,0.3,DOPC,3.0,0.5,with SecYE,25,135
A21,Neu,5.0,0.0,0.6,no_lipo,0.0,0.5,with SecYE,25,135
A22,MtlA,5.0,0.3,0.3,DOPC,3.0,0.0,with SecYE,25,135
A23,Neu,5.0,0.6,0.3,DOPC,3.0,1.0,with SecYE,25,135
A24,SecYE-G,5.0,0.6,0.6,DOPC,3.0,0.0,No SecYE,25,135
A3,MtlA,5.0,0.3,0.3,no_lipo,0.0,0.0,with SecYE,25,135
A4,MtlA,5.0,0.6,0.0,no_lipo,0.0,1.0,with SecYE,25,135
A5,SecYE-G,5.0,0.3,0.6,no_lipo,0.0,0.0,No SecYE,25,135
A6,Neu,5.0,0.3,0.0,DOPC,3.0,0.5,with SecYE,25,135
A7,MtlA,5.0,0.6,0.0,no_lipo,0.0,0.0,with SecYE,25,135
A8,Neu,5.0,0.6,0.3,DOPC,3.0,0.5,with SecYE,25,135
A9,Neu,5.0,0.6,0.0,DOPC,3.0,0.5,with SecYE,25,135
B1,MtlA,5.0,0.6,0.0,no_lipo,0.0,0.0,with SecYE,25,135
B10,MtlA,5.0,0.0,0.0,no_lipo,0.0,1.0,with SecYE,25,135
B11,Neu,5.0,0.0,0.6,DOPC,3.0,1.0,with SecYE,25,135
B12,SecYE-G,5.0,0.6,0.3,no_lipo,0.0,0.0,No SecYE,25,135
B13,MtlA,5.0,0.6,0.6,no_lipo,0.0,0.5,with SecYE,25,135
B14,MtlA,5.0,0.0,0.3,DOPC,3.0,1.0,with SecYE,25,135
B15,MtlA,5.0,0.3,0.6,no_lipo,0.0,1.0,with SecYE,25,135
B16,Neu,5.0,0.0,0.6,DOPC,3.0,0.0,with SecYE,25,135
B17,MtlA,5.0,0.6,0.3,DOPC,3.0,0.0,with SecYE,25,135
B18,MtlA,5.0,0.3,0.6,no_lipo,0.0,0.0,with SecYE,25,135
B19,SecYE-G,5.0,0.3,0.0,DOPC,3.0,0.0,No SecYE,25,135
B2,Neu,5.0,0.0,0.0,DOPC,3.0,0.5,with SecYE,25,135
B20,SecYE-G,5.0,0.0,0.6,DOPC,3.0,0.0,No SecYE,25,135
B21,Neu,5.0,0.3,0.0,no_lipo,0.0,0.5,with SecYE,25,135
B22,SecYE-G,5.0,0.0,0.0,DOPC,3.0,0.0,No SecYE,25,135
B23,MtlA,5.0,0.6,0.0,no_lipo,0.0,0.5,with SecYE,25,135
B24,Neu,5.0,0.6,0.3,no_lipo,0.0,0.5,with SecYE,25,135
B3,Neu,5.0,0.6,0.6,DOPC,3.0,0.0,with SecYE,25,135
B4,Neu,5.0,0.6,0.3,DOPC,3.0,0.0,with SecYE,25,135
B5,Neu,5.0,0.6,0.3,DOPC,3.0,0.5,with SecYE,25,135
B6,Neu,5.0,0.0,0.3,no_lipo,0.0,0.5,with SecYE,25,135
B7,MtlA,5.0,0.6,0.6,DOPC,3.0,0.0,with SecYE,25,135
B8,SecYE-G,5.0,0.3,0.6,no_lipo,0.0,0.0,No SecYE,25,135
B9,MtlA,5.0,0.0,0.6,DOPC,3.0,1.0,with SecYE,25,135
C1,MtlA,5.0,0.0,0.3,no_lipo,0.0,0.0,with SecYE,25,135
C10,Neu,5.0,0.0,0.3,DOPC,3.0,0.5,with SecYE,25,135
C11,SecYE-G,5.0,0.0,0.0,DOPC,3.0,0.0,No SecYE,25,135
C12,MtlA,5.0,0.3,0.0,no_lipo,0.0,0.5,with SecYE,25,135
C13,SecYE-G,5.0,0.3,0.3,no_lipo,0.0,0.0,No SecYE,25,135
C14,SecYE-G,5.0,0.6,0.0,no_lipo,0.0,0.0,No SecYE,25,135
C15,MtlA,5.0,0.0,0.6,no_lipo,0.0,1.0,with SecYE,25,135
C16,MtlA,5.0,0.6,0.6,no_lipo,0.0,0.5,with SecYE,25,135
C17,Neu,5.0,0.6,0.0,no_lipo,0.0,1.0,with SecYE,25,135
C18,MtlA,5.0,0.3,0.0,DOPC,3.0,0.0,with SecYE,25,135
C19,SecYE-G,5.0,0.3,0.6,DOPC,3.0,0.0,No SecYE,25,135
C2,Neu,5.0,0.3,0.0,no_lipo,0.0,0.0,with SecYE,25,135
C20,MtlA,5.0,0.3,0.6,DOPC,3.0,0.0,with SecYE,25,135
C21,MtlA,5.0,0.3,0.3,no_lipo,0.0,1.0,with SecYE,25,135
C22,MtlA,5.0,0.3,0.3,no_lipo,0.0,0.5,with SecYE,25,135
C23,Neu,5.0,0.3,0.6,DOPC,3.0,1.0,with SecYE,25,135
C24,MtlA,5.0,0.0,0.3,no_lipo,0.0,1.0,with SecYE,25,135
C3,MtlA,5.0,0.3,0.0,no_lipo,0.0,0.5,with SecYE,25,135
C4,Neu,5.0,0.6,0.6,no_lipo,0.0,0.5,with SecYE,25,135
C5,MtlA,5.0,0.6,0.3,DOPC,3.0,0.5,with SecYE,25,135
C6,Neu,5.0,0.0,0.3,no_lipo,0.0,0.5,with SecYE,25,135
C7,SecYE-G,5.0,0.0,0.6,DOPC,3.0,0.0,No SecYE,25,135
C8,MtlA,5.0,0.0,0.3,no_lipo,0.0,0.5,with SecYE,25,135
C9,Neu,5.0,0.3,0.0,no_lipo,0.0,1.0,with SecYE,25,135
D1,MtlA,5.0,0.6,0.0,DOPC,3.0,0.5,with SecYE,25,135
D10,Neu,5.0,0.6,0.3,DOPC,3.0,0.0,with SecYE,25,135
D11,MtlA,5.0,0.6,0.3,DOPC,3.0,1.0,with SecYE,25,135
D12,MtlA,5.0,0.6,0.3,no_lipo,0.0,0.5,with SecYE,25,135
D13,SecYE-G,5.0,0.0,0.3,no_lipo,0.0,0.0,No SecYE,25,135
