well_name,deGFP,K,Mg,combo
A1,5,145,25,BL53
A2,5,145,30,BL53
A3,5,145,25,BL53
A4,5,145,20,BL53
A5,5,85,20,BL53
B1,5,100,20,BL53
B2,5,115,25,BL53
B3,5,130,15,BL53
B4,5,145,30,BL53
B5,5,100,20,BL53
C1,5,100,20,BL53
C2,5,115,25,BL53
C3,5,100,30,BL53
C4,5,100,15,BL53
C5,5,115,20,BL53
D1,5,85,30,BL53
D2,5,115,35,BL53
D3,5,130,25,BL53
D4,5,130,30,BL53
D5,5,115,15,BL53
E1,5,115,35,BL53
E2,5,130,20,BL53
E3,5,130,15,BL53
E4,5,85,15,BL53
E5,5,85,15,BL53
F1,5,115,20,BL53
F2,5,100,25,BL53
F3,5,145,15,BL53
F4,5,85,30,BL53
F5,5,85,30,BL53
G1,5,85,20,BL53
G2,5,115,25,BL53
G3,5,100,30,BL53
G4,5,130,20,BL53
G5,5,100,35,BL53
H1,5,100,15,BL53
H2,5,85,25,BL53
H3,5,100,25,BL53
H4,5,130,35,BL53
H5,5,100,30,BL53
I1,5,85,25,BL53
I2,5,115,15,BL53
I3,5,130,25,BL53
I4,5,85,35,BL53
I5,5,145,35,BL53
J1,5,130,35,BL53
J2,5,145,15,BL53
J3,5,115,20,BL53
J4,5,145,20,BL53
J5,5,100,15,BL53
K1,5,115,35,BL53
K2,5,115,30,BL53
K3,5,85,20,BL53
K4,5,145,35,BL53
K5,5,85,35,BL53
L1,5,100,35,BL53
L2,5,145,30,BL53
L3,5,85,25,BL53
L4,5,115,30,BL53
M1,5,85,35,BL53
M2,5,145,35,BL53
M3,5,130,15,BL53
M4,5,130,30,BL53
N1,5,130,25,BL53
N2,5,145,25,BL53
N3,5,130,20,BL53
N4,5,115,30,BL53
O1,5,145,20,BL53
O2,5,85,15,BL53
O3,5,115,15,BL53
O4,5,100,35,BL53
P1,5,145,15,BL53
P2,5,130,30,BL53
P3,5,100,25,BL53
P4,5,130,35,BL53
