well_name,deGFP,K,Mg,combo
A1,5.0,145.0,15.0,WT48
A10,5.0,85.0,12.5,WT49
A2,5.0,145.0,17.5,WT48
A3,5.0,145.0,15.0,WT48
A4,5.0,145.0,12.5,WT48
A5,5.0,85.0,12.5,WT48
A6,5.0,145.0,15.0,WT49
A7,5.0,145.0,17.5,WT49
A8,5.0,145.0,15.0,WT49
A9,5.0,145.0,12.5,WT49
B1,5.0,100.0,12.5,WT48
B10,5.0,100.0,12.5,WT49
B2,5.0,115.0,15.0,WT48
B3,5.0,130.0,10.0,WT48
B4,5.0,145.0,17.5,WT48
B5,5.0,100.0,12.5,WT48
B6,5.0,100.0,12.5,WT49
B7,5.0,115.0,15.0,WT49
B8,5.0,130.0,10.0,WT49
B9,5.0,145.0,17.5,WT49
C1,5.0,100.0,12.5,WT48
C10,5.0,115.0,12.5,WT49
C2,5.0,115.0,15.0,WT48
C3,5.0,100.0,17.5,WT48
C4,5.0,100.0,10.0,WT48
C5,5.0,115.0,12.5,WT48
C6,5.0,100.0,12.5,WT49
C7,5.0,115.0,15.0,WT49
C8,5.0,100.0,17.5,WT49
C9,5.0,100.0,10.0,WT49
D1,5.0,85.0,17.5,WT48
D10,5.0,115.0,10.0,WT49
D2,5.0,115.0,20.0,WT48
D3,5.0,130.0,15.0,WT48
D4,5.0,130.0,17.5,WT48
D5,5.0,115.0,10.0,WT48
D6,5.0,85.0,17.5,WT49
D7,5.0,115.0,20.0,WT49
D8,5.0,130.0,15.0,WT49
D9,5.0,130.0,17.5,WT49
E1,5.0,115.0,20.0,WT48
E10,5.0,85.0,10.0,WT49
E2,5.0,130.0,12.5,WT48
E3,5.0,130.0,10.0,WT48
E4,5.0,85.0,10.0,WT48
E5,5.0,85.0,10.0,WT48
E6,5.0,115.0,20.0,WT49
E7,5.0,130.0,12.5,WT49
E8,5.0,130.0,10.0,WT49
E9,5.0,85.0,10.0,WT49
F1,5.0,115.0,12.5,WT48
F10,5.0,85.0,17.5,WT49
F2,5.0,100.0,15.0,WT48
F3,5.0,145.0,10.0,WT48
F4,5.0,85.0,17.5,WT48
F5,5.0,85.0,17.5,WT48
F6,5.0,115.0,12.5,WT49
F7,5.0,100.0,15.0,WT49
F8,5.0,145.0,10.0,WT49
F9,5.0,85.0,17.5,WT49
G1,5.0,85.0,12.5,WT48
G10,5.0,100.0,20.0,WT49
G2,5.0,115.0,15.0,WT48
G3,5.0,100.0,17.5,WT48
G4,5.0,130.0,12.5,WT48
G5,5.0,100.0,20.0,WT48
G6,5.0,85.0,12.5,WT49
G7,5.0,115.0,15.0,WT49
G8,5.0,100.0,17.5,WT49
G9,5.0,130.0,12.5,WT49
H1,5.0,100.0,10.0,WT48
H10,5.0,100.0,17.5,WT49
H2,5.0,85.0,15.0,WT48
H3,5.0,100.0,15.0,WT48
H4,5.0,130.0,20.0,WT48
H5,5.0,100.0,17.5,WT48
H6,5.0,100.0,10.0,WT49
H7,5.0,85.0,15.0,WT49
H8,5.0,100.0,15.0,WT49
H9,5.0,130.0,20.0,WT49
I1,5.0,85.0,15.0,WT48
I10,5.0,145.0,20.0,WT49
I2,5.0,115.0,10.0,WT48
I3,5.0,130.0,15.0,WT48
I4,5.0,85.0,20.0,WT48
I5,5.0,145.0,20.0,WT48
I6,5.0,85.0,15.0,WT49
I7,5.0,115.0,10.0,WT49
I8,5.0,130.0,15.0,WT49
I9,5.0,85.0,20.0,WT49
J1,5.0,130.0,20.0,WT48
J10,5.0,100.0,10.0,WT49
J2,5.0,145.0,10.0,WT48
J3,5.0,115.0,12.5,WT48
J4,5.0,145.0,12.5,WT48
J5,5.0,100.0,10.0,WT48
J6,5.0,130.0,20.0,WT49
J7,5.0,145.0,10.0,WT49
J8,5.0,115.0,12.5,WT49
J9,5.0,145.0,12.5,WT49
K1,5.0,115.0,20.0,WT48
K10,5.0,85.0,20.0,WT49
K2,5.0,115.0,17.5,WT48
K3,5.0,85.0,12.5,WT48
K4,5.0,145.0,20.0,WT48
K5,5.0,85.0,20.0,WT48
K6,5.0,115.0,20.0,WT49
K7,5.0,115.0,17.5,WT49
K8,5.0,85.0,12.5,WT49
K9,5.0,145.0,20.0,WT49
L1,5.0,100.0,20.0,WT48
L2,5.0,145.0,17.5,WT48
L3,5.0,85.0,15.0,WT48
L4,5.0,115.0,17.5,WT48
L6,5.0,100.0,20.0,WT49
L7,5.0,145.0,17.5,WT49
L8,5.0,85.0,15.0,WT49
L9,5.0,115.0,17.5,WT49
M1,5.0,85.0,20.0,WT48
M2,5.0,145.0,20.0,WT48
M3,5.0,130.0,10.0,WT48
M4,5.0,130.0,17.5,WT48
M6,5.0,85.0,20.0,WT49
M7,5.0,145.0,20.0,WT49
M8,5.0,130.0,10.0,WT49
M9,5.0,130.0,17.5,WT49
N1,5.0,130.0,15.0,WT48
N2,5.0,145.0,15.0,WT48
N3,5.0,130.0,12.5,WT48
N4,5.0,115.0,17.5,WT48
N6,5.0,130.0,15.0,WT49
N7,5.0,145.0,15.0,WT49
N8,5.0,130.0,12.5,WT49
N9,5.0,115.0,17.5,WT49
O1,5.0,145.0,12.5,WT48
O2,5.0,85.0,10.0,WT48
O3,5.0,115.0,10.0,WT48
O4,5.0,100.0,20.0,WT48
O6,5.0,145.0,12.5,WT49
O7,5.0,85.0,10.0,WT49
O8,5.0,115.0,10.0,WT49
O9,5.0,100.0,20.0,WT49
P1,5.0,145.0,10.0,WT48
P2,5.0,130.0,17.5,WT48
P3,5.0,100.0,15.0,WT48
P4,5.0,130.0,20.0,WT48
P6,5.0,145.0,10.0,WT49
P7,5.0,130.0,17.5,WT49
P8,5.0,100.0,15.0,WT49
P9,5.0,130.0,20.0,WT49
