well_name,DNA_name,DNA_conc,Liposome_name,Liposome_conc,Mg,SecYE,combo,K
A1,B2AR,5.0,no_lipo,0.0,17.5,0.625,BL59-1_5,85
A10,AqpZ,5.0,DOPC,3.0,17.5,1.25,BL59-1_5,85
A11,Glut,5.0,no_lipo,0.0,12.5,0.0,BL59-1_5,85
A12,B2AR,5.0,DOPC,3.0,12.5,1.25,BL59-1_5,85
A13,AqpZ,5.0,DOPC,3.0,22.5,0.0,BL59-1_5,85
A14,Glut,5.0,DOPC,3.0,17.5,0.625,BL59-1_5,85
A2,B2AR,5.0,no_lipo,0.0,17.5,1.25,BL59-1_5,85
A3,Glut,5.0,no_lipo,0.0,22.5,0.0,BL59-1_5,85
A4,B2AR,5.0,DOPC,3.0,22.5,0.0,BL59-1_5,85
A5,MtlA,5.0,no_lipo,0.0,12.5,1.25,BL59-1_5,85
A6,B2AR,5.0,DOPC,3.0,22.5,0.0,BL59-1_5,85
A7,B2AR,5.0,DOPC,3.0,17.5,0.0,BL59-1_5,85
A8,AqpZ,5.0,DOPC,3.0,17.5,1.25,BL59-1_5,85
A9,B2AR,5.0,no_lipo,0.0,22.5,0.625,BL59-1_5,85
B1,Glut,5.0,no_lipo,0.0,12.5,1.25,BL59-1_5,85
B10,MtlA,5.0,DOPC,3.0,12.5,1.25,BL59-1_5,85
B11,MtlA,5.0,no_lipo,0.0,22.5,0.0,BL59-1_5,85
B12,Glut,5.0,DOPC,3.0,17.5,1.25,BL59-1_5,85
B13,B2AR,5.0,no_lipo,0.0,22.5,1.25,BL59-1_5,85
B14,Glut,5.0,DOPC,3.0,17.5,0.0,BL59-1_5,85
B2,Glut,5.0,no_lipo,0.0,22.5,1.25,BL59-1_5,85
B3,AqpZ,5.0,DOPC,3.0,22.5,0.625,BL59-1_5,85
B4,B2AR,5.0,no_lipo,0.0,22.5,1.25,BL59-1_5,85
B5,Glut,5.0,no_lipo,0.0,22.5,0.0,BL59-1_5,85
B6,Glut,5.0,no_lipo,0.0,22.5,0.625,BL59-1_5,85
B7,Glut,5.0,no_lipo,0.0,12.5,0.0,BL59-1_5,85
B8,Glut,5.0,DOPC,3.0,12.5,0.625,BL59-1_5,85
B9,Glut,5.0,no_lipo,0.0,17.5,0.0,BL59-1_5,85
C1,MtlA,5.0,DOPC,3.0,17.5,0.0,BL59-1_5,85
C10,MtlA,5.0,no_lipo,0.0,22.5,0.625,BL59-1_5,85
C11,Glut,5.0,DOPC,3.0,12.5,1.25,BL59-1_5,85
C12,B2AR,5.0,DOPC,3.0,22.5,1.25,BL59-1_5,85
C13,Glut,5.0,DOPC,3.0,17.5,1.25,BL59-1_5,85
C14,Glut,5.0,DOPC,3.0,22.5,0.0,BL59-1_5,85
C2,Glut,5.0,no_lipo,0.0,12.5,1.25,BL59-1_5,85
