well_name,DNA_name,DNA_conc,Liposome_name,Liposome_conc,Mg,SecYE,combo,K
I10,AqpZ,5.0,no_lipo,0.0,12.5,1.25,BL59-1_5,85
I11,Mito,5.0,no_lipo,0.0,12.5,1.25,BL59-1_5,85
I12,Blank,0.0,DOPC,3.0,22.5,0.625,BL59-1_5,85
I13,Blank,0.0,no_lipo,0.0,22.5,1.25,BL59-1_5,85
I14,AqpZ,5.0,DOPC,3.0,12.5,0.625,BL59-1_5,85
I15,Neu,5.0,no_lipo,0.0,17.5,1.25,BL59-1_5,85
I16,Blank,0.0,DOPC,3.0,22.5,1.25,BL59-1_5,85
I17,B2AR,5.0,no_lipo,0.0,22.5,0.0,BL59-1_5,85
I18,Glut,5.0,DOPC,3.0,22.5,0.625,BL59-1_5,85
I19,MtlA,5.0,DOPC,3.0,17.5,0.0,BL59-1_5,85
I2,MtlA,5.0,DOPC,3.0,17.5,1.25,BL59-1_5,85
I20,Glut,5.0,no_lipo,0.0,12.5,0.625,BL59-1_5,85
I21,Mito,5.0,no_lipo,0.0,17.5,0.625,BL59-1_5,85
I22,B2AR,5.0,DOPC,3.0,22.5,1.25,BL59-1_5,85
I23,MtlA,5.0,no_lipo,0.0,17.5,1.25,BL59-1_5,85
I24,Blank,0.0,DOPC,3.0,22.5,1.25,BL59-1_5,85
I3,Glut,5.0,DOPC,3.0,12.5,1.25,BL59-1_5,85
I4,Blank,0.0,no_lipo,0.0,17.5,1.25,BL59-1_5,85
I5,Mito,5.0,no_lipo,0.0,22.5,0.625,BL59-1_5,85
I6,B2AR,5.0,no_lipo,0.0,12.5,1.25,BL59-1_5,85
I7,Blank,0.0,no_lipo,0.0,17.5,0.0,BL59-1_5,85
I8,Blank,0.0,DOPC,3.0,22.5,0.625,BL59-1_5,85
I9,B2AR,5.0,DOPC,3.0,17.5,1.25,BL59-1_5,85
J1,Glut,5.0,no_lipo,0.0,22.5,0.0,BL59-1_5,85
J10,Mito,5.0,no_lipo,0.0,17.5,0.625,BL59-1_5,85
J11,Neu,5.0,DOPC,3.0,22.5,0.0,BL59-1_5,85
J12,AqpZ,5.0,DOPC,3.0,12.5,0.625,BL59-1_5,85
J13,Blank,0.0,DOPC,3.0,17.5,0.0,BL59-1_5,85
J14,MtlA,5.0,no_lipo,0.0,17.5,0.625,BL59-1_5,85
J15,B2AR,5.0,no_lipo,0.0,12.5,0.0,BL59-1_5,85
J16,Blank,0.0,no_lipo,0.0,17.5,1.25,BL59-1_5,85
J17,AqpZ,5.0,no_lipo,0.0,17.5,0.625,BL59-1_5,85
J18,Glut,5.0,no_lipo,0.0,17.5,0.0,BL59-1_5,85
J19,AqpZ,5.0,no_lipo,0.0,22.5,0.0,BL59-1_5,85
J2,Mito,5.0,no_lipo,0.0,17.5,0.0,BL59-1_5,85
