well_name,DNA_name,DNA_conc,K,DOPC,Mg,combo
I19,deGFP,5,135,3,20,200
I2,SecYE,5,135,3,10,50
I20,deGFP,5,85,3,10,200
I21,SecYE,5,135,3,15,200
I3,MtlA,5,85,3,20,50
I4,Cat,5,135,3,15,50
I5,deGFP,5,135,3,20,50
I6,deGFP,5,85,3,10,50
I7,SecYE,5,135,3,15,50
I8,CD47,5,85,3,15,100
I9,SecYE,5,135,3,10,100
J1,deGFP,5,85,3,20,50
J10,SecYE,5,85,3,10,100
J11,AqpZ,5,135,3,20,100
J12,deGFP,5,135,3,10,100
J13,CD47,5,135,3,10,100
J14,AqpZ,5,135,3,10,100
J15,deGFP,5,85,3,20,200
J16,Cat,5,85,3,20,200
J17,SecYE,5,85,3,10,200
J18,AqpZ,5,135,3,20,200
J19,deGFP,5,135,3,10,200
J2,Cat,5,85,3,20,50
J20,CD47,5,135,3,10,200
J21,AqpZ,5,135,3,10,200
J3,SecYE,5,85,3,10,50
J4,AqpZ,5,135,3,20,50
J5,deGFP,5,135,3,10,50
J6,CD47,5,135,3,10,50
J7,AqpZ,5,135,3,10,50
J8,deGFP,5,85,3,20,100
J9,Cat,5,85,3,20,100
K1,AqpZ,5,85,3,20,50
K10,CD47,5,135,3,15,100
K11,MtlA,5,85,3,15,100
K12,CD47,5,85,3,15,100
K13,SecYE,5,85,3,20,100
K14,SecYE,5,135,3,15,100
K15,AqpZ,5,85,3,20,200
K16,Cat,5,85,3,15,200
K17,CD47,5,135,3,15,200
K18,MtlA,5,85,3,15,200
K19,CD47,5,85,3,15,200
K2,Cat,5,85,3,15,50
K20,SecYE,5,85,3,20,200
K21,SecYE,5,135,3,15,200
K3,CD47,5,135,3,15,50
K4,MtlA,5,85,3,15,50
K5,CD47,5,85,3,15,50
K6,SecYE,5,85,3,20,50
K7,SecYE,5,135,3,15,50
K8,AqpZ,5,85,3,20,100
K9,Cat,5,85,3,15,100
L1,AqpZ,5,135,3,10,50
L10,Cat,5,85,3,10,100
L11,CD47,5,85,3,10,100
L12,SecYE,5,135,3,20,100
L13,MtlA,5,135,3,15,100
L14,AqpZ,5,135,3,10,100
L15,AqpZ,5,135,3,10,200
L16,SecYE,5,85,3,20,200
L17,Cat,5,85,3,10,200
L18,CD47,5,85,3,10,200
L19,SecYE,5,135,3,20,200
L2,SecYE,5,85,3,20,50
L20,MtlA,5,135,3,15,200
L21,AqpZ,5,135,3,10,200
L3,Cat,5,85,3,10,50
L4,CD47,5,85,3,10,50
L5,SecYE,5,135,3,20,50
L6,MtlA,5,135,3,15,50
L7,AqpZ,5,135,3,10,50
L8,AqpZ,5,135,3,10,100
L9,SecYE,5,85,3,20,100
M1,Cat,5,135,3,10,50
M10,MtlA,5,85,3,20,100
M11,AqpZ,5,85,3,15,100
M12,AqpZ,5,85,3,10,100
M13,deGFP,5,85,3,10,100
M15,Cat,5,135,3,10,200
M16,SecYE,5,85,3,20,200
M17,MtlA,5,85,3,20,200
M18,AqpZ,5,85,3,15,200
M19,AqpZ,5,85,3,10,200
M2,SecYE,5,85,3,20,50
M20,deGFP,5,85,3,10,200
M3,MtlA,5,85,3,20,50
M4,AqpZ,5,85,3,15,50
M5,AqpZ,5,85,3,10,50
M6,deGFP,5,85,3,10,50
M8,Cat,5,135,3,10,100
M9,SecYE,5,85,3,20,100
N1,AqpZ,5,85,3,20,50
N10,deGFP,5,85,3,15,100
