unique_id,rxn_id,reagent,target,Reagent_type,stock,Droplet,well_id,Column,Row,well_name
50,50,wce,1,wce,1.0,22,0,0,0,A01
50,50,water,1,water,1.0,6,0,0,0,A01
50,50,Mg,0,Mg,500.0,0,0,0,0,A01
50,50,Mg,0,Mg,166.667,0,0,0,0,A01
50,50,K,125,K,1666.667,2,0,0,0,A01
50,50,K,125,K,833.333,1,0,0,0,A01
50,50,deGFP,5,DNA,83.333,2,0,0,0,A01
275,75,K,175,K,833.333,1,1,0,1,B01
275,75,wce,1,wce,1.0,22,1,0,1,B01
275,75,water,1,water,1.0,2,1,0,1,B01
275,75,Mg,25,Mg,500.0,1,1,0,1,B01
275,75,Mg,25,Mg,166.667,2,1,0,1,B01
275,75,K,175,K,1666.667,3,1,0,1,B01
275,75,deGFP,5,DNA,83.333,2,1,0,1,B01
211,11,Mg,5,Mg,500.0,0,2,0,2,C01
211,11,water,1,water,1.0,7,2,0,2,C01
211,11,wce,1,wce,1.0,22,2,0,2,C01
211,11,deGFP,5,DNA,83.333,2,2,0,2,C01
211,11,K,25,K,833.333,1,2,0,2,C01
211,11,K,25,K,1666.667,0,2,0,2,C01
211,11,Mg,5,Mg,166.667,1,2,0,2,C01
265,65,Mg,25,Mg,500.0,1,3,0,3,D01
265,65,Mg,25,Mg,166.667,2,3,0,3,D01
265,65,K,150,K,1666.667,3,3,0,3,D01
265,65,wce,1,wce,1.0,22,3,0,3,D01
265,65,water,1,water,1.0,3,3,0,3,D01
265,65,deGFP,5,DNA,83.333,2,3,0,3,D01
265,65,K,150,K,833.333,0,3,0,3,D01
43,43,water,1,water,1.0,6,4,0,4,E01
43,43,Mg,15,Mg,500.0,1,4,0,4,E01
43,43,K,100,K,1666.667,2,4,0,4,E01
43,43,K,100,K,833.333,0,4,0,4,E01
43,43,deGFP,5,DNA,83.333,2,4,0,4,E01
43,43,wce,1,wce,1.0,22,4,0,4,E01
43,43,Mg,15,Mg,166.667,0,4,0,4,E01
77,77,water,1,water,1.0,2,5,0,5,F01
77,77,wce,1,wce,1.0,22,5,0,5,F01
77,77,K,175,K,833.333,1,5,0,5,F01
77,77,Mg,35,Mg,500.0,2,5,0,5,F01
77,77,Mg,35,Mg,166.667,1,5,0,5,F01
77,77,K,175,K,1666.667,3,5,0,5,F01
77,77,deGFP,5,DNA,83.333,2,5,0,5,F01
214,14,Mg,20,Mg,500.0,1,6,0,6,G01
214,14,Mg,20,Mg,166.667,1,6,0,6,G01
214,14,wce,1,wce,1.0,22,6,0,6,G01
214,14,water,1,water,1.0,6,6,0,6,G01
214,14,deGFP,5,DNA,83.333,2,6,0,6,G01
214,14,K,25,K,833.333,1,6,0,6,G01
214,14,K,25,K,1666.667,0,6,0,6,G01
277,77,deGFP,5,DNA,83.333,2,7,0,7,H01
277,77,K,175,K,833.333,1,7,0,7,H01
277,77,K,175,K,1666.667,3,7,0,7,H01
277,77,Mg,35,Mg,166.667,1,7,0,7,H01
277,77,Mg,35,Mg,500.0,2,7,0,7,H01
277,77,water,1,water,1.0,2,7,0,7,H01
277,77,wce,1,wce,1.0,22,7,0,7,H01
109,9,wce,1,wce,1.0,22,8,0,8,I01
109,9,Mg,45,Mg,500.0,3,8,0,8,I01
109,9,Mg,45,Mg,166.667,0,8,0,8,I01
109,9,K,0,K,1666.667,0,8,0,8,I01
109,9,K,0,K,833.333,0,8,0,8,I01
109,9,deGFP,5,DNA,83.333,2,8,0,8,I01
109,9,water,1,water,1.0,6,8,0,8,I01
249,49,water,1,water,1.0,4,9,0,9,J01
249,49,deGFP,5,DNA,83.333,2,9,0,9,J01
249,49,K,100,K,833.333,0,9,0,9,J01
249,49,K,100,K,1666.667,2,9,0,9,J01
249,49,Mg,45,Mg,166.667,0,9,0,9,J01
249,49,wce,1,wce,1.0,22,9,0,9,J01
249,49,Mg,45,Mg,500.0,3,9,0,9,J01
234,34,Mg,20,Mg,500.0,1,10,0,10,K01
234,34,water,1,water,1.0,5,10,0,10,K01
234,34,Mg,20,Mg,166.667,1,10,0,10,K01
234,34,K,75,K,1666.667,1,10,0,10,K01
234,34,K,75,K,833.333,1,10,0,10,K01
234,34,wce,1,wce,1.0,22,10,0,10,K01
234,34,deGFP,5,DNA,83.333,2,10,0,10,K01
16,16,K,25,K,1666.667,0,11,0,11,L01
16,16,wce,1,wce,1.0,22,11,0,11,L01
16,16,water,1,water,1.0,6,11,0,11,L01
16,16,Mg,30,Mg,500.0,2,11,0,11,L01
16,16,Mg,30,Mg,166.667,0,11,0,11,L01
