well_name,deGFP,K,Mg,WCE,Supp
A1,5,285,8,BL65,S26
A2,5,185,14,BL65,S26
A3,5,85,11,BL65,S26
A4,5,285,8,BL67,S26
A5,5,185,14,BL67,S26
A6,5,85,11,BL67,S26
B1,5,85,8,BL65,S26
B2,5,85,14,BL65,S26
B3,5,185,11,BL65,S26
B4,5,85,8,BL67,S26
B5,5,85,14,BL67,S26
B6,5,185,11,BL67,S26
C1,5,185,8,BL65,S26
C2,5,285,11,BL65,S26
C3,5,285,11,BL65,S26
C4,5,185,8,BL67,S26
C5,5,285,11,BL67,S26
C6,5,285,11,BL67,S26
D1,5,285,17,BL65,S26
D2,5,185,11,BL65,S26
D3,5,285,20,BL65,S26
D4,5,285,17,BL67,S26
D5,5,185,11,BL67,S26
D6,5,285,20,BL67,S26
E1,5,285,20,BL65,S26
E2,5,85,8,BL65,S26
E3,5,85,17,BL65,S26
E4,5,285,20,BL67,S26
E5,5,85,8,BL67,S26
E6,5,85,17,BL67,S26
F1,5,185,17,BL65,S26
F2,5,85,17,BL65,S26
F3,5,285,17,BL65,S26
F4,5,185,17,BL67,S26
F5,5,85,17,BL67,S26
F6,5,285,17,BL67,S26
G1,5,185,17,BL65,S26
G2,5,185,20,BL65,S26
G3,5,185,20,BL65,S26
G4,5,185,17,BL67,S26
G5,5,185,20,BL67,S26
G6,5,185,20,BL67,S26
H1,5,85,17,BL65,S26
H2,5,185,14,BL65,S26
H3,5,185,8,BL65,S26
H4,5,85,17,BL67,S26
H5,5,185,14,BL67,S26
H6,5,185,8,BL67,S26
I1,5,285,8,BL65,S26
I2,5,85,20,BL65,S26
I3,5,185,17,BL65,S26
I4,5,285,8,BL67,S26
I5,5,85,20,BL67,S26
I6,5,185,17,BL67,S26
J1,5,85,14,BL65,S26
J2,5,85,20,BL65,S26
J3,5,85,8,BL65,S26
J4,5,85,14,BL67,S26
J5,5,85,20,BL67,S26
J6,5,85,8,BL67,S26
K1,5,85,11,BL65,S26
K2,5,285,17,BL65,S26
K3,5,185,8,BL65,S26
K4,5,85,11,BL67,S26
K5,5,285,17,BL67,S26
K6,5,185,8,BL67,S26
L1,5,85,14,BL65,S26
L2,5,85,11,BL65,S26
L3,5,285,11,BL65,S26
L4,5,85,14,BL67,S26
L5,5,85,11,BL67,S26
L6,5,285,11,BL67,S26
M1,5,285,14,BL65,S26
M2,5,185,11,BL65,S26
M3,5,85,20,BL65,S26
M4,5,285,14,BL67,S26
M5,5,185,11,BL67,S26
M6,5,85,20,BL67,S26
N1,5,285,20,BL65,S26
N2,5,285,14,BL65,S26
N4,5,285,20,BL67,S26
N5,5,285,14,BL67,S26
O1,5,285,8,BL65,S26
O2,5,185,20,BL65,S26
O4,5,285,8,BL67,S26
O5,5,185,20,BL67,S26
P1,5,285,14,BL65,S26
P2,5,185,14,BL65,S26
P4,5,285,14,BL67,S26
P5,5,185,14,BL67,S26
