well_name,unique_id,DNA_name,rxn_id,DNA_conc,K,Mg,PEG,SecYE,Spermidine,Liposome_conc,Liposome_name,day,plate,col,row
H23,384,B2AR,0,5.0,85,11,0,0.625,4.0,3,DMPC--0%PE--0%Chol,1,2,22,7
O12,385,B2AR,1,5.0,85,11,0,1.25,8.0,3,DOPC--0%PE--0%Chol,1,2,11,14
E22,386,B2AR,2,5.0,85,14,0,0.0,0.0,3,DOPC--0%PE--0%Chol,1,2,21,4
J17,387,B2AR,3,5.0,85,14,0,1.25,0.0,3,DOPC--0%PE--0%Chol,1,2,16,9
E8,388,B2AR,4,5.0,185,11,0,0.625,8.0,3,DOPC--0%PE--0%Chol,1,2,7,4
A14,389,B2AR,5,5.0,185,11,0,1.25,4.0,3,DMPC--0%PE--0%Chol,1,2,13,0
M18,390,B2AR,6,5.0,185,14,0,0.625,0.0,3,DOPC--0%PE--0%Chol,1,2,17,12
A24,391,B2AR,7,5.0,235,8,0,0.0,0.0,3,DOPC--0%PE--0%Chol,1,2,23,0
G14,392,B2AR,8,5.0,235,11,0,0.625,0.0,3,DMPC--0%PE--0%Chol,1,2,13,6
N8,393,B2AR,9,5.0,235,14,0,1.25,4.0,3,DOPC--0%PE--0%Chol,1,2,7,13
M19,394,B2AR,10,5.0,235,20,0,0.0,0.0,3,DOPC--0%PE--0%Chol,1,2,18,12
M15,395,B2AR,150,2.5,85,8,0,1.25,4.0,3,DMPC--0%PE--0%Chol,1,2,14,12
L1,396,B2AR,151,2.5,185,8,0,0.0,4.0,3,DOPC--0%PE--0%Chol,1,2,0,11
N21,397,B2AR,152,2.5,185,8,0,0.625,4.0,3,DMPC--0%PE--0%Chol,1,2,20,13
B8,398,B2AR,153,2.5,185,8,0,1.25,4.0,3,DOPC--0%PE--0%Chol,1,2,7,1
A23,399,B2AR,154,2.5,235,14,0,1.25,4.0,3,DMPC--0%PE--0%Chol,1,2,22,0
P15,400,B2AR,0,5.0,85,11,0,0.625,4.0,3,DMPC--0%PE--0%Chol,1,2,14,15
L13,401,B2AR,1,5.0,85,11,0,1.25,8.0,3,DOPC--0%PE--0%Chol,1,2,12,11
P16,402,B2AR,2,5.0,85,14,0,0.0,0.0,3,DOPC--0%PE--0%Chol,1,2,15,15
I5,403,B2AR,3,5.0,85,14,0,1.25,0.0,3,DOPC--0%PE--0%Chol,1,2,4,8
C14,404,B2AR,4,5.0,185,11,0,0.625,8.0,3,DOPC--0%PE--0%Chol,1,2,13,2
C12,405,B2AR,5,5.0,185,11,0,1.25,4.0,3,DMPC--0%PE--0%Chol,1,2,11,2
E21,406,B2AR,6,5.0,185,14,0,0.625,0.0,3,DOPC--0%PE--0%Chol,1,2,20,4
J10,407,B2AR,7,5.0,235,8,0,0.0,0.0,3,DOPC--0%PE--0%Chol,1,2,9,9
N9,408,B2AR,8,5.0,235,11,0,0.625,0.0,3,DMPC--0%PE--0%Chol,1,2,8,13
D20,409,B2AR,9,5.0,235,14,0,1.25,4.0,3,DOPC--0%PE--0%Chol,1,2,19,3
M11,410,B2AR,10,5.0,235,20,0,0.0,0.0,3,DOPC--0%PE--0%Chol,1,2,10,12
H4,411,B2AR,150,2.5,85,8,0,1.25,4.0,3,DMPC--0%PE--0%Chol,1,2,3,7
K12,412,B2AR,151,2.5,185,8,0,0.0,4.0,3,DOPC--0%PE--0%Chol,1,2,11,10
L18,413,B2AR,152,2.5,185,8,0,0.625,4.0,3,DMPC--0%PE--0%Chol,1,2,17,11
F18,414,B2AR,153,2.5,185,8,0,1.25,4.0,3,DOPC--0%PE--0%Chol,1,2,17,5
L22,415,B2AR,154,2.5,235,14,0,1.25,4.0,3,DMPC--0%PE--0%Chol,1,2,21,11
A20,416,B2AR,0,5.0,85,11,0,0.625,4.0,3,DMPC--0%PE--0%Chol,1,2,19,0
B20,417,B2AR,1,5.0,85,11,0,1.25,8.0,3,DOPC--0%PE--0%Chol,1,2,19,1
J7,418,B2AR,2,5.0,85,14,0,0.0,0.0,3,DOPC--0%PE--0%Chol,1,2,6,9
H8,419,B2AR,3,5.0,85,14,0,1.25,0.0,3,DOPC--0%PE--0%Chol,1,2,7,7
I14,420,B2AR,4,5.0,185,11,0,0.625,8.0,3,DOPC--0%PE--0%Chol,1,2,13,8
J18,421,B2AR,5,5.0,185,11,0,1.25,4.0,3,DMPC--0%PE--0%Chol,1,2,17,9
H21,422,B2AR,6,5.0,185,14,0,0.625,0.0,3,DOPC--0%PE--0%Chol,1,2,20,7
F19,423,B2AR,7,5.0,235,8,0,0.0,0.0,3,DOPC--0%PE--0%Chol,1,2,18,5
N24,424,B2AR,8,5.0,235,11,0,0.625,0.0,3,DMPC--0%PE--0%Chol,1,2,23,13
L21,425,B2AR,9,5.0,235,14,0,1.25,4.0,3,DOPC--0%PE--0%Chol,1,2,20,11
N12,426,B2AR,10,5.0,235,20,0,0.0,0.0,3,DOPC--0%PE--0%Chol,1,2,11,13
P5,427,B2AR,150,2.5,85,8,0,1.25,4.0,3,DMPC--0%PE--0%Chol,1,2,4,15
