well_name,unique_id,rxn_id,DNA_name,DNA_conc,Liposome_name,WCE,Liposome_conc,Mg,SecYE,K,PEG,Chol_conc,Spermidine,PE_conc,plate,col,row
P10,309,69,Cat,5,DMPC-0,BL68,3,8,0,85,2,0,4,0,1,9,15
J10,310,70,Cat,5,DMPC-1,BL68,3,8,0,85,2,0,4,0,1,9,9
I10,311,71,Cat,5,DMPC-2,BL68,3,8,0,85,2,0,4,0,1,9,8
N8,312,72,Blank,0,LB-0,BL68,3,8,0,85,2,0,4,0,1,7,13
I18,313,73,Blank,0,LB-1,BL68,3,8,0,85,2,0,4,0,1,17,8
J18,314,74,Blank,0,LB-2,BL68,3,8,0,85,2,0,4,0,1,17,9
C10,315,75,Cat,5,LB-0,BL68,3,8,0,85,2,0,4,0,1,9,2
P12,316,76,Cat,5,LB-1,BL68,3,8,0,85,2,0,4,0,1,11,15
C13,317,77,Cat,5,LB-2,BL68,3,8,0,85,2,0,4,0,1,12,2
O10,318,78,Blank,0,no_lipo,BL68,0,8,0,85,2,0,4,0,1,9,14
A6,319,79,Cat,5,no_lipo,BL68,0,8,0,85,2,0,4,0,1,5,0
