well_name,deGFP,K,Mg,combo
A1,5.0,145.0,25.0,S18
A10,5.0,85.0,20.0,S20
A2,5.0,145.0,30.0,S18
A3,5.0,145.0,25.0,S18
A4,5.0,145.0,20.0,S18
A5,5.0,85.0,20.0,S18
A6,5.0,145.0,25.0,S20
A7,5.0,145.0,30.0,S20
A8,5.0,145.0,25.0,S20
A9,5.0,145.0,20.0,S20
B1,5.0,100.0,20.0,S18
B10,5.0,100.0,20.0,S20
B2,5.0,115.0,25.0,S18
B3,5.0,130.0,15.0,S18
B4,5.0,145.0,30.0,S18
B5,5.0,100.0,20.0,S18
B6,5.0,100.0,20.0,S20
B7,5.0,115.0,25.0,S20
B8,5.0,130.0,15.0,S20
B9,5.0,145.0,30.0,S20
C1,5.0,100.0,20.0,S18
C10,5.0,115.0,20.0,S20
C2,5.0,115.0,25.0,S18
C3,5.0,100.0,30.0,S18
C4,5.0,100.0,15.0,S18
C5,5.0,115.0,20.0,S18
C6,5.0,100.0,20.0,S20
C7,5.0,115.0,25.0,S20
C8,5.0,100.0,30.0,S20
C9,5.0,100.0,15.0,S20
D1,5.0,85.0,30.0,S18
D10,5.0,115.0,15.0,S20
D2,5.0,115.0,35.0,S18
D3,5.0,130.0,25.0,S18
D4,5.0,130.0,30.0,S18
D5,5.0,115.0,15.0,S18
D6,5.0,85.0,30.0,S20
D7,5.0,115.0,35.0,S20
D8,5.0,130.0,25.0,S20
D9,5.0,130.0,30.0,S20
E1,5.0,115.0,35.0,S18
E10,5.0,85.0,15.0,S20
E2,5.0,130.0,20.0,S18
E3,5.0,130.0,15.0,S18
E4,5.0,85.0,15.0,S18
E5,5.0,85.0,15.0,S18
E6,5.0,115.0,35.0,S20
E7,5.0,130.0,20.0,S20
E8,5.0,130.0,15.0,S20
E9,5.0,85.0,15.0,S20
F1,5.0,115.0,20.0,S18
F10,5.0,85.0,30.0,S20
F2,5.0,100.0,25.0,S18
F3,5.0,145.0,15.0,S18
F4,5.0,85.0,30.0,S18
F5,5.0,85.0,30.0,S18
F6,5.0,115.0,20.0,S20
F7,5.0,100.0,25.0,S20
F8,5.0,145.0,15.0,S20
F9,5.0,85.0,30.0,S20
G1,5.0,85.0,20.0,S18
G10,5.0,100.0,35.0,S20
G2,5.0,115.0,25.0,S18
G3,5.0,100.0,30.0,S18
G4,5.0,130.0,20.0,S18
G5,5.0,100.0,35.0,S18
G6,5.0,85.0,20.0,S20
G7,5.0,115.0,25.0,S20
G8,5.0,100.0,30.0,S20
G9,5.0,130.0,20.0,S20
H1,5.0,100.0,15.0,S18
H10,5.0,100.0,30.0,S20
H2,5.0,85.0,25.0,S18
H3,5.0,100.0,25.0,S18
H4,5.0,130.0,35.0,S18
H5,5.0,100.0,30.0,S18
H6,5.0,100.0,15.0,S20
H7,5.0,85.0,25.0,S20
H8,5.0,100.0,25.0,S20
H9,5.0,130.0,35.0,S20
I1,5.0,85.0,25.0,S18
I10,5.0,145.0,35.0,S20
I2,5.0,115.0,15.0,S18
I3,5.0,130.0,25.0,S18
I4,5.0,85.0,35.0,S18
I5,5.0,145.0,35.0,S18
I6,5.0,85.0,25.0,S20
I7,5.0,115.0,15.0,S20
I8,5.0,130.0,25.0,S20
I9,5.0,85.0,35.0,S20
J1,5.0,130.0,35.0,S18
J10,5.0,100.0,15.0,S20
J2,5.0,145.0,15.0,S18
J3,5.0,115.0,20.0,S18
J4,5.0,145.0,20.0,S18
J5,5.0,100.0,15.0,S18
J6,5.0,130.0,35.0,S20
J7,5.0,145.0,15.0,S20
J8,5.0,115.0,20.0,S20
J9,5.0,145.0,20.0,S20
K1,5.0,115.0,35.0,S18
K10,5.0,85.0,35.0,S20
K2,5.0,115.0,30.0,S18
K3,5.0,85.0,20.0,S18
K4,5.0,145.0,35.0,S18
K5,5.0,85.0,35.0,S18
K6,5.0,115.0,35.0,S20
K7,5.0,115.0,30.0,S20
K8,5.0,85.0,20.0,S20
K9,5.0,145.0,35.0,S20
L1,5.0,100.0,35.0,S18
L2,5.0,145.0,30.0,S18
L3,5.0,85.0,25.0,S18
L4,5.0,115.0,30.0,S18
L6,5.0,100.0,35.0,S20
L7,5.0,145.0,30.0,S20
L8,5.0,85.0,25.0,S20
L9,5.0,115.0,30.0,S20
M1,5.0,85.0,35.0,S18
M2,5.0,145.0,35.0,S18
M3,5.0,130.0,15.0,S18
M4,5.0,130.0,30.0,S18
M6,5.0,85.0,35.0,S20
M7,5.0,145.0,35.0,S20
M8,5.0,130.0,15.0,S20
M9,5.0,130.0,30.0,S20
N1,5.0,130.0,25.0,S18
N2,5.0,145.0,25.0,S18
N3,5.0,130.0,20.0,S18
N4,5.0,115.0,30.0,S18
N6,5.0,130.0,25.0,S20
N7,5.0,145.0,25.0,S20
N8,5.0,130.0,20.0,S20
N9,5.0,115.0,30.0,S20
O1,5.0,145.0,20.0,S18
O2,5.0,85.0,15.0,S18
O3,5.0,115.0,15.0,S18
O4,5.0,100.0,35.0,S18
O6,5.0,145.0,20.0,S20
O7,5.0,85.0,15.0,S20
O8,5.0,115.0,15.0,S20
O9,5.0,100.0,35.0,S20
P1,5.0,145.0,15.0,S18
P2,5.0,130.0,30.0,S18
P3,5.0,100.0,25.0,S18
P4,5.0,130.0,35.0,S18
P6,5.0,145.0,15.0,S20
P7,5.0,130.0,30.0,S20
P8,5.0,100.0,25.0,S20
P9,5.0,130.0,35.0,S20
