well_name,unique_id,day,rxn_id,DNA_conc,K,Mg,SecYE,Spermidine,Liposome_name,DNA_name,plate,col,row,Liposome_conc
L22,1920,2,32,5.0,185.0,8.0,0.0,0.1,DMPC--0%PE--8%Chol,CD47,6,21,11,3
A17,1921,2,35,5.0,185.0,8.0,0.0,4.0,DOPC--0%PE--8%Chol,CD47,6,16,0,3
E9,1922,2,37,2.5,185.0,8.0,0.0,0.1,DOPC--15%PE--8%Chol,CD47,6,8,4,3
P17,1923,2,39,5.0,85.0,8.0,0.0,4.0,DOPC--15%PE--0%Chol,CD47,6,16,15,3
P10,1924,2,40,2.5,85.0,14.0,0.0,0.1,DMPC--0%PE--8%Chol,CD47,6,9,15,3
J14,1925,2,43,2.5,85.0,14.0,0.0,4.0,DOPC--0%PE--8%Chol,CD47,6,13,9,3
H13,1926,2,45,5.0,85.0,14.0,0.0,0.1,DOPC--15%PE--8%Chol,CD47,6,12,7,3
A5,1927,2,47,2.5,185.0,14.0,0.0,4.0,DOPC--15%PE--0%Chol,CD47,6,4,0,3
M24,1928,2,49,5.0,85.0,8.0,0.625,0.1,DOPC--0%PE--8%Chol,CD47,6,23,12,3
P16,1929,2,50,5.0,85.0,8.0,0.625,4.0,DMPC--0%PE--8%Chol,CD47,6,15,15,3
J4,1930,2,53,5.0,185.0,8.0,0.625,0.1,DOPC--15%PE--0%Chol,CD47,6,3,9,3
F10,1931,2,55,2.5,85.0,8.0,0.625,4.0,DOPC--15%PE--8%Chol,CD47,6,9,5,3
A24,1932,2,57,2.5,185.0,14.0,0.625,0.1,DOPC--0%PE--8%Chol,CD47,6,23,0,3
P12,1933,2,58,2.5,185.0,14.0,0.625,4.0,DMPC--0%PE--8%Chol,CD47,6,11,15,3
I9,1934,2,61,2.5,85.0,14.0,0.625,0.1,DOPC--15%PE--0%Chol,CD47,6,8,8,3
A9,1935,2,63,5.0,185.0,14.0,0.625,4.0,DOPC--15%PE--8%Chol,CD47,6,8,0,3
K7,1936,2,32,5.0,185.0,8.0,0.0,0.1,DMPC--0%PE--8%Chol,CD47,6,6,10,3
G7,1937,2,35,5.0,185.0,8.0,0.0,4.0,DOPC--0%PE--8%Chol,CD47,6,6,6,3
I11,1938,2,37,2.5,185.0,8.0,0.0,0.1,DOPC--15%PE--8%Chol,CD47,6,10,8,3
N12,1939,2,39,5.0,85.0,8.0,0.0,4.0,DOPC--15%PE--0%Chol,CD47,6,11,13,3
B7,1940,2,40,2.5,85.0,14.0,0.0,0.1,DMPC--0%PE--8%Chol,CD47,6,6,1,3
D12,1941,2,43,2.5,85.0,14.0,0.0,4.0,DOPC--0%PE--8%Chol,CD47,6,11,3,3
M9,1942,2,45,5.0,85.0,14.0,0.0,0.1,DOPC--15%PE--8%Chol,CD47,6,8,12,3
O9,1943,2,47,2.5,185.0,14.0,0.0,4.0,DOPC--15%PE--0%Chol,CD47,6,8,14,3
K16,1944,2,49,5.0,85.0,8.0,0.625,0.1,DOPC--0%PE--8%Chol,CD47,6,15,10,3
A1,1945,2,50,5.0,85.0,8.0,0.625,4.0,DMPC--0%PE--8%Chol,CD47,6,0,0,3
O2,1946,2,53,5.0,185.0,8.0,0.625,0.1,DOPC--15%PE--0%Chol,CD47,6,1,14,3
E21,1947,2,55,2.5,85.0,8.0,0.625,4.0,DOPC--15%PE--8%Chol,CD47,6,20,4,3
P23,1948,2,57,2.5,185.0,14.0,0.625,0.1,DOPC--0%PE--8%Chol,CD47,6,22,15,3
B23,1949,2,58,2.5,185.0,14.0,0.625,4.0,DMPC--0%PE--8%Chol,CD47,6,22,1,3
E16,1950,2,61,2.5,85.0,14.0,0.625,0.1,DOPC--15%PE--0%Chol,CD47,6,15,4,3
F12,1951,2,63,5.0,185.0,14.0,0.625,4.0,DOPC--15%PE--8%Chol,CD47,6,11,5,3
N23,1952,2,32,5.0,185.0,8.0,0.0,0.1,DMPC--0%PE--8%Chol,CD47,6,22,13,3
I23,1953,2,35,5.0,185.0,8.0,0.0,4.0,DOPC--0%PE--8%Chol,CD47,6,22,8,3
G23,1954,2,37,2.5,185.0,8.0,0.0,0.1,DOPC--15%PE--8%Chol,CD47,6,22,6,3
M11,1955,2,39,5.0,85.0,8.0,0.0,4.0,DOPC--15%PE--0%Chol,CD47,6,10,12,3
N21,1956,2,40,2.5,85.0,14.0,0.0,0.1,DMPC--0%PE--8%Chol,CD47,6,20,13,3
K2,1957,2,43,2.5,85.0,14.0,0.0,4.0,DOPC--0%PE--8%Chol,CD47,6,1,10,3
N14,1958,2,45,5.0,85.0,14.0,0.0,0.1,DOPC--15%PE--8%Chol,CD47,6,13,13,3
B1,1959,2,47,2.5,185.0,14.0,0.0,4.0,DOPC--15%PE--0%Chol,CD47,6,0,1,3
E6,1960,2,49,5.0,85.0,8.0,0.625,0.1,DOPC--0%PE--8%Chol,CD47,6,5,4,3
K22,1961,2,50,5.0,85.0,8.0,0.625,4.0,DMPC--0%PE--8%Chol,CD47,6,21,10,3
H18,1962,2,53,5.0,185.0,8.0,0.625,0.1,DOPC--15%PE--0%Chol,CD47,6,17,7,3
M5,1963,2,55,2.5,85.0,8.0,0.625,4.0,DOPC--15%PE--8%Chol,CD47,6,4,12,3
M6,1964,2,57,2.5,185.0,14.0,0.625,0.1,DOPC--0%PE--8%Chol,CD47,6,5,12,3
A21,1965,2,58,2.5,185.0,14.0,0.625,4.0,DMPC--0%PE--8%Chol,CD47,6,20,0,3
M7,1966,2,61,2.5,85.0,14.0,0.625,0.1,DOPC--15%PE--0%Chol,CD47,6,6,12,3
M16,1967,2,63,5.0,185.0,14.0,0.625,4.0,DOPC--15%PE--8%Chol,CD47,6,15,12,3
G5,1968,2,32,5.0,185.0,8.0,0.0,0.1,DMPC--0%PE--8%Chol,CD47,6,4,6,3
I6,1969,2,35,5.0,185.0,8.0,0.0,4.0,DOPC--0%PE--8%Chol,CD47,6,5,8,3
P22,1970,2,37,2.5,185.0,8.0,0.0,0.1,DOPC--15%PE--8%Chol,CD47,6,21,15,3
D6,1971,2,39,5.0,85.0,8.0,0.0,4.0,DOPC--15%PE--0%Chol,CD47,6,5,3,3
M13,1972,2,40,2.5,85.0,14.0,0.0,0.1,DMPC--0%PE--8%Chol,CD47,6,12,12,3
F4,1973,2,43,2.5,85.0,14.0,0.0,4.0,DOPC--0%PE--8%Chol,CD47,6,3,5,3
H23,1974,2,45,5.0,85.0,14.0,0.0,0.1,DOPC--15%PE--8%Chol,CD47,6,22,7,3
C12,1975,2,47,2.5,185.0,14.0,0.0,4.0,DOPC--15%PE--0%Chol,CD47,6,11,2,3
A15,1976,2,49,5.0,85.0,8.0,0.625,0.1,DOPC--0%PE--8%Chol,CD47,6,14,0,3
P13,1977,2,50,5.0,85.0,8.0,0.625,4.0,DMPC--0%PE--8%Chol,CD47,6,12,15,3
