well_name,Mg,combo,K
A1,14,1_BL59-2_S20,85
A2,16,1_BL59-2_S20,85
A3,14,2_BL62_S20,85
A4,16,2_BL62_S20,85
A5,14,3_BL59-2_S22,85
A6,16,3_BL59-2_S22,85
A7,14,4_BL62_S22,85
A8,16,4_BL62_S22,85
B1,10,1_BL59-2_S20,85
B2,17,1_BL59-2_S20,85
B3,10,2_BL62_S20,85
B4,17,2_BL62_S20,85
B5,10,3_BL59-2_S22,85
B6,17,3_BL59-2_S22,85
B7,10,4_BL62_S22,85
B8,17,4_BL62_S22,85
C1,9,1_BL59-2_S20,85
C2,15,1_BL59-2_S20,85
C3,9,2_BL62_S20,85
C4,15,2_BL62_S20,85
C5,9,3_BL59-2_S22,85
C6,15,3_BL59-2_S22,85
C7,9,4_BL62_S22,85
C8,15,4_BL62_S22,85
D1,8,1_BL59-2_S20,85
D2,11,1_BL59-2_S20,85
D3,8,2_BL62_S20,85
D4,11,2_BL62_S20,85
D5,8,3_BL59-2_S22,85
D6,11,3_BL59-2_S22,85
D7,8,4_BL62_S22,85
D8,11,4_BL62_S22,85
E1,9,1_BL59-2_S20,85
E2,16,1_BL59-2_S20,85
E3,9,2_BL62_S20,85
E4,16,2_BL62_S20,85
E5,9,3_BL59-2_S22,85
E6,16,3_BL59-2_S22,85
E7,9,4_BL62_S22,85
E8,16,4_BL62_S22,85
F1,15,1_BL59-2_S20,85
F2,17,1_BL59-2_S20,85
F3,15,2_BL62_S20,85
F4,17,2_BL62_S20,85
F5,15,3_BL59-2_S22,85
F6,17,3_BL59-2_S22,85
F7,15,4_BL62_S22,85
F8,17,4_BL62_S22,85
G1,12,1_BL59-2_S20,85
G2,10,1_BL59-2_S20,85
G3,12,2_BL62_S20,85
G4,10,2_BL62_S20,85
G5,12,3_BL59-2_S22,85
G6,10,3_BL59-2_S22,85
G7,12,4_BL62_S22,85
G8,10,4_BL62_S22,85
H1,17,1_BL59-2_S20,85
H2,16,1_BL59-2_S20,85
H3,17,2_BL62_S20,85
H4,16,2_BL62_S20,85
H5,17,3_BL59-2_S22,85
H6,16,3_BL59-2_S22,85
H7,17,4_BL62_S22,85
H8,16,4_BL62_S22,85
I1,12,1_BL59-2_S20,85
I2,13,1_BL59-2_S20,85
I3,12,2_BL62_S20,85
I4,13,2_BL62_S20,85
I5,12,3_BL59-2_S22,85
I6,13,3_BL59-2_S22,85
I7,12,4_BL62_S22,85
I8,13,4_BL62_S22,85
J1,8,1_BL59-2_S20,85
J2,13,1_BL59-2_S20,85
J3,8,2_BL62_S20,85
J4,13,2_BL62_S20,85
J5,8,3_BL59-2_S22,85
J6,13,3_BL59-2_S22,85
J7,8,4_BL62_S22,85
J8,13,4_BL62_S22,85
K1,14,1_BL59-2_S20,85
K2,8,1_BL59-2_S20,85
K3,14,2_BL62_S20,85
K4,8,2_BL62_S20,85
K5,14,3_BL59-2_S22,85
K6,8,3_BL59-2_S22,85
K7,14,4_BL62_S22,85
K8,8,4_BL62_S22,85
L1,12,1_BL59-2_S20,85
L2,13,1_BL59-2_S20,85
L3,12,2_BL62_S20,85
L4,13,2_BL62_S20,85
L5,12,3_BL59-2_S22,85
L6,13,3_BL59-2_S22,85
L7,12,4_BL62_S22,85
L8,13,4_BL62_S22,85
M1,14,1_BL59-2_S20,85
M2,9,1_BL59-2_S20,85
M3,14,2_BL62_S20,85
M4,9,2_BL62_S20,85
M5,14,3_BL59-2_S22,85
M6,9,3_BL59-2_S22,85
M7,14,4_BL62_S22,85
M8,9,4_BL62_S22,85
N1,10,1_BL59-2_S20,85
N2,11,1_BL59-2_S20,85
N3,10,2_BL62_S20,85
N4,11,2_BL62_S20,85
N5,10,3_BL59-2_S22,85
N6,11,3_BL59-2_S22,85
N7,10,4_BL62_S22,85
N8,11,4_BL62_S22,85
O1,11,1_BL59-2_S20,85
O3,11,2_BL62_S20,85
O5,11,3_BL59-2_S22,85
O7,11,4_BL62_S22,85
P1,15,1_BL59-2_S20,85
P3,15,2_BL62_S20,85
P5,15,3_BL59-2_S22,85
P7,15,4_BL62_S22,85
