well_name,unique_id,rxn_id,K,Liposome_name,Mg,PEG,SecYE,Liposome_conc,DNA_name,DNA_conc,plate,row,col
E7,1.0,1,85.0,DOPC,8.0,1.0,1.25,3,FITM2,5,3,4,6
J4,2.0,2,85.0,DOPC,14.0,0.0,1.25,3,FITM2,5,3,9,3
N10,4.0,4,85.0,DOPC,20.0,1.0,0.0,3,FITM2,5,3,13,9
H11,15.0,15,185.0,DOPC,14.0,2.0,1.25,3,FITM2,5,3,7,10
C4,16.0,16,185.0,DOPC,20.0,0.0,0.0,3,FITM2,5,3,2,3
A10,17.0,17,185.0,DOPC,20.0,1.0,1.25,3,FITM2,5,3,0,9
K10,19.0,19,185.0,DMPC,8.0,2.0,1.25,3,FITM2,5,3,10,9
O12,24.0,24,85.0,no_lipo,8.0,0.0,0.0,3,FITM2,5,3,14,11
B8,32.0,32,85.0,no_lipo,14.0,1.0,0.0,3,FITM2,5,3,1,7
L3,33.0,33,85.0,no_lipo,14.0,2.0,1.25,3,FITM2,5,3,11,2
I8,36.0,36,185.0,no_lipo,8.0,0.0,1.25,3,FITM2,5,3,8,7
J8,41.0,41,185.0,no_lipo,20.0,1.0,1.25,3,FITM2,5,3,9,7
J12,52.0,52,85.0,DOPC,20.0,1.0,0.0,3,PPTI,5,3,9,11
G12,53.0,53,85.0,DOPC,20.0,2.0,1.25,3,PPTI,5,3,6,11
I4,57.0,57,85.0,DMPC,14.0,2.0,1.25,3,PPTI,5,3,8,3
P12,60.0,60,185.0,DOPC,8.0,0.0,1.25,3,PPTI,5,3,15,11
A5,67.0,67,185.0,DMPC,8.0,2.0,1.25,3,PPTI,5,3,0,4
H3,75.0,75,85.0,no_lipo,14.0,2.0,0.0,3,PPTI,5,3,7,2
G5,79.0,79,85.0,no_lipo,8.0,2.0,0.0,3,PPTI,5,3,6,4
L5,81.0,81,85.0,no_lipo,14.0,2.0,1.25,3,PPTI,5,3,11,4
E1,87.0,87,185.0,no_lipo,14.0,2.0,1.25,3,PPTI,5,3,4,0
H2,93.0,93,185.0,no_lipo,14.0,1.0,1.25,3,PPTI,5,3,7,1
P10,94.0,94,185.0,no_lipo,20.0,0.0,1.25,3,PPTI,5,3,15,9
N11,96.0,96,85.0,DOPC,8.0,0.0,0.0,3,AuxTI,5,3,13,10
E11,100.0,100,85.0,DOPC,20.0,1.0,0.0,3,AuxTI,5,3,4,10
A7,111.0,111,185.0,DOPC,14.0,2.0,1.25,3,AuxTI,5,3,0,6
J2,114.0,114,185.0,DMPC,8.0,1.0,0.0,3,AuxTI,5,3,9,1
A9,118.0,118,185.0,DMPC,20.0,0.0,1.25,3,AuxTI,5,3,0,8
B6,121.0,121,85.0,no_lipo,8.0,1.0,1.25,3,AuxTI,5,3,1,5
E2,124.0,124,85.0,no_lipo,20.0,1.0,0.0,3,AuxTI,5,3,4,1
C6,130.0,130,85.0,no_lipo,20.0,0.0,0.0,3,AuxTI,5,3,2,5
A6,133.0,133,185.0,no_lipo,8.0,2.0,0.0,3,AuxTI,5,3,0,5
C11,135.0,135,185.0,no_lipo,14.0,2.0,1.25,3,AuxTI,5,3,2,10
D9,138.0,138,185.0,no_lipo,8.0,1.0,0.0,3,AuxTI,5,3,3,8
D6,141.0,141,185.0,no_lipo,14.0,1.0,1.25,3,AuxTI,5,3,3,5
C7,150.0,150,85.0,DMPC,8.0,0.0,1.25,3,Beta,5,3,2,6
O3,151.0,151,85.0,DMPC,8.0,2.0,0.0,3,Beta,5,3,14,2
G6,153.0,153,85.0,DMPC,14.0,2.0,1.25,3,Beta,5,3,6,5
I11,158.0,158,185.0,DOPC,14.0,1.0,0.0,3,Beta,5,3,8,10
D12,159.0,159,185.0,DOPC,14.0,2.0,1.25,3,Beta,5,3,3,11
M10,167.0,167,185.0,DMPC,20.0,2.0,0.0,3,Beta,5,3,12,9
C5,170.0,170,85.0,no_lipo,14.0,0.0,1.25,3,Beta,5,3,2,4
G3,171.0,171,85.0,no_lipo,14.0,2.0,0.0,3,Beta,5,3,6,2
F1,178.0,178,85.0,no_lipo,20.0,0.0,0.0,3,Beta,5,3,5,0
M1,187.0,187,185.0,no_lipo,8.0,2.0,1.25,3,Beta,5,3,12,0
L8,189.0,189,185.0,no_lipo,14.0,1.0,1.25,3,Beta,5,3,11,7
D3,192.0,192,85.0,DOPC,8.0,0.0,0.0,3,Blank,5,3,3,2
G10,203.0,203,85.0,DMPC,20.0,1.0,1.25,3,Blank,5,3,6,9
A11,209.0,209,185.0,DOPC,20.0,1.0,1.25,3,Blank,5,3,0,10
G4,214.0,214,185.0,DMPC,20.0,0.0,1.25,3,Blank,5,3,6,3
J10,215.0,215,185.0,DMPC,20.0,2.0,0.0,3,Blank,5,3,9,9
D1,219.0,219,85.0,no_lipo,14.0,2.0,0.0,3,Blank,5,3,3,0
A3,224.0,224,85.0,no_lipo,14.0,1.0,0.0,3,Blank,5,3,0,2
L7,225.0,225,85.0,no_lipo,14.0,2.0,1.25,3,Blank,5,3,11,6
N12,234.0,234,185.0,no_lipo,8.0,1.0,0.0,3,Blank,5,3,13,11
G11,242.0,2,85.0,DOPC,14.0,0.0,1.25,3,FITM2,5,3,6,10
K3,244.0,4,85.0,DOPC,20.0,1.0,0.0,3,FITM2,5,3,10,2
D7,250.0,10,85.0,DMPC,20.0,0.0,0.0,3,FITM2,5,3,3,6
P7,257.0,17,185.0,DOPC,20.0,1.0,1.25,3,FITM2,5,3,15,6
F5,259.0,19,185.0,DMPC,8.0,2.0,1.25,3,FITM2,5,3,5,4
G2,262.0,22,185.0,DMPC,20.0,0.0,1.25,3,FITM2,5,3,6,1
K12,276.0,36,185.0,no_lipo,8.0,0.0,1.25,3,FITM2,5,3,10,11
H4,280.0,40,185.0,no_lipo,20.0,0.0,0.0,3,FITM2,5,3,7,3
C2,284.0,44,185.0,no_lipo,14.0,0.0,0.0,3,FITM2,5,3,2,1
N8,285.0,45,185.0,no_lipo,14.0,1.0,1.25,3,FITM2,5,3,13,7
F3,291.0,51,85.0,DOPC,14.0,2.0,0.0,3,PPTI,5,3,5,2
G7,293.0,53,85.0,DOPC,20.0,2.0,1.25,3,PPTI,5,3,6,6
E9,297.0,57,85.0,DMPC,14.0,2.0,1.25,3,PPTI,5,3,4,8
P9,300.0,60,185.0,DOPC,8.0,0.0,1.25,3,PPTI,5,3,15,8
B12,308.0,68,185.0,DMPC,14.0,0.0,0.0,3,PPTI,5,3,1,11
H5,323.0,83,85.0,no_lipo,20.0,1.0,1.25,3,PPTI,5,3,7,4
M2,327.0,87,185.0,no_lipo,14.0,2.0,1.25,3,PPTI,5,3,12,1
M4,332.0,92,185.0,no_lipo,14.0,0.0,0.0,3,PPTI,5,3,12,3
M11,338.0,98,85.0,DOPC,14.0,0.0,1.25,3,AuxTI,5,3,12,10
P5,339.0,99,85.0,DOPC,14.0,2.0,0.0,3,AuxTI,5,3,15,4
O10,343.0,103,85.0,DMPC,8.0,2.0,0.0,3,AuxTI,5,3,14,9
N1,352.0,112,185.0,DOPC,20.0,0.0,0.0,3,AuxTI,5,3,13,0
A2,356.0,116,185.0,DMPC,14.0,0.0,0.0,3,AuxTI,5,3,0,1
I10,360.0,120,85.0,no_lipo,8.0,0.0,0.0,3,AuxTI,5,3,8,9
I9,368.0,128,85.0,no_lipo,14.0,1.0,0.0,3,AuxTI,5,3,8,8
P11,374.0,134,185.0,no_lipo,14.0,1.0,0.0,3,AuxTI,5,3,15,10
E4,382.0,142,185.0,no_lipo,20.0,0.0,1.25,3,AuxTI,5,3,4,3
L10,391.0,151,85.0,DMPC,8.0,2.0,0.0,3,Beta,5,3,11,9
K6,397.0,157,185.0,DOPC,8.0,2.0,0.0,3,Beta,5,3,10,5
J1,418.0,178,85.0,no_lipo,20.0,0.0,0.0,3,Beta,5,3,9,0
K7,426.0,186,185.0,no_lipo,8.0,1.0,0.0,3,Beta,5,3,10,6
H12,437.0,197,85.0,DOPC,20.0,2.0,1.25,3,Blank,5,3,7,11
N4,438.0,198,85.0,DMPC,8.0,0.0,1.25,3,Blank,5,3,13,3
M12,446.0,206,185.0,DOPC,14.0,1.0,0.0,3,Blank,5,3,12,11
K11,455.0,215,185.0,DMPC,20.0,2.0,0.0,3,Blank,5,3,10,10
N7,465.0,225,85.0,no_lipo,14.0,2.0,1.25,3,Blank,5,3,13,6
C9,468.0,228,185.0,no_lipo,8.0,0.0,1.25,3,Blank,5,3,2,8
P3,469.0,229,185.0,no_lipo,8.0,2.0,0.0,3,Blank,5,3,15,2
K4,477.0,237,185.0,no_lipo,14.0,1.0,1.25,3,Blank,5,3,10,3
I2,479.0,239,185.0,no_lipo,20.0,2.0,0.0,3,Blank,5,3,8,1
L11,484.0,4,85.0,DOPC,20.0,1.0,0.0,3,FITM2,5,3,11,10
F6,489.0,9,85.0,DMPC,14.0,2.0,1.25,3,FITM2,5,3,5,5
H1,499.0,19,185.0,DMPC,8.0,2.0,1.25,3,FITM2,5,3,7,0
E8,501.0,21,185.0,DMPC,14.0,1.0,1.25,3,FITM2,5,3,4,7
M9,505.0,25,85.0,no_lipo,8.0,1.0,1.25,3,FITM2,5,3,12,8
J7,514.0,34,85.0,no_lipo,20.0,0.0,0.0,3,FITM2,5,3,9,6
F10,523.0,43,185.0,no_lipo,8.0,2.0,1.25,3,FITM2,5,3,5,9
A4,527.0,47,185.0,no_lipo,20.0,2.0,0.0,3,FITM2,5,3,0,3
I12,528.0,48,85.0,DOPC,8.0,0.0,0.0,3,PPTI,5,3,8,11
H9,536.0,56,85.0,DMPC,14.0,1.0,0.0,3,PPTI,5,3,7,8
L2,537.0,57,85.0,DMPC,14.0,2.0,1.25,3,PPTI,5,3,11,1
K5,540.0,60,185.0,DOPC,8.0,0.0,1.25,3,PPTI,5,3,10,4
C8,543.0,63,185.0,DOPC,14.0,2.0,1.25,3,PPTI,5,3,2,7
F11,554.0,74,85.0,no_lipo,14.0,0.0,1.25,3,PPTI,5,3,5,10
B11,558.0,78,85.0,no_lipo,8.0,0.0,1.25,3,PPTI,5,3,1,10
D2,565.0,85,185.0,no_lipo,8.0,2.0,0.0,3,PPTI,5,3,3,1
E6,569.0,89,185.0,no_lipo,20.0,1.0,1.25,3,PPTI,5,3,4,5
H7,576.0,96,85.0,DOPC,8.0,0.0,0.0,3,AuxTI,5,3,7,6
B10,584.0,104,85.0,DMPC,14.0,1.0,0.0,3,AuxTI,5,3,1,9
O8,585.0,105,85.0,DMPC,14.0,2.0,1.25,3,AuxTI,5,3,14,7
J11,593.0,113,185.0,DOPC,20.0,1.0,1.25,3,AuxTI,5,3,9,10
L12,595.0,115,185.0,DMPC,8.0,2.0,1.25,3,AuxTI,5,3,11,11
H10,604.0,124,85.0,no_lipo,20.0,1.0,0.0,3,AuxTI,5,3,7,9
P8,611.0,131,85.0,no_lipo,20.0,1.0,1.25,3,AuxTI,5,3,15,7
