well_name,unique_id,rxn_id,DNA_name,Mg,SecYE,K,PEG,Liposome_name,DNA_conc,Liposome_conc,plate,row,col
B18,1261,209,InP,8,0.0,85,2,no_lipo,5,0,2,1,17
E1,1262,210,Mito,14,0.0,185,0,no_lipo,5,0,2,4,0
A22,1264,212,Mito,8,0.0,185,0,no_lipo,5,0,2,0,21
C22,1265,213,Mito,20,0.625,185,0,no_lipo,5,0,2,2,21
O15,1271,219,Mol,8,0.0,135,0,no_lipo,5,0,2,14,14
F14,1272,220,Mol,8,0.0,185,0,no_lipo,5,0,2,5,13
F1,1273,221,Mol,8,0.0,85,0,no_lipo,5,0,2,5,0
O12,1274,222,Mol,8,0.625,185,0,no_lipo,5,0,2,14,11
G5,1275,223,Mol,8,0.625,135,0,no_lipo,5,0,2,6,4
K22,1279,227,Mol,14,0.0,185,0,no_lipo,5,0,2,10,21
G17,1293,241,MtlA,8,0.0,85,1,no_lipo,5,0,2,6,16
J7,1294,242,MtlA,14,0.0,135,2,no_lipo,5,0,2,9,6
F15,1296,244,MtlA,14,0.0,185,2,no_lipo,5,0,2,5,14
N20,1297,245,MtlA,20,0.0,135,2,no_lipo,5,0,2,13,19
