well_name,unique_id,rxn_id,K,Liposome_name,Mg,SecYE,Spermidine,Liposome_conc,DNA_conc,DNA_name,plate,row,col
D17,0,0,85,DMPC,8,0,0.1,3,5,CD47,2,3,16
N4,4,4,85,DMPC,14,0.625,1,3,5,CD47,2,13,3
G4,6,6,85,DMPC+15%PE,8,0,0.4,3,5,CD47,2,6,3
M16,8,8,85,DMPC+15%PE,8,1.25,4,3,5,CD47,2,12,15
K19,9,9,85,DMPC+15%PE,14,0,1,3,5,CD47,2,10,18
H18,11,11,85,DMPC+30%PE,8,0,1,3,5,CD47,2,7,17
A2,12,12,85,DMPC+30%PE,8,0.625,4,3,5,CD47,2,0,1
N14,13,13,85,DMPC+30%PE,14,0,4,3,5,CD47,2,13,13
O3,15,15,185,DMPC,8,0.625,1,3,5,CD47,2,14,2
B20,16,16,185,DMPC,8,1.25,4,3,5,CD47,2,1,19
C3,18,18,185,DMPC,14,0.625,4,3,5,CD47,2,2,2
J12,22,22,185,DMPC+30%PE,8,0,4,3,5,CD47,2,9,11
P4,195,195,85,no_lipo,14,0,0.4,3,5,CD47,2,15,3
G8,196,196,85,no_lipo,14,0.625,1,3,5,CD47,2,6,7
E15,198,198,85,no_lipo,8,0,0.4,3,5,CD47,2,4,14
O6,199,199,85,no_lipo,8,0.625,1,3,5,CD47,2,14,5
K10,201,201,85,no_lipo,14,0,1,3,5,CD47,2,10,9
N3,202,202,85,no_lipo,14,0.625,4,3,5,CD47,2,13,2
M17,204,204,85,no_lipo,8,0.625,4,3,5,CD47,2,12,16
L24,205,205,85,no_lipo,14,0,4,3,5,CD47,2,11,23
H9,208,208,185,no_lipo,8,1.25,4,3,5,CD47,2,7,8
L9,210,210,185,no_lipo,14,0.625,4,3,5,CD47,2,11,8
G24,212,212,185,no_lipo,8,0.625,4,3,5,CD47,2,6,23
J4,213,213,185,no_lipo,14,0,4,3,5,CD47,2,9,3
N6,386,2,85,DMPC,8,1.25,1,3,5,CD47,2,13,5
C9,390,6,85,DMPC+15%PE,8,0,0.4,3,5,CD47,2,2,8
M12,393,9,85,DMPC+15%PE,14,0,1,3,5,CD47,2,12,11
F4,398,14,185,DMPC,8,0,0.4,3,5,CD47,2,5,3
N19,400,16,185,DMPC,8,1.25,4,3,5,CD47,2,13,18
O18,401,17,185,DMPC,14,0,1,3,5,CD47,2,14,17
C14,407,23,185,DMPC+30%PE,14,1.25,0.1,3,5,CD47,2,2,13
O12,577,193,85,no_lipo,8,0.625,0.4,3,5,CD47,2,14,11
K21,578,194,85,no_lipo,8,1.25,1,3,5,CD47,2,10,20
B12,581,197,85,no_lipo,14,1.25,4,3,5,CD47,2,1,11
B13,583,199,85,no_lipo,8,0.625,1,3,5,CD47,2,1,12
D14,589,205,85,no_lipo,14,0,4,3,5,CD47,2,3,13
L4,590,206,185,no_lipo,8,0,0.4,3,5,CD47,2,11,3
O7,592,208,185,no_lipo,8,1.25,4,3,5,CD47,2,14,6
I6,593,209,185,no_lipo,14,0,1,3,5,CD47,2,8,5
G18,596,212,185,no_lipo,8,0.625,4,3,5,CD47,2,6,17
K9,597,213,185,no_lipo,14,0,4,3,5,CD47,2,10,8
L12,598,214,185,no_lipo,8,0,4,3,5,CD47,2,11,11
A15,768,0,85,DMPC,8,0,0.1,3,5,CD47,2,0,14
A7,769,1,85,DMPC,8,0.625,0.4,3,5,CD47,2,0,6
F21,772,4,85,DMPC,14,0.625,1,3,5,CD47,2,5,20
K12,776,8,85,DMPC+15%PE,8,1.25,4,3,5,CD47,2,10,11
L19,778,10,85,DMPC+15%PE,14,0.625,4,3,5,CD47,2,11,18
N9,779,11,85,DMPC+30%PE,8,0,1,3,5,CD47,2,13,8
D2,780,12,85,DMPC+30%PE,8,0.625,4,3,5,CD47,2,3,1
E6,784,16,185,DMPC,8,1.25,4,3,5,CD47,2,4,5
J14,785,17,185,DMPC,14,0,1,3,5,CD47,2,9,13
L18,787,19,185,DMPC+15%PE,8,0,1,3,5,CD47,2,11,17
I20,790,22,185,DMPC+30%PE,8,0,4,3,5,CD47,2,8,19
C23,962,194,85,no_lipo,8,1.25,1,3,5,CD47,2,2,22
G6,963,195,85,no_lipo,14,0,0.4,3,5,CD47,2,6,5
P22,964,196,85,no_lipo,14,0.625,1,3,5,CD47,2,15,21
