pmol,well_name
17.5,A17
17.5,A18
17.5,A19
8.75,B17
8.75,B18
8.75,B19
4.38,C17
4.38,C18
4.38,C19
2.19,D17
2.19,D18
2.19,D19
1.095,E17
1.095,E18
1.095,E19
0.5,F17
0.5,F18
0.5,F19
0,G17
0,G18
0,G19
