well_name,unique_id,rxn_id,K,Liposome_name,Mg,PEG,SecYE,Liposome_conc,DNA_name,DNA_conc,plate,row,col
K10,0,0,85.0,DOPC,8.0,0.0,0.0,3,Prorient,5,1,10,9
M11,1,1,85.0,DOPC,8.0,1.0,1.25,3,Prorient,5,1,12,10
J8,2,2,85.0,DOPC,14.0,0.0,1.25,3,Prorient,5,1,9,7
O14,3,3,85.0,DOPC,14.0,2.0,0.0,3,Prorient,5,1,14,13
M12,4,4,85.0,DOPC,20.0,1.0,0.0,3,Prorient,5,1,12,11
M3,5,5,85.0,DOPC,20.0,2.0,1.25,3,Prorient,5,1,12,2
N16,6,6,85.0,DMPC,8.0,0.0,1.25,3,Prorient,5,1,13,15
M10,7,7,85.0,DMPC,8.0,2.0,0.0,3,Prorient,5,1,12,9
I15,8,8,85.0,DMPC,14.0,1.0,0.0,3,Prorient,5,1,8,14
O8,9,9,85.0,DMPC,14.0,2.0,1.25,3,Prorient,5,1,14,7
G10,10,10,85.0,DMPC,20.0,0.0,0.0,3,Prorient,5,1,6,9
G3,11,11,85.0,DMPC,20.0,1.0,1.25,3,Prorient,5,1,6,2
B23,12,12,185.0,DOPC,8.0,0.0,1.25,3,Prorient,5,1,1,22
D20,13,13,185.0,DOPC,8.0,2.0,0.0,3,Prorient,5,1,3,19
D6,14,14,185.0,DOPC,14.0,1.0,0.0,3,Prorient,5,1,3,5
G17,15,15,185.0,DOPC,14.0,2.0,1.25,3,Prorient,5,1,6,16
M22,16,16,185.0,DOPC,20.0,0.0,0.0,3,Prorient,5,1,12,21
G20,17,17,185.0,DOPC,20.0,1.0,1.25,3,Prorient,5,1,6,19
N9,18,18,185.0,DMPC,8.0,1.0,0.0,3,Prorient,5,1,13,8
O10,19,19,185.0,DMPC,8.0,2.0,1.25,3,Prorient,5,1,14,9
K17,20,20,185.0,DMPC,14.0,0.0,0.0,3,Prorient,5,1,10,16
A14,21,21,185.0,DMPC,14.0,1.0,1.25,3,Prorient,5,1,0,13
G11,22,22,185.0,DMPC,20.0,0.0,1.25,3,Prorient,5,1,6,10
O19,23,23,185.0,DMPC,20.0,2.0,0.0,3,Prorient,5,1,14,18
K19,24,24,85.0,no_lipo,8.0,0.0,0.0,3,Prorient,5,1,10,18
A2,25,25,85.0,no_lipo,8.0,1.0,1.25,3,Prorient,5,1,0,1
L17,26,26,85.0,no_lipo,14.0,0.0,1.25,3,Prorient,5,1,11,16
O15,27,27,85.0,no_lipo,14.0,2.0,0.0,3,Prorient,5,1,14,14
K7,28,28,85.0,no_lipo,20.0,1.0,0.0,3,Prorient,5,1,10,6
I14,29,29,85.0,no_lipo,20.0,2.0,1.25,3,Prorient,5,1,8,13
F12,30,30,85.0,no_lipo,8.0,0.0,1.25,3,Prorient,5,1,5,11
J19,31,31,85.0,no_lipo,8.0,2.0,0.0,3,Prorient,5,1,9,18
J7,32,32,85.0,no_lipo,14.0,1.0,0.0,3,Prorient,5,1,9,6
F11,33,33,85.0,no_lipo,14.0,2.0,1.25,3,Prorient,5,1,5,10
F5,34,34,85.0,no_lipo,20.0,0.0,0.0,3,Prorient,5,1,5,4
N22,35,35,85.0,no_lipo,20.0,1.0,1.25,3,Prorient,5,1,13,21
E3,36,36,185.0,no_lipo,8.0,0.0,1.25,3,Prorient,5,1,4,2
D21,37,37,185.0,no_lipo,8.0,2.0,0.0,3,Prorient,5,1,3,20
O24,38,38,185.0,no_lipo,14.0,1.0,0.0,3,Prorient,5,1,14,23
L16,39,39,185.0,no_lipo,14.0,2.0,1.25,3,Prorient,5,1,11,15
E18,40,40,185.0,no_lipo,20.0,0.0,0.0,3,Prorient,5,1,4,17
O2,41,41,185.0,no_lipo,20.0,1.0,1.25,3,Prorient,5,1,14,1
H24,42,42,185.0,no_lipo,8.0,1.0,0.0,3,Prorient,5,1,7,23
A7,43,43,185.0,no_lipo,8.0,2.0,1.25,3,Prorient,5,1,0,6
L13,44,44,185.0,no_lipo,14.0,0.0,0.0,3,Prorient,5,1,11,12
I11,45,45,185.0,no_lipo,14.0,1.0,1.25,3,Prorient,5,1,8,10
P4,46,46,185.0,no_lipo,20.0,0.0,1.25,3,Prorient,5,1,15,3
B12,47,47,185.0,no_lipo,20.0,2.0,0.0,3,Prorient,5,1,1,11
C2,48,48,85.0,DOPC,8.0,0.0,0.0,3,Blank,5,1,2,1
D1,49,49,85.0,DOPC,8.0,1.0,1.25,3,Blank,5,1,3,0
C6,50,50,85.0,DOPC,14.0,0.0,1.25,3,Blank,5,1,2,5
G21,51,51,85.0,DOPC,14.0,2.0,0.0,3,Blank,5,1,6,20
K14,52,52,85.0,DOPC,20.0,1.0,0.0,3,Blank,5,1,10,13
