well_name,plate,DNA_name,DNA_conc,K,Liposome_name,Liposome_conc,Mg,SecYE,WCE,Supp
I2,3,Vol,5.0,135.0,DMPC,3.0,12.0,0.0,BL62,S22
I20,3,Glut,5.0,85.0,DMPC,3.0,20.0,1.25,BL62,S22
I21,3,Vol,5.0,135.0,DMPC,3.0,8.0,0.0,BL62,S22
I22,3,Glut,5.0,135.0,DMPC,3.0,12.0,0.0,BL62,S22
I3,3,AqpZ,5.0,135.0,DOPC,3.0,12.0,1.25,BL62,S22
I4,3,Neu,5.0,85.0,DMPC,3.0,16.0,1.25,BL62,S22
I5,3,Vol,5.0,85.0,DMPC,3.0,8.0,0.0,BL62,S22
I6,3,Glut,5.0,85.0,no_lipo,0.0,12.0,0.0,BL62,S22
I7,3,Neu,5.0,85.0,DOPC,3.0,16.0,0.0,BL62,S22
I8,3,Glut,5.0,135.0,DOPC,3.0,12.0,0.0,BL62,S22
I9,3,Neu,5.0,85.0,DMPC,3.0,20.0,0.0,BL62,S22
J1,3,Neu,5.0,85.0,DMPC,3.0,16.0,0.0,BL62,S22
J10,3,Mol,5.0,85.0,DMPC,3.0,12.0,1.25,BL62,S22
J11,3,AqpZ,5.0,85.0,DOPC,3.0,20.0,1.25,BL62,S22
J12,3,Vol,5.0,135.0,DMPC,3.0,20.0,1.25,BL62,S22
J13,3,Vol,5.0,85.0,DOPC,3.0,16.0,0.0,BL62,S22
J14,3,AqpZ,5.0,135.0,DOPC,3.0,12.0,0.0,BL62,S22
J15,3,Mol,5.0,85.0,DOPC,3.0,12.0,0.0,BL62,S22
J16,3,AqpZ,5.0,135.0,no_lipo,0.0,8.0,0.0,BL62,S22
J17,3,Neu,5.0,85.0,DOPC,3.0,16.0,0.0,BL62,S22
J18,3,Vol,5.0,135.0,DMPC,3.0,12.0,0.0,BL62,S22
J19,3,Mol,5.0,135.0,DMPC,3.0,8.0,1.25,BL62,S22
J2,3,Mol,5.0,135.0,no_lipo,0.0,16.0,0.0,BL62,S22
J20,3,AqpZ,5.0,85.0,DOPC,3.0,12.0,1.25,BL62,S22
J21,3,Vol,5.0,85.0,no_lipo,0.0,16.0,0.0,BL62,S22
J22,3,Glut,5.0,85.0,DOPC,3.0,20.0,0.0,BL62,S22
J3,3,Glut,5.0,135.0,DMPC,3.0,8.0,1.25,BL62,S22
J4,3,AqpZ,5.0,85.0,DMPC,3.0,20.0,1.25,BL62,S22
J5,3,Mol,5.0,135.0,no_lipo,0.0,16.0,0.0,BL62,S22
J6,3,Mol,5.0,85.0,DMPC,3.0,12.0,0.0,BL62,S22
J7,3,Vol,5.0,135.0,DOPC,3.0,16.0,0.0,BL62,S22
J8,3,Neu,5.0,135.0,DOPC,3.0,20.0,1.25,BL62,S22
J9,3,Mol,5.0,135.0,no_lipo,0.0,12.0,0.0,BL62,S22
K1,3,Mol,5.0,135.0,DMPC,3.0,8.0,1.25,BL62,S22
K10,3,Vol,5.0,135.0,no_lipo,0.0,8.0,1.25,BL62,S22
K11,3,AqpZ,5.0,135.0,DMPC,3.0,20.0,1.25,BL62,S22
K12,3,Vol,5.0,135.0,DOPC,3.0,20.0,0.0,BL62,S22
K13,3,Glut,5.0,135.0,DOPC,3.0,20.0,1.25,BL62,S22
K14,3,Mol,5.0,85.0,DOPC,3.0,16.0,0.0,BL62,S22
K15,3,Vol,5.0,85.0,DMPC,3.0,20.0,1.25,BL62,S22
K16,3,Neu,5.0,85.0,no_lipo,0.0,8.0,0.0,BL62,S22
K17,3,Mol,5.0,85.0,DOPC,3.0,12.0,1.25,BL62,S22
K18,3,Mol,5.0,85.0,DOPC,3.0,16.0,0.0,BL62,S22
K19,3,Neu,5.0,135.0,DMPC,3.0,16.0,1.25,BL62,S22
K2,3,Neu,5.0,85.0,no_lipo,0.0,12.0,1.25,BL62,S22
K20,3,Glut,5.0,135.0,DOPC,3.0,16.0,1.25,BL62,S22
K21,3,AqpZ,5.0,135.0,DMPC,3.0,8.0,0.0,BL62,S22
K22,3,AqpZ,5.0,85.0,DOPC,3.0,16.0,1.25,BL62,S22
K3,3,Vol,5.0,135.0,DMPC,3.0,8.0,0.0,BL62,S22
K4,3,Mol,5.0,135.0,no_lipo,0.0,20.0,0.0,BL62,S22
K5,3,AqpZ,5.0,135.0,DOPC,3.0,16.0,0.0,BL62,S22
K6,3,Neu,5.0,85.0,DMPC,3.0,12.0,1.25,BL62,S22
K7,3,Vol,5.0,135.0,DMPC,3.0,20.0,1.25,BL62,S22
K8,3,Vol,5.0,135.0,DOPC,3.0,12.0,0.0,BL62,S22
K9,3,Mol,5.0,85.0,DOPC,3.0,12.0,0.0,BL62,S22
L1,3,Glut,5.0,85.0,DMPC,3.0,8.0,0.0,BL62,S22
L10,3,AqpZ,5.0,85.0,DMPC,3.0,20.0,0.0,BL62,S22
L11,3,Neu,5.0,85.0,DMPC,3.0,8.0,1.25,BL62,S22
L12,3,Mol,5.0,135.0,no_lipo,0.0,20.0,0.0,BL62,S22
L13,3,AqpZ,5.0,135.0,DOPC,3.0,8.0,0.0,BL62,S22
L14,3,Glut,5.0,135.0,DMPC,3.0,16.0,1.25,BL62,S22
L15,3,Glut,5.0,85.0,no_lipo,0.0,8.0,1.25,BL62,S22
L16,3,Mol,5.0,85.0,DMPC,3.0,8.0,1.25,BL62,S22
L17,3,Glut,5.0,85.0,DMPC,3.0,12.0,0.0,BL62,S22
L18,3,Neu,5.0,135.0,DOPC,3.0,16.0,1.25,BL62,S22
