K,Liposome_name,Mg,PEG,SecYE,Liposome_conc,DNA_name,DNA_conc,rep,well_name,plate,exp_rep,unique_id
85,DOPC,20,2,0.0,3,PDGFRB2-TAT,5,2,A1,1,1,1
135,DOPC,14,2,0.0,3,TFR1-TAT,5,2,A15,1,1,211
135,DOPC,14,2,0.0,3,TFR1-TAT,5,3,A16,1,1,226
135,no_lipo,20,2,1.25,3,PDGFRB2-TAT,5,2,A18,1,1,256
135,DOPC,14,2,0.0,3,PDGFRB2-TAT,5,1,A19,1,1,271
85,DOPC,20,2,0.0,3,AqpZ,5,3,A23,1,1,331
85,no_lipo,20,2,0.0,3,Blank,5,3,A4,1,1,46
135,no_lipo,20,2,1.25,3,TFR1-TAT,5,3,B1,1,1,2
85,DOPC,20,2,0.0,3,PDGFRB2-TAT,5,3,B13,1,1,182
135,DOPC,20,2,1.25,3,TFR1,5,4,B15,1,1,212
85,no_lipo,20,2,0.0,3,PDGFRB2-TAT,5,4,B18,1,1,257
135,DOPC,14,2,0.0,3,Blank,5,2,B21,1,1,302
135,DOPC,20,2,1.25,3,TFR1-TAT,5,3,B3,1,1,32
85,DOPC,20,2,0.0,3,Blank,5,4,B4,1,1,47
85,no_lipo,20,2,0.0,3,TFR1-TAT,5,2,B5,1,1,62
135,no_lipo,14,2,0.0,3,AqpZ,5,1,B7,1,1,92
85,no_lipo,20,2,0.0,3,Blank,5,4,B8,1,1,107
85,DOPC,20,2,0.0,3,TFR1-TAT,5,3,C10,1,1,138
135,DOPC,14,2,0.0,3,PDGFRB2-TAT,5,3,C14,1,1,198
85,DOPC,20,2,0.0,3,Blank,5,1,C18,1,1,258
85,DOPC,20,2,0.0,3,PDGFRB2-TAT,5,1,C23,1,1,333
135,DOPC,20,2,1.25,3,PDGFRB2-TAT,5,1,C24,1,1,348
135,no_lipo,14,2,0.0,3,Blank,5,4,C3,1,1,33
85,DOPC,20,2,0.0,3,TFR1,5,1,C6,1,1,78
135,no_lipo,14,2,0.0,3,TFR1,5,2,C7,1,1,93
85,no_lipo,20,2,0.0,3,TFR1-TAT,5,4,C9,1,1,123
85,no_lipo,20,2,0.0,3,PDGFRB2-TAT,5,1,D19,1,1,274
85,no_lipo,20,2,0.0,3,AqpZ,5,4,D20,1,1,289
135,DOPC,20,2,1.25,3,TFR1-TAT,5,2,D22,1,1,319
135,DOPC,20,2,1.25,3,TFR1-TAT,5,4,D24,1,1,349
85,no_lipo,20,2,0.0,3,Blank,5,2,D3,1,1,34
135,no_lipo,14,2,0.0,3,TFR1,5,1,D4,1,1,49
85,DOPC,20,2,0.0,3,AqpZ,5,4,D5,1,1,64
135,no_lipo,20,2,1.25,3,Blank,5,4,D8,1,1,109
85,no_lipo,20,2,0.0,3,PDGFRB2-TAT,5,2,D9,1,1,124
85,no_lipo,20,2,0.0,3,Blank,5,1,E10,1,1,140
135,no_lipo,14,2,0.0,3,Blank,5,2,E2,1,1,20
85,DOPC,20,2,0.0,3,AqpZ,5,1,E20,1,1,290
85,no_lipo,20,2,0.0,3,TFR1,5,1,E24,1,1,350
135,no_lipo,20,2,1.25,3,TFR1-TAT,5,2,E6,1,1,80
135,no_lipo,20,2,1.25,3,AqpZ,5,4,F11,1,1,156
135,no_lipo,14,2,0.0,3,TFR1-TAT,5,2,F20,1,1,291
135,no_lipo,20,2,1.25,3,AqpZ,5,1,F3,1,1,36
135,DOPC,20,2,1.25,3,AqpZ,5,4,F4,1,1,51
135,no_lipo,20,2,1.25,3,AqpZ,5,2,F5,1,1,66
135,DOPC,20,2,1.25,3,PDGFRB2-TAT,5,3,G1,1,1,7
85,no_lipo,20,2,0.0,3,AqpZ,5,3,G10,1,1,142
135,DOPC,14,2,0.0,3,AqpZ,5,4,G11,1,1,157
135,DOPC,20,2,1.25,3,AqpZ,5,2,G13,1,1,187
135,no_lipo,14,2,0.0,3,AqpZ,5,2,G15,1,1,217
85,no_lipo,20,2,0.0,3,TFR1-TAT,5,3,G17,1,1,247
135,no_lipo,20,2,1.25,3,PDGFRB2-TAT,5,4,G2,1,1,22
135,no_lipo,20,2,1.25,3,Blank,5,1,G20,1,1,292
85,no_lipo,20,2,0.0,3,TFR1,5,2,G23,1,1,337
85,no_lipo,20,2,0.0,3,TFR1-TAT,5,1,G24,1,1,352
135,DOPC,20,2,1.25,3,Blank,5,2,G4,1,1,52
85,DOPC,20,2,0.0,3,TFR1-TAT,5,1,G7,1,1,97
135,no_lipo,14,2,0.0,3,PDGFRB2-TAT,5,3,G8,1,1,112
135,DOPC,14,2,0.0,3,TFR1-TAT,5,1,H16,1,1,233
135,DOPC,14,2,0.0,3,TFR1,5,2,H2,1,1,23
135,DOPC,14,2,0.0,3,TFR1-TAT,5,4,H4,1,1,53
135,no_lipo,14,2,0.0,3,TFR1-TAT,5,3,H5,1,1,68
85,DOPC,20,2,0.0,3,Blank,5,2,H8,1,1,113
135,no_lipo,20,2,1.25,3,TFR1,5,4,H9,1,1,128
135,DOPC,14,2,0.0,3,Blank,5,3,I1,1,1,9
135,DOPC,14,2,0.0,3,TFR1,5,1,I12,1,1,174
135,no_lipo,14,2,0.0,3,Blank,5,1,I15,1,1,219
135,DOPC,14,2,0.0,3,Blank,5,4,I16,1,1,234
135,no_lipo,20,2,1.25,3,TFR1,5,3,I2,1,1,24
135,no_lipo,20,2,1.25,3,Blank,5,3,I22,1,1,324
135,DOPC,20,2,1.25,3,PDGFRB2-TAT,5,4,I24,1,1,354
135,DOPC,14,2,0.0,3,PDGFRB2-TAT,5,4,I3,1,1,39
135,DOPC,20,2,1.25,3,AqpZ,5,1,I4,1,1,54
135,no_lipo,20,2,1.25,3,TFR1,5,2,I8,1,1,114
135,no_lipo,20,2,1.25,3,PDGFRB2-TAT,5,3,J1,1,1,10
135,DOPC,20,2,1.25,3,Blank,5,3,J10,1,1,145
135,DOPC,20,2,1.25,3,TFR1,5,2,J11,1,1,160
85,no_lipo,20,2,0.0,3,PDGFRB2-TAT,5,3,J17,1,1,250
85,no_lipo,20,2,0.0,3,AqpZ,5,2,J2,1,1,25
135,no_lipo,14,2,0.0,3,TFR1,5,3,J20,1,1,295
135,DOPC,20,2,1.25,3,Blank,5,1,J23,1,1,340
135,DOPC,14,2,0.0,3,AqpZ,5,2,J3,1,1,40
85,no_lipo,20,2,0.0,3,AqpZ,5,1,J5,1,1,70
135,no_lipo,20,2,1.25,3,TFR1-TAT,5,4,K11,1,1,161
135,no_lipo,14,2,0.0,3,PDGFRB2-TAT,5,1,K12,1,1,176
135,DOPC,14,2,0.0,3,AqpZ,5,1,K19,1,1,281
135,no_lipo,14,2,0.0,3,Blank,5,3,K20,1,1,296
135,no_lipo,14,2,0.0,3,TFR1-TAT,5,1,K22,1,1,326
85,DOPC,20,2,0.0,3,PDGFRB2-TAT,5,4,K4,1,1,56
135,DOPC,20,2,1.25,3,TFR1-TAT,5,1,K5,1,1,71
135,no_lipo,20,2,1.25,3,TFR1-TAT,5,1,K8,1,1,116
135,DOPC,20,2,1.25,3,TFR1,5,3,L11,1,1,162
135,DOPC,14,2,0.0,3,TFR1,5,3,L23,1,1,342
135,DOPC,14,2,0.0,3,Blank,5,1,M11,1,1,163
135,no_lipo,20,2,1.25,3,PDGFRB2-TAT,5,1,M12,1,1,178
135,DOPC,14,2,0.0,3,TFR1,5,4,M16,1,1,238
85,DOPC,20,2,0.0,3,Blank,5,3,M20,1,1,298
135,no_lipo,20,2,1.25,3,AqpZ,5,3,M22,1,1,328
135,no_lipo,20,2,1.25,3,TFR1,5,1,M23,1,1,343
135,DOPC,14,2,0.0,3,AqpZ,5,3,M24,1,1,358
135,no_lipo,14,2,0.0,3,TFR1,5,4,M3,1,1,43
85,no_lipo,20,2,0.0,3,TFR1,5,4,M4,1,1,58
85,DOPC,20,2,0.0,3,TFR1,5,4,N13,1,1,194
135,no_lipo,14,2,0.0,3,PDGFRB2-TAT,5,2,N14,1,1,209
135,no_lipo,20,2,1.25,3,Blank,5,2,N15,1,1,224
135,no_lipo,14,2,0.0,3,AqpZ,5,3,N18,1,1,269
135,no_lipo,14,2,0.0,3,AqpZ,5,4,N19,1,1,284
85,DOPC,20,2,0.0,3,AqpZ,5,2,N2,1,1,29
85,DOPC,20,2,0.0,3,TFR1-TAT,5,4,N20,1,1,299
85,no_lipo,20,2,0.0,3,TFR1,5,3,N21,1,1,314
135,no_lipo,14,2,0.0,3,PDGFRB2-TAT,5,4,N22,1,1,329
135,DOPC,20,2,1.25,3,Blank,5,4,N4,1,1,59
135,DOPC,20,2,1.25,3,PDGFRB2-TAT,5,2,N6,1,1,89
85,DOPC,20,2,0.0,3,TFR1-TAT,5,2,O1,1,1,15
135,DOPC,20,2,1.25,3,TFR1,5,1,O12,1,1,180
85,DOPC,20,2,0.0,3,TFR1,5,2,O16,1,1,240
85,DOPC,20,2,0.0,3,TFR1,5,3,O17,1,1,255
135,DOPC,20,2,1.25,3,AqpZ,5,3,O5,1,1,75
135,no_lipo,14,2,0.0,3,TFR1-TAT,5,4,O6,1,1,90
135,DOPC,14,2,0.0,3,PDGFRB2-TAT,5,2,O7,1,1,105
