well_name,plate,exp_rep,K,SecYE,Mg,PEG,Liposome_conc,DNA_conc,Liposome_name,DNA_name,water_droplets,rep
A1,1,1,85.0,0.0,20.0,2.0,3.0,5.0,DOPC,PDGFRB2-TAT,2,1
A15,1,1,135.0,0.0,20.0,2.0,3.0,5.0,DOPC,TFR1-TAT,2,1
A16,1,1,135.0,0.0,20.0,2.0,3.0,5.0,DOPC,TFR1-TAT,2,2
A18,1,1,135.0,1.25,20.0,2.0,3.0,5.0,no_lipo,PDGFRB2-TAT,0,2
A19,1,1,135.0,0.0,20.0,2.0,3.0,5.0,DOPC,PDGFRB2-TAT,2,3
A23,1,1,85.0,0.0,20.0,2.0,3.0,5.0,DOPC,AqpZ,2,1
A4,1,1,85.0,0.0,20.0,2.0,3.0,5.0,no_lipo,Blank,2,1
B1,1,1,135.0,1.25,20.0,2.0,3.0,5.0,no_lipo,TFR1-TAT,0,3
B13,1,1,85.0,0.0,20.0,2.0,3.0,5.0,DOPC,PDGFRB2-TAT,2,4
B15,1,1,135.0,1.25,20.0,2.0,3.0,5.0,DOPC,TFR1,0,1
B18,1,1,85.0,0.0,20.0,2.0,3.0,5.0,no_lipo,PDGFRB2-TAT,2,5
B21,1,1,135.0,0.0,20.0,2.0,3.0,5.0,DOPC,Blank,2,2
B3,1,1,135.0,1.25,20.0,2.0,3.0,5.0,DOPC,TFR1-TAT,0,4
B4,1,1,85.0,0.0,20.0,2.0,3.0,5.0,DOPC,Blank,2,3
B5,1,1,85.0,0.0,20.0,2.0,3.0,5.0,no_lipo,TFR1-TAT,2,5
B7,1,1,135.0,0.0,20.0,2.0,3.0,5.0,no_lipo,AqpZ,2,2
B8,1,1,85.0,0.0,20.0,2.0,3.0,5.0,no_lipo,Blank,2,4
C10,1,1,85.0,0.0,20.0,2.0,3.0,5.0,DOPC,TFR1-TAT,2,6
C14,1,1,135.0,0.0,20.0,2.0,3.0,5.0,DOPC,PDGFRB2-TAT,2,6
C18,1,1,85.0,0.0,20.0,2.0,3.0,5.0,DOPC,Blank,2,5
C23,1,1,85.0,0.0,20.0,2.0,3.0,5.0,DOPC,PDGFRB2-TAT,2,7
C24,1,1,135.0,1.25,20.0,2.0,3.0,5.0,DOPC,PDGFRB2-TAT,0,8
C3,1,1,135.0,0.0,20.0,2.0,3.0,5.0,no_lipo,Blank,2,6
C6,1,1,85.0,0.0,20.0,2.0,3.0,5.0,DOPC,TFR1,2,2
C7,1,1,135.0,0.0,20.0,2.0,3.0,5.0,no_lipo,TFR1,2,3
C9,1,1,85.0,0.0,20.0,2.0,3.0,5.0,no_lipo,TFR1-TAT,2,7
D19,1,1,85.0,0.0,20.0,2.0,3.0,5.0,no_lipo,PDGFRB2-TAT,2,9
