well_name,deGFP,K,Mg,combo
A1,5.0,185.0,10.0,WT48 comb
A10,5.0,185.0,10.0,WT50 ind
A11,5.0,135.0,15.0,WT50 ind
A12,5.0,85.0,12.5,WT50 ind
A2,5.0,135.0,15.0,WT48 comb
A3,5.0,85.0,12.5,WT48 comb
A4,5.0,185.0,10.0,WT48 ind
A5,5.0,135.0,15.0,WT48 ind
A6,5.0,85.0,12.5,WT48 ind
A7,5.0,185.0,10.0,WT50 comb
A8,5.0,135.0,15.0,WT50 comb
A9,5.0,85.0,12.5,WT50 comb
B1,5.0,85.0,10.0,WT48 comb
B10,5.0,85.0,10.0,WT50 ind
B11,5.0,85.0,15.0,WT50 ind
B12,5.0,135.0,12.5,WT50 ind
B2,5.0,85.0,15.0,WT48 comb
B3,5.0,135.0,12.5,WT48 comb
B4,5.0,85.0,10.0,WT48 ind
B5,5.0,85.0,15.0,WT48 ind
B6,5.0,135.0,12.5,WT48 ind
B7,5.0,85.0,10.0,WT50 comb
B8,5.0,85.0,15.0,WT50 comb
B9,5.0,135.0,12.5,WT50 comb
C1,5.0,135.0,10.0,WT48 comb
C10,5.0,135.0,10.0,WT50 ind
C11,5.0,185.0,12.5,WT50 ind
C12,5.0,185.0,12.5,WT50 ind
C2,5.0,185.0,12.5,WT48 comb
C3,5.0,185.0,12.5,WT48 comb
C4,5.0,135.0,10.0,WT48 ind
C5,5.0,185.0,12.5,WT48 ind
C6,5.0,185.0,12.5,WT48 ind
C7,5.0,135.0,10.0,WT50 comb
C8,5.0,185.0,12.5,WT50 comb
C9,5.0,185.0,12.5,WT50 comb
D1,5.0,185.0,17.5,WT48 comb
D10,5.0,185.0,17.5,WT50 ind
D11,5.0,135.0,12.5,WT50 ind
D12,5.0,185.0,20.0,WT50 ind
D2,5.0,135.0,12.5,WT48 comb
D3,5.0,185.0,20.0,WT48 comb
D4,5.0,185.0,17.5,WT48 ind
D5,5.0,135.0,12.5,WT48 ind
D6,5.0,185.0,20.0,WT48 ind
D7,5.0,185.0,17.5,WT50 comb
D8,5.0,135.0,12.5,WT50 comb
D9,5.0,185.0,20.0,WT50 comb
E1,5.0,185.0,20.0,WT48 comb
E10,5.0,185.0,20.0,WT50 ind
E11,5.0,85.0,10.0,WT50 ind
E12,5.0,85.0,17.5,WT50 ind
E2,5.0,85.0,10.0,WT48 comb
E3,5.0,85.0,17.5,WT48 comb
E4,5.0,185.0,20.0,WT48 ind
E5,5.0,85.0,10.0,WT48 ind
E6,5.0,85.0,17.5,WT48 ind
E7,5.0,185.0,20.0,WT50 comb
E8,5.0,85.0,10.0,WT50 comb
E9,5.0,85.0,17.5,WT50 comb
F1,5.0,135.0,17.5,WT48 comb
F10,5.0,135.0,17.5,WT50 ind
F11,5.0,85.0,17.5,WT50 ind
F12,5.0,185.0,17.5,WT50 ind
F2,5.0,85.0,17.5,WT48 comb
F3,5.0,185.0,17.5,WT48 comb
F4,5.0,135.0,17.5,WT48 ind
F5,5.0,85.0,17.5,WT48 ind
F6,5.0,185.0,17.5,WT48 ind
F7,5.0,135.0,17.5,WT50 comb
F8,5.0,85.0,17.5,WT50 comb
F9,5.0,185.0,17.5,WT50 comb
G1,5.0,135.0,17.5,WT48 comb
G10,5.0,135.0,17.5,WT50 ind
G11,5.0,135.0,20.0,WT50 ind
G12,5.0,135.0,20.0,WT50 ind
G2,5.0,135.0,20.0,WT48 comb
G3,5.0,135.0,20.0,WT48 comb
G4,5.0,135.0,17.5,WT48 ind
G5,5.0,135.0,20.0,WT48 ind
G6,5.0,135.0,20.0,WT48 ind
G7,5.0,135.0,17.5,WT50 comb
G8,5.0,135.0,20.0,WT50 comb
G9,5.0,135.0,20.0,WT50 comb
H1,5.0,85.0,17.5,WT48 comb
H10,5.0,85.0,17.5,WT50 ind
H11,5.0,135.0,15.0,WT50 ind
H12,5.0,135.0,10.0,WT50 ind
H2,5.0,135.0,15.0,WT48 comb
H3,5.0,135.0,10.0,WT48 comb
H4,5.0,85.0,17.5,WT48 ind
H5,5.0,135.0,15.0,WT48 ind
H6,5.0,135.0,10.0,WT48 ind
H7,5.0,85.0,17.5,WT50 comb
