well_name,DNA_name,DNA_conc,K,Liposome_name,Liposome_conc,Mg,combo
A1,SecYE-G,5,85,DOPC,3,10,BL53
A10,Blank,0,85,DOPC,3,20,BL53
A11,CD47,5,85,DOPC,3,15,BL53
A12,Blank,0,85,DOPC,3,15,BL53
A13,SecYE-G,5,85,DOPC,3,10,WT48
A14,Blank,0,135,no_lipo,0,15,WT48
A15,Cat,5,135,no_lipo,0,10,WT48
A16,SecYE-G,5,135,no_lipo,0,10,WT48
A17,Blank,0,85,no_lipo,0,20,WT48
A18,CD47,5,85,no_lipo,0,20,WT48
A19,CD47,5,85,DOPC,3,10,WT48
A2,Blank,0,135,no_lipo,0,15,BL53
A20,Cat,5,85,no_lipo,0,20,WT48
A21,SecYE-G,5,135,no_lipo,0,20,WT48
A22,Blank,0,85,DOPC,3,20,WT48
A23,CD47,5,85,DOPC,3,15,WT48
A24,Blank,0,85,DOPC,3,15,WT48
A3,Cat,5,135,no_lipo,0,10,BL53
A4,SecYE-G,5,135,no_lipo,0,10,BL53
A5,Blank,0,85,no_lipo,0,20,BL53
A6,CD47,5,85,no_lipo,0,20,BL53
A7,CD47,5,85,DOPC,3,10,BL53
A8,Cat,5,85,no_lipo,0,20,BL53
A9,SecYE-G,5,135,no_lipo,0,20,BL53
B1,CD47,5,85,DOPC,3,10,BL53
B10,Cat,5,135,no_lipo,0,20,BL53
B11,Blank,0,135,no_lipo,0,10,BL53
B12,AqpZ,5,85,DOPC,3,10,BL53
B13,CD47,5,85,DOPC,3,10,WT48
B14,Blank,0,135,DOPC,3,20,WT48
B15,SecYE-G,5,135,no_lipo,0,10,WT48
B16,Cat,5,85,DOPC,3,15,WT48
B17,SecYE-G,5,135,no_lipo,0,20,WT48
B18,Blank,0,85,DOPC,3,10,WT48
B19,Blank,0,135,no_lipo,0,10,WT48
B2,Blank,0,135,DOPC,3,20,BL53
B20,CD47,5,135,no_lipo,0,20,WT48
B21,AqpZ,5,85,DOPC,3,15,WT48
B22,Cat,5,135,no_lipo,0,20,WT48
B23,Blank,0,135,no_lipo,0,10,WT48
B24,AqpZ,5,85,DOPC,3,10,WT48
B3,SecYE-G,5,135,no_lipo,0,10,BL53
B4,Cat,5,85,DOPC,3,15,BL53
B5,SecYE-G,5,135,no_lipo,0,20,BL53
B6,Blank,0,85,DOPC,3,10,BL53
B7,Blank,0,135,no_lipo,0,10,BL53
B8,CD47,5,135,no_lipo,0,20,BL53
B9,AqpZ,5,85,DOPC,3,15,BL53
C1,Blank,0,135,no_lipo,0,20,BL53
C10,CD47,5,85,DOPC,3,20,BL53
C11,Cat,5,135,no_lipo,0,15,BL53
C12,Cat,5,85,DOPC,3,20,BL53
C13,Blank,0,135,no_lipo,0,20,WT48
C14,AqpZ,5,135,no_lipo,0,15,WT48
C15,SecYE-G,5,85,no_lipo,0,20,WT48
C16,SecYE-G,5,135,DOPC,3,10,WT48
C17,Cat,5,135,DOPC,3,20,WT48
C18,AqpZ,5,85,no_lipo,0,20,WT48
C19,CD47,5,135,no_lipo,0,15,WT48
C2,AqpZ,5,135,no_lipo,0,15,BL53
C20,AqpZ,5,135,DOPC,3,15,WT48
C21,SecYE-G,5,135,DOPC,3,15,WT48
C22,CD47,5,85,DOPC,3,20,WT48
C23,Cat,5,135,no_lipo,0,15,WT48
C24,Cat,5,85,DOPC,3,20,WT48
C3,SecYE-G,5,85,no_lipo,0,20,BL53
C4,SecYE-G,5,135,DOPC,3,10,BL53
