well_name,unique_id,DNA_name,rxn_id,Mg,SecYE,K,PEG,Liposome_name,DNA_conc,Liposome_conc,day,plate,col,row
D21,768,CML1,60,8,0.0,185,2,DOPC,5,3,1,3,20,3
J4,769,CML1,61,14,0.0,85,2,DOPC,5,3,1,3,3,9
F14,770,CML1,62,14,0.0,135,1,DOPC,5,3,1,3,13,5
E8,771,CML1,63,14,0.0,135,2,DOPC,5,3,1,3,7,4
L11,772,CML1,64,14,0.0,185,1,DMPC,5,3,1,3,10,11
G21,773,CML1,65,14,0.0,185,2,DMPC,5,3,1,3,20,6
E12,774,CML1,66,14,0.0,185,2,DOPC,5,3,1,3,11,4
O8,775,CML1,67,20,0.0,85,0,DOPC,5,3,1,3,7,14
L19,776,CML1,68,20,0.0,135,0,DOPC,5,3,1,3,18,11
A12,777,CML1,69,20,0.0,135,1,DOPC,5,3,1,3,11,0
J13,778,CML1,70,20,0.0,185,0,DOPC,5,3,1,3,12,9
E22,779,CML1,71,20,0.0,185,1,DOPC,5,3,1,3,21,4
B19,780,CML1,60,8,0.0,185,2,DOPC,5,3,1,3,18,1
D17,781,CML1,61,14,0.0,85,2,DOPC,5,3,1,3,16,3
F15,782,CML1,62,14,0.0,135,1,DOPC,5,3,1,3,14,5
E21,783,CML1,63,14,0.0,135,2,DOPC,5,3,1,3,20,4
L4,784,CML1,64,14,0.0,185,1,DMPC,5,3,1,3,3,11
F20,785,CML1,65,14,0.0,185,2,DMPC,5,3,1,3,19,5
K7,786,CML1,66,14,0.0,185,2,DOPC,5,3,1,3,6,10
E1,787,CML1,67,20,0.0,85,0,DOPC,5,3,1,3,0,4
I5,788,CML1,68,20,0.0,135,0,DOPC,5,3,1,3,4,8
N21,789,CML1,69,20,0.0,135,1,DOPC,5,3,1,3,20,13
A24,790,CML1,70,20,0.0,185,0,DOPC,5,3,1,3,23,0
K8,791,CML1,71,20,0.0,185,1,DOPC,5,3,1,3,7,10
D1,792,CML1,60,8,0.0,185,2,DOPC,5,3,1,3,0,3
G18,793,CML1,61,14,0.0,85,2,DOPC,5,3,1,3,17,6
P16,794,CML1,62,14,0.0,135,1,DOPC,5,3,1,3,15,15
P10,795,CML1,63,14,0.0,135,2,DOPC,5,3,1,3,9,15
H21,796,CML1,64,14,0.0,185,1,DMPC,5,3,1,3,20,7
O10,797,CML1,65,14,0.0,185,2,DMPC,5,3,1,3,9,14
L12,798,CML1,66,14,0.0,185,2,DOPC,5,3,1,3,11,11
O7,799,CML1,67,20,0.0,85,0,DOPC,5,3,1,3,6,14
E18,800,CML1,68,20,0.0,135,0,DOPC,5,3,1,3,17,4
K12,801,CML1,69,20,0.0,135,1,DOPC,5,3,1,3,11,10
A20,802,CML1,70,20,0.0,185,0,DOPC,5,3,1,3,19,0
O20,803,CML1,71,20,0.0,185,1,DOPC,5,3,1,3,19,14
L18,804,CML1,60,8,0.0,185,2,DOPC,5,3,1,3,17,11
B13,805,CML1,61,14,0.0,85,2,DOPC,5,3,1,3,12,1
B22,806,CML1,62,14,0.0,135,1,DOPC,5,3,1,3,21,1
B23,807,CML1,63,14,0.0,135,2,DOPC,5,3,1,3,22,1
O6,808,CML1,64,14,0.0,185,1,DMPC,5,3,1,3,5,14
D15,809,CML1,65,14,0.0,185,2,DMPC,5,3,1,3,14,3
J19,810,CML1,66,14,0.0,185,2,DOPC,5,3,1,3,18,9
I18,811,CML1,67,20,0.0,85,0,DOPC,5,3,1,3,17,8
C13,812,CML1,68,20,0.0,135,0,DOPC,5,3,1,3,12,2
C20,813,CML1,69,20,0.0,135,1,DOPC,5,3,1,3,19,2
P17,814,CML1,70,20,0.0,185,0,DOPC,5,3,1,3,16,15
G14,815,CML1,71,20,0.0,185,1,DOPC,5,3,1,3,13,6
H15,816,CML1,60,8,0.0,185,2,no_lipo,5,3,1,3,14,7
D10,817,CML1,61,14,0.0,85,2,no_lipo,5,3,1,3,9,3
I9,818,CML1,62,14,0.0,135,1,no_lipo,5,3,1,3,8,8
A18,819,CML1,63,14,0.0,135,2,no_lipo,5,3,1,3,17,0
I11,820,CML1,64,14,0.0,185,1,no_lipo,5,3,1,3,10,8
C3,821,CML1,65,14,0.0,185,2,no_lipo,5,3,1,3,2,2
N2,822,CML1,66,14,0.0,185,2,no_lipo,5,3,1,3,1,13
N17,823,CML1,67,20,0.0,85,0,no_lipo,5,3,1,3,16,13
N3,824,CML1,68,20,0.0,135,0,no_lipo,5,3,1,3,2,13
B18,825,CML1,69,20,0.0,135,1,no_lipo,5,3,1,3,17,1
B17,826,CML1,70,20,0.0,185,0,no_lipo,5,3,1,3,16,1
P8,827,CML1,71,20,0.0,185,1,no_lipo,5,3,1,3,7,15
M2,828,CML1,60,8,0.0,185,2,no_lipo,5,3,1,3,1,12
A9,829,CML1,61,14,0.0,85,2,no_lipo,5,3,1,3,8,0
J10,830,CML1,62,14,0.0,135,1,no_lipo,5,3,1,3,9,9
E4,831,CML1,63,14,0.0,135,2,no_lipo,5,3,1,3,3,4
D20,832,CML1,64,14,0.0,185,1,no_lipo,5,3,1,3,19,3
P21,833,CML1,65,14,0.0,185,2,no_lipo,5,3,1,3,20,15
M9,834,CML1,66,14,0.0,185,2,no_lipo,5,3,1,3,8,12
M10,835,CML1,67,20,0.0,85,0,no_lipo,5,3,1,3,9,12
N20,836,CML1,68,20,0.0,135,0,no_lipo,5,3,1,3,19,13
M6,837,CML1,69,20,0.0,135,1,no_lipo,5,3,1,3,5,12
J8,838,CML1,70,20,0.0,185,0,no_lipo,5,3,1,3,7,9
O21,839,CML1,71,20,0.0,185,1,no_lipo,5,3,1,3,20,14
I24,840,CML1,60,8,0.0,185,2,no_lipo,5,3,1,3,23,8
D4,841,CML1,61,14,0.0,85,2,no_lipo,5,3,1,3,3,3
A2,842,CML1,62,14,0.0,135,1,no_lipo,5,3,1,3,1,0
C9,843,CML1,63,14,0.0,135,2,no_lipo,5,3,1,3,8,2
B10,844,CML1,64,14,0.0,185,1,no_lipo,5,3,1,3,9,1
K9,845,CML1,65,14,0.0,185,2,no_lipo,5,3,1,3,8,10
F5,846,CML1,66,14,0.0,185,2,no_lipo,5,3,1,3,4,5
D13,847,CML1,67,20,0.0,85,0,no_lipo,5,3,1,3,12,3
B24,848,CML1,68,20,0.0,135,0,no_lipo,5,3,1,3,23,1
H4,849,CML1,69,20,0.0,135,1,no_lipo,5,3,1,3,3,7
E2,850,CML1,70,20,0.0,185,0,no_lipo,5,3,1,3,1,4
J16,851,CML1,71,20,0.0,185,1,no_lipo,5,3,1,3,15,9
H1,852,CML1,60,8,0.0,185,2,no_lipo,5,3,1,3,0,7
A1,853,CML1,61,14,0.0,85,2,no_lipo,5,3,1,3,0,0
O3,854,CML1,62,14,0.0,135,1,no_lipo,5,3,1,3,2,14
A16,855,CML1,63,14,0.0,135,2,no_lipo,5,3,1,3,15,0
K2,856,CML1,64,14,0.0,185,1,no_lipo,5,3,1,3,1,10
P11,857,CML1,65,14,0.0,185,2,no_lipo,5,3,1,3,10,15
B20,858,CML1,66,14,0.0,185,2,no_lipo,5,3,1,3,19,1
K11,859,CML1,67,20,0.0,85,0,no_lipo,5,3,1,3,10,10
