well_name,unique_id,rxn_id,DNA_name,Mg,SecYE,K,PEG,Liposome_name,DNA_conc,Liposome_conc,plate,row,col
H3,28,28,Beta,14,0.0,185,0,DOPC,5,3,3,7,2
C11,29,29,Beta,20,0.625,185,0,DOPC,5,3,3,2,10
K12,30,30,Beta,14,0.625,185,0,DOPC,5,3,3,10,11
C9,34,34,Beta,8,0.625,185,0,DOPC,5,3,3,2,8
K6,35,35,Beta,20,0.0,185,1,DOPC,5,3,3,10,5
J13,54,54,Dia,20,0.0,185,0,DOPC,5,3,3,9,12
K14,55,55,Dia,14,0.0,185,0,DOPC,5,3,3,10,13
N8,57,57,Dia,8,0.625,185,0,DOPC,5,3,3,13,7
N22,58,58,Dia,14,0.625,185,0,DOPC,5,3,3,13,21
P12,59,59,Dia,20,0.625,185,0,DOPC,5,3,3,15,11
G8,60,60,Dia,8,0.0,135,0,DOPC,5,3,3,6,7
G20,61,61,Dia,14,0.0,185,1,DOPC,5,3,3,6,19
C16,63,63,Glut,20,0.0,135,2,DOPC,5,3,3,2,15
M4,64,64,Glut,14,0.0,135,2,DOPC,5,3,3,12,3
K15,65,65,Glut,8,0.0,185,0,DOPC,5,3,3,10,14
D22,67,67,Glut,8,0.625,185,0,DOPC,5,3,3,3,21
M8,68,68,Glut,20,0.625,185,2,DMPC,5,3,3,12,7
B6,71,71,Glut,8,0.0,85,2,DOPC,5,3,3,1,5
G7,72,72,InP,8,0.0,85,0,DMPC,5,3,3,6,6
P18,73,73,InP,8,0.0,85,1,DMPC,5,3,3,15,17
M16,76,76,InP,8,0.0,135,1,DMPC,5,3,3,12,15
A7,77,77,InP,8,0.0,135,0,DMPC,5,3,3,0,6
I6,79,79,InP,8,0.625,85,1,DMPC,5,3,3,8,5
C8,91,91,Mol,8,0.0,185,0,DOPC,5,3,3,2,7
N6,92,92,Mol,8,0.0,85,0,DOPC,5,3,3,13,5
J16,93,93,Mol,8,0.625,185,0,DOPC,5,3,3,9,15
F21,95,95,Mol,8,0.0,135,1,DOPC,5,3,3,5,20
C15,96,96,Mol,14,0.0,135,0,DOPC,5,3,3,2,14
D3,97,97,Mol,8,0.625,85,0,DOPC,5,3,3,3,2
A16,98,98,Mol,14,0.0,185,0,DOPC,5,3,3,0,15
E12,99,99,MscL,14,0.0,185,0,DOPC,5,3,3,4,11
D19,100,100,MscL,20,0.0,185,0,DOPC,5,3,3,3,18
H22,102,102,MscL,20,0.625,185,0,DOPC,5,3,3,7,21
G2,103,103,MscL,14,0.625,185,0,DOPC,5,3,3,6,1
A22,104,104,MscL,8,0.625,185,0,DOPC,5,3,3,0,21
C5,106,106,MscL,8,0.0,185,1,DOPC,5,3,3,2,4
J9,107,107,MscL,20,0.0,135,0,DOPC,5,3,3,9,8
L5,117,117,Neu,8,0.0,185,0,DOPC,5,3,3,11,4
B9,118,118,Neu,8,0.0,135,0,DOPC,5,3,3,1,8
E18,119,119,Neu,14,0.0,185,0,DOPC,5,3,3,4,17
M9,120,120,Neu,8,0.625,185,0,DOPC,5,3,3,12,8
A23,123,123,Neu,14,0.0,135,0,DOPC,5,3,3,0,22
O18,124,124,Neu,8,0.0,185,1,DOPC,5,3,3,14,17
A8,125,125,Neu,8,0.0,135,1,DOPC,5,3,3,0,7
J15,126,126,Vol,14,0.0,185,0,DOPC,5,3,3,9,14
D6,127,127,Vol,20,0.0,185,0,DOPC,5,3,3,3,5
D10,128,128,Vol,8,0.0,185,0,DOPC,5,3,3,3,9
O17,130,130,Vol,20,0.625,185,0,DOPC,5,3,3,14,16
D11,132,132,Vol,14,0.0,185,1,DOPC,5,3,3,3,10
I10,133,133,Vol,14,0.0,135,0,DOPC,5,3,3,8,9
L3,161,161,Beta,14,0.0,185,0,no_lipo,5,0,3,11,2
B19,162,162,Beta,20,0.625,185,0,no_lipo,5,0,3,1,18
G1,164,164,Beta,14,0.0,185,1,no_lipo,5,0,3,6,0
C20,165,165,Beta,8,0.0,185,0,no_lipo,5,0,3,2,19
H5,168,168,Beta,20,0.0,185,1,no_lipo,5,0,3,7,4
I12,185,185,Dia,14,0.0,185,0,no_lipo,5,0,3,8,11
P14,186,186,Dia,8,0.0,185,0,no_lipo,5,0,3,15,13
G21,187,187,Dia,8,0.625,185,0,no_lipo,5,0,3,6,20
E9,190,190,Dia,8,0.0,135,0,no_lipo,5,0,3,4,8
A2,192,192,Dia,14,0.0,135,0,no_lipo,5,0,3,0,1
E10,196,196,Glut,8,0.0,135,2,no_lipo,5,0,3,4,9
A10,198,198,Glut,20,0.625,185,2,no_lipo,5,0,3,0,9
L12,201,201,InP,8,0.0,85,0,no_lipo,5,0,3,11,11
H12,202,202,InP,8,0.0,85,1,no_lipo,5,0,3,7,11
J14,203,203,InP,8,0.625,85,0,no_lipo,5,0,3,9,13
C21,204,204,InP,14,0.0,85,0,no_lipo,5,0,3,2,20
I8,205,205,InP,8,0.0,135,1,no_lipo,5,0,3,8,7
F12,209,209,InP,8,0.0,85,2,no_lipo,5,0,3,5,11
D7,220,220,Mol,8,0.0,185,0,no_lipo,5,0,3,3,6
L1,223,223,Mol,8,0.625,135,0,no_lipo,5,0,3,11,0
O20,225,225,Mol,14,0.0,135,0,no_lipo,5,0,3,14,19
J18,227,227,Mol,14,0.0,185,0,no_lipo,5,0,3,9,17
G3,229,229,MscL,20,0.0,185,0,no_lipo,5,0,3,6,2
E3,231,231,MscL,20,0.625,185,0,no_lipo,5,0,3,4,2
M3,232,232,MscL,14,0.625,185,0,no_lipo,5,0,3,12,2
F6,233,233,MscL,8,0.625,185,0,no_lipo,5,0,3,5,5
