well_name,unique_id,rxn_id,K,Liposome_name,Mg,PEG,SecYE,Liposome_conc,DNA_name,DNA_conc,plate,row,col
M14,434,434,85.0,DOPC,14.0,0.0,1.25,3,CD9,5,7,12,13
D9,436,436,85.0,DOPC,20.0,1.0,0.0,3,CD9,5,7,3,8
J6,438,438,85.0,DMPC,8.0,0.0,1.25,3,CD9,5,7,9,5
I11,439,439,85.0,DMPC,8.0,2.0,0.0,3,CD9,5,7,8,10
M20,441,441,85.0,DMPC,14.0,2.0,1.25,3,CD9,5,7,12,19
B17,444,444,185.0,DOPC,8.0,0.0,1.25,3,CD9,5,7,1,16
J10,445,445,185.0,DOPC,8.0,2.0,0.0,3,CD9,5,7,9,9
O12,451,451,185.0,DMPC,8.0,2.0,1.25,3,CD9,5,7,14,11
K18,452,452,185.0,DMPC,14.0,0.0,0.0,3,CD9,5,7,10,17
F19,453,453,185.0,DMPC,14.0,1.0,1.25,3,CD9,5,7,5,18
J12,456,456,85.0,no_lipo,8.0,0.0,0.0,3,CD9,5,7,9,11
P17,457,457,85.0,no_lipo,8.0,1.0,1.25,3,CD9,5,7,15,16
D8,458,458,85.0,no_lipo,14.0,0.0,1.25,3,CD9,5,7,3,7
P13,459,459,85.0,no_lipo,14.0,2.0,0.0,3,CD9,5,7,15,12
E14,460,460,85.0,no_lipo,20.0,1.0,0.0,3,CD9,5,7,4,13
C24,461,461,85.0,no_lipo,20.0,2.0,1.25,3,CD9,5,7,2,23
F23,462,462,85.0,no_lipo,8.0,0.0,1.25,3,CD9,5,7,5,22
D18,464,464,85.0,no_lipo,14.0,1.0,0.0,3,CD9,5,7,3,17
N1,468,468,185.0,no_lipo,8.0,0.0,1.25,3,CD9,5,7,13,0
E9,469,469,185.0,no_lipo,8.0,2.0,0.0,3,CD9,5,7,4,8
F16,470,470,185.0,no_lipo,14.0,1.0,0.0,3,CD9,5,7,5,15
G2,471,471,185.0,no_lipo,14.0,2.0,1.25,3,CD9,5,7,6,1
L18,473,473,185.0,no_lipo,20.0,1.0,1.25,3,CD9,5,7,11,17
N2,475,475,185.0,no_lipo,8.0,2.0,1.25,3,CD9,5,7,13,1
K24,477,477,185.0,no_lipo,14.0,1.0,1.25,3,CD9,5,7,10,23
I2,479,479,185.0,no_lipo,20.0,2.0,0.0,3,CD9,5,7,8,1
H9,577,577,85.0,DOPC,8.0,1.0,1.25,3,MtlA,5,7,7,8
M24,578,578,85.0,DOPC,14.0,0.0,1.25,3,MtlA,5,7,12,23
M4,579,579,85.0,DOPC,14.0,2.0,0.0,3,MtlA,5,7,12,3
L20,583,583,85.0,DMPC,8.0,2.0,0.0,3,MtlA,5,7,11,19
M16,586,586,85.0,DMPC,20.0,0.0,0.0,3,MtlA,5,7,12,15
P9,588,588,185.0,DOPC,8.0,0.0,1.25,3,MtlA,5,7,15,8
H13,594,594,185.0,DMPC,8.0,1.0,0.0,3,MtlA,5,7,7,12
M12,598,598,185.0,DMPC,20.0,0.0,1.25,3,MtlA,5,7,12,11
J13,603,603,85.0,no_lipo,14.0,2.0,0.0,3,MtlA,5,7,9,12
F12,604,604,85.0,no_lipo,20.0,1.0,0.0,3,MtlA,5,7,5,11
N4,608,608,85.0,no_lipo,14.0,1.0,0.0,3,MtlA,5,7,13,3
K19,610,610,85.0,no_lipo,20.0,0.0,0.0,3,MtlA,5,7,10,18
E23,611,611,85.0,no_lipo,20.0,1.0,1.25,3,MtlA,5,7,4,22
A14,613,613,185.0,no_lipo,8.0,2.0,0.0,3,MtlA,5,7,0,13
G18,614,614,185.0,no_lipo,14.0,1.0,0.0,3,MtlA,5,7,6,17
B3,615,615,185.0,no_lipo,14.0,2.0,1.25,3,MtlA,5,7,1,2
J17,616,616,185.0,no_lipo,20.0,0.0,0.0,3,MtlA,5,7,9,16
N5,622,622,185.0,no_lipo,20.0,0.0,1.25,3,MtlA,5,7,13,4
C9,625,625,85.0,DOPC,8.0,1.0,1.25,3,OR1A1,5,7,2,8
