well_name,Mg,combo,K
A1,14,BL59-2,85
A10,14,WT61-1500-50,85
A11,14,WT61-500-30,85
A12,14,WT61-500-35,85
A13,14,WT61-500-40,85
A14,14,WT61-500-50,85
A2,14,WT60-750J,85
A3,14,WT61-1000-30,85
A4,14,WT61-1000-35,85
A5,14,WT61-1000-40,85
A6,14,WT61-1000-50,85
A7,14,WT61-1500-30,85
A8,14,WT61-1500-35,85
A9,14,WT61-1500-40,85
B1,17,BL59-2,85
B10,17,WT61-1500-50,85
B11,17,WT61-500-30,85
B12,17,WT61-500-35,85
B13,17,WT61-500-40,85
B14,17,WT61-500-50,85
B2,17,WT60-750J,85
B3,17,WT61-1000-30,85
B4,17,WT61-1000-35,85
B5,17,WT61-1000-40,85
B6,17,WT61-1000-50,85
B7,17,WT61-1500-30,85
B8,17,WT61-1500-35,85
B9,17,WT61-1500-40,85
C1,23,BL59-2,85
C10,23,WT61-1500-50,85
C11,23,WT61-500-30,85
C12,23,WT61-500-35,85
C13,23,WT61-500-40,85
C14,23,WT61-500-50,85
C2,23,WT60-750J,85
C3,23,WT61-1000-30,85
C4,23,WT61-1000-35,85
C5,23,WT61-1000-40,85
C6,23,WT61-1000-50,85
C7,23,WT61-1500-30,85
C8,23,WT61-1500-35,85
C9,23,WT61-1500-40,85
D1,17,BL59-2,85
D10,17,WT61-1500-50,85
D11,17,WT61-500-30,85
D12,17,WT61-500-35,85
D13,17,WT61-500-40,85
D14,17,WT61-500-50,85
D2,17,WT60-750J,85
D3,17,WT61-1000-30,85
D4,17,WT61-1000-35,85
D5,17,WT61-1000-40,85
D6,17,WT61-1000-50,85
D7,17,WT61-1500-30,85
D8,17,WT61-1500-35,85
D9,17,WT61-1500-40,85
E1,17,BL59-2,85
E10,17,WT61-1500-50,85
E11,17,WT61-500-30,85
E12,17,WT61-500-35,85
E13,17,WT61-500-40,85
E14,17,WT61-500-50,85
E2,17,WT60-750J,85
E3,17,WT61-1000-30,85
E4,17,WT61-1000-35,85
E5,17,WT61-1000-40,85
E6,17,WT61-1000-50,85
E7,17,WT61-1500-30,85
E8,17,WT61-1500-35,85
E9,17,WT61-1500-40,85
F1,11,BL59-2,85
F10,11,WT61-1500-50,85
F11,11,WT61-500-30,85
F12,11,WT61-500-35,85
F13,11,WT61-500-40,85
F14,11,WT61-500-50,85
F2,11,WT60-750J,85
F3,11,WT61-1000-30,85
F4,11,WT61-1000-35,85
F5,11,WT61-1000-40,85
F6,11,WT61-1000-50,85
F7,11,WT61-1500-30,85
F8,11,WT61-1500-35,85
F9,11,WT61-1500-40,85
G1,20,BL59-2,85
G10,20,WT61-1500-50,85
G11,20,WT61-500-30,85
G12,20,WT61-500-35,85
G13,20,WT61-500-40,85
G14,20,WT61-500-50,85
G2,20,WT60-750J,85
G3,20,WT61-1000-30,85
G4,20,WT61-1000-35,85
G5,20,WT61-1000-40,85
G6,20,WT61-1000-50,85
G7,20,WT61-1500-30,85
G8,20,WT61-1500-35,85
G9,20,WT61-1500-40,85
H1,14,BL59-2,85
H10,14,WT61-1500-50,85
H11,14,WT61-500-30,85
H12,14,WT61-500-35,85
H13,14,WT61-500-40,85
H14,14,WT61-500-50,85
H2,14,WT60-750J,85
H3,14,WT61-1000-30,85
H4,14,WT61-1000-35,85
H5,14,WT61-1000-40,85
H6,14,WT61-1000-50,85
H7,14,WT61-1500-30,85
H8,14,WT61-1500-35,85
H9,14,WT61-1500-40,85
I1,20,BL59-2,85
I10,20,WT61-1500-50,85
I11,20,WT61-500-30,85
I12,20,WT61-500-35,85
I13,20,WT61-500-40,85
I14,20,WT61-500-50,85
I2,20,WT60-750J,85
I3,20,WT61-1000-30,85
I4,20,WT61-1000-35,85
I5,20,WT61-1000-40,85
I6,20,WT61-1000-50,85
I7,20,WT61-1500-30,85
I8,20,WT61-1500-35,85
I9,20,WT61-1500-40,85
J1,23,BL59-2,85
J10,23,WT61-1500-50,85
J11,23,WT61-500-30,85
J12,23,WT61-500-35,85
J13,23,WT61-500-40,85
J14,23,WT61-500-50,85
J2,23,WT60-750J,85
J3,23,WT61-1000-30,85
J4,23,WT61-1000-35,85
J5,23,WT61-1000-40,85
J6,23,WT61-1000-50,85
J7,23,WT61-1500-30,85
J8,23,WT61-1500-35,85
J9,23,WT61-1500-40,85
K1,11,BL59-2,85
K10,11,WT61-1500-50,85
K11,11,WT61-500-30,85
K12,11,WT61-500-35,85
K13,11,WT61-500-40,85
K14,11,WT61-500-50,85
K2,11,WT60-750J,85
K3,11,WT61-1000-30,85
K4,11,WT61-1000-35,85
K5,11,WT61-1000-40,85
K6,11,WT61-1000-50,85
K7,11,WT61-1500-30,85
K8,11,WT61-1500-35,85
K9,11,WT61-1500-40,85
L1,11,BL59-2,85
L10,11,WT61-1500-50,85
L11,11,WT61-500-30,85
L12,11,WT61-500-35,85
L13,11,WT61-500-40,85
L14,11,WT61-500-50,85
L2,11,WT60-750J,85
L3,11,WT61-1000-30,85
L4,11,WT61-1000-35,85
L5,11,WT61-1000-40,85
L6,11,WT61-1000-50,85
L7,11,WT61-1500-30,85
L8,11,WT61-1500-35,85
L9,11,WT61-1500-40,85
M1,14,BL59-2,85
M10,14,WT61-1500-50,85
M11,14,WT61-500-30,85
M12,14,WT61-500-35,85
M13,14,WT61-500-40,85
M14,14,WT61-500-50,85
M2,14,WT60-750J,85
M3,14,WT61-1000-30,85
M4,14,WT61-1000-35,85
M5,14,WT61-1000-40,85
M6,14,WT61-1000-50,85
M7,14,WT61-1500-30,85
M8,14,WT61-1500-35,85
M9,14,WT61-1500-40,85
N1,23,BL59-2,85
N10,23,WT61-1500-50,85
N11,23,WT61-500-30,85
N12,23,WT61-500-35,85
N13,23,WT61-500-40,85
N14,23,WT61-500-50,85
N2,23,WT60-750J,85
N3,23,WT61-1000-30,85
N4,23,WT61-1000-35,85
N5,23,WT61-1000-40,85
N6,23,WT61-1000-50,85
N7,23,WT61-1500-30,85
N8,23,WT61-1500-35,85
N9,23,WT61-1500-40,85
O1,20,BL59-2,85
O10,20,WT61-1500-50,85
O11,20,WT61-500-30,85
O12,20,WT61-500-35,85
O13,20,WT61-500-40,85
O14,20,WT61-500-50,85
O2,20,WT60-750J,85
O3,20,WT61-1000-30,85
O4,20,WT61-1000-35,85
O5,20,WT61-1000-40,85
O6,20,WT61-1000-50,85
O7,20,WT61-1500-30,85
O8,20,WT61-1500-35,85
O9,20,WT61-1500-40,85
