well_name,unique_id,rxn_id,DNA_name,DNA_conc,Liposome_name,Liposome_conc,Mg,SecYE,K,PEG,Chol_conc,Spermidine,PE_conc,plate,col,row,WCE
D18,291,18,Cat,5,DMPC,3,8,0.0,85,0,0,4,0,1,17,3,BL67
I19,292,19,Cat,5,DOPC,3,20,0.0,185,0,0,4,0,1,18,8,BL67
P17,293,20,Cat,5,DMPC,3,20,0.0,185,0,0,4,0,1,16,15,BL67
D16,294,21,Mito,5,no_lipo,3,14,0.0,185,1,0,4,0,1,15,3,BL67
B14,295,22,Mito,5,no_lipo,3,8,0.0,185,1,0,4,0,1,13,1,BL67
D20,296,23,Mito,5,no_lipo,3,8,1.25,135,2,0,4,0,1,19,3,BL67
M19,297,24,Beta,5,no_lipo,3,20,0.625,185,0,0,4,0,1,18,12,BL67
F11,298,25,Beta,5,no_lipo,3,8,0.0,185,0,0,4,0,1,10,5,BL67
O17,299,26,Beta,5,no_lipo,3,8,1.25,85,1,0,4,0,1,16,14,BL67
M14,300,27,Dia,5,no_lipo,3,8,0.0,185,0,0,4,0,1,13,12,BL67
H20,301,28,Dia,5,no_lipo,3,14,0.0,185,0,0,4,0,1,19,7,BL67
E19,302,29,Dia,5,no_lipo,3,14,0.0,85,2,0,4,0,1,18,4,BL67
I13,303,30,OR1A1,5,no_lipo,3,14,0.0,185,0,0,4,0,1,12,8,BL67
J19,304,31,OR1A1,5,no_lipo,3,14,0.0,135,0,0,4,0,1,18,9,BL67
L15,305,32,OR1A1,5,no_lipo,3,20,1.25,85,2,0,4,0,1,14,11,BL67
H16,306,33,CD47,5,no_lipo,3,8,0.0,185,0,0,4,0,1,15,7,BL67
P14,307,34,CD47,5,no_lipo,3,8,0.0,185,1,0,4,0,1,13,15,BL67
G15,308,35,CD47,5,no_lipo,3,20,1.25,85,2,0,4,0,1,14,6,BL67
B16,309,36,Blank,0,no_lipo,3,8,0.0,85,0,0,4,0,1,15,1,BL67
L11,310,38,Cat,5,no_lipo,3,8,0.0,85,0,0,4,0,1,10,11,BL67
P16,311,40,Cat,5,no_lipo,3,20,0.0,185,0,0,4,0,1,15,15,BL67
