well_name,unique_id,rxn_id,DNA_name,DNA_conc,Liposome_name,Liposome_conc,Mg,SecYE,K,PEG,Chol_conc,Spermidine,PE_conc,plate,col,row,WCE
D4,66,27,Dia,5,no_lipo,3,8,0.0,185,0,0,4,0,1,3,3,BL64
N8,67,28,Dia,5,no_lipo,3,14,0.0,185,0,0,4,0,1,7,13,BL64
O1,68,29,Dia,5,no_lipo,3,14,0.0,85,2,0,4,0,1,0,14,BL64
J10,69,30,OR1A1,5,no_lipo,3,14,0.0,185,0,0,4,0,1,9,9,BL64
D1,70,31,OR1A1,5,no_lipo,3,14,0.0,135,0,0,4,0,1,0,3,BL64
C8,71,32,OR1A1,5,no_lipo,3,20,1.25,85,2,0,4,0,1,7,2,BL64
K6,72,33,CD47,5,no_lipo,3,8,0.0,185,0,0,4,0,1,5,10,BL64
I6,73,34,CD47,5,no_lipo,3,8,0.0,185,1,0,4,0,1,5,8,BL64
K10,74,35,CD47,5,no_lipo,3,20,1.25,85,2,0,4,0,1,9,10,BL64
K4,75,36,Blank,0,no_lipo,3,8,0.0,85,0,0,4,0,1,3,10,BL64
I7,76,38,Cat,5,no_lipo,3,8,0.0,85,0,0,4,0,1,6,8,BL64
C1,77,40,Cat,5,no_lipo,3,20,0.0,185,0,0,4,0,1,0,2,BL64
N3,78,0,Mito,5,DOPC,3,14,0.0,185,1,0,4,0,1,2,13,BL64
J1,79,1,Mito,5,DOPC,3,8,0.0,185,1,0,4,0,1,0,9,BL64
G4,80,2,Mito,5,DOPC,3,8,1.25,135,2,0,4,0,1,3,6,BL64
P3,81,3,Beta,5,DOPC,3,20,0.625,185,0,0,4,0,1,2,15,BL64
O3,82,4,Beta,5,DOPC,3,8,0.0,185,0,0,4,0,1,2,14,BL64
K2,83,5,Beta,5,DOPC,3,8,1.25,85,1,0,4,0,1,1,10,BL64
K8,84,6,Dia,5,DOPC,3,8,0.0,185,0,0,4,0,1,7,10,BL64
L2,85,7,Dia,5,DOPC,3,14,0.0,185,0,0,4,0,1,1,11,BL64
E2,86,8,Dia,5,DOPC,3,14,0.0,85,2,0,4,0,1,1,4,BL64
A10,87,9,OR1A1,5,DOPC,3,14,0.0,185,0,0,4,0,1,9,0,BL64
I8,88,10,OR1A1,5,DOPC,3,14,0.0,135,0,0,4,0,1,7,8,BL64
O2,89,11,OR1A1,5,DOPC,3,20,1.25,85,2,0,4,0,1,1,14,BL64
D3,90,12,CD47,5,DOPC,3,8,0.0,185,0,0,4,0,1,2,3,BL64
C9,91,13,CD47,5,DMPC,3,8,0.0,185,1,0,4,0,1,8,2,BL64
B8,92,14,CD47,5,DOPC,3,20,1.25,85,2,0,4,0,1,7,1,BL64
F8,93,15,Blank,0,DOPC,3,8,0.0,85,0,0,4,0,1,7,5,BL64
I2,94,16,Blank,0,DMPC,3,8,0.0,85,0,0,4,0,1,1,8,BL64
N6,95,17,Cat,5,DOPC,3,8,0.0,85,0,0,4,0,1,5,13,BL64
P5,96,18,Cat,5,DMPC,3,8,0.0,85,0,0,4,0,1,4,15,BL64
F10,97,19,Cat,5,DOPC,3,20,0.0,185,0,0,4,0,1,9,5,BL64
B2,98,20,Cat,5,DMPC,3,20,0.0,185,0,0,4,0,1,1,1,BL64
M1,99,21,Mito,5,no_lipo,3,14,0.0,185,1,0,4,0,1,0,12,BL64
M8,100,22,Mito,5,no_lipo,3,8,0.0,185,1,0,4,0,1,7,12,BL64
C10,101,23,Mito,5,no_lipo,3,8,1.25,135,2,0,4,0,1,9,2,BL64
P1,102,24,Beta,5,no_lipo,3,20,0.625,185,0,0,4,0,1,0,15,BL64
H5,103,25,Beta,5,no_lipo,3,8,0.0,185,0,0,4,0,1,4,7,BL64
C2,104,26,Beta,5,no_lipo,3,8,1.25,85,1,0,4,0,1,1,2,BL64
P9,105,27,Dia,5,no_lipo,3,8,0.0,185,0,0,4,0,1,8,15,BL64
J8,106,28,Dia,5,no_lipo,3,14,0.0,185,0,0,4,0,1,7,9,BL64
G3,107,29,Dia,5,no_lipo,3,14,0.0,85,2,0,4,0,1,2,6,BL64
H7,108,30,OR1A1,5,no_lipo,3,14,0.0,185,0,0,4,0,1,6,7,BL64
I4,109,31,OR1A1,5,no_lipo,3,14,0.0,135,0,0,4,0,1,3,8,BL64
E4,110,32,OR1A1,5,no_lipo,3,20,1.25,85,2,0,4,0,1,3,4,BL64
K1,111,33,CD47,5,no_lipo,3,8,0.0,185,0,0,4,0,1,0,10,BL64
H1,112,34,CD47,5,no_lipo,3,8,0.0,185,1,0,4,0,1,0,7,BL64
B10,113,35,CD47,5,no_lipo,3,20,1.25,85,2,0,4,0,1,9,1,BL64
M2,114,36,Blank,0,no_lipo,3,8,0.0,85,0,0,4,0,1,1,12,BL64
D7,115,38,Cat,5,no_lipo,3,8,0.0,85,0,0,4,0,1,6,3,BL64
K9,116,40,Cat,5,no_lipo,3,20,0.0,185,0,0,4,0,1,8,10,BL64
E3,117,0,Mito,5,DOPC,3,14,0.0,185,1,0,4,0,1,2,4,BL64
O4,118,1,Mito,5,DOPC,3,8,0.0,185,1,0,4,0,1,3,14,BL64
I1,119,2,Mito,5,DOPC,3,8,1.25,135,2,0,4,0,1,0,8,BL64
E10,120,3,Beta,5,DOPC,3,20,0.625,185,0,0,4,0,1,9,4,BL64
J5,121,4,Beta,5,DOPC,3,8,0.0,185,0,0,4,0,1,4,9,BL64
H8,122,5,Beta,5,DOPC,3,8,1.25,85,1,0,4,0,1,7,7,BL64
