well_name,unique_id,DNA_name,rxn_id,DNA_conc,K,Mg,PEG,SecYE,Spermidine,Liposome_conc,Liposome_name,day,plate,col,row
C11,768,Vol,38,5.0,135,11,0,0.0,4.0,3,DOPC--0%PE--0%Chol,1,3,10,2
A18,769,Vol,39,5.0,135,11,0,1.25,4.0,3,DMPC--0%PE--0%Chol,1,3,17,0
F6,770,Vol,40,5.0,135,11,0,1.25,4.0,3,DOPC--0%PE--0%Chol,1,3,5,5
O12,771,Vol,41,5.0,135,20,0,1.25,0.0,3,DOPC--0%PE--0%Chol,1,3,11,14
C23,772,Vol,42,5.0,235,11,0,1.25,8.0,3,DMPC--0%PE--0%Chol,1,3,22,2
J6,773,Vol,43,5.0,235,11,0,1.25,8.0,3,DOPC--0%PE--0%Chol,1,3,5,9
E9,774,Vol,44,5.0,235,14,0,1.25,0.0,3,DMPC--0%PE--0%Chol,1,3,8,4
P7,775,Vol,45,5.0,235,14,0,1.25,0.0,3,DOPC--0%PE--0%Chol,1,3,6,15
B12,776,Vol,167,2.5,85,11,0,1.25,0.0,3,DMPC--0%PE--0%Chol,1,3,11,1
I7,777,Vol,168,2.5,135,11,0,1.25,1.0,3,DOPC--0%PE--0%Chol,1,3,6,8
P22,778,Vol,169,2.5,135,11,0,1.25,8.0,3,DOPC--0%PE--0%Chol,1,3,21,15
G9,779,Vol,170,2.5,235,8,0,0.625,8.0,3,DOPC--0%PE--0%Chol,1,3,8,6
I5,780,Vol,171,2.5,235,11,0,1.25,4.0,3,DOPC--0%PE--0%Chol,1,3,4,8
H12,781,Vol,172,2.5,235,11,0,1.25,8.0,3,DMPC--0%PE--0%Chol,1,3,11,7
G18,782,Vol,173,2.5,235,14,0,1.25,0.0,3,DMPC--0%PE--0%Chol,1,3,17,6
N16,783,Vol,174,2.5,235,20,0,1.25,0.0,3,DOPC--0%PE--0%Chol,1,3,15,13
D12,784,Vol,38,5.0,135,11,0,0.0,4.0,3,DOPC--0%PE--0%Chol,1,3,11,3
N24,785,Vol,39,5.0,135,11,0,1.25,4.0,3,DMPC--0%PE--0%Chol,1,3,23,13
L12,786,Vol,40,5.0,135,11,0,1.25,4.0,3,DOPC--0%PE--0%Chol,1,3,11,11
A7,787,Vol,41,5.0,135,20,0,1.25,0.0,3,DOPC--0%PE--0%Chol,1,3,6,0
N11,788,Vol,42,5.0,235,11,0,1.25,8.0,3,DMPC--0%PE--0%Chol,1,3,10,13
H19,789,Vol,43,5.0,235,11,0,1.25,8.0,3,DOPC--0%PE--0%Chol,1,3,18,7
O1,790,Vol,44,5.0,235,14,0,1.25,0.0,3,DMPC--0%PE--0%Chol,1,3,0,14
O21,791,Vol,45,5.0,235,14,0,1.25,0.0,3,DOPC--0%PE--0%Chol,1,3,20,14
P8,792,Vol,167,2.5,85,11,0,1.25,0.0,3,DMPC--0%PE--0%Chol,1,3,7,15
I21,793,Vol,168,2.5,135,11,0,1.25,1.0,3,DOPC--0%PE--0%Chol,1,3,20,8
P3,794,Vol,169,2.5,135,11,0,1.25,8.0,3,DOPC--0%PE--0%Chol,1,3,2,15
A17,795,Vol,170,2.5,235,8,0,0.625,8.0,3,DOPC--0%PE--0%Chol,1,3,16,0
K22,796,Vol,171,2.5,235,11,0,1.25,4.0,3,DOPC--0%PE--0%Chol,1,3,21,10
J2,797,Vol,172,2.5,235,11,0,1.25,8.0,3,DMPC--0%PE--0%Chol,1,3,1,9
M6,798,Vol,173,2.5,235,14,0,1.25,0.0,3,DMPC--0%PE--0%Chol,1,3,5,12
P20,799,Vol,174,2.5,235,20,0,1.25,0.0,3,DOPC--0%PE--0%Chol,1,3,19,15
