well_name,deGFP,K,Mg,combo
A18,5.0,85.0,12.5,WT48
A19,5.0,185.0,15.0,WT48
A20,5.0,185.0,17.5,WT48
A21,5.0,85.0,12.5,WT51
A22,5.0,185.0,15.0,WT51
A23,5.0,185.0,17.5,WT51
B18,5.0,135.0,15.0,WT48
B19,5.0,135.0,17.5,WT48
B20,5.0,85.0,20.0,WT48
B21,5.0,135.0,15.0,WT51
B22,5.0,135.0,17.5,WT51
B23,5.0,85.0,20.0,WT51
C18,5.0,135.0,20.0,WT48
C19,5.0,135.0,12.5,WT48
C20,5.0,185.0,12.5,WT48
C21,5.0,135.0,20.0,WT51
C22,5.0,135.0,12.5,WT51
C23,5.0,185.0,12.5,WT51
D18,5.0,135.0,20.0,WT48
D19,5.0,85.0,17.5,WT48
D20,5.0,85.0,15.0,WT48
D21,5.0,135.0,20.0,WT51
D22,5.0,85.0,17.5,WT51
D23,5.0,85.0,15.0,WT51
E18,5.0,185.0,17.5,WT48
E19,5.0,85.0,12.5,WT48
E20,5.0,185.0,20.0,WT48
E21,5.0,185.0,17.5,WT51
E22,5.0,85.0,12.5,WT51
E23,5.0,185.0,20.0,WT51
F18,5.0,185.0,20.0,WT48
F19,5.0,185.0,15.0,WT48
F20,5.0,185.0,10.0,WT48
F21,5.0,185.0,20.0,WT51
F22,5.0,185.0,15.0,WT51
F23,5.0,185.0,10.0,WT51
G18,5.0,85.0,10.0,WT48
G19,5.0,85.0,15.0,WT48
G20,5.0,85.0,10.0,WT48
G21,5.0,85.0,10.0,WT51
G22,5.0,85.0,15.0,WT51
G23,5.0,85.0,10.0,WT51
H18,5.0,135.0,10.0,WT48
H19,5.0,185.0,10.0,WT48
H20,5.0,135.0,10.0,WT48
H21,5.0,135.0,10.0,WT51
H22,5.0,185.0,10.0,WT51
H23,5.0,135.0,10.0,WT51
I18,5.0,135.0,15.0,WT48
I19,5.0,135.0,15.0,WT48
I20,5.0,135.0,17.5,WT48
I21,5.0,135.0,15.0,WT51
I22,5.0,135.0,15.0,WT51
I23,5.0,135.0,17.5,WT51
J18,5.0,185.0,10.0,WT48
J19,5.0,85.0,20.0,WT48
J20,5.0,185.0,20.0,WT48
J21,5.0,185.0,10.0,WT51
J22,5.0,85.0,20.0,WT51
J23,5.0,185.0,20.0,WT51
K18,5.0,85.0,10.0,WT48
K19,5.0,135.0,12.5,WT48
K20,5.0,85.0,17.5,WT48
K21,5.0,85.0,10.0,WT51
K22,5.0,135.0,12.5,WT51
K23,5.0,85.0,17.5,WT51
L18,5.0,185.0,15.0,WT48
L19,5.0,135.0,12.5,WT48
L20,5.0,135.0,20.0,WT48
L21,5.0,185.0,15.0,WT51
L22,5.0,135.0,12.5,WT51
L23,5.0,135.0,20.0,WT51
M18,5.0,185.0,12.5,WT48
M19,5.0,135.0,17.5,WT48
M20,5.0,85.0,17.5,WT48
M21,5.0,185.0,12.5,WT51
M22,5.0,135.0,17.5,WT51
M23,5.0,85.0,17.5,WT51
N18,5.0,185.0,17.5,WT48
N19,5.0,85.0,12.5,WT48
N21,5.0,185.0,17.5,WT51
N22,5.0,85.0,12.5,WT51
O18,5.0,135.0,10.0,WT48
O19,5.0,85.0,20.0,WT48
O21,5.0,135.0,10.0,WT51
O22,5.0,85.0,20.0,WT51
P18,5.0,85.0,15.0,WT48
P19,5.0,185.0,12.5,WT48
P21,5.0,85.0,15.0,WT51
P22,5.0,185.0,12.5,WT51
