well_name,unique_id,DNA_name,rxn_id,Mg,SecYE,K,PEG,Liposome_name,DNA_conc,Liposome_conc,day,plate,col,row
B9,384,CD81,36,8,0.0,85,0,DMPC,5,3,1,2,8,1
G23,385,CD81,37,8,0.0,85,1,DMPC,5,3,1,2,22,6
C9,386,CD81,38,8,0.0,135,0,DMPC,5,3,1,2,8,2
D22,387,CD81,39,8,0.0,185,1,DOPC,5,3,1,2,21,3
A3,388,CD81,40,8,1.25,85,0,DMPC,5,3,1,2,2,0
D19,389,CD81,41,8,1.25,185,0,DOPC,5,3,1,2,18,3
N10,390,CD81,42,14,0.0,135,0,DOPC,5,3,1,2,9,13
I24,391,CD81,43,20,0.0,85,0,DOPC,5,3,1,2,23,8
N13,392,CD81,44,20,0.0,135,0,DOPC,5,3,1,2,12,13
B2,393,CD81,45,20,0.0,185,0,DOPC,5,3,1,2,1,1
H6,394,CD81,46,20,0.0,185,1,DOPC,5,3,1,2,5,7
E1,395,CD81,47,20,1.25,185,0,DOPC,5,3,1,2,0,4
M6,396,CD81,36,8,0.0,85,0,DMPC,5,3,1,2,5,12
D10,397,CD81,37,8,0.0,85,1,DMPC,5,3,1,2,9,3
P3,398,CD81,38,8,0.0,135,0,DMPC,5,3,1,2,2,15
J9,399,CD81,39,8,0.0,185,1,DOPC,5,3,1,2,8,9
G5,400,CD81,40,8,1.25,85,0,DMPC,5,3,1,2,4,6
M22,401,CD81,41,8,1.25,185,0,DOPC,5,3,1,2,21,12
F15,402,CD81,42,14,0.0,135,0,DOPC,5,3,1,2,14,5
A18,403,CD81,43,20,0.0,85,0,DOPC,5,3,1,2,17,0
N19,404,CD81,44,20,0.0,135,0,DOPC,5,3,1,2,18,13
A23,405,CD81,45,20,0.0,185,0,DOPC,5,3,1,2,22,0
N7,406,CD81,46,20,0.0,185,1,DOPC,5,3,1,2,6,13
F14,407,CD81,47,20,1.25,185,0,DOPC,5,3,1,2,13,5
I3,408,CD81,36,8,0.0,85,0,DMPC,5,3,1,2,2,8
M20,409,CD81,37,8,0.0,85,1,DMPC,5,3,1,2,19,12
K13,410,CD81,38,8,0.0,135,0,DMPC,5,3,1,2,12,10
E2,411,CD81,39,8,0.0,185,1,DOPC,5,3,1,2,1,4
G17,412,CD81,40,8,1.25,85,0,DMPC,5,3,1,2,16,6
G6,413,CD81,41,8,1.25,185,0,DOPC,5,3,1,2,5,6
G13,414,CD81,42,14,0.0,135,0,DOPC,5,3,1,2,12,6
P6,415,CD81,43,20,0.0,85,0,DOPC,5,3,1,2,5,15
G15,416,CD81,44,20,0.0,135,0,DOPC,5,3,1,2,14,6
E15,417,CD81,45,20,0.0,185,0,DOPC,5,3,1,2,14,4
N6,418,CD81,46,20,0.0,185,1,DOPC,5,3,1,2,5,13
O18,419,CD81,47,20,1.25,185,0,DOPC,5,3,1,2,17,14
M13,420,CD81,36,8,0.0,85,0,DMPC,5,3,1,2,12,12
A1,421,CD81,37,8,0.0,85,1,DMPC,5,3,1,2,0,0
P1,422,CD81,38,8,0.0,135,0,DMPC,5,3,1,2,0,15
P15,423,CD81,39,8,0.0,185,1,DOPC,5,3,1,2,14,15
O20,424,CD81,40,8,1.25,85,0,DMPC,5,3,1,2,19,14
C11,425,CD81,41,8,1.25,185,0,DOPC,5,3,1,2,10,2
D4,426,CD81,42,14,0.0,135,0,DOPC,5,3,1,2,3,3
F8,427,CD81,43,20,0.0,85,0,DOPC,5,3,1,2,7,5
L1,428,CD81,44,20,0.0,135,0,DOPC,5,3,1,2,0,11
H9,429,CD81,45,20,0.0,185,0,DOPC,5,3,1,2,8,7
P17,430,CD81,46,20,0.0,185,1,DOPC,5,3,1,2,16,15
N15,431,CD81,47,20,1.25,185,0,DOPC,5,3,1,2,14,13
O19,432,CD81,36,8,0.0,85,0,no_lipo,5,3,1,2,18,14
B15,433,CD81,37,8,0.0,85,1,no_lipo,5,3,1,2,14,1
C6,434,CD81,38,8,0.0,135,0,no_lipo,5,3,1,2,5,2
F20,435,CD81,39,8,0.0,185,1,no_lipo,5,3,1,2,19,5
C15,436,CD81,40,8,1.25,85,0,no_lipo,5,3,1,2,14,2
H12,437,CD81,41,8,1.25,185,0,no_lipo,5,3,1,2,11,7
D6,438,CD81,42,14,0.0,135,0,no_lipo,5,3,1,2,5,3
L12,439,CD81,43,20,0.0,85,0,no_lipo,5,3,1,2,11,11
I16,440,CD81,44,20,0.0,135,0,no_lipo,5,3,1,2,15,8
F22,441,CD81,45,20,0.0,185,0,no_lipo,5,3,1,2,21,5
F9,442,CD81,46,20,0.0,185,1,no_lipo,5,3,1,2,8,5
A2,443,CD81,47,20,1.25,185,0,no_lipo,5,3,1,2,1,0
E9,444,CD81,36,8,0.0,85,0,no_lipo,5,3,1,2,8,4
K20,445,CD81,37,8,0.0,85,1,no_lipo,5,3,1,2,19,10
C20,446,CD81,38,8,0.0,135,0,no_lipo,5,3,1,2,19,2
H15,447,CD81,39,8,0.0,185,1,no_lipo,5,3,1,2,14,7
I1,448,CD81,40,8,1.25,85,0,no_lipo,5,3,1,2,0,8
G21,449,CD81,41,8,1.25,185,0,no_lipo,5,3,1,2,20,6
B8,450,CD81,42,14,0.0,135,0,no_lipo,5,3,1,2,7,1
F6,451,CD81,43,20,0.0,85,0,no_lipo,5,3,1,2,5,5
I20,452,CD81,44,20,0.0,135,0,no_lipo,5,3,1,2,19,8
N12,453,CD81,45,20,0.0,185,0,no_lipo,5,3,1,2,11,13
J1,454,CD81,46,20,0.0,185,1,no_lipo,5,3,1,2,0,9
I11,455,CD81,47,20,1.25,185,0,no_lipo,5,3,1,2,10,8
L22,456,CD81,36,8,0.0,85,0,no_lipo,5,3,1,2,21,11
O3,457,CD81,37,8,0.0,85,1,no_lipo,5,3,1,2,2,14
F11,458,CD81,38,8,0.0,135,0,no_lipo,5,3,1,2,10,5
E10,459,CD81,39,8,0.0,185,1,no_lipo,5,3,1,2,9,4
C14,460,CD81,40,8,1.25,85,0,no_lipo,5,3,1,2,13,2
D15,461,CD81,41,8,1.25,185,0,no_lipo,5,3,1,2,14,3
O21,462,CD81,42,14,0.0,135,0,no_lipo,5,3,1,2,20,14
M19,463,CD81,43,20,0.0,85,0,no_lipo,5,3,1,2,18,12
P9,464,CD81,44,20,0.0,135,0,no_lipo,5,3,1,2,8,15
D11,465,CD81,45,20,0.0,185,0,no_lipo,5,3,1,2,10,3
I13,466,CD81,46,20,0.0,185,1,no_lipo,5,3,1,2,12,8
O2,467,CD81,47,20,1.25,185,0,no_lipo,5,3,1,2,1,14
K14,468,CD81,36,8,0.0,85,0,no_lipo,5,3,1,2,13,10
L20,469,CD81,37,8,0.0,85,1,no_lipo,5,3,1,2,19,11
L17,470,CD81,38,8,0.0,135,0,no_lipo,5,3,1,2,16,11
N20,471,CD81,39,8,0.0,185,1,no_lipo,5,3,1,2,19,13
B19,472,CD81,40,8,1.25,85,0,no_lipo,5,3,1,2,18,1
F18,473,CD81,41,8,1.25,185,0,no_lipo,5,3,1,2,17,5
F19,474,CD81,42,14,0.0,135,0,no_lipo,5,3,1,2,18,5
E23,475,CD81,43,20,0.0,85,0,no_lipo,5,3,1,2,22,4
C7,476,CD81,44,20,0.0,135,0,no_lipo,5,3,1,2,6,2
I9,477,CD81,45,20,0.0,185,0,no_lipo,5,3,1,2,8,8
O12,478,CD81,46,20,0.0,185,1,no_lipo,5,3,1,2,11,14
F12,479,CD81,47,20,1.25,185,0,no_lipo,5,3,1,2,11,5
