well_name,unique_id,rxn_id,DNA_name,Mg,SecYE,K,PEG,Liposome_name,DNA_conc,Liposome_conc,plate,row,col
L17,1,1,AqpZ,8,0.0,135,0,DOPC,5,3,1,11,16
A2,7,7,AqpZ,8,0.0,185,0,DMPC,5,3,1,0,1
H18,8,8,AqpZ,8,0.0,135,1,DOPC,5,3,1,7,17
L8,10,10,Aux,8,0.0,85,1,DMPC,5,3,1,11,7
D17,13,13,Aux,14,0.0,85,0,DMPC,5,3,1,3,16
A12,14,14,Aux,20,0.0,185,2,DMPC,5,3,1,0,11
H15,16,16,Aux,20,0.625,185,2,DMPC,5,3,1,7,14
I3,17,17,Aux,14,0.625,185,2,DMPC,5,3,1,8,2
C20,18,18,B2AR,8,0.0,185,0,DOPC,5,3,1,2,19
N4,21,21,B2AR,8,0.0,135,0,DOPC,5,3,1,13,3
F6,22,22,B2AR,14,0.625,185,0,DOPC,5,3,1,5,5
D11,26,26,B2AR,8,0.0,85,0,DOPC,5,3,1,3,10
A17,81,81,Mito,14,0.0,185,0,DOPC,5,3,1,0,16
B6,85,85,Mito,14,0.625,185,0,DOPC,5,3,1,1,5
A7,89,89,Mito,14,0.0,135,0,DOPC,5,3,1,0,6
C2,101,101,MscL,8,0.0,185,0,DOPC,5,3,1,2,1
K16,105,105,MscL,14,0.0,185,1,DOPC,5,3,1,10,15
B7,110,110,MtlA,8,0.0,135,2,DMPC,5,3,1,1,6
B5,111,111,MtlA,14,0.0,85,2,DMPC,5,3,1,1,4
N17,112,112,MtlA,8,0.0,85,1,DMPC,5,3,1,13,16
C6,113,113,MtlA,14,0.0,135,2,DMPC,5,3,1,2,5
D2,114,114,MtlA,20,0.625,85,2,DMPC,5,3,1,3,1
K15,115,115,MtlA,14,0.0,185,2,DMPC,5,3,1,10,14
I18,121,121,Neu,8,0.0,85,0,DOPC,5,3,1,8,17
I7,122,122,Neu,8,0.0,185,0,DMPC,5,3,1,8,6
I10,136,136,AqpZ,8,0.0,135,0,no_lipo,5,0,1,8,9
N10,137,137,AqpZ,14,0.0,185,0,no_lipo,5,0,1,13,9
L15,138,138,AqpZ,8,0.625,185,0,no_lipo,5,0,1,11,14
P10,140,140,AqpZ,8,0.0,85,0,no_lipo,5,0,1,15,9
O17,145,145,Aux,8,0.625,85,0,no_lipo,5,0,1,14,16
M9,147,147,Aux,14,0.0,85,0,no_lipo,5,0,1,12,8
G16,148,148,Aux,20,0.0,185,2,no_lipo,5,0,1,6,15
N19,152,152,B2AR,8,0.0,185,0,no_lipo,5,0,1,13,18
N18,153,153,B2AR,8,0.625,185,0,no_lipo,5,0,1,13,17
L18,156,156,B2AR,14,0.625,185,0,no_lipo,5,0,1,11,17
E15,157,157,B2AR,8,0.625,135,0,no_lipo,5,0,1,4,14
G7,215,215,Mito,14,0.0,185,1,no_lipo,5,0,1,6,6
C13,216,216,Mito,8,0.625,185,0,no_lipo,5,0,1,2,12
D9,217,217,Mito,8,0.0,185,1,no_lipo,5,0,1,3,8
H6,218,218,Mito,14,0.0,135,0,no_lipo,5,0,1,7,5
D19,228,228,MscL,14,0.0,185,0,no_lipo,5,0,1,3,18
P2,230,230,MscL,8,0.0,185,0,no_lipo,5,0,1,15,1
G9,235,235,MscL,8,0.0,185,1,no_lipo,5,0,1,6,8
L3,242,242,MtlA,14,0.0,135,2,no_lipo,5,0,1,11,2
I9,245,245,MtlA,20,0.0,135,2,no_lipo,5,0,1,8,8
L12,246,246,Neu,8,0.0,185,0,no_lipo,5,0,1,11,11
J1,247,247,Neu,8,0.0,135,0,no_lipo,5,0,1,9,0
E3,249,249,Neu,8,0.625,185,0,no_lipo,5,0,1,4,2
M8,252,252,Neu,8,0.0,185,1,no_lipo,5,0,1,12,7
F1,263,0,AqpZ,8,0.0,185,0,DOPC,5,3,1,5,0
G10,265,2,AqpZ,14,0.0,185,0,DOPC,5,3,1,6,9
M12,267,4,AqpZ,14,0.0,135,0,DOPC,5,3,1,12,11
N2,269,6,AqpZ,8,0.0,185,1,DOPC,5,3,1,13,1
O8,272,9,Aux,8,0.0,85,0,DMPC,5,3,1,14,7
B13,273,10,Aux,8,0.0,85,1,DMPC,5,3,1,1,12
C9,275,12,Aux,14,0.0,185,2,DMPC,5,3,1,2,8
P5,277,14,Aux,20,0.0,185,2,DMPC,5,3,1,15,4
L14,281,18,B2AR,8,0.0,185,0,DOPC,5,3,1,11,13
A11,284,21,B2AR,8,0.0,135,0,DOPC,5,3,1,0,10
K2,287,24,B2AR,20,0.0,185,0,DOPC,5,3,1,10,1
O16,344,81,Mito,14,0.0,185,0,DOPC,5,3,1,14,15
H4,346,83,Mito,8,0.0,185,0,DOPC,5,3,1,7,3
B15,347,84,Mito,20,0.625,185,0,DOPC,5,3,1,1,14
P18,362,99,MscL,14,0.0,185,0,DOPC,5,3,1,15,17
F17,363,100,MscL,20,0.0,185,0,DOPC,5,3,1,5,16
I13,364,101,MscL,8,0.0,185,0,DOPC,5,3,1,8,12
J16,365,102,MscL,20,0.625,185,0,DOPC,5,3,1,9,15
C12,366,103,MscL,14,0.625,185,0,DOPC,5,3,1,2,11
D14,370,107,MscL,20,0.0,135,0,DOPC,5,3,1,3,13
L11,372,109,MtlA,20,0.0,85,2,DMPC,5,3,1,11,10
A16,373,110,MtlA,8,0.0,135,2,DMPC,5,3,1,0,15
