well_name,unique_id,day,rxn_id,DNA_conc,K,Mg,SecYE,Spermidine,Liposome_name,DNA_name,plate,col,row,Liposome_conc
E21,1536,2,1,2.5,85.0,8.0,0.0,0.1,DMPC--0%PE--8%Chol,B2AR,5,20,4,3
H21,1537,2,3,5.0,185.0,14.0,0.625,0.1,DMPC--0%PE--8%Chol,B2AR,5,20,7,3
I13,1538,2,5,5.0,85.0,8.0,0.625,4.0,DMPC--0%PE--8%Chol,B2AR,5,12,8,3
K16,1539,2,7,2.5,185.0,14.0,0.0,4.0,DMPC--0%PE--8%Chol,B2AR,5,15,10,3
M14,1540,2,17,5.0,185.0,8.0,0.0,0.1,DOPC--0%PE--8%Chol,B2AR,5,13,12,3
M8,1541,2,19,2.5,85.0,14.0,0.625,0.1,DOPC--0%PE--8%Chol,B2AR,5,7,12,3
B22,1542,2,21,2.5,185.0,8.0,0.625,4.0,DOPC--0%PE--8%Chol,B2AR,5,21,1,3
L17,1543,2,23,5.0,85.0,14.0,0.0,4.0,DOPC--0%PE--8%Chol,B2AR,5,16,11,3
O16,1544,2,24,2.5,185.0,8.0,0.0,0.1,DOPC--15%PE--0%Chol,B2AR,5,15,14,3
N16,1545,2,25,5.0,85.0,8.0,0.625,0.1,DOPC--15%PE--8%Chol,B2AR,5,15,13,3
L16,1546,2,26,5.0,85.0,14.0,0.625,0.1,DOPC--15%PE--0%Chol,B2AR,5,15,11,3
G19,1547,2,27,2.5,185.0,14.0,0.0,0.1,DOPC--15%PE--8%Chol,B2AR,5,18,6,3
L12,1548,2,28,5.0,185.0,8.0,0.625,4.0,DOPC--15%PE--0%Chol,B2AR,5,11,11,3
J13,1549,2,29,2.5,85.0,8.0,0.0,4.0,DOPC--15%PE--8%Chol,B2AR,5,12,9,3
K22,1550,2,30,2.5,85.0,14.0,0.0,4.0,DOPC--15%PE--0%Chol,B2AR,5,21,10,3
G23,1551,2,31,5.0,185.0,14.0,0.625,4.0,DOPC--15%PE--8%Chol,B2AR,5,22,6,3
D14,1552,2,1,2.5,85.0,8.0,0.0,0.1,DMPC--0%PE--8%Chol,B2AR,5,13,3,3
N1,1553,2,3,5.0,185.0,14.0,0.625,0.1,DMPC--0%PE--8%Chol,B2AR,5,0,13,3
P17,1554,2,5,5.0,85.0,8.0,0.625,4.0,DMPC--0%PE--8%Chol,B2AR,5,16,15,3
H7,1555,2,7,2.5,185.0,14.0,0.0,4.0,DMPC--0%PE--8%Chol,B2AR,5,6,7,3
K9,1556,2,17,5.0,185.0,8.0,0.0,0.1,DOPC--0%PE--8%Chol,B2AR,5,8,10,3
D5,1557,2,19,2.5,85.0,14.0,0.625,0.1,DOPC--0%PE--8%Chol,B2AR,5,4,3,3
P8,1558,2,21,2.5,185.0,8.0,0.625,4.0,DOPC--0%PE--8%Chol,B2AR,5,7,15,3
B7,1559,2,23,5.0,85.0,14.0,0.0,4.0,DOPC--0%PE--8%Chol,B2AR,5,6,1,3
F2,1560,2,24,2.5,185.0,8.0,0.0,0.1,DOPC--15%PE--0%Chol,B2AR,5,1,5,3
H11,1561,2,25,5.0,85.0,8.0,0.625,0.1,DOPC--15%PE--8%Chol,B2AR,5,10,7,3
O7,1562,2,26,5.0,85.0,14.0,0.625,0.1,DOPC--15%PE--0%Chol,B2AR,5,6,14,3
K18,1563,2,27,2.5,185.0,14.0,0.0,0.1,DOPC--15%PE--8%Chol,B2AR,5,17,10,3
J12,1564,2,28,5.0,185.0,8.0,0.625,4.0,DOPC--15%PE--0%Chol,B2AR,5,11,9,3
A5,1565,2,29,2.5,85.0,8.0,0.0,4.0,DOPC--15%PE--8%Chol,B2AR,5,4,0,3
L23,1566,2,30,2.5,85.0,14.0,0.0,4.0,DOPC--15%PE--0%Chol,B2AR,5,22,11,3
C1,1567,2,31,5.0,185.0,14.0,0.625,4.0,DOPC--15%PE--8%Chol,B2AR,5,0,2,3
J20,1568,2,1,2.5,85.0,8.0,0.0,0.1,DMPC--0%PE--8%Chol,B2AR,5,19,9,3
O9,1569,2,3,5.0,185.0,14.0,0.625,0.1,DMPC--0%PE--8%Chol,B2AR,5,8,14,3
G17,1570,2,5,5.0,85.0,8.0,0.625,4.0,DMPC--0%PE--8%Chol,B2AR,5,16,6,3
K14,1571,2,7,2.5,185.0,14.0,0.0,4.0,DMPC--0%PE--8%Chol,B2AR,5,13,10,3
K7,1572,2,17,5.0,185.0,8.0,0.0,0.1,DOPC--0%PE--8%Chol,B2AR,5,6,10,3
C14,1573,2,19,2.5,85.0,14.0,0.625,0.1,DOPC--0%PE--8%Chol,B2AR,5,13,2,3
I2,1574,2,21,2.5,185.0,8.0,0.625,4.0,DOPC--0%PE--8%Chol,B2AR,5,1,8,3
M20,1575,2,23,5.0,85.0,14.0,0.0,4.0,DOPC--0%PE--8%Chol,B2AR,5,19,12,3
N18,1576,2,24,2.5,185.0,8.0,0.0,0.1,DOPC--15%PE--0%Chol,B2AR,5,17,13,3
C13,1577,2,25,5.0,85.0,8.0,0.625,0.1,DOPC--15%PE--8%Chol,B2AR,5,12,2,3
P19,1578,2,26,5.0,85.0,14.0,0.625,0.1,DOPC--15%PE--0%Chol,B2AR,5,18,15,3
I12,1579,2,27,2.5,185.0,14.0,0.0,0.1,DOPC--15%PE--8%Chol,B2AR,5,11,8,3
J7,1580,2,28,5.0,185.0,8.0,0.625,4.0,DOPC--15%PE--0%Chol,B2AR,5,6,9,3
E10,1581,2,29,2.5,85.0,8.0,0.0,4.0,DOPC--15%PE--8%Chol,B2AR,5,9,4,3
L22,1582,2,30,2.5,85.0,14.0,0.0,4.0,DOPC--15%PE--0%Chol,B2AR,5,21,11,3
J5,1583,2,31,5.0,185.0,14.0,0.625,4.0,DOPC--15%PE--8%Chol,B2AR,5,4,9,3
M17,1584,2,1,2.5,85.0,8.0,0.0,0.1,DMPC--0%PE--8%Chol,B2AR,5,16,12,3
J2,1585,2,3,5.0,185.0,14.0,0.625,0.1,DMPC--0%PE--8%Chol,B2AR,5,1,9,3
C2,1586,2,5,5.0,85.0,8.0,0.625,4.0,DMPC--0%PE--8%Chol,B2AR,5,1,2,3
M3,1587,2,7,2.5,185.0,14.0,0.0,4.0,DMPC--0%PE--8%Chol,B2AR,5,2,12,3
D21,1588,2,17,5.0,185.0,8.0,0.0,0.1,DOPC--0%PE--8%Chol,B2AR,5,20,3,3
O10,1589,2,19,2.5,85.0,14.0,0.625,0.1,DOPC--0%PE--8%Chol,B2AR,5,9,14,3
C21,1590,2,21,2.5,185.0,8.0,0.625,4.0,DOPC--0%PE--8%Chol,B2AR,5,20,2,3
L18,1591,2,23,5.0,85.0,14.0,0.0,4.0,DOPC--0%PE--8%Chol,B2AR,5,17,11,3
B3,1592,2,24,2.5,185.0,8.0,0.0,0.1,DOPC--15%PE--0%Chol,B2AR,5,2,1,3
P11,1593,2,25,5.0,85.0,8.0,0.625,0.1,DOPC--15%PE--8%Chol,B2AR,5,10,15,3
F10,1594,2,26,5.0,85.0,14.0,0.625,0.1,DOPC--15%PE--0%Chol,B2AR,5,9,5,3
E8,1595,2,27,2.5,185.0,14.0,0.0,0.1,DOPC--15%PE--8%Chol,B2AR,5,7,4,3
O8,1596,2,28,5.0,185.0,8.0,0.625,4.0,DOPC--15%PE--0%Chol,B2AR,5,7,14,3
I14,1597,2,29,2.5,85.0,8.0,0.0,4.0,DOPC--15%PE--8%Chol,B2AR,5,13,8,3
H23,1598,2,30,2.5,85.0,14.0,0.0,4.0,DOPC--15%PE--0%Chol,B2AR,5,22,7,3
G1,1599,2,31,5.0,185.0,14.0,0.625,4.0,DOPC--15%PE--8%Chol,B2AR,5,0,6,3
D9,1600,2,1,2.5,85.0,8.0,0.0,0.1,no_lipo,B2AR,5,8,3,3
D6,1601,2,3,5.0,185.0,14.0,0.625,0.1,no_lipo,B2AR,5,5,3,3
D3,1602,2,5,5.0,85.0,8.0,0.625,4.0,no_lipo,B2AR,5,2,3,3
G4,1603,2,7,2.5,185.0,14.0,0.0,4.0,no_lipo,B2AR,5,3,6,3
J16,1604,2,17,5.0,185.0,8.0,0.0,0.1,no_lipo,B2AR,5,15,9,3
P12,1605,2,19,2.5,85.0,14.0,0.625,0.1,no_lipo,B2AR,5,11,15,3
P7,1606,2,21,2.5,185.0,8.0,0.625,4.0,no_lipo,B2AR,5,6,15,3
P20,1607,2,23,5.0,85.0,14.0,0.0,4.0,no_lipo,B2AR,5,19,15,3
O11,1608,2,24,2.5,185.0,8.0,0.0,0.1,no_lipo,B2AR,5,10,14,3
C10,1609,2,25,5.0,85.0,8.0,0.625,0.1,no_lipo,B2AR,5,9,2,3
P3,1610,2,26,5.0,85.0,14.0,0.625,0.1,no_lipo,B2AR,5,2,15,3
F22,1611,2,27,2.5,185.0,14.0,0.0,0.1,no_lipo,B2AR,5,21,5,3
K4,1612,2,28,5.0,185.0,8.0,0.625,4.0,no_lipo,B2AR,5,3,10,3
P24,1613,2,29,2.5,85.0,8.0,0.0,4.0,no_lipo,B2AR,5,23,15,3
G18,1614,2,30,2.5,85.0,14.0,0.0,4.0,no_lipo,B2AR,5,17,6,3
I16,1615,2,31,5.0,185.0,14.0,0.625,4.0,no_lipo,B2AR,5,15,8,3
O15,1616,2,1,2.5,85.0,8.0,0.0,0.1,no_lipo,B2AR,5,14,14,3
K19,1617,2,3,5.0,185.0,14.0,0.625,0.1,no_lipo,B2AR,5,18,10,3
H9,1618,2,5,5.0,85.0,8.0,0.625,4.0,no_lipo,B2AR,5,8,7,3
G14,1619,2,7,2.5,185.0,14.0,0.0,4.0,no_lipo,B2AR,5,13,6,3
C12,1620,2,17,5.0,185.0,8.0,0.0,0.1,no_lipo,B2AR,5,11,2,3
J15,1621,2,19,2.5,85.0,14.0,0.625,0.1,no_lipo,B2AR,5,14,9,3
G6,1622,2,21,2.5,185.0,8.0,0.625,4.0,no_lipo,B2AR,5,5,6,3
F13,1623,2,23,5.0,85.0,14.0,0.0,4.0,no_lipo,B2AR,5,12,5,3
J1,1624,2,24,2.5,185.0,8.0,0.0,0.1,no_lipo,B2AR,5,0,9,3
A6,1625,2,25,5.0,85.0,8.0,0.625,0.1,no_lipo,B2AR,5,5,0,3
G3,1626,2,26,5.0,85.0,14.0,0.625,0.1,no_lipo,B2AR,5,2,6,3
G15,1627,2,27,2.5,185.0,14.0,0.0,0.1,no_lipo,B2AR,5,14,6,3
B9,1628,2,28,5.0,185.0,8.0,0.625,4.0,no_lipo,B2AR,5,8,1,3
