well_name,unique_id,rxn_id,K,Liposome_name,Mg,SecYE,Spermidine,Liposome_conc,DNA_conc,DNA_name,plate,row,col
N5,1,1,85,DOPC,8,0.625,0.4,3,5,CD47,3,13,4
P11,2,2,85,DOPC,8,1.25,1,3,5,CD47,3,15,10
F14,3,3,85,DOPC,14,0,0.4,3,5,CD47,3,5,13
N21,5,5,85,DOPC,14,1.25,4,3,5,CD47,3,13,20
I21,7,7,85,DOPC+15%PE,8,0.625,1,3,5,CD47,3,8,20
A10,10,10,85,DOPC+15%PE,14,0.625,4,3,5,CD47,3,0,9
J23,14,14,185,DOPC,8,0,0.4,3,5,CD47,3,9,22
K2,17,17,185,DOPC,14,0,1,3,5,CD47,3,10,1
D7,19,19,185,DOPC+15%PE,8,0,1,3,5,CD47,3,3,6
P16,20,20,185,DOPC+15%PE,8,0.625,4,3,5,CD47,3,15,15
E2,21,21,185,DOPC+15%PE,14,0,4,3,5,CD47,3,4,1
A14,23,23,185,DOPC+30%PE,14,1.25,0.1,3,5,CD47,3,0,13
C15,192,192,85,no_lipo,8,0,0.1,3,5,CD47,3,2,14
G1,193,193,85,no_lipo,8,0.625,0.4,3,5,CD47,3,6,0
C3,194,194,85,no_lipo,8,1.25,1,3,5,CD47,3,2,2
P9,197,197,85,no_lipo,14,1.25,4,3,5,CD47,3,15,8
F8,200,200,85,no_lipo,8,1.25,4,3,5,CD47,3,5,7
F2,203,203,85,no_lipo,8,0,1,3,5,CD47,3,5,1
J10,206,206,185,no_lipo,8,0,0.4,3,5,CD47,3,9,9
O12,207,207,185,no_lipo,8,0.625,1,3,5,CD47,3,14,11
E7,209,209,185,no_lipo,14,0,1,3,5,CD47,3,4,6
L7,211,211,185,no_lipo,8,0,1,3,5,CD47,3,11,6
K21,214,214,185,no_lipo,8,0,4,3,5,CD47,3,10,20
G9,215,215,185,no_lipo,14,1.25,0.1,3,5,CD47,3,6,8
F7,384,0,85,DOPC,8,0,0.1,3,5,CD47,3,5,6
G23,385,1,85,DOPC,8,0.625,0.4,3,5,CD47,3,6,22
E21,387,3,85,DOPC,14,0,0.4,3,5,CD47,3,4,20
H21,388,4,85,DOPC,14,0.625,1,3,5,CD47,3,7,20
F5,389,5,85,DOPC,14,1.25,4,3,5,CD47,3,5,4
P6,391,7,85,DOPC+15%PE,8,0.625,1,3,5,CD47,3,15,5
G6,392,8,85,DOPC+15%PE,8,1.25,4,3,5,CD47,3,6,5
M14,394,10,85,DOPC+15%PE,14,0.625,4,3,5,CD47,3,12,13
J8,395,11,85,DOPC+30%PE,8,0,1,3,5,CD47,3,9,7
N7,396,12,85,DOPC+30%PE,8,0.625,4,3,5,CD47,3,13,6
M8,397,13,85,DOPC+30%PE,14,0,4,3,5,CD47,3,12,7
K16,399,15,185,DOPC,8,0.625,1,3,5,CD47,3,10,15
B15,402,18,185,DOPC,14,0.625,4,3,5,CD47,3,1,14
