well_name,unique_id,rxn_id,DNA_name,DNA_conc,K,Mg,PEG,SecYE,Liposome_name,Liposome_conc,day,plate,col,row
B14,0,0,Aux,5,85,8,0,0.625,DMPC,3,1,1,13,1
N9,1,1,Aux,5,85,8,1,0.0,DMPC,3,1,1,8,13
J2,2,2,Aux,5,85,8,1,0.625,DMPC,3,1,1,1,9
C1,3,3,Aux,5,85,11,1,0.0,DMPC,3,1,1,0,2
N12,4,4,Aux,5,85,11,1,0.625,DMPC,3,1,1,11,13
G13,5,5,Aux,5,235,11,0,0.625,DMPC,3,1,1,12,6
A16,6,6,Aux,5,235,14,0,0.625,DMPC,3,1,1,15,0
A3,7,7,B3AR,5,85,14,1,0.0,DMPC,3,1,1,2,0
H10,8,8,B3AR,5,135,17,2,0.0,DOPC,3,1,1,9,7
D15,9,9,B3AR,5,135,20,2,0.0,DOPC,3,1,1,14,3
O22,10,10,B3AR,5,135,23,2,0.625,DOPC,3,1,1,21,14
I18,11,11,B3AR,5,185,8,0,1.25,DOPC,3,1,1,17,8
M7,12,12,B3AR,5,185,23,2,0.0,DOPC,3,1,1,6,12
N5,13,13,B3AR,5,235,8,0,1.25,DOPC,3,1,1,4,13
G12,14,14,Beta,5,85,8,0,0.625,DOPC,3,1,1,11,6
D10,15,15,Beta,5,185,8,0,1.25,DMPC,3,1,1,9,3
D16,16,16,Beta,5,185,14,1,0.0,DOPC,3,1,1,15,3
H1,17,17,Beta,5,185,17,1,0.0,DOPC,3,1,1,0,7
E2,18,18,Beta,5,185,20,0,0.625,DOPC,3,1,1,1,4
O12,19,19,Beta,5,185,20,1,0.0,DOPC,3,1,1,11,14
F4,20,20,Beta,5,185,23,0,0.625,DOPC,3,1,1,3,5
O6,21,21,CRCM,5,85,14,2,0.0,DOPC,3,1,1,5,14
I2,22,22,CRCM,5,85,17,2,0.625,DOPC,3,1,1,1,8
G5,23,23,CRCM,5,185,14,0,0.0,DMPC,3,1,1,4,6
I24,24,24,CRCM,5,185,17,0,0.625,DMPC,3,1,1,23,8
D12,25,25,CRCM,5,185,20,0,0.625,DMPC,3,1,1,11,3
M2,26,26,CRCM,5,185,20,0,1.25,DMPC,3,1,1,1,12
O20,27,27,CRCM,5,235,23,0,1.25,DMPC,3,1,1,19,14
J20,28,28,CaM,5,85,17,1,0.0,DOPC,3,1,1,19,9
B17,29,29,CaM,5,85,20,1,0.0,DOPC,3,1,1,16,1
K21,30,30,CaM,5,185,14,2,0.0,DMPC,3,1,1,20,10
N16,31,31,CaM,5,185,20,0,0.0,DMPC,3,1,1,15,13
A13,32,32,CaM,5,185,23,0,0.0,DMPC,3,1,1,12,0
H12,33,33,CaM,5,235,14,2,0.0,DMPC,3,1,1,11,7
A12,34,34,CaM,5,235,23,0,0.0,DMPC,3,1,1,11,0
D5,35,35,Glut,5,85,20,1,1.25,DMPC,3,1,1,4,3
G22,36,36,Glut,5,85,23,1,1.25,DOPC,3,1,1,21,6
E12,37,37,Glut,5,135,8,0,0.0,DMPC,3,1,1,11,4
N11,38,38,Glut,5,135,20,0,0.0,DMPC,3,1,1,10,13
F5,39,39,Glut,5,185,20,0,0.0,DMPC,3,1,1,4,5
H4,40,40,Glut,5,185,23,0,0.0,DMPC,3,1,1,3,7
C15,41,41,Glut,5,235,23,0,0.0,DMPC,3,1,1,14,2
B24,42,42,Blank,0,135,14,0,0.0,DMPC,3,1,1,23,1
P19,43,43,Blank,0,135,14,0,0.0,DOPC,3,1,1,18,15
B13,44,44,Blank,0,135,14,2,0.0,DMPC,3,1,1,12,1
A11,45,45,Blank,0,135,14,2,0.0,DOPC,3,1,1,10,0
E24,46,46,Blank,0,235,23,2,0.0,DMPC,3,1,1,23,4
L17,47,47,Blank,0,235,23,2,0.0,DOPC,3,1,1,16,11
F12,48,0,Aux,5,85,8,0,0.625,DMPC,3,1,1,11,5
O2,49,1,Aux,5,85,8,1,0.0,DMPC,3,1,1,1,14
I20,50,2,Aux,5,85,8,1,0.625,DMPC,3,1,1,19,8
