well_name,unique_id,rxn_id,K,Liposome_name,Mg,PEG,Liposome_conc,DNA_name,DNA_conc,plate,row,col
E4,70,70,185.0,no_lipo,14.0,0.0,3,Blank,5,1,4,3
M2,71,71,185.0,no_lipo,20.0,1.0,3,Blank,5,1,12,1
I15,72,0,85.0,DOPC,8.0,0.0,3,TFR1,5,1,8,14
H12,73,1,85.0,DOPC,14.0,1.0,3,TFR1,5,1,7,11
P8,74,2,85.0,DOPC,20.0,2.0,3,TFR1,5,1,15,7
E10,75,3,85.0,DMPC,8.0,1.0,3,TFR1,5,1,4,9
O3,76,4,85.0,DMPC,14.0,2.0,3,TFR1,5,1,14,2
P11,77,5,85.0,DMPC,20.0,0.0,3,TFR1,5,1,15,10
L6,78,6,185.0,DOPC,8.0,1.0,3,TFR1,5,1,11,5
E7,79,7,185.0,DOPC,14.0,2.0,3,TFR1,5,1,4,6
G17,80,8,185.0,DOPC,20.0,0.0,3,TFR1,5,1,6,16
F12,81,9,185.0,DMPC,8.0,2.0,3,TFR1,5,1,5,11
N1,82,10,185.0,DMPC,14.0,0.0,3,TFR1,5,1,13,0
E14,83,11,185.0,DMPC,20.0,1.0,3,TFR1,5,1,4,13
B3,84,12,85.0,no_lipo,8.0,0.0,3,TFR1,5,1,1,2
O14,85,13,85.0,no_lipo,14.0,1.0,3,TFR1,5,1,14,13
I2,86,14,85.0,no_lipo,20.0,2.0,3,TFR1,5,1,8,1
A12,87,15,85.0,no_lipo,8.0,1.0,3,TFR1,5,1,0,11
P1,88,16,85.0,no_lipo,14.0,2.0,3,TFR1,5,1,15,0
F13,89,17,85.0,no_lipo,20.0,0.0,3,TFR1,5,1,5,12
M7,90,18,185.0,no_lipo,8.0,1.0,3,TFR1,5,1,12,6
G5,91,19,185.0,no_lipo,14.0,2.0,3,TFR1,5,1,6,4
N4,92,20,185.0,no_lipo,20.0,0.0,3,TFR1,5,1,13,3
N18,93,21,185.0,no_lipo,8.0,2.0,3,TFR1,5,1,13,17
D10,94,22,185.0,no_lipo,14.0,0.0,3,TFR1,5,1,3,9
J7,95,23,185.0,no_lipo,20.0,1.0,3,TFR1,5,1,9,6
A14,96,24,85.0,DOPC,8.0,0.0,3,CD151,5,1,0,13
A10,97,25,85.0,DOPC,14.0,1.0,3,CD151,5,1,0,9
E8,98,26,85.0,DOPC,20.0,2.0,3,CD151,5,1,4,7
P17,99,27,85.0,DMPC,8.0,1.0,3,CD151,5,1,15,16
P7,100,28,85.0,DMPC,14.0,2.0,3,CD151,5,1,15,6
E9,101,29,85.0,DMPC,20.0,0.0,3,CD151,5,1,4,8
I14,102,30,185.0,DOPC,8.0,1.0,3,CD151,5,1,8,13
L16,103,31,185.0,DOPC,14.0,2.0,3,CD151,5,1,11,15
L8,104,32,185.0,DOPC,20.0,0.0,3,CD151,5,1,11,7
J6,105,33,185.0,DMPC,8.0,2.0,3,CD151,5,1,9,5
G12,106,34,185.0,DMPC,14.0,0.0,3,CD151,5,1,6,11
C15,107,35,185.0,DMPC,20.0,1.0,3,CD151,5,1,2,14
N6,108,36,85.0,no_lipo,8.0,0.0,3,CD151,5,1,13,5
H9,109,37,85.0,no_lipo,14.0,1.0,3,CD151,5,1,7,8
O8,110,38,85.0,no_lipo,20.0,2.0,3,CD151,5,1,14,7
J13,111,39,85.0,no_lipo,8.0,1.0,3,CD151,5,1,9,12
C6,112,40,85.0,no_lipo,14.0,2.0,3,CD151,5,1,2,5
L14,113,41,85.0,no_lipo,20.0,0.0,3,CD151,5,1,11,13
O5,114,42,185.0,no_lipo,8.0,1.0,3,CD151,5,1,14,4
J16,115,43,185.0,no_lipo,14.0,2.0,3,CD151,5,1,9,15
H7,116,44,185.0,no_lipo,20.0,0.0,3,CD151,5,1,7,6
J1,117,45,185.0,no_lipo,8.0,2.0,3,CD151,5,1,9,0
K10,118,46,185.0,no_lipo,14.0,0.0,3,CD151,5,1,10,9
I9,119,47,185.0,no_lipo,20.0,1.0,3,CD151,5,1,8,8
H11,120,48,85.0,DOPC,8.0,0.0,3,Blank,5,1,7,10
F18,121,49,85.0,DOPC,14.0,1.0,3,Blank,5,1,5,17
