well_name,DNA_name,DNA_conc,Liposome_name,Liposome_conc,Mg,combo,K
G19,Blank,0,DOPC,3,10,200,85
G2,CD47,5,no_lipo,0,10,50,85
G20,CD47,5,DOPC,3,15,200,85
G21,MtlA,5,DOPC,3,20,200,85
G3,CD47,5,DOPC,3,15,50,85
G4,Cat,5,no_lipo,0,15,50,85
G5,Blank,0,DOPC,3,10,50,85
G6,CD47,5,DOPC,3,15,50,85
G7,MtlA,5,DOPC,3,20,50,85
G8,MtlA,5,no_lipo,0,10,100,85
G9,CD47,5,no_lipo,0,10,100,85
H1,Cat,5,DOPC,3,20,50,85
H10,SecYE,5,DOPC,3,15,100,85
H11,Cat,5,DOPC,3,10,100,85
H12,Blank,0,no_lipo,0,10,100,85
H13,SecYE,5,DOPC,3,10,100,85
H14,Blank,0,no_lipo,0,15,100,85
H15,Cat,5,DOPC,3,20,200,85
H16,AqpZ,5,no_lipo,0,15,200,85
H17,SecYE,5,DOPC,3,15,200,85
H18,Cat,5,DOPC,3,10,200,85
H19,Blank,0,no_lipo,0,10,200,85
H2,AqpZ,5,no_lipo,0,15,50,85
H20,SecYE,5,DOPC,3,10,200,85
H21,Blank,0,no_lipo,0,15,200,85
H3,SecYE,5,DOPC,3,15,50,85
H4,Cat,5,DOPC,3,10,50,85
H5,Blank,0,no_lipo,0,10,50,85
H6,SecYE,5,DOPC,3,10,50,85
H7,Blank,0,no_lipo,0,15,50,85
H8,Cat,5,DOPC,3,20,100,85
H9,AqpZ,5,no_lipo,0,15,100,85
I1,Blank,0,DOPC,3,15,50,85
I10,SecYE,5,no_lipo,0,20,100,85
I11,CD47,5,no_lipo,0,15,100,85
I12,MtlA,5,no_lipo,0,10,100,85
I13,SecYE,5,DOPC,3,10,100,85
I14,Cat,5,no_lipo,0,15,100,85
I15,Blank,0,DOPC,3,15,200,85
I16,MtlA,5,no_lipo,0,15,200,85
I17,SecYE,5,no_lipo,0,20,200,85
I18,CD47,5,no_lipo,0,15,200,85
I19,MtlA,5,no_lipo,0,10,200,85
I2,MtlA,5,no_lipo,0,15,50,85
I20,SecYE,5,DOPC,3,10,200,85
I21,Cat,5,no_lipo,0,15,200,85
I3,SecYE,5,no_lipo,0,20,50,85
I4,CD47,5,no_lipo,0,15,50,85
I5,MtlA,5,no_lipo,0,10,50,85
I6,SecYE,5,DOPC,3,10,50,85
I7,Cat,5,no_lipo,0,15,50,85
I8,Blank,0,DOPC,3,15,100,85
I9,MtlA,5,no_lipo,0,15,100,85
J1,Cat,5,DOPC,3,20,50,85
J10,SecYE,5,no_lipo,0,15,100,85
J11,AqpZ,5,no_lipo,0,20,100,85
J12,Cat,5,no_lipo,0,10,100,85
J13,Blank,0,no_lipo,0,10,100,85
J14,AqpZ,5,no_lipo,0,10,100,85
J15,Cat,5,DOPC,3,20,200,85
J16,CD47,5,DOPC,3,20,200,85
J17,SecYE,5,no_lipo,0,15,200,85
J18,AqpZ,5,no_lipo,0,20,200,85
J19,Cat,5,no_lipo,0,10,200,85
J2,CD47,5,DOPC,3,20,50,85
J20,Blank,0,no_lipo,0,10,200,85
J21,AqpZ,5,no_lipo,0,10,200,85
J3,SecYE,5,no_lipo,0,15,50,85
J4,AqpZ,5,no_lipo,0,20,50,85
J5,Cat,5,no_lipo,0,10,50,85
J6,Blank,0,no_lipo,0,10,50,85
J7,AqpZ,5,no_lipo,0,10,50,85
J8,Cat,5,DOPC,3,20,100,85
J9,CD47,5,DOPC,3,20,100,85
K1,AqpZ,5,DOPC,3,20,50,85
K10,Blank,0,no_lipo,0,15,100,85
K11,Cat,5,DOPC,3,15,100,85
K12,Blank,0,DOPC,3,15,100,85
K13,Cat,5,DOPC,3,20,100,85
K14,SecYE,5,no_lipo,0,15,100,85
K15,AqpZ,5,DOPC,3,20,200,85
K16,CD47,5,DOPC,3,15,200,85
K17,Blank,0,no_lipo,0,15,200,85
K18,Cat,5,DOPC,3,15,200,85
K19,Blank,0,DOPC,3,15,200,85
K2,CD47,5,DOPC,3,15,50,85
K20,Cat,5,DOPC,3,20,200,85
K21,SecYE,5,no_lipo,0,15,200,85
K3,Blank,0,no_lipo,0,15,50,85
K4,Cat,5,DOPC,3,15,50,85
K5,Blank,0,DOPC,3,15,50,85
K6,Cat,5,DOPC,3,20,50,85
K7,SecYE,5,no_lipo,0,15,50,85
K8,AqpZ,5,DOPC,3,20,100,85
K9,CD47,5,DOPC,3,15,100,85
L1,AqpZ,5,no_lipo,0,10,50,85
L10,CD47,5,DOPC,3,10,100,85
L11,Blank,0,DOPC,3,10,100,85
L12,Cat,5,no_lipo,0,20,100,85
L13,MtlA,5,DOPC,3,15,100,85
L14,AqpZ,5,no_lipo,0,10,100,85
L15,AqpZ,5,no_lipo,0,10,200,85
L16,SecYE,5,no_lipo,0,15,200,85
L17,CD47,5,DOPC,3,10,200,85
L18,Blank,0,DOPC,3,10,200,85
L19,Cat,5,no_lipo,0,20,200,85
L2,SecYE,5,no_lipo,0,15,50,85
L20,MtlA,5,DOPC,3,15,200,85
L21,AqpZ,5,no_lipo,0,10,200,85
L3,CD47,5,DOPC,3,10,50,85
L4,Blank,0,DOPC,3,10,50,85
L5,Cat,5,no_lipo,0,20,50,85
L6,MtlA,5,DOPC,3,15,50,85
L7,AqpZ,5,no_lipo,0,10,50,85
L8,AqpZ,5,no_lipo,0,10,100,85
L9,SecYE,5,no_lipo,0,15,100,85
M1,CD47,5,no_lipo,0,10,50,85
M10,SecYE,5,DOPC,3,20,100,85
M11,AqpZ,5,DOPC,3,15,100,85
M12,AqpZ,5,DOPC,3,10,100,85
M13,Cat,5,DOPC,3,10,100,85
M15,CD47,5,no_lipo,0,10,200,85
M16,SecYE,5,DOPC,3,20,200,85
M17,SecYE,5,DOPC,3,20,200,85
M18,AqpZ,5,DOPC,3,15,200,85
M19,AqpZ,5,DOPC,3,10,200,85
M2,SecYE,5,DOPC,3,20,50,85
M20,Cat,5,DOPC,3,10,200,85
M3,SecYE,5,DOPC,3,20,50,85
M4,AqpZ,5,DOPC,3,15,50,85
M5,AqpZ,5,DOPC,3,10,50,85
M6,Cat,5,DOPC,3,10,50,85
M8,CD47,5,no_lipo,0,10,100,85
M9,SecYE,5,DOPC,3,20,100,85
N1,AqpZ,5,DOPC,3,20,50,85
N10,Cat,5,DOPC,3,15,100,85
N11,SecYE,5,DOPC,3,10,100,85
N12,MtlA,5,DOPC,3,10,100,85
N13,AqpZ,5,no_lipo,0,20,100,85
N15,AqpZ,5,DOPC,3,20,200,85
N16,CD47,5,DOPC,3,10,200,85
N17,Cat,5,DOPC,3,15,200,85
N18,SecYE,5,DOPC,3,10,200,85
N19,MtlA,5,DOPC,3,10,200,85
N2,CD47,5,DOPC,3,10,50,85
N20,AqpZ,5,no_lipo,0,20,200,85
N3,Cat,5,DOPC,3,15,50,85
N4,SecYE,5,DOPC,3,10,50,85
N5,MtlA,5,DOPC,3,10,50,85
N6,AqpZ,5,no_lipo,0,20,50,85
N8,AqpZ,5,DOPC,3,20,100,85
N9,CD47,5,DOPC,3,10,100,85
O1,MtlA,5,DOPC,3,20,50,85
O10,AqpZ,5,no_lipo,0,15,100,85
O11,SecYE,5,no_lipo,0,10,100,85
O12,Blank,0,DOPC,3,10,100,85
O13,AqpZ,5,no_lipo,0,15,100,85
O15,MtlA,5,DOPC,3,20,200,85
O16,MtlA,5,no_lipo,0,15,200,85
O17,AqpZ,5,no_lipo,0,15,200,85
O18,SecYE,5,no_lipo,0,10,200,85
O19,Blank,0,DOPC,3,10,200,85
O2,MtlA,5,no_lipo,0,15,50,85
O20,AqpZ,5,no_lipo,0,15,200,85
O3,AqpZ,5,no_lipo,0,15,50,85
O4,SecYE,5,no_lipo,0,10,50,85
O5,Blank,0,DOPC,3,10,50,85
O6,AqpZ,5,no_lipo,0,15,50,85
O8,MtlA,5,DOPC,3,20,100,85
O9,MtlA,5,no_lipo,0,15,100,85
P1,CD47,5,no_lipo,0,20,50,85
P10,AqpZ,5,no_lipo,0,20,100,85
P11,Cat,5,no_lipo,0,15,100,85
P12,MtlA,5,DOPC,3,10,100,85
P13,CD47,5,DOPC,3,10,100,85
P15,CD47,5,no_lipo,0,20,200,85
P16,CD47,5,no_lipo,0,20,200,85
P17,AqpZ,5,no_lipo,0,20,200,85
P18,Cat,5,no_lipo,0,15,200,85
P19,MtlA,5,DOPC,3,10,200,85
P2,CD47,5,no_lipo,0,20,50,85
P20,CD47,5,DOPC,3,10,200,85
P3,AqpZ,5,no_lipo,0,20,50,85
P4,Cat,5,no_lipo,0,15,50,85
P5,MtlA,5,DOPC,3,10,50,85
P6,CD47,5,DOPC,3,10,50,85
P8,CD47,5,no_lipo,0,20,100,85
P9,CD47,5,no_lipo,0,20,100,85
